numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,pays,marchandises,value,remarks
28,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,"États de l’Empereur, en Flandre et Allemagne – par terre",,25954000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
29,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Allemagne et Pologne - par terre,,19781000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
30,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Allemagne et Pologne - par terre,,67278000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
31,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,"Suisse, ses Alliées et Genève",,10087000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
32,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,"Suisse, ses Alliées et Genève",,53351000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
33,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Danemarck et Norwège,,2380000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
34,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Danemarck et Norwège,,9222000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
35,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Suède,,7195000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
36,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Suède,,3935000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
37,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Prusse – par mer,,3240000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
38,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Prusse – par mer,,12549000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
39,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Russie,,5184000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
40,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Russie,,4569000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
41,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,États-Unis d’Amérique,,25098000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
42,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,États-Unis d’Amérique,,5622000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
43,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,5,Le Levant et l’Empire Ottoman,,87513000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
44,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,5,Le Levant et l’Empire Ottoman,,47852000,"Commerce européen : 720188000 dont 293 084000 denrées des Isles Françaises de l’Amérique, 30029000 de Marchandises provenantes du Commerce Française dans l’Inde et 397075000 en articles de toutes autres espèces"
45,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Saint-Domingue,,239434000,
46,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Saint-Domingue,,32341000,
47,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Martinique,,62834000,
48,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Martinique,,14745000,
49,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Guadeloupe,,35844000,
50,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Guadeloupe,,4382000,
51,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Cayenne et Guyanne,,1465000,
52,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Cayenne et Guyanne,,808000,
53,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Tabago et Sainte-Lucie,,7450000,
54,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Tabago et Sainte-Lucie,,286000,
55,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Traite des noirs et de la gomme,,2386000,
56,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Traite des noirs et de la gomme,,9918000,
57,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,"Isles de France, de la Réunion et Mozambique",,3613000,
58,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,"Isles de France, de la Réunion et Mozambique",,9121000,
59,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,États de l’Inde,,64988000,
60,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Etats de l’Inde,,7191000,
61,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,La Chine,,5419000,
62,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,La Chine,,2187000,
63,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,La Morue à Terre-Neuve,,6030000,
64,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,La Morue à Terre-Neuve,,1338000,
65,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,"la Morue, en Islande et Ithlande",,1009000,Il n’y a pas d’exportations pour la Morue en Islande
66,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,"La Baleine, au Groënland, au Bresil et Madagascar",,2490000,
67,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,"La Baleine, au Groënland, au Bresil et Madagascar",,41000,
68,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Pêches sur nos côtes Hareng (simple apperçu),,1923000,
69,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Pêches sur nos côtes Hareng (simple apperçu),,57000,
70,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Pêches sur nos côtes Maquereaux (simple apperçu),,682000,
71,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Exports,6,Pêches sur nos côtes Maquereaux (simple apperçu),,93000,
72,Guillaume Daudin,AN F12 252 et F12 1843B,National/Tableau Général/Tableau Général_1792.csv,Tableau Général,1792,Imports,6,Pêches sur nos côtes Sardines (simple apperçu),,987000,Il n’y a pas d’exportations pour les sardines
