numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks,doubleaccount,doubleaccounts
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,121,Baume ; Benjoin,,5991,1997,,5991,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,123,Baume ; Storax liquide,,1424,963,,1424,Kilo,,,,1.48,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,123,Baume ; Copahu,,12078,6039,,12078,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,125,Aloès,,2521,1146,,2521,Kilo,,,,2.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,125,Opium,,225952,7061,,225952,Kilo,,,,32,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,125,Camphre ; raffiné,,17927,2109,,17927,Kilo,,,,8.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,127,Manne,,48391,26884,,48391,Kilo,,,,1.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,129,Jus de réglisse,,195591,195591,,195591,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,137,Ipécacuana,,28145,2165,,28145,Kilo,,,,13,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,137,Salsepareille,,70773,23591,,70773,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,139,Racines ; Rhubarbe,,50015,10003,,50015,Kilo,,,,5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,139,Racines ; Jalap,,20122,6288,,20122,Kilo,,,,3.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,141,Racines ; Iris de Florence,,9378,5210,,9378,Kilo,,,,1.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,141,Racines ; Réglisse,,89412,198693,,89412,Kilo,,,,0.45,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,143,Racines non dénommées,,197520,65843,,197520,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,143,"Ecorces de citron, d'orange, et de leurs variétés",,13700,27400,,13700,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,145,Ecorces ; de Quinquina,,1609288,201161,,1609288,Kilo,,,,8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,145,Ecorces ; autres,,3956,4945,,3956,Kilo,,,,0.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,147,Herbes,,1769,3537,,1769,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,147,Feuilles ; d'Oranger,,451,451,,451,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,147,Feuilles ; de Séné,,71046,20299,,71046,Kilo,,,,3.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,149,Feuilles non dénommées,,21085,21085,,21085,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,149,Fleurs de Lavande et d'Oranger,,69694,34847,,69694,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,151,Fleurs non dénommées,,27304,27304,,27304,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,151,Fruits ; Casse sans apprêt,,85408,56939,,85408,Kilo,,,,1.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,153,Fruits ; Tamarins en gousses,,6943,15428,,6943,Kilo,,,,0.45,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,153,Fruits ; Badiane ou Anis étoilé de la Chine,,594,297,,594,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,153,Fruits ; Graine de moutarde,,14069,28138,,14069,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,153,Fruits ; Barbotine,,172,574,,172,Kilo,,,,0.3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,155,Fruits ; Follicules de séné,,10368,3703,,10368,Kilo,,,,2.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,155,Fruits ; Autres,,85508,85508,,85508,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,155,Lichens médicinaux,,1216,4053,,1216,Kilo,,,,0.3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,315,Médicaments composés ; Eaux distillées,,148770,29754,,148770,Kilo,,,,5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,315,Médicaments composés ; Autres,,1190410,119041,,1190410,Kilo,,,,10,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,271,Sels ammoniacaux,,9480,1934,,9480,Kilo,,,,4.9017580145,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,275,"Sels, sulfates ; de magnésie",,9345,10620,,9345,Kilo,,,,0.88,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,273,"Sels, sulfates ; de soude",,83847,279489,,83847,Kilo,,,,0.3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1827,Exportations,,,285,Acétates ; de plomb,,184110,108300,,184110,Kilo,,,,1.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,57,Sangsues,,8784,292800,,8784,pièce,,,,0.03,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,57,Cantharides,,28170,2817,,28170,Kilo,,,,10,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,59,Cornes de cerf et de snack ; en morceaux,,237,339,,237,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,59,Cornes de cerf et de snack ; en râpures,,3874,5534,,3874,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,59,Eponges ; communes,,64992,10832,,64992,Kilo,,,,6,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,59,Eponges ; fines,,37400,1870,,37400,Kilo,,,,20,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,117,Térébenthine ; compacte,,41918,209592,,41918,Kilo,,,,0.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,119,Térébenthine ; liquide,,823,5488,,823,Kilo,,,,0.15,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,119,Térébenthine ; essence,,790516,1129309,,790516,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,121,Résineux exotiques ; Scammonée,,19240,481,,19240,Kilo,,,,40,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,121,Baume ; Benjoin,,15738,5246,,15738,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,123,Baume ; Storax liquide,,2089,1440,,2089,Kilo,,,,1.45,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,123,Baume ; Copahu,,17974,8987,,17974,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,125,Aloès,,4376,1989,,4376,Kilo,,,,2.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,125,Opium,,446784,13962,,446784,Kilo,,,,32,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,125,Camphre ; raffiné,,25934,3051,,25934,Kilo,,,,8.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,127,Manne,,53435,29686,,53435,Kilo,,,,1.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,129,Jus de réglisse,,218049,218049,,218049,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,137,Ipécacuana,,13494,1038,,13494,Kilo,,,,13,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,137,Salsepareille,,194772,64924,,194772,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,139,Racines ; Rhubarbe,,34720,6944,,34720,Kilo,,,,5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,139,Racines ; Jalap,,100371,31366,,100371,Kilo,,,,3.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,141,Racines ; Iris de Florence,,21073,11707,,21073,Kilo,,,,1.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,141,Racines ; Réglisse,,52383,116407,,52383,Kilo,,,,0.45,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,143,Racines non dénommées,,142929,47643,,142929,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,143,"Ecorces de citron, d'orange, et de leurs variétés",,9403,18806,,9403,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,145,Ecorces ; de Quinquina,,977352,122169,,977352,Kilo,,,,8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,145,Ecorces ; autres,,1411,1764,,1411,Kilo,,,,0.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,147,Herbes,,1717,3433,,1717,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,147,Feuilles ; d'Oranger,,1040,1040,,1040,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,147,Feuilles ; de Séné,,67445,19270,,67445,Kilo,,,,3.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,149,Feuilles non dénommées,,18020,18020,,18020,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,149,Fleurs de Lavande et d'Oranger,,34276,17138,,34276,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,151,Fleurs non dénommées,,13371,13371,,13371,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,151,Fruits ; Casse sans apprêt,,100856,67237,,100856,Kilo,,,,1.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,153,Fruits ; Tamarins en gousses,,2784,6186,,2784,Kilo,,,,0.45,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,153,Fruits ; Badiane ou Anis étoilé de la Chine,,976,488,,976,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,153,Fruits ; Graine de moutarde,,12445,24890,,12445,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,153,Fruits ; Barbotine,,439,1462,,439,Kilo,,,,0.3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,155,Fruits ; Follicules de séné,,5807,2074,,5807,Kilo,,,,2.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,155,Fruits ; Autres,,76325,76325,,76325,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,155,Lichens médicinaux,,1333,4444,,1333,Kilo,,,,0.3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,315,Médicaments composés ; Eaux distillées,,205195,41039,,205195,Kilo,,,,5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,315,Médicaments composés ; Autres,,1255940,125594,,1255940,Kilo,,,,10,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,271,Sels ammoniacaux,,30123,7586,,30123,Kilo,,,,3.9708673873,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,275,"Sels, sulfates ; de magnésie",,11399,12954,,11399,Kilo,,,,0.88,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,273,"Sels, sulfates ; de soude",,77216,257386,,77216,Kilo,,,,0.3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1828,Exportations,,,285,Acétates ; de plomb,,126637,74492,,126637,Kilo,,,,1.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,57,Sangsues,,15117,503906,,15117,pièce,,,,0.03,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,57,Cantharides,,34550,3455,,34550,Kilo,,,,10,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,59,Cornes de cerf et de snack ; en morceaux,,544,777,,544,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,59,Cornes de cerf et de snack ; en râpures,,1089,1556,,1089,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,59,Eponges ; communes,,25428,4238,,25428,Kilo,,,,6,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,59,Eponges ; fines,,37620,1881,,37620,Kilo,,,,20,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,117,Térébenthine ; compacte,,42339,211698,,42339,Kilo,,,,0.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,119,Térébenthine ; liquide,,625,4167,,625,Kilo,,,,0.15,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,119,Térébenthine ; essence,,695118,993026,,695118,Kilo,,,,0.7,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,121,Résineux exotiques ; Scammonée,,78320,1958,,78320,Kilo,,,,40,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,121,Baume ; Benjoin,,21159,7053,,21159,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,123,Baume ; Storax liquide,,1309,870,,1309,Kilo,,,,1.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,123,Baume ; Copahu,,10130,5065,,10130,Kilo,,,,2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,125,Aloès,,3432,1560,,3432,Kilo,,,,2.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,125,Opium,,318624,9957,,318624,Kilo,,,,32,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,125,Camphre ; raffiné,,22096,3776,,22096,Kilo,,,,5.85,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,127,Manne,,43985,24436,,43985,Kilo,,,,1.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,129,Jus de réglisse,,121952,121952,,121952,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,137,Ipécacuana,,7787,599,,7787,Kilo,,,,13,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,137,Salsepareille,,221397,73799,,221397,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,139,Racines ; Rhubarbe,,32595,6519,,32595,Kilo,,,,5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,139,Racines ; Jalap,,230058,71893,,230058,Kilo,,,,3.2,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,141,Racines ; Iris de Florence,,18751,10417,,18751,Kilo,,,,1.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,141,Racines ; Réglisse,,94804,210675,,94804,Kilo,,,,0.45,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,143,Racines non dénommées,,188424,62808,,188424,Kilo,,,,3,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,143,"Ecorces de citron, d'orange, et de leurs variétés",,12410,24820,,12410,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,145,Ecorces ; de Quinquina,,1158192,144774,,1158192,Kilo,,,,8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,145,Ecorces ; autres,,3801,4751,,3801,Kilo,,,,0.8,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,147,Herbes,,1199,2399,,1199,Kilo,,,,0.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,147,Feuilles ; d'Oranger,,1039,1039,,1039,Kilo,,,,1,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,147,Feuilles ; de Séné,,68177,19479,,68177,Kilo,,,,3.5,,,,
,Pierre Holegien,Tableau décennal,National/Tableau Général/Tableau Décennal/1827-1836_exportations.csv,Tableau décennal,1829,Exportations,,,149,Feuilles non dénommées,,39665,39665,,39665,Kilo,,,,1,,,,
