numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,remarks,doubleaccounts
43,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Ardoises,Espagne,3084,30840,44655,livres,,0
44,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Ardoises,Flandre,32140,1287,44655,milliers,,0
45,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Ardoises,Isles,1000,10000,44655,livres,,0
46,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argent ; monnoyé,Levant,11000,,11000,,,0
47,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argent ; vif,Levant,2060,412,2060,livres,,0
48,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Allemagne,42028,736.75,183369,marcs,,0
49,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Angleterre,13338,234,183369,marcs,,0
50,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Espagne,60938,,183369,,,0
51,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Flandre,3052,,183369,,,0
52,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Hollande,2850,53,183369,marcs,,0
53,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Isles,16468,,183369,,,0
54,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Portugal,15874,278.5,183369,marcs,,0
55,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Suisse,2850,50,183369,marcs,,0
56,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Argenterie,Suède,25971,456,183369,marcs,,0
57,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Armes ; blanches,Etats-Unis,18720,7800,53974,livres,,0
58,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Armes ; blanches,Isles,35254,,53974,,,0
59,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Armes ; à feu,Etats-Unis,11012,11012,281227,livres,,0
60,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,6,Armes ; à feu,Isles,270215,118086,281227,livres,,0
61,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Arquifou,Levant,1279,8530,1279,livres,,0
62,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Avirons,Hollande,1518,337.33,1518,traques,,0
63,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Avoine,Flandre,5805,116100,5805,livres,,0
64,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Azur,Espagne,6930,9900,6930,livres,,0
65,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Banderolles ; de cuir,Isles,12000,4000,12000,livres,,0
66,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de coton,Isles,42650,853,42650,douzaines de paires,,0
67,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil,Espagne,15232,3026,151647,livres,,0
68,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil,Etats-Unis,3360,480,151647,livres,,0
69,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil,Isles,133055,5322,151647,douzaines de paires,,0
70,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Allemagne,1640,328,32348,livres,,0
71,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Espagne,4175,835,32348,livres,,0
72,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Flandre,2205,49,32348,douzaines de paires,,0
73,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Gènes,6500,1300,32348,livres,,0
74,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Hollande,3078,616,32348,livres,,0
75,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Italie,5990,1198,32348,livres,,0
76,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Naples,6500,1300,32348,livres,,0
77,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de fil et coton,Savoye,2260,452,32348,livres,,0
78,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de filozelle,Allemagne,12892,859.5,56478,livres,,0
79,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de filozelle,Espagne,43586,3578,56478,livres,,0
80,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de laine,Allemagne,6630,1105,304709,livres,,0
81,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de laine,Espagne,124008,20668,304709,livres,,0
82,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de laine,Etats-Unis,13403,224,304709,douzaines de paires,,0
83,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de laine,Flandre,11778,1943,304709,livres,,0
84,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,8,Bas ; de laine,Genève,3840,640,304709,livres,,0
85,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de laine,Portugal,92640,15440,304709,livres,,0
86,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de laine,Savoye,52410,8734,304709,livres,,0
87,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Allemagne,737665,15644,2270660,livres,,0
88,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Angleterre,19828,363.5,2270660,livres,,0
89,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Espagne,730537,15840,2270660,livres,,0
90,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Etats-Unis,1620,32.5,2270660,livres,,0
91,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Flandre,146875,2937.5,2270660,livres,,0
92,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Genève,30490,556,2270660,livres,,0
93,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Gènes,20600,515,2270660,livres,,0
94,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Hollande,107345,2147,2270660,livres,,0
95,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Isles,62000,620,2270660,douzaines de paires,,0
96,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Italie,240280,5030,2270660,livres,,0
97,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Nord,3475,69.5,2270660,livres,,0
98,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Portugal,99330,1958,2270660,livres,,0
99,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Russie,7105,138,2270660,livres,,0
100,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Savoye,16025,294,2270660,livres,,0
101,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Suisse,42010,816.75,2270660,livres,,0
102,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Bas ; de soye,Suède,5475,109.5,2270660,livres,,0
103,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Batteaux ; neufs,Flandre,6150,15,6150,en nombre,,0
104,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; en vie,Allemagne,895970,9604,1122610,en nombre,,0
105,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; en vie,Espagne,32640,205,1122610,en nombre,,0
106,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; en vie,Flandre,8600,43,1122610,en nombre,,0
107,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; en vie,Genève,107340,934,1122610,en nombre,,0
108,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; en vie,Savoye,27480,229,1122610,en nombre,,0
109,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; en vie,Suisse,50580,562,1122610,en nombre,,0
110,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; fumé,Isles,1726,1726,1726,livres,,0
111,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; salés,Espagne,2309,8442,362337,livres,,0
112,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; salés,Etats-Unis,1767,19.66,362337,barils,,0
113,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; salés,Indes,30262,336,362337,barils,,0
114,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beufs ; salés,Isles,327999,6560,362337,barils,,0
115,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beurre,Allemagne,26939,56273,225790,livres,,0
116,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beurre,Angleterre,1426,2853,225790,livres,,0
117,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,10,Beurre,Espagne,33536,65704,225790,livres,,0
118,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Beurre,Hollande,11897,22064,225790,livres,,0
119,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Beurre,Indes,1075,2150,225790,livres,,0
120,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Beurre,Isles,145191,280925,225790,livres,,0
121,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Beurre,Italie,2015,4975,225790,livres,,0
122,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Beurre,Savoye,3711,8248,225790,livres,,0
123,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bierre,Hollande,3212,69,10067,muids,,0
124,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bierre,Isles,6855,342.75,10067,barriques,,0
125,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bijouterie,Allemagne,21070,,44395,,,0
126,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bijouterie,Flandre,1055,,44395,,,0
127,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bijouterie,Isles,22270,,44395,,,0
128,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Biscuits ; de mer,Indes,14160,118000,88088,livres,,0
129,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Biscuits ; de mer,Isles,73928,441570,88088,livres,,0
130,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; d'Inde,Espagne,29345,586900,62615,livres,,0
131,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; d'Inde,Portugal,33270,665400,62615,livres,,0
132,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; froment,Espagne,249268,1961350,723336,livres,,0
133,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; froment,Flandre,25941,345900,723336,livres,,0
134,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; froment,Gènes,114835,3281,723336,charges,,0
135,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; froment,Isles,27837,185580,723336,livres,,0
136,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; froment,Italie,102250,2950,723336,charges,,0
137,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; froment,Savoye,203205,5777,723336,charges,,0
138,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; mahi,Espagne,1478,591.5,1478,conques,,0
139,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; méteil,Flandre,6590,131800,6590,livres,,0
140,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; seigle,Hollande,3890,31120,25255,livres,,0
141,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bled ; seigle,Savoye,21365,1068.25,25255,charges,,0
142,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Blonde ; de soye,Allemagne,7175,20.5,53375,livres,,0
143,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Blonde ; de soye,Espagne,33600,96,53375,livres,,0
144,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Blonde ; de soye,Flandre,12600,36,53375,livres,,0
145,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,12,Bois ; d'acajou,Hollande,3960,132,3960,madriers,,0
146,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; de campêche,Venise,1024,10240,1024,livres,,0
147,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; de marquetterie,Allemagne,1006,,1006,,,0
148,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; merrain,Flandre,10880,33,179391,milliers,,0
149,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; merrain,Isles,103855,567,179391,milliers,,0
150,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; merrain,Levant,1760,440,179391,barriques,,0
151,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; merrain,Portugal,8016,2044,179391,barriques,,0
152,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; merrain,Suède,54880,3430,179391,paquets,,0
153,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; ouvré,Espagne,37715,7543,40018,livres,,0
154,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; ouvré,Flandre,2303,,40018,,,0
155,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; rouge,Etats-Unis,4230,21160,9942,livres,,0
156,David Cassagnes,AN F12 247,National/Objet Général/AN Paris/F_12_247_1779/1779.csv,Objet Général,1779,Exports,14,Bois ; rouge,Hollande,5712,35600,9942,livres,,0
