numerodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,Leurvaleursubtotal₁,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,probleme,remarks
32,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de toute sorte,Possessions Danoises,28380,,,,,899456,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
33,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de toute sorte,Possessions suédoises,453,,,,,899456,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
34,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de toute sorte,Possessions Hollandaises,13733,,,,,899456,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
35,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de construction,Possessions Espagnoles,2678079,,,,,286633,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
36,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de construction,Possessions des États-Unis de l'Amérique,48810,,,,,286633,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
37,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de construction,Possessions Anglaises,90210,,,,,286633,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
38,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de construction,Possessions Danoises,3640,,,,,286633,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
39,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de construction,Possessions suédoises,1600,,,,,286633,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
40,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de construction,Possessions Hollandaises,43994,,,,,286633,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
41,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois merrain et feuillard,Possessions Espagnoles,764886,,,,,764866,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
42,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de marqueterie,Possessions Espagnoles,38043,,,,,38043,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
43,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de teinture,Possessions Espagnoles,126323,,,,,133923,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
44,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de teinture,Possessions Anglaises,4800,,,,,133923,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
45,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bois de teinture,Possessions Portugaises,2800,,,,,133923,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
46,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,"Bray, goudron, résine",Possessions Espagnoles,106918,,,,,110204,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
47,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,"Bray, goudron, résine",Possessions Anglaises,380,,,,,110204,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
48,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,"Bray, goudron, résine",Possessions Danoises,585,,,,,110204,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
49,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,"Bray, goudron, résine",Possessions Hollandaises,2321,,,,,110204,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
50,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Grains de toute sorte,Possessions des États-Unis de l'Amérique,46542,,,,,57402,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
51,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Grains de toute sorte,Possessions Espagnoles,3080,,,,,57402,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
52,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Grains de toute sorte,Possessions Anglaises,7780,,,,,57402,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
53,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Harengs et maquereaux salés,Possessions des États-Unis de l'Amérique,179444,,,,,278992,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
54,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Harengs et maquereaux salés,Possessions Anglaises,93470,,,,,278992,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
55,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Harengs et maquereaux salés,Possessions Danoises,2764,,,,,278992,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
56,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Harengs et maquereaux salés,Possessions Hollandaises,3314,,,,,278992,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
57,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Légumes divers,Possessions des États-Unis de l'Amérique,264420,,,,,280812,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
58,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Légumes divers,Possessions Espagnoles,3612,,,,,280812,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
59,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Légumes divers,Possessions Anglaises,8767,,,,,280812,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
60,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Légumes divers,Possessions Danoises,1307,,,,,280812,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
61,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Légumes divers,Possessions Hollandaises,2706,,,,,280812,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
62,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Mays,Possessions des États-Unis de l'Amérique,464848,,,,,568891,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
63,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Mays,Possessions Espagnoles,62088,,,,,568891,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
64,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Mays,Possessions Portugaises,10697,,,,,568891,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
65,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Mays,Possessions Anglaises,8004,,,,,568891,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
66,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Mays,Possessions Danoises,9810,,,,,568891,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
67,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Mays,Possessions Hollandaises,13444,,,,,568891,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
68,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Morue salée,Possessions des États-Unis de l'Amérique,1203369,,,,,1291746,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
69,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Morue salée,Possessions Espagnoles,11280,,,,,1291746,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
70,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Morue salée,Possessions Anglaises,26557,,,,,1291746,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
71,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Morue salée,Possessions Danoises,10880,,,,,1291746,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
72,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Morue salée,Possessions suédoises,400,,,,,1291746,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
73,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Morue salée,Possessions Hollandaises,39260,,,,,1291746,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
74,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Nègres,Possessions des États-Unis de l'Amérique,287000,,,,,6236735,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
75,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Nègres,Possessions Portugaises,465320,,,,,6236735,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
76,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Nègres,Possessions Anglaises,5154500,,,,,6236735,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
77,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Nègres,Possessions Hollandaises,329915,,,,,6236735,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
78,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Or monnoyé,Possessions des États-Unis de l'Amérique,6600,,,,,663476,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
79,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Or monnoyé,Possessions Portugaises,393052,,,,,663476,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
80,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Or monnoyé,Possessions Anglaises,29744,,,,,663476,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
81,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Or monnoyé,Possessions suédoises,1540,,,,,663476,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
82,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Or monnoyé,Possessions Hollandaises,232540,,,,,663476,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
83,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Poisson salé de toute sorte,Possessions des États-Unis de l'Amérique,76391,,,,,99526,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
84,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Poisson salé de toute sorte,Possessions Espagnoles,7770,,,,,99526,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
85,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Poisson salé de toute sorte,Possessions Anglaises,5760,,,,,99526,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
86,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Poisson salé de toute sorte,Possessions Danoises,966,,,,,99526,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
87,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Poisson salé de toute sorte,Possessions Hollandaises,8639,,,,,99526,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
88,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Riz,Possessions des États-Unis de l'Amérique,852964,,,,,916165,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
89,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Riz,Possessions Portugaises,15762,,,,,916165,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
90,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Riz,Possessions Anglaises,43360,,,,,916165,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
91,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Riz,Possessions suédoises,2500,,,,,916165,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
92,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Riz,Possessions Hollandaises,1579,,,,,916165,,17792405,,,Articles de marchandises permis par l'arrêt du 30 août 1784
93,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bierre,Possessions des États-Unis de l'Amérique,1050,,,,,95408,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
94,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bierre,Possessions Espagnoles,3660,,,,,95408,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
95,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bierre,Possessions Anglaises,49158,,,,,95408,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
96,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Bierre,Possessions Hollandaises,41540,,,,,95408,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
97,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Cacao,Possessions Espagnoles,63925,,,,,63925,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
98,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Caffé,Possessions Espagnoles,3250,,,,,79551,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
99,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Caffé,Possessions Anglaises,9850,,,,,79551,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
100,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Caffé,Possessions Hollandaises,66451,,,,,79551,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
101,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Côtes de baleine,Possessions Portugaises,42000,,,,,42000,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
102,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Coton,Possessions Danoises,2840,,,,,33880,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
103,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Coton,Possessions Espagnoles,31040,,,,,33880,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
104,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Dents d'éléphant,Possessions Anglaises,20000,,,,,20000,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
105,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Farine,Possessions des États-Unis de l'Amérique,240444,,,,,648867,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
106,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Farine,Possessions Espagnoles,83132,,,,,648867,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
107,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Farine,Possessions Anglaises,127765,,,,,648867,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
108,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Farine,Possessions Danoises,23700,,,,,648867,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
109,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Farine,Possessions suédoises,10990,,,,,648867,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
110,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Farine,Possessions Hollandaises,160836,,,,,648867,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
111,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Fromage,Possessions des États-Unis de l'Amérique,2800,,,,,2800,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
112,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Huile de poisson,Possessions des États-Unis de l'Amérique,165097,,,,,227757,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
113,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Huile de poisson,Possessions Portugaises,56000,,,,,227757,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
114,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Huile de poisson,Possessions Danoises,1000,,,,,227757,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
115,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Huile de poisson,Possessions Hollandaises,5660,,,,,227757,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
116,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Indigo,Possessions des États-Unis de l'Amérique,1600,,,,,12540,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
117,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Indigo,Possessions Espagnoles,10940,,,,,12540,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
118,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions des États-Unis de l'Amérique,337103,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
119,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions Espagnoles,302568,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
120,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions Portugaises,1472,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
121,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions Anglaises,135133,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
122,Cyril Mouton,Col F 2B 13,,,1788,Imports,Colonies Françaises de l'Amérique,,3,Objets divers,Possessions Danoises,7707,,,,,869164,,3272332,,,Articles de marchandises introduites par permissions particulières des administrateurs ou pour être réexportées
