numrodeligne,dataentryby,source,year,sheet,exportsimports,direction,pays,marchandises,quantit,quantity_unit,value,remarks
27,Demba,AN F12 835,36 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Toiles blanches,,valeur,104 000,
28,Demba,AN F12 835,37 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Toiles de coton,,valeur,60 000,
29,Demba,AN F12 835,38 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Toile Bazin,,valeur,248 000,
30,Demba,AN F12 835,39 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Poterie,,valeur,158 000,
31,Demba,AN F12 835,40 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Verrerie,,valeur,29 000,
32,Demba,AN F12 835,41 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Instruments divers,,valeur,22 000,
33,Demba,AN F12 835,42 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Mercerie,,valeur,38 000,
34,Demba,AN F12 835,43 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Ouvrages de Cuivre argenté,,valeur,12 000,
35,Demba,AN F12 835,44 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Ouvrages d'acier,,valeur,18 000,
36,Demba,AN F12 835,45 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Ouvrages en Cuir,,valeur,27 000,
37,Demba,AN F12 835,46 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Quincaillerie,,valeur,119 000,
38,Demba,AN F12 835,47 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Sellerie en harnois,,valeur,15 000,
39,Demba,AN F12 835,48 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Tabac en feuilles,,valeur,13 000,
40,Demba,AN F12 835,49 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Voitures,,valeur,19 000,
41,Demba,AN F12 835,50 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Marchandise à la valeur,,valeur,82 000,
42,Demba,AN F12 835,51 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Chairs salées,"1 228 319,00",livres,393 000,
43,Demba,AN F12 835,52 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Beurre,"1 227 591,00",livres,1 105 000,
44,Demba,AN F12 835,53 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,fers divers,,valeur,39 000,
45,Demba,AN F12 835,54 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Cuivre,"33 230,00",livres,50 000,
46,Demba,AN F12 835,55 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Etain,"47 508,00",livres,59 000,
47,Demba,AN F12 835,56 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Plomb,"106 973,00",livres,26 000,
48,Demba,AN F12 835,57 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Charbon de terre,"86 784 000,00",livres,1 248 000,
49,Demba,AN F12 835,58 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Bierre,,valeur,17 000,
50,Demba,AN F12 835,59 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Drogueries diverses,,valeur,21 000,
51,Demba,AN F12 835,60 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Indigo,"16 542,00",livres,187 000,
52,Demba,AN F12 835,61 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Baleine en fanon,"15 217,00",livres,37 000,
53,Demba,AN F12 835,62 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,huile de poisson,"192 199,00",livres,87 000,
54,Demba,AN F12 835,63 mars-31 décembre 1787,20,Imports,Guyenne,Angleterre,Chevaux,"20,00",nombre,11 000,
55,Demba,AN F12 835,64 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Dentelle de fil,"41,25",livres,33 000,
56,Demba,AN F12 835,65 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Dentelle de Soye,"138,75",livres,167 000,
57,Demba,AN F12 835,66 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Toile Batiste,"4 000,00",aunes,20 000,
58,Demba,AN F12 835,67 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Graines de Genievre,"331 380,00",livres,199 000,
59,Demba,AN F12 835,68 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Graines de Lin,"114 400,00",livres,46 000,
60,Demba,AN F12 835,69 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Papiers divers,"3 690,00",rames,40 000,
61,Demba,AN F12 835,70 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Peaux appretées ,"4 050,00",douzaines,90 000,
62,Demba,AN F12 835,71 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Liege en planches,,valeur,20 000,
63,Demba,AN F12 835,72 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Anchois capres &c.,,valeur,16 000,
64,Demba,AN F12 835,73 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,fruits Secs confits &c.,,valeur,133 000,
65,Demba,AN F12 835,74 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Vinaigre,"879,34",muids,25 000,
66,Demba,AN F12 835,75 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Eau de vie diverses,"5 265,86",muids,665 000,
67,Demba,AN F12 835,76 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Vin divers,"14 172,31",muids,3 996 000,
68,Demba,AN F12 835,77 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Drogueries diverses,,valeur,46 000,
69,Demba,AN F12 835,78 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Objets divers dont le plus fort article n'excede pas 10000 livres,,valeur,74 000,
70,Demba,AN F12 835,79 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Indigo,"3 471,00",livres,41 000,
71,Demba,AN F12 835,80 mars-31 décembre 1787,20,Exports,Guyenne,Angleterre,Coton en rame,"693 437,00",livres,1 796 000,
72,Demba,AN F12 835,81 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Etoffes de laine,,valeur,25 000,
73,Demba,AN F12 835,82 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Fayence,,valeur,10 000,
74,Demba,AN F12 835,83 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Beurre,"62 610,00",livres,45 000,
75,Demba,AN F12 835,84 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Cuivres divers,"78 444,00",livres,113 000,
76,Demba,AN F12 835,85 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,fers divers,"49 309,00",livres,16 000,
77,Demba,AN F12 835,86 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Plomb,"94 890,00",livres,21 000,
78,Demba,AN F12 835,87 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Charbon de terre,"3 530 000,00",livres,74 000,
79,Demba,AN F12 835,88 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Drogueries diverses,,valeur,25 000,
80,Demba,AN F12 835,89 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Baleine en fanon,"15 728,00",livres,30 000,
81,Demba,AN F12 835,90 mars-31 décembre 1787,22,Imports,Aunis et de la Saintonge,Angleterre,Marchandise diverse dont le plus fort article n'excede pas 10000 livres,,valeur,16 000,
82,Demba,AN F12 835,91 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Sel,"6 074 676,00",livres,27 000,
83,Demba,AN F12 835,92 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Eau de vie,"9 907,65",muids,1 166 000,
84,Demba,AN F12 835,93 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Vins,"144,22",muids,6 000,
85,Demba,AN F12 835,94 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Graine de lin,"159 400,00",livres,16 000,
86,Demba,AN F12 835,95 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Coton,"791,00",livres,2 000,
87,Demba,AN F12 835,96 mars-31 décembre 1787,22,Exports,Aunis et de la Saintonge,Angleterre,Marchandise diverse dont le plus fort article n'excede pas 10000 livres,,valeur,12 000,
88,Demba,AN F12 835,97 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Bonneterie ,,valeur,35 000,
89,Demba,AN F12 835,98 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Draperie de laine,,valeur,42 000,
90,Demba,AN F12 835,99 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Etoffe de laine,,valeur,111 000,
91,Demba,AN F12 835,100 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Etoffes de Coton,,valeur,230 000,
92,Demba,AN F12 835,101 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Toilles diverses,,valeur,119 000,
93,Demba,AN F12 835,102 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Fayence,,valeur,174 000,
94,Demba,AN F12 835,103 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Mercerie,,valeur,24 000,
95,Demba,AN F12 835,104 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Boutons divers,,valeur,13 000,
96,Demba,AN F12 835,105 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Quincaillerie,,valeur,25 000,
97,Demba,AN F12 835,106 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Tabac en feuilles,"96 000,00",livres,34 000,
98,Demba,AN F12 835,107 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Marchandise à la valeur,,valeur,45 000,
99,Demba,AN F12 835,108 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Charbon de terre,"6 813 200,00",livres,111 000,
100,Demba,AN F12 835,109 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Cuivre,"174 548,00",livres,222 000,
101,Demba,AN F12 835,110 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Etain,"8 280,00",livres,9 000,
102,Demba,AN F12 835,111 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Plomb,"266 816,00",livres,59 000,
103,Demba,AN F12 835,112 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,fers divers,"59 781,00",livres,18 000,
104,Demba,AN F12 835,113 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Fers de fonte,"618 000,00",livres,49 000,
105,Demba,AN F12 835,114 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Fer blanc,"47 496,00",livres,22 000,
106,Demba,AN F12 835,115 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Grains Farine Fromage &c.,,valeur,21 000,
107,Demba,AN F12 835,116 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Bœuf Salé,"115 658,00",livres,35 000,
108,Demba,AN F12 835,117 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Lard Salé,"498 111,00",livres,191 000,
109,Demba,AN F12 835,118 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Beurre,"63 148,00",livres,39 000,
110,Demba,AN F12 835,119 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Diverses,,valeur,22 000,
111,Demba,AN F12 835,120 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Couperose,"131 808,00",livres,15 000,
112,Demba,AN F12 835,121 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Indigo Commun,"2 046,00",livres,13 000,
113,Demba,AN F12 835,122 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Poivre ,"32 879,00",livres,47 000,
114,Demba,AN F12 835,123 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Caffé Moka,"95 082,00",livres,285 000,
115,Demba,AN F12 835,124 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Laines,"26 617,00",livres,45 000,
116,Demba,AN F12 835,125 mars-31 décembre 1787,24,Imports,Bretagne,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 1000 livres,,valeur,39 000,
117,Demba,AN F12 835,126 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Dentelles de fil,"31,00",livres,31 000,
118,Demba,AN F12 835,127 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Dentelles de Soye,"16,00",livres,8 000,
119,Demba,AN F12 835,128 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Etoffe de Soye,,valeur,11 000,
120,Demba,AN F12 835,129 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Toilles diverses,"34 608,00",aunes,67 000,
121,Demba,AN F12 835,130 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Librairie,,valeur,11 000,
122,Demba,AN F12 835,131 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Cordages,,valeur,14 000,
123,Demba,AN F12 835,132 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Cuirs tannés ,"6 633,00",livres,12 000,
124,Demba,AN F12 835,133 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Tabac en feuilles,"962 307,00",livres,337 000,
125,Demba,AN F12 835,134 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Marchandises à la valeur,,valeur,69 000,
126,Demba,AN F12 835,135 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Eau de vie,"838,18",muids,121 000,
127,Demba,AN F12 835,136 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Eau de vie de Genievre,"153,46",muids,25 000,
128,Demba,AN F12 835,137 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Vins,"54,46",muids,6 000,
129,Demba,AN F12 835,138 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Bled froment,"1 547 792,00",livres,148 000,
130,Demba,AN F12 835,139 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Bled méteil,"185 680,00",livres,15 000,
131,Demba,AN F12 835,140 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Farine,"351 431,00",livres,49 000,
132,Demba,AN F12 835,141 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,fruits Secs ,,valeur,20 000,
133,Demba,AN F12 835,142 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Sel,"5 408 168,00",livres,38 000,
134,Demba,AN F12 835,143 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Beurre,"19 826,00",livres,13 000,
135,Demba,AN F12 835,144 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Savon,"32 835,00",livres,20 000,
136,Demba,AN F12 835,145 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Coton en laine,"296 374,00",livres,696 000,
137,Demba,AN F12 835,146 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Caffé,"2 623,00",livres,5 000,
138,Demba,AN F12 835,147 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Canelle,"90,00",livres,400,
139,Demba,AN F12 835,148 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Etoffes diverses,"5,00",pieces,300,
140,Demba,AN F12 835,149 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Mouchoirs de Soye,"19,00",pieces,900,
141,Demba,AN F12 835,150 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Mousseline,"35,00",pieces,4 000,
142,Demba,AN F12 835,151 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Soye Ecrue,"7,00",livres,400,
143,Demba,AN F12 835,152 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Tapis peints,"70,00",nombre,4 000,
144,Demba,AN F12 835,153 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Toilles diverses,,valeur,58 000,
145,Demba,AN F12 835,154 mars-31 décembre 1787,24,Exports,Bretagne,Angleterre,Thés,"171 414,00",livres,268 000,
146,Demba,AN F12 835,155 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Bonneterie diverse,"5 749,00",livres,36 000,
147,Demba,AN F12 835,156 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Etoffes de laine,"8 339,00",livres,28 000,
148,Demba,AN F12 835,157 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Etoffes de coton,"2 776,00",livres,23 000,
149,Demba,AN F12 835,158 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Fayence et poterie,,valeur,31 000,
150,Demba,AN F12 835,159 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Charbon de terre,"5 704 000,00",livres,143 000,
151,Demba,AN F12 835,160 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Suif,"17 890,00",livres,11 000,
152,Demba,AN F12 835,161 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Plomb,"58 980,00",livres,13 000,
153,Demba,AN F12 835,162 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Laines non filées,"15 659,00",livres,25 000,
154,Demba,AN F12 835,163 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Poivre,"8 015,00",livres,12 000,
155,Demba,AN F12 835,164 mars-31 décembre 1787,26,Imports,Basse Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,66 000,
156,Demba,AN F12 835,165 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Dentelle de fil,"19,50",livres,27 000,
157,Demba,AN F12 835,166 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Dentelle de Soye,"13,00",livres,6 000,
158,Demba,AN F12 835,167 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Etoffes diverses,"40 977,00",livres,106 000,
159,Demba,AN F12 835,168 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toiles diverses,"9 549,00",livres,20 000,
160,Demba,AN F12 835,169 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toile Batiste,"2 692,00",aunes,14 000,largeure pt 288 £
161,Demba,AN F12 835,170 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toiles de lin,"9 737,00",livres,22 000,
162,Demba,AN F12 835,171 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Toiles de coton,"11 585,00",livres,29 000,
163,Demba,AN F12 835,172 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Divers,,valeur,20 000,
164,Demba,AN F12 835,173 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Chataignes,"95 400,00",livres,10 000,
165,Demba,AN F12 835,174 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Merceries melées,,valeur,13 000,
166,Demba,AN F12 835,175 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Beufs vaches moutons &c.,,valeur,65 000,
167,Demba,AN F12 835,176 mars-31 décembre 1787,26,Exports,Basse Normandie,Angleterre,Marchandises diverses dont le plus fort article n'excede pas 10000 livres,,valeur,35 000,
168,Demba,AN F12 835,177 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bonneterie de Coton,,valeur,85 000,
169,Demba,AN F12 835,178 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bonneterie de laine,,valeur,62 000,
170,Demba,AN F12 835,179 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bonneterie de fil,,valeur,17 000,
171,Demba,AN F12 835,180 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Couvertures,,valeur,19 000,
172,Demba,AN F12 835,181 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Drap de laine,,valeur,216 000,
173,Demba,AN F12 835,182 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Etofes de laine,,valeur,445 000,
174,Demba,AN F12 835,183 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Etofes de coton,,valeur,1 057 000,
175,Demba,AN F12 835,184 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Gaze de soie,,valeur,56 000,
176,Demba,AN F12 835,185 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Jarretieres et tresses de laine,,valeur,19 000,
177,Demba,AN F12 835,186 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,fayance,,valeur,404 000,
178,Demba,AN F12 835,187 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Verrerie,,valeur,33 000,
179,Demba,AN F12 835,188 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Toiles communes,,valeur,20 000,
180,Demba,AN F12 835,189 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Toiles de lin,"11 215,00",aunes,29 000,
181,Demba,AN F12 835,190 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Toiles de coton,,valeur,345 000,"5691,5 pièces et 42032 aunes."
182,Demba,AN F12 835,191 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,armes à feu,,valeur,28 000,
183,Demba,AN F12 835,192 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Cornes à lanternes,,valeur,11 000,
184,Demba,AN F12 835,193 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Habillements,,valeur,15 000,
185,Demba,AN F12 835,194 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,harnoits et sellerie,,valeur,18 000,
186,Demba,AN F12 835,195 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Clouds de cuivre,"22 620,00",livres,34 000,
187,Demba,AN F12 835,196 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Instrumens divers,,valeur,28 000,
188,Demba,AN F12 835,197 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Meules à taillandiers,,valeur,30 000,
189,Demba,AN F12 835,198 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Mercerie mélée,,valeur,167 000,
190,Demba,AN F12 835,199 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Quincaillerie,,valeur,122 000,
191,Demba,AN F12 835,200 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Voitures,"47,00",nombre,38 000,
192,Demba,AN F12 835,201 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Marchandises à la valeur,,valeur,61 000,
193,Demba,AN F12 835,202 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Meubles divers,,valeur,22 000,
194,Demba,AN F12 835,203 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Beurre,"393 735,00",livres,315 000,
195,Demba,AN F12 835,204 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Riz,"151 215,00",livres,42 000,
196,Demba,AN F12 835,205 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Huitres,"1 100 787,00",nombre,17 000,
197,Demba,AN F12 835,206 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Saumon Salé,"146 640,00",livres,37 000,
198,Demba,AN F12 835,207 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,"Fromage, moutarde &c.",,valeur,13 000,
199,Demba,AN F12 835,208 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Bœuf Salé,"1 297 360,00",livres,389 000,
200,Demba,AN F12 835,209 mars-31 décembre 1787,28,Imports,Haute Normandie,Angleterre,Jambon et lard Salé,"488 584,00",livres,197 000,
201,Demba,AN F12 835,210 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Drap et Etofe de Laine,,valeur,20 000,
202,Demba,AN F12 835,211 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Porcelaine,"2 505,00",livres,15 000,
203,Demba,AN F12 835,212 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Toile Batiste,"5 635,00",aunes,42 000,
204,Demba,AN F12 835,213 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Librairie,,valeur,25 000,
205,Demba,AN F12 835,214 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Musique,,valeur,10 000,
206,Demba,AN F12 835,215 mars-31 décembre 1787,28,Exports,Haute Normandie,Angleterre,Graine de foin,"26 635,00",livres,21 000,
