numrodeligne,dataentryby,source,sourcepath,sourcetype,direction,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
13,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Citrons,Marseille,Angleterre,"10,00",Milliers,"15,000","150,00","0,00",
14,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Cochenille,Marseille,Angleterre,"350,00",Livres,"18,000","6 300,00","0,00",
15,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Confitures,Marseille,Angleterre,"240,00",Livres,"1,000","240,00","0,00",
16,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Draperie petite,Marseille,Angleterre,"550,00",Livres,"3,000","1 650,00","0,00",
17,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Eau de melice,Marseille,Angleterre,"140,00",Livres,"2,000","280,00","0,00",
18,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Eau de la Reyne d'Hongrie,Marseille,Angleterre,"550,00",Livres,"0,750","412,00","0,50",
19,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Fayance,Marseille,Angleterre,"1 900,00",Livres,"0,500","950,00","0,00",
20,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Fer en barres,Marseille,Angleterre,"3 500,00",Livres,"0,145","507,00","0,50",
21,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,1,1751,Sortie,Gingembre,Marseille,Angleterre,"1 710,00",Livres,"0,400","684,00","0,00",
22,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Graine jaune,Marseille,Angleterre,"157,00",Livres,"0,260","40,00","0,82",
23,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Huile de lin,Marseille,Angleterre,"1 600,00",Livres,"0,300","480,00","0,00",
24,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Huile d'olive,Marseille,Angleterre,"1 500,00",Livres,"0,400","600,00","0,00",
25,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Indienne,Marseille,Angleterre,"55,00",Pieces,"12,000","660,00","0,00",
26,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Légumes,Marseille,Angleterre,"3 600,00",Livres,"0,750","2 700,00","0,00",
27,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Lustre de Venise,Marseille,Angleterre,"1 200,00",Livres,"1,500","1 800,00","0,00",
28,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Mane de calabre,Marseille,Angleterre,"2 600,00",Livres,"1,250","3 250,00","0,00",
29,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Mercerie,Marseille,Angleterre,"650,00",Livres,"3,500","2 275,00","0,00",
30,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Morue seche,Marseille,Angleterre,"4 000,00",Livres,"0,150","600,00","0,00",
31,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Papier a ecrire,Marseille,Angleterre,"1 202,00",Rames,"6,000","7 212,00","0,00",
32,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Poivre,Marseille,Angleterre,"2 440,00",Livres,"1,100","2 684,00","0,00",
33,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Savon blanc,Marseille,Angleterre,"1 040,00",Livres,"0,300","312,00","0,00",
34,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Savon madré,Marseille,Angleterre,"6 500,00",Livres,"0,300","1 950,00","0,00",
35,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Sirop de capillaire,Marseille,Angleterre,"300,00",Livres,"1,000","300,00","0,00",
36,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Souffre,Marseille,Angleterre,"17 446,00",Livres,"0,150","2 616,00","0,90",
37,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Sucre blanc,Marseille,Angleterre,"16 190,00",Livres,"0,450","7 285,00","0,50",
38,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Sucre rafiné,Marseille,Angleterre,"500,00",Livres,"0,600","300,00","0,00",
39,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Sumac,Marseille,Angleterre,"450,00",Livres,"0,070","31,00","0,50",
40,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Tartre,Marseille,Angleterre,"1 775,00",Livres,"0,240","426,00","0,00",
41,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Teraille,Marseille,Angleterre,"20 000,00",Livres,"0,070","1 400,00","0,00",
42,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Toille de cambray,Marseille,Angleterre,"1 500,00",Livres,"40,000","60 000,00","0,00",
43,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Toille diverses,Marseille,Angleterre,"1 584,00",Livres,"4,000","6 336,00","0,00",
44,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Vin muscat,Marseille,Angleterre,"3,00",Milleroles,"20,000","60,00","0,00",
45,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Vin rouge commun,Marseille,Angleterre,"8,00",Milleroles,"6,000","48,00","0,00",
46,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Acier,Marseille,Espagne,"84 154,00",Livres,"0,350","29 453,00","0,90",
47,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Ajamis,Marseille,Espagne,"44 047,00",Pieces,"9,000","396 423,00","0,00",
48,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Aloës,Marseille,Espagne,"78,00",Livres,"2,000","156,00","0,00",
49,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Alun,Marseille,Espagne,"23 081,00",Livres,"0,100","2 308,00","0,10",
50,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Amadou,Marseille,Espagne,"750,00",Livres,"0,700","525,00","0,00",
51,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,2,1751,Sortie,Amidon,Marseille,Espagne,"6 575,00",Livres,"0,200","1 315,00","0,00",
52,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Anis,Marseille,Espagne,"18 843,00",Livres,"0,200","3 768,00","0,60",
53,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Arcenic,Marseille,Espagne,"450,00",Livres,"0,300","135,00","0,00",
54,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Arquifou,Marseille,Espagne,"1 000,00",Livres,"0,150","150,00","0,00",
55,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Avirons,Marseille,Espagne,"476,00",Paires,"3,500","1 666,00","0,00",
56,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Azur,Marseille,Espagne,"1 650,00",Livres,"0,400","660,00","0,00",
57,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Balaine coupée,Marseille,Espagne,"352,00",Livres,"5,000","1 760,00","0,00",
58,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bas de coton,Marseille,Espagne,"850,00",Livres,"5,000","4 250,00","0,00",
59,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bas de fil,Marseille,Espagne,"2 056,00",Livres,"5,000","10 280,00","0,00",
60,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bas de filoselle,Marseille,Espagne,"58 506,00",Livres,"15,000","877 590,00","0,00",
61,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bas de laine,Marseille,Espagne,"105 773,00",Livres,"6,000","634 638,00","0,00",
62,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bas de soye,Marseille,Espagne,"40 925,00",Livres,"40,000","1 637 000,00","0,00",
63,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Batanonis,Marseille,Espagne,"100,00",Pieces,"4,000","400,00","0,00",
64,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Baume,Marseille,Espagne,"30,00",Livres,"16,000","480,00","0,00",
65,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bazin,Marseille,Espagne,"5 970,00",Livres,"6,000","35 820,00","0,00",
66,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bœuf salé,Marseille,Espagne,"12 000,00",Livres,"0,350","4 200,00","0,00",
67,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bijouterie,Marseille,Espagne,"750,00",Livres,"100,000","75 000,00","0,00",
68,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bled froment,Marseille,Espagne,"42 418,00",Charges,"25,000","1 060 450,00","0,00",
69,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Blanquet,Marseille,Espagne,"550,00",Livres,"0,150","82,00","0,50",
70,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bois de brezil,Marseille,Espagne,"11 613,00",Livres,"0,250","2 903,00","0,25",
71,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bois de campeche,Marseille,Espagne,"112 106,00",Livres,"0,150","16 815,00","0,90",
72,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bois fustel,Marseille,Espagne,"11 600,00",Livres,"0,070","812,00","0,00",
73,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bois de noyer,Marseille,Espagne,"300,00",Livres,"0,100","30,00","0,00",
74,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bois de sandal,Marseille,Espagne,"800,00",Livres,"0,400","320,00","0,00",
75,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bonnets de laine,Marseille,Espagne,"900,00",Douzaines,"30,000","27 000,00","0,00",
76,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bours fil et coton,Marseille,Espagne,"57,00",Pieces,"6,000","342,00","0,00",
77,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bours de Levant,Marseille,Espagne,"150,00",Pieces,"35,000","5 250,00","0,00",
78,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bouteilles de verre,Marseille,Espagne,"1 340,00",Livres,"0,200","268,00","0,00",
79,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Bray,Marseille,Espagne,"300,00",Livres,"0,150","45,00","0,00",
80,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Briquets,Marseille,Espagne,"600,00",Livres,"1,500","900,00","0,00",
81,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Broderie,Marseille,Espagne,"409,00",Livres,"80,000","32 720,00","0,00",
82,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,3,1751,Sortie,Cacao,Marseille,Espagne,"298 624,00",Livres,"1,400","418 073,00","0,60",
83,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Caffé,Marseille,Espagne,"26 108,00",Livres,"1,500","39 162,00","0,00",
84,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Calemande,Marseille,Espagne,"158,00",Pieces,"70,000","11 060,00","0,00",
85,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Calemande,Marseille,Espagne,"1 356,00",Livres,"3,000","4 068,00","0,00",
86,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Canefice,Marseille,Espagne,"4 015,00",Livres,"0,300","1 204,00","0,50",
87,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Canelle,Marseille,Espagne,"9 663,00",Livres,"6,000","57 978,00","0,00",
88,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cantarides,Marseille,Espagne,"87,00",Livres,"4,000","348,00","0,00",
89,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Capots,Marseille,Espagne,"585,00",Pieces,"9,000","5 265,00","0,00",
90,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Capots,Marseille,Espagne,"400,00",Livres,"0,500","200,00","0,00",
91,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Capres,Marseille,Espagne,"1 190,00",Livres,"0,300","357,00","0,00",
92,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Carreaux de brique,Marseille,Espagne,"6 835,00",En nombre,"0,020","136,00","0,70",
93,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Carreaux de marbre,Marseille,Espagne,"910,00",En nombre,"0,600","546,00","0,00",
94,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cartes a jouer,Marseille,Espagne,"1 084,00",Grosses,"18,000","19 512,00","0,00",
95,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cartons,Marseille,Espagne,"120,00",Livres,"1,000","120,00","0,00",
96,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Ceintures de laine,Marseille,Espagne,"100,00",En nombre,"1,000","100,00","0,00",
97,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cendres gravelées,Marseille,Espagne,"800,00",Livres,"0,140","112,00","0,00",
98,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Ceruze,Marseille,Espagne,"13 525,00",Livres,"0,200","2 705,00","0,00",
99,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Chaises de paille,Marseille,Espagne,"105,00",Douzaines,"15,000","1 575,00","0,00",
100,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Chandelles,Marseille,Espagne,"7 828,00",Livres,"0,450","3 522,00","0,60",
101,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Chanvre peigné,Marseille,Espagne,"58 500,00",Livres,"0,360","21 060,00","0,00",
102,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Chapeaux poil et laine,Marseille,Espagne,"4 819,00",Douzaines,"48,000","231 312,00","0,00",
103,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Chataignes,Marseille,Espagne,"3 990,00",Livres,"0,055","219,00","0,45",
104,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cire blanche,Marseille,Espagne,"38 513,00",Livres,"1,800","69 323,00","0,40",
105,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cire d'Espagne,Marseille,Espagne,"629,00",Livres,"4,000","2 516,00","0,00",
106,Requia,Archives de la CCI de Marseille - I 23 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I23/Marseille – Exports – 1751,Local,Marseille,4,1751,Sortie,Cire jaune,Marseille,Espagne,"88 318,00",Livres,"1,500","132 477,00","0,00",
