Data entry by,Source,Year,Sheet,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks,
Fatima zahra,,1775,2,Amadou,Allemagne,37 440,24 043,,,28 273,,
Fatima zahra,,1775,2,Amadou,Hollande,2 078,2 078,,,28 273,,
Fatima zahra,,1775,2,Amadou,Naples,3 075,2 152,,,28 273,,
Fatima zahra,,1775,4,Amandes,Espagne,254 902,104 998,,,151 408,,
Fatima zahra,,1775,4,Amandes,Hollande,52 635,31 581,,,151 408,,
Fatima zahra,,1775,4,Amandes,Naples,58 800,11 760,,,151 408,,
Fatima zahra,,1775,4,Amandes,Levant,8 845,1 769,,,151 408,,
Fatima zahra,,1775,4,Amandes,Savoye,6 500,1 300,,,151 408,,
Fatima zahra,,1775,4,Amidon,Hollande,11 181,2 468,,,4 793,,
Fatima zahra,,1775,4,Amidon,Nord,11 625,2 325,,,4 793,,
Fatima zahra,,1775,4,Anchois,Espagne,245 742,172 871,,,180 526,,
Fatima zahra,,1775,4,Anchois,Italie,245,1 102,,,180 526,,
Fatima zahra,,1775,4,Anchois,Savoye,26 212,6 553,,,180 526,,
Fatima zahra,,1775,4,Anis,Espagne,111 272,22 514,,,32 000,,
Fatima zahra,,1775,4,Anis,Hollande,2 222,5 630,,,32 000,,
Fatima zahra,,1775,4,Anis,Italie,19 280,3 856,,,32 000,,
Fatima zahra,,1775,4,Les arbres à planter,Italie,18 325,3 665,,,,,
Fatima zahra,,1775,4,Arcenic,Hollande,8 145,2 036,,,8 054,,
Fatima zahra,,1775,4,Arcenic,Nord,24 075,6 018,,,8 054,,
Fatima zahra,,1775,4,Ardoises,Allemagne,87 900,2 197,,,,,
Fatima zahra,,1775,4,Argent ; en lingots,Espagne,,12 000,,,104 562,,
Fatima zahra,,1775,4,Argent ; vif,Allemagne,14 545,50 907,92 562,,104 562,,
Fatima zahra,,1775,4,Argent ; vif,Hollande,8 865,41 655,92 562,,104 562,,
Fatima zahra,,1775,6,Argenterie,Allemagne,280,14 039,,,83 312,le total devrait être ,73 312
Fatima zahra,,1775,6,Argenterie,Angleterre,956,47 529,,,83 312,,
Fatima zahra,,1775,6,Argenterie,Danemark,120,6 000,,,83 312,,
Fatima zahra,,1775,6,Argenterie,Flandre,34,1 744,,,83 312,,
Fatima zahra,,1775,6,Argenterie,Hollande,280,4 000,,,83 312,,
Fatima zahra,,1775,6,Armes ; blanches,Allemagne,11 684,28 891,44 110,,395 128,,
Fatima zahra,,1775,6,Armes ; blanches,Flandre,1 524,2 286,44 110,,395 128,,
Fatima zahra,,1775,6,Armes ; blanches,Hollande,6 466,12 933,44 110,,395 128,,
Fatima zahra,,1775,6,Armes ; à feu,Allemagne,93 237,279 713,351 018,,395 128,,
Fatima zahra,,1775,6,Armes ; à feu,Flandre,21 620,21 620,351 018,,395 128,,
Fatima zahra,,1775,6,Armes ; à feu,Hollande,29 820,43 285,351 018,,395 128,,
Fatima zahra,,1775,6,Armes ; à feu,Nord,6 400,6 400,351 018,,395 128,,
Fatima zahra,,1775,6,Arquifou,Espagne,699 750,104 962,,,116 443,,
Fatima zahra,,1775,6,Arquifou,Italie,19 000,2 850,,,116 443,,
Fatima zahra,,1775,6,Arquifou,Savoye,57 540,8 631,,,116 443,,
Fatima zahra,,1775,6,Asnes,Savoye,50,2 000,,,,,
Fatima zahra,,1775,6,Asphalttim,Hollande,1 453,4 359,,,,,
Fatima zahra,,1775,6,Assafetida,Levant,3 800,5 700,,,,,
Fatima zahra,,1775,6,Attelles de colier,Allemagne,12,9 450,,,,,
Fatima zahra,,1775,6,Auf,Espagne,32 000,11 200,,,12 950,,
Fatima zahra,,1775,6,Auf,Italie,5 000,1 750,,,12 950,,
Fatima zahra,,1775,6,Avirons,Danemark,289,1 035,,,26 139,,
Fatima zahra,,1775,6,Avirons,Espagne,10 041,25 104,,,26 139,,
Fatima zahra,,1775,6,Avoine,Angleterre,353 146,31 657,,,176 029,,
Fatima zahra,,1775,6,Avoine,Danemark,208 520,10 426,,,176 029,,
Fatima zahra,,1775,6,Avoine,Hollande,339 857,16 992,,,176 029,,
Fatima zahra,,1775,6,Avoine,Italie,337 600,33 760,,,176 029,,
Fatima zahra,,1775,6,Avoine,Levant,30 000,3 000,,,176 029,,
Fatima zahra,,1775,6,Avoine,Nord,1 663 899,80 194,,,176 029,,
Fatima zahra,,1775,6,Azur,Allemagne,19 776,13 815,,,235 393,,
Fatima zahra,,1775,6,Azur,Danemark,11 030,5 515,,,235 393,,
Fatima zahra,,1775,6,Azur,Flandre,13 240,8 688,,,235 393,,
Fatima zahra,,1775,8,Azur,Hollande,260 728,188 839,,,235 393,,
Fatima zahra,,1775,8,Azur,Nord,21 149,14 085,,,235 393,,
Fatima zahra,,1775,8,Azur,Russa,14 056,3 042,,,235 393,,
Fatima zahra,,1775,8,Azur,Suede,2 818,1 409,,,235 393,,
Fatima zahra,,1775,8,Balais,Espagne,13 449,11 185,,,24 199,,
Fatima zahra,,1775,8,Balais,Flandre,24 900,1 868,,,24 199,,
Fatima zahra,,1775,8,Balais,Italie,7 213,6 941,,,24 199,,
Fatima zahra,,1775,8,Balais,Genes,4 673,4 205,,,24 199,,
Fatima zahra,,1775,8,Baleine ; coupée,Espagne,600,2 400,111 745,,955 097,,
Fatima zahra,,1775,8,Baleine ; coupée,Hollande,23 899,93 055,111 745,,955 097,,
Fatima zahra,,1775,8,Baleine ; coupée,Portugal,3 760,16 290,111 745,,955 097,,
Fatima zahra,,1775,8,Baleine ; en fanon,Hollande,97 058,242 645,843 352,,955 097,,
Fatima zahra,,1775,8,Baleine ; en fanon,Portugal,266 291,600 707,843 352,,955 097,,
Fatima zahra,,1775,8,Bas ; de fil et coton,Hollande,300,1 500,,,182 165,,
Fatima zahra,,1775,8,Bas ; de fil et coton,Italie,17 622,52 866,,,182 165,,
Fatima zahra,,1775,8,Bas ; de fil et coton,Naples,1 800,9 000,,,182 165,,
Fatima zahra,,1775,8,Bas ; de fil et coton,Genes,1 164,5 820,,,182 165,,
Fatima zahra,,1775,8,Bas ; de fil et coton,Savoye,20 096,100 479,,,182 165,,
Fatima zahra,,1775,8,Bas ; de fil et coton,Suisse,625,12 500,,,182 165,,
Fatima zahra,,1775,10,Baume,Hollande,350,1 750,,,,,
Fatima zahra,,1775,10,Bergamottes,Genes,14 460,3 615,,,5 965,,
Fatima zahra,,1775,10,Bergamottes,Savoye,23 500,2 350,,,5 965,,
Fatima zahra,,1775,10,Beufs ; fumé,Angleterre,7 209,2 887,12 068,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; fumé,Hollande,8 091,4 524,12 068,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; fumé,Nord,5 845,4 657,12 068,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; salé,Angleterre,5 334 532,3 065 050,3 080 150,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; salé,Espagne,882,11 280,3 080 150,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; salé,Flandre,95,3 820,3 080 150,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; en vie,Allemagne,1 581,176 140,386 080,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; en vie,Flandre,313,61 680,386 080,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; en vie,Savoye,151,18 120,386 080,,3 478 298,,
Fatima zahra,,1775,10,Beufs ; en vie,Suisse,1 411,130 140,386 080,,3 478 298,,
Fatima zahra,,1775,10,Beurre,Allemagne,4 101,2 050,,,5 327 365,,
Fatima zahra,,1775,10,Beurre,Angleterre,12 580 940,5 161 890,,,5 327 365,,
Fatima zahra,,1775,10,Beurre,Flandre,175 062,104 826,,,5 327 365,,
Fatima zahra,,1775,10,Beurre,Hollande,83 842,41 438,,,5 327 365,,
Fatima zahra,,1775,10,Beurre,Savoye,37 967,17 161,,,5 327 365,,
Fatima zahra,,1775,10,Bierre,Allemagne,25,1 000,,,120 403,,
Fatima zahra,,1775,10,Bierre,geneve,12,1 152,,,120 403,,
Fatima zahra,,1775,10,Bierre,Hollande,3 730,118 251,,,120 403,,
Fatima zahra,,1775,12,Bijouterie,Allemagne,,1 226,,,12 133,,
Fatima zahra,,1775,12,Bijouterie,Flandre,,1 427,,,12 133,,
Fatima zahra,,1775,12,Bijouterie,Savoye,,9 480,,,12 133,,
Fatima zahra,,1775,12,Blanc ; de balaine,Flandre,1 538,1 076,2 522,,3 894,,
Fatima zahra,,1775,12,Blanc ; de balaine,Hollande,1 843,1 446,2 522,,3 894,,
Fatima zahra,,1775,12,Blanc ; de plomb,Hollande,5 490,1 372,,,3 894,,
Fatima zahra,,1775,12,Bled ; froment,Angleterre,6 293 599,803 309,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Danemark,93 808,9 380,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Espagne,1 147 750,114 775,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Flandre,62 525,5 864,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Hollande,2 882 850,288 285,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Italie,4 525 660,678 849,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Naples,7 055 125,1 411 025,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Genes,263 250,68 445,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Levant,38 569 660,3 856 966,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Nord,6 277 850,627 785,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Russa,1 164 637,116 463,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Savoye,2 664 090,266 409,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; froment,Suede,11 500,1 150,8 248 705,,9 030 904,,
Fatima zahra,,1775,12,Bled ; d'inde,Espagne,64 860,4 864,,,9 030 904,,
Fatima zahra,,1775,12,Bled ; seigle,Hollande,1 349 328,106 955,777 335,,9 030 904,,
Fatima zahra,,1775,12,Bled ; seigle,Italie,208 380,20 838,777 335,,9 030 904,,
Fatima zahra,,1775,12,Bled ; seigle,Levant,12 000,1 200,777 335,,9 030 904,,
Fatima zahra,,1775,12,Bled ; seigle,Nord,4 165 477,322 907,777 335,,9 030 904,,
Fatima zahra,,1775,12,Bled ; seigle,Russie,707 160,53 037,777 335,,9 030 904,,
Fatima zahra,,1775,12,Bled ; seigle,Suede,633 660,272 398,777 335,,9 030 904,,
Fatima zahra,,1775,12,Bleu ; commun,Hollande,5 600,4 200,,,16 233,,
Fatima zahra,,1775,12,Bleu ; de prusse,Allemagne,597,2 985,12 033,,16 233,,
Fatima zahra,,1775,12,Bleu ; de prusse,Flandre,,5 150,12 033,,16 233,,
Fatima zahra,,1775,12,Bleu ; de prusse,Hollande,1 299,3 898,12 033,,16 233,,
Fatima zahra,,1775,12,Boetes de bois,Allemagne,25,1 500,,,,,
Fatima zahra,,1775,14,Bois ; d'acajou,Isles,244 219,35 121,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'amarente,Portugal,67 640,6 764,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'ansprete,Nord,180,1 800,4 049,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'ansprete,Suede,2 245,2 249,4 049,,1 936 298,,
Fatima zahra,,1775,14,Bois ; en barres,Genes,366,4 392,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à batir,Allemagne,1 082,43 310,45 610,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à batir,Geneve,23,2 300,45 610,,1 936 298,,
Fatima zahra,,1775,14,Bois ; bardage,Danemark,1 674,25 110,139 644,,1 936 298,,
Fatima zahra,,1775,14,Bois ; bardage,Hollande,7 200,108 000,139 644,,1 936 298,,
Fatima zahra,,1775,14,Bois ; bardage,Suède,1 089,6 534,139 644,,1 936 298,,
Fatima zahra,,1775,14,Bois ; brandilles,Nord,577,86 550,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de brezil,Espagne,6 000,1 050,24 300,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de brezil,Hollande,5 935,1 187,24 300,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de brezil,Genes,5 000,2 500,24 300,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de brezil,Portugal,52 170,19 563,24 300,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à bruler,Allemagne,4 078,16 311,51 212,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à bruler,Espagne,140 000,1 260,51 212,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à bruler,Italie,1 564 400,11 775,51 212,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à bruler,Genes,1 112 400,8 343,51 212,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à bruler,Levant,887 000,6 652,51 212,,1 936 298,,
Fatima zahra,,1775,14,Bois ; à bruler,Savoye,916 200,6 871,51 212,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de buis,Hollande,114 885,17 232,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de campeche,Angleterre,83 113,9 809,116 097,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de campeche,Espagne,439 125,63 424,116 097,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de campeche,Flandre,16 745,2 093,116 097,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de campeche,Hollande,224 839,33 729,116 097,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de campeche,Isles,41 845,7 042,116 097,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de chesnes,Danemark,881,5 286,9 143,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de chesnes,Hollande,700,1 400,9 143,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de chesnes,Nord,,2 457,9 143,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de construction,Nord,2 701,81 030,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'ebenne,Hollande,43 533,4 347,25 945,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'ebenne,Portugal,12 115,1 211,25 945,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'ebenne,Isles,46 380,3 478,25 945,,1 936 298,,
Fatima zahra,,1775,14,Bois ; d'ebenne,Indes,187 850,16 909,25 945,,1 936 298,,
Fatima zahra,,1775,14,Bois ; ??,Nord,1 523,1 523,2 539,,1 936 298,,
Fatima zahra,,1775,14,Bois ; ??,Russie,881,1 016,2 539,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de fernembourg,Espagne,60 000,30 000,501 231,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de fernembourg,Portugal,1 048 090,471 231,501 231,,1 936 298,,
Fatima zahra,,1775,14,Bois ; fustel,Italie,26 000,1 652,5 411,,1 936 298,,
Fatima zahra,,1775,14,Bois ; fustel,Savoye,42 375,3 759,5 411,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de gayac,Italie,10 300,25 750,116 201,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de gayac,Isles,65 145,90 451,116 201,,1 936 298,,
Fatima zahra,,1775,14,Bois ; de jaracumba,Portugal,24 580,2 458,,,1 936 298,,
Fatima zahra,,1775,14,Bois ; jaune,Hollande,66 240,7 426,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de marquetterie,Portugal,69 140,6 914,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Allemagne,224 880,22 488,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Angleterre,206 000,41 200,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Danemark,32 120,3 212,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Hollande,305 620,30 562,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Italie,153 300,15 330,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Naples,416 490,83 298,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Genes,1 322 300,66 115,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Nord,188 100,37 620,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; merrain,Suede,476 390,47 639,347 464,,1 936 298,,
Fatima zahra,,1775,16,Bois ; à meubles,Espagne,,4 750,12 031,,1 936 298,,
Fatima zahra,,1775,16,Bois ; à meubles,Isles,36 405,7 281,12 031,,1 936 298,,
Fatima zahra,,1775,16,Bois ; ouvré,Allemagne,,7 916,12 866,,1 936 298,,
Fatima zahra,,1775,16,Bois ; ouvré,Naples,33 000,4 950,12 866,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de patissandre,Hollande,20 510,3 076,11 886,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de patissandre,Portugal,88 105,8 810,11 886,,1 936 298,,
Fatima zahra,,1775,16,Bois ; rouge,Indes,191 310,38 262,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de  roze,Portugal,95 530,19 106,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de N marthe,Hollande,179 330,35 866,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de sandal,Hollande,85 368,17 595,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de sapan,Indes,26 850,8 055,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; de sapin,Allemagne,228,1 440,,,1 936 298,,
Fatima zahra,,1775,16,Bois ; à teindre,Angleterre,198 380,34 559,127 263,,1 936 298,,
Fatima zahra,,1775,16,Bois ; à teindre,Hollande,641 268,92 704,127 263,,1 936 298,,
Fatima zahra,,1775,16,Bois ; violet,Portugal,58 650,15 195,,,1 936 298,,
Fatima zahra,,1775,16,Bonnets ; de coton,Suisse,575,11 500,,,13 000,,
Fatima zahra,,1775,16,Bonnets ; de laine,Espagne,184,1 500,,,13 000,,
Fatima zahra,,1775,16,Borax,Flandre,400,1 200,,,88 974,,
Fatima zahra,,1775,16,Borax,Hollande,10 137,30 411,,,88 974,,
Fatima zahra,,1775,16,Borax,Indes,19 121,57 363,,,88 974,,
Fatima zahra,,1775,16,Bouchons de liege,Espagne,170 611,270 692,,,,,
Fatima zahra,,1775,18,Boules vulneraires,Allemagne,450,1 800,,,,,
Fatima zahra,,1775,18,Boulets de canon,Hollande,24 450,22 005,,,23 405,,
Fatima zahra,,1775,18,Boulets de canon,Suede,7 000,1 400,,,23 405,,
Fatima zahra,,1775,18,Bourde,Espagne,60 000,4 800,,,,,
Fatima zahra,,1775,18,Bourre ; à battier,Hollande,34 810,3 481,,,94 591,,
Fatima zahra,,1775,18,Bourre ; de soye,Levant,91 110,91 110,,,94 591,,
Fatima zahra,,1775,18,Bouteilles de verre,Allemagne,346 535,64 213,,,70 669,,
Fatima zahra,,1775,18,Bouteilles de verre,Espagne,10 635,2 127,,,70 669,,
Fatima zahra,,1775,18,Bouteilles de verre,Flandre,9 725,1 944,,,70 669,,
Fatima zahra,,1775,18,Bouteilles de verre,Nord,5 800,1 015,,,70 669,,
Fatima zahra,,1775,18,Bouteilles de verre,Savoye,6 852,1 370,,,70 669,,
Fatima zahra,,1775,18,Boutons ; de crin,Allemagne,7 333,29 972,,,41 679,,
Fatima zahra,,1775,18,Boutons ; de crin,Suisse,2 341,11 707,,,41 679,,
Fatima zahra,,1775,18,Bray et gaudron,Danemark,2 206,53 789,,,739 258,,
Fatima zahra,,1775,18,Bray et gaudron,Espagne,210 000,10 500,,,739 258,,
Fatima zahra,,1775,18,Bray et gaudron,Flandre,223,5 815,,,739 258,,
Fatima zahra,,1775,18,Bray et gaudron,Hollande,3 514,87 846,,,739 258,,
Fatima zahra,,1775,18,Bray et gaudron,Nord,4 413,110 340,,,739 258,,
Fatima zahra,,1775,18,Bray et gaudron,Russie,2 041,50 173,,,739 258,,
Fatima zahra,,1775,18,Bray et gaudron,Savoye,74 850,7 485,,,739 258,,
Fatima zahra,,1775,20,Bray et gaudron,Suede,2 069 050,413 810,,,739 258,,
Fatima zahra,,1775,20,Brosseries,Hollande,12 207,12 207,,,,,
Fatima zahra,,1775,20,Brun rouge,Hollande,240 723,17 664,,,,,
Fatima zahra,,1775,20,Brustes à tisserand,Savoye,1 560,1 170,,,,,
Fatima zahra,,1775,20,Cacao,Espagne,103 586,145 427,,,1 731 503,,
Fatima zahra,,1775,20,Cacao,Hollande,104 040,123 404,,,1 731 503,,
Fatima zahra,,1775,20,Cacao,Portugal,104 181,62 849,,,1 731 503,,
Fatima zahra,,1775,20,Cacao,Isles,1 235 491,1 399 823,,,1 731 503,,
Fatima zahra,,1775,20,Cachou,Hollande,725,1 450,,,,,
Fatima zahra,,1775,20,Caffé ; de Bourbon,Indes,967 770,725 827,,,32 094 763,,
Fatima zahra,,1775,22,Caffé ; des Isles,Allemagne,1 785,1 070,30 093 377,,32 094 763,,
Fatima zahra,,1775,22,Caffé ; des Isles,Flandre,4 390,2 195,30 093 377,,32 094 763,,
Fatima zahra,,1775,22,Caffé ; des Isles,Isles,66 375 113,30 090 112,30 093 377,,32 094 763,,
Fatima zahra,,1775,22,Caffé ; de Levant,Levant,84 805,127 207,,,32 094 763,,
Fatima zahra,,1775,22,Caffé ; de Moka,Indes,699 005,1 148 352,,,32 094 763,,
Fatima zahra,,1775,22,Camphre,Hollande,1 730,3 347,,,51 879,,
Fatima zahra,,1775,22,Camphre,Indes,10 785,48 532,,,51 879,,
Fatima zahra,,1775,22,Canefice,Isles,233 971,53 987,,,,,
Fatima zahra,,1775,22,Canelle,Espagne,540,5 400,,,684 811,,
Fatima zahra,,1775,22,Canelle,Hollande,13 892,135 205,,,684 811,,
Fatima zahra,,1775,22,Canelle,Genes,1 074,11 814,,,684 811,,
Fatima zahra,,1775,22,Canelle,Indes,66 549,532 392,,,684 811,,
Fatima zahra,,1775,22,Cannes à main,Hollande,917,9 170,,,38 970,,
Fatima zahra,,1775,22,Cannes à main,Indes,596,29 800,,,38 970,,
Fatima zahra,,1775,22,Cannetes de gaz,Hollande,15 910,5 475,,,,,
Fatima zahra,,1775,22,Cannevette de gaz,Hollande,5 143,3 035,,,,,
Fatima zahra,,1775,24,Canons de fer,Hollande,579 800,57 980,,,,,
Fatima zahra,,1775,24,Capilaire,Flandre,,1 815,,,,,
Fatima zahra,,1775,24,Capres,Espagne,2 294,1 147,,,,,
Fatima zahra,,1775,24,Carabé,Hollande,1 481,1 777,,,,,
Fatima zahra,,1775,24,Cardes à carder,Hollande,2 455,5 155,,,,,
Fatima zahra,,1775,24,Carosses,Flandre,12,36 000,,,,,
Fatima zahra,,1775,24,Carreaux ; de marbre,Italie,78 780,7 878,11 562,,26 464,,
Fatima zahra,,1775,24,Carreaux ; de marbre,Genes,18 420,3 684,11 562,,26 464,,
Fatima zahra,,1775,24,Carreaux ; noir,Allemagne,53 850,13 462,,,26 464,,
Fatima zahra,,1775,24,Carreaux ; de terre,Hollande,4 000,1 440,,,26 464,,
Fatima zahra,,1775,24,Carrouges,Italie,23 000,1 150,,,,,
Fatima zahra,,1775,24,Carubi,Genes,25 225,1 262,,,,,
Fatima zahra,,1775,24,Cascarilles,Isles,2 466,3 699,,,,,
Fatima zahra,,1775,24,Cassialignea,Hollande,930,3 490,,,,,
Fatima zahra,,1775,24,Castoteunt,Hollande,216,1 296,,,,,
Fatima zahra,,1775,24,Caves garnis,Hollande,4 830,28 980,,,,,
Fatima zahra,,1775,24,Cauris,Hollande,180 328,248 592,,,945 564,,
Fatima zahra,,1775,24,Cauris,Indes,557 578,696 972,,,945 564,,
Fatima zahra,,1775,24,Ceintures de laine,Espagne,582,1 746,,,4 796,,
Fatima zahra,,1775,24,Ceintures de laine,Levant,122,3 050,,,4 796,,
Fatima zahra,,1775,26,Cendre ; blan,Flandre,425,1 062,,,381 549,,
Fatima zahra,,1775,26,Cendre ; casseaux,Nord,123,55 350,,,381 549,,
Fatima zahra,,1775,26,Cendre ; commune,Italie,18 100,1 362,2 370,,381 549,,
Fatima zahra,,1775,26,Cendre ; commune,Savoye,336,1 008,2 370,,381 549,,
Fatima zahra,,1775,26,Cendre ; gravelée,Allemagne,175 315,68 553,74 423,,381 549,,
Fatima zahra,,1775,26,Cendre ; gravelée,Nord,19 900,5 870,74 423,,381 549,,
Fatima zahra,,1775,26,Cendre ; potasse,Allemagne,122 144,40 138,209 644,,381 549,,
Fatima zahra,,1775,26,Cendre ; potasse,Danemark,14 525,6 536,209 644,,381 549,,
Fatima zahra,,1775,26,Cendre ; potasse,Hollande,203 850,70 669,209 644,,381 549,,
Fatima zahra,,1775,26,Cendre ; potasse,Nord,265 110,91 271,209 644,,381 549,,
Fatima zahra,,1775,26,Cendre ; potasse,Suede,2 575,1 030,209 644,,381 549,,
Fatima zahra,,1775,26,Cendre ; vedasse,Hollande,3,3 150,38 700,,381 549,,
Fatima zahra,,1775,26,Cendre ; vedasse,Nord,39,35 550,38 700,,381 549,,
Fatima zahra,,1775,26,Cercles à tonneaux,Allemagne,275 825,6 732,,,35 887,,
Fatima zahra,,1775,26,Cercles à tonneaux,Flandre,165 300,6 199,,,35 887,,
