Data entry by,Source,Objet général,Year,Exports-Imports,Sheet,Marchandises,Pays,Quantité,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Total,Remarks
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Nord,110655.00,22337.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Savoye,111285.00,37208.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Suede,63050.00,12610.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amandes,Isles,398366.00,82044.00,,,254793.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Ambre,Hollande,46.00,5520.00,,,6920.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Ambre,Guinée,,1400.00,,,6920.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amidon,Flandre,84725.00,25417.00,,,36954.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Amidon,Isles,57685.00,11537.00,,,36954.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Angleterre,2000.00,1000.00,,,51750.00,le total devrait être50850
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Espagne,14650.00,3725.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Hollande,70677.00,31025.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Genes,7000.00,3500.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Levant,2700.00,1350.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Nord,12936.00,4568.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Suede,5176.00,2588.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anchois,Isles,4126.00,3094.00,,,51750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anis,Hollande,5570.00,1114.00,,,4828.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anis,Savoye,11280.00,2256.00,,,4828.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Anis,Suede,7290.00,1458.00,,,4828.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Antimoine,Angleterre,105000.00,52500.00,,,53580.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Antimoine,Hollande,3600.00,1080.00,,,53580.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Ardoises,Allemagne,100.00,2500.00,,,45177.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Ardoises,Flandre,780300.00,19509.00,,,45177.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Ardoises,Isles,1448.00,23168.00,,,45177.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argent ; en lingots,Savoye,360.00,17280.00,,,55780.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argent ; vif,Levant,1626.00,8120.00,38500.00,,55780.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argent ; vif,Indes,6076.00,30380.00,38500.00,,55780.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argenterie,Allemagne,267.00,15219.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argenterie,Angleterre,525.00,29942.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argenterie,Danemark,160.00,9120.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argenterie,Espagne,,87921.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,5,Argenterie,Flandre,115.00,6562.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Hollande,632.00,36024.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Italie,86.00,4902.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Naples,250.00,14250.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Venise,156.00,8192.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Nord,540.00,30780.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Portugal,70.00,3990.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Suede,110.00,6270.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Suisse,60.00,3420.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Isles,1996.00,99822.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Guinée,78.00,4495.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Argenterie,Indes,462.00,26326.00,,,387235.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Armes ; blanches,Guinée,17444.00,34889.00,37689.00,,714889.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Armes ; blanches,Indes,1400.00,2800.00,37689.00,,714889.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Armes ; à feu,Isles,4394.00,4394.00,677200.00,,714889.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Armes ; à feu,Guinée,549250.00,549250.00,677200.00,,714889.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Armes ; à feu,Indes,123556.00,123556.00,677200.00,,714889.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Arquifou,Italie,83112.00,12466.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Asnes,Savoye,24.00,1260.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Auf,Italie,7000.00,3500.00,,,5500.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Auf,Levant,4000.00,2000.00,,,5500.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Avirons,Hollande,1000.00,4500.00,,,5791.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Avirons,Portugal,287.00,1291.00,,,5791.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Avirons,Isles,,0.00,,,5791.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,7,Avoine,Isles,48100.00,2405.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Azur,Flandre,1054.00,1317.00,,,39942.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Azur,Indes,51500.00,38625.00,,,39942.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Allemagne,1599.00,13689.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Angleterre,344.00,2190.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Espagne,18478.00,92544.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Geneve,705.00,7050.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Italie,4661.00,23305.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Naples,300.00,1500.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Genes,300.00,1500.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Savoye,1214.00,6070.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de fil et coton,Isles,71835.00,143671.00,291519.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de filozelle,Allemagne,2680.00,40200.00,57104.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de filozelle,Espagne,1067.00,13154.00,57104.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de filozelle,Geneve,115.00,1725.00,57104.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de filozelle,Portugal,135.00,2025.00,57104.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Allemagne,1041.00,6518.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Danemark,275.00,1650.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Espagne,34022.00,204132.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Flandre,825.00,8248.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Geneve,736.00,5640.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Hollande,189.00,1134.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Naples,305.00,1830.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Portugal,9797.00,58782.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Russie,218.00,1308.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Savoye,2060.00,12360.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de laine,Suisse,555.00,2222.00,303824.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Allemagne,18003.00,773258.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Angleterre,961.00,48055.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Danemark,52.00,2250.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Espagne,78041.00,3170426.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Flandre,3096.00,139215.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Geneve,364.00,16185.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Hollande,2903.00,135945.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Italie,15853.00,650605.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,9,Bas ; de soye,Naples,3390.00,136200.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Genes,327.00,13080.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Levant,50.00,2525.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Nord,91.00,4575.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Portugal,3071.00,130215.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Russie,281.00,13000.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Savoye,468.00,19400.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Suede,53.00,2675.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Suisse,665.00,28680.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Isles,21887.00,219867.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bas ; de soye,Guinée,145.00,1740.00,5507896.00,,6160343.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bateaux neufs,Flandre,7.00,2870.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bazannes tannées,Naples,3600.00,1800.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; à la daube,Indes,21400.00,15900.00,,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; fumé,Guinée,8340.00,6255.00,,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; salé,Suisse,6090.00,2131.00,1461594.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; salé,Isles,23694.00,1184731.00,1461594.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; salé,Guinée,1995.00,199482.00,1461594.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; salé,Indes,1505.00,75250.00,1461594.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; en vie,Allemagne,8371.00,781270.00,863600.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; en vie,Angleterre,8.00,2400.00,863600.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; en vie,Espagne,70.00,5600.00,863600.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; en vie,Geneve,147.00,17640.00,863600.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; en vie,Savoye,192.00,23000.00,863600.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beufs ; en vie,Suisse,361.00,33690.00,863600.00,,2347349.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Allemagne,43974.00,21823.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Angleterre,28387.00,13971.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Espagne,37923.00,18744.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Hollande,282210.00,191155.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Italie,49545.00,17340.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Naples,2725.00,1090.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Genes,3264.00,1305.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Portugal,6092.00,3046.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Savoye,9236.00,3694.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Isles,791410.00,390402.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Guinée,55971.00,28841.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Beurre,Indes,252050.00,126025.00,,,817436.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bierre,Isles,1176.00,29417.00,,,31720.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,11,Bierre,Guinée,636.00,2303.00,,,31720.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bijouterie,Flandre,,3914.00,,,384750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bijouterie,Savoye,60.00,2500.00,,,384750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bijouterie,Isles,,331867.00,,,384750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bijouterie,Guinée,,38119.00,,,384750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bijouterie,Indes,,8350.00,,,384750.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Biscuits de mer,Isles,486055.00,88191.00,,,193975.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Biscuits de mer,Guinée,519560.00,103912.00,,,193975.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Biscuits de mer,Indes,11700.00,1872.00,,,193975.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; froment,Angleterre,34800.00,3480.00,1045434.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; froment,Espagne,6507150.00,650715.00,1045434.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; froment,Italie,1175630.00,117563.00,1045434.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; froment,Genes,968300.00,96830.00,1045434.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; froment,Levant,354920.00,35492.00,1045434.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; froment,Savoye,1413540.00,141354.00,1045434.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; matry,Espagne,896320.00,67224.00,82824.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; matry,Portugal,208000.00,15600.00,82824.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; métal,Espagne,301520.00,26383.00,,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; seigle,Italie,69070.00,3453.00,49286.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; seigle,Nord,160.00,24000.00,49286.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Bled ; seigle,Savoye,431670.00,21833.00,49286.00,,1203927.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Blonde de soye,Angleterre,36.00,12600.00,,,28040.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Blonde de soye,Espagne,8.00,2800.00,,,28040.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Blonde de soye,Portugal,10.00,3500.00,,,28040.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Blonde de soye,Savoye,33.00,2640.00,,,28040.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,13,Blonde de soye,Isles,26.00,6500.00,,,28040.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; d'acajou,Flandre,38.00,1520.00,6080.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; d'acajou,Hollande,456.00,4560.00,6080.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; à batir,Allemagne,150.00,1350.00,3150.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; à batir,Isles,120.00,1800.00,3150.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de brezil,Espagne,10105.00,2021.00,,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; à bruler,Allemagne,699.00,13990.00,15190.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; à bruler,Indes,80.00,1200.00,15190.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de buis,Hollande,58000.00,4350.00,,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de campeche,Italie,103095.00,10309.00,12942.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de campeche,Savoye,26330.00,2633.00,12942.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de fernembourg,Danemark,7008.00,2803.00,41494.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de fernembourg,Italie,3530.00,1765.00,41494.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de fernembourg,Naples,19165.00,9582.00,41494.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de fernembourg,Levant,49000.00,24500.00,41494.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,Bois ; de fernembourg,Suisse,7110.00,2844.00,41494.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,15,bois d'inde,Allemagne,7956.00,1591.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; merrain,Italie,30000.00,3000.00,60704.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; merrain,Levant,59100.00,5910.00,60704.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; merrain,Isles,258970.00,51794.00,60704.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; ouvre,Flandre,,1398.00,,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; rouge,Hollande,141830.00,28366.00,30586.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; rouge,Nord,11100.00,2220.00,30586.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; de sapan,Nord,27625.00,6906.00,,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; de sapin,Savoye,20000.00,2000.00,,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; scié,Flandre,43645.00,6546.00,,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; à teindre,Allemagne,7096.00,1534.00,5286.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; à teindre,Levant,10100.00,1010.00,5286.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bois ; à teindre,Suisse,13710.00,2742.00,5286.00,,200244.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bonnets ; de coton,Angleterre,50.00,1200.00,,,1037234.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bonnets ; de grenadines,Isles,588.00,1764.00,,,1037234.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bonnets ; de laine,Espagne,300.00,6000.00,1034270.00,,1037234.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bonnets ; de laine,Levant,102527.00,1025270.00,1034270.00,,1037234.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bonnets ; de laine,Portugal,600.00,3000.00,1034270.00,,1037234.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Borax,Hollande,38424.00,115272.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Boucs,Espagne,250.00,2500.00,,,,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Espagne,1500.00,4500.00,,,40021.00,le total devrait être40061
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Hollande,500.00,1500.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Italie,350.00,1050.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Naples,1000.00,3000.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Genes,4793.00,14379.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Levant,1250.00,3750.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Savoye,2680.00,8080.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,17,Bouchons de liege,Indes,760.00,3802.00,,,40021.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,19,Bougie,Allemagne,2817.00,7194.00,,,305431.00,
Fatima zahra,AN F12 242,Objet général,1775,Exports,19,Bougie,Espagne,1693.00,3685.00,,,305431.00,
