line number,source_type,year,customs_region,customs_office,partner,Export_Import,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,value_minus_unit_val_x_qty,,,filepath,source,sheet,value_total,value_sub_total₁,value_sub_total₂,value_sub_total₃,data_collector,unverified,remarks,,absurd_observation,trade defici,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Cannes à main,,,2352,,7844,pièces,3,-21180,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Crayons Communs a mine,,,12,,6,douzaines,2,0,douzaine,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Chauffoir,,,60,,2,douzaines,30,0,douzaine,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Cuicres ouvrés,,,828,,690,livres,1.2,0,livre,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Cloux de fer,,,1675.5,,11195,livres,0.15,"-3,75",%,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Carreaux bleus a paver,,,273,,910,pièces,0.3,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Canes de terre vernies,,,27,,54,pièces,0.5,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Cartes marines,,,130,,65,pièces,2,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Cordages  ,,,360,,2000,livres,0.18,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Chandelles,,,3111.1,,8890,livres,0.35,"-0,400000000000091",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Déz à coudre,,,40,,1345,livres,0.035,"-7,075",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Duc d'Albe,,,39,,390,livres,0.1,0,jusquau,16,mars,716,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Evantails de plume,,,5,,5,douzaines,1,0,douz,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Aiguilles,,,1,,876,livres,0.0045,"-2,942",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fil à coudre,,,9852,,1642,livres,6,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fil en poignée,,,8040,,1340,livres,6,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fil de Leton,,,1530,,1275,livres,1.2,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fil de passe perle,,,18982.5,,54235,livres,0.35,"0,25",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fil de fer asorty,,,13668,,45560,livres,0.3,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fil de fer gros,,,3873.15,,15495,livres,0.25,"-0,599999999999909",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fer blanc,,,5658,,23045,barrils,0.25,"-103,25",barril,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fer ouvré,,,34562.1,,23045,livres,110s,#VALEUR !,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fayence delft,,,1151.5,,4605,livres,0.25,"0,25",livres,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Flacon de verre,,,9,,1,douzaines,9,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Figures peintes sur bois,,,86,,1,pièces,86,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Gueridons,,,4,,2,pièces,2,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,hopitaux de cuivre,,,60,,12,pièces,5,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Instrumens de marine,,,45,,45,livres,1,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Librairie,,,275,,550,livres,0.5,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Livres Dictionnaires,,,150,,2,pièces,75,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Liens de fil,,,1800,,450,pièces,4,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Mercerie,,,280,,140,livres,2,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Mèche,,,250,,2500,livres,0.1,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Moulins à Café,,,64,,16,pièces,4,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Nattes,,,36,,6,paquets,6,0,paquet,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Paravents peints,,,130,,13,pièces,10,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Papier violet,,,230,,73,rames,0.23,"213,21",,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Plumes à écrire apretées,,,112,,11200,pièces,0.01,0,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Pinceaux,,,36,,6,douzaines,6,la,douzaine,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Pommes de Canne décaillés,,,6,,6,pièces,1,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Porcelaine,,,326,,163,livres,2,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Pipes à fumer,,,2551.5,,1458,grosse,1.75,75,la,grosse,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Poillons de cuivre jaune,,,5075,,4060,livres,1.25,dz,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Poille à foire,,,30,,100,livres,0.3,dz,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Plaques de fer,,,782.5,,28205,livres,0.1,la,%,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Pelles de bois,,,5,,5,douzaines,1,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Quincaille de Cuivre,,,1260,,840,livres,1.5,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Quincaille grosse,,,3825,,2550,livres,1.5,%,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Ruban de fil,,,233,,4660,livres,0.05,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Rozes de Compas,,,150,,50,pièces,3,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Scelles de cheval,,,80,,4,pièces,20,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Soufflets à tirer le vin au clair avec leurs garnuitures,,,80,,2,pièces,40,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Savon noir,,,43.75,,175,livres,0.25,%,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Tables a thé Vernies,,,170,,34,pièces,5,la,piece,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Tables d’ardoizes,,,264,,66,pièces,4,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Tournebroche,,,6,,1,pièces,6,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Trompe de fer blanc,,,2,,1,pièces,2,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Violons pour enfans,,,9,,1,douzaine,9,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Verres à boire,,,50,,25,livres,2,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Vaisselle de terre,,,120,,40,douzaines,3,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Nord,Export,Boeuf Salé,,,1624,,116,barrils,14,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Nord,Export,Sucre,,,1189,,1189,livres,0.29,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Nord,Export,Bière,,,360,,18,barriques,20,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,Nord,Export,Cumin,,,131.6,,470,livres,0.28,%,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Fromage,,,1608,,10050,livres,0.16,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,harans blancs,,,85,,5,barrils,17,,,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local,1717,Bordeaux,,NA,NA,Muscade,,,625,,100,livres,6.25,la,livre,,Bordeaux -- 1717 -- Exports&Imports -- AD33_C_4268,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
