Direction\Année,Objets,Objet général,Résumé,Tableau décennal,Tableau des quantités,Tableau des marchandises,Tableau général,National par direction par partenaire,National par direction par partenaire par produit,Colonies,Bayonne,Bordeaux,Bordeaux,Caen,"Grenoble, Lyon, Valence",La Rochelle,La Rochelle,Marseille,Montpellier,Rennes,Rennes,Rouen,,Autres_imports
1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,F_12_1835Angleterre (commere avec l'Angleterre à différentes époques depuis 1783 jusqu'en 1788 inclusivement) F_12_1835_Etats-Unis (Commerce et navigation avec les Etats-Unis 1782-1786)
1785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,"F_12_1835Angleterre (commere avec l'Angleterre à différentes époques depuis 1783 jusqu'en 1788 inclusivement) F_12_1835_Etats-Unis (Commerce et navigation avec les Etats-Unis 1782-1786), F_12_1835_Russie (Commerce avec la Russie en 1785)"
1786,0,0,0,0,0,0,0,0,0,pdf,0,0,0,0,0,0,0,,0,0,0,0,,"F_12_1835Angleterre (commere avec l'Angleterre à différentes époques depuis 1783 jusqu'en 1788 inclusivement),F_12_1835_Colonies (balance du commerce avec les colonies 1786) F_12_1835_Etats-Unis (Commerce et navigation avec les Etats-Unis 1782-1786)"
1787,0,csv pdf,csv pdf,0,0,0,0,0,pdf (imports hors façade Atlantique),pdf,0,0,0,0,0,0,0,,0,0,0,0,,"F_12_1835_1787 (tableau général), F_12_1835Angleterre (commere avec l'Angleterre à différentes époques depuis 1783 jusqu'en 1788 inclusivement)"
1788,0,csv pdf,csv pdf,0,0,0,0,0,0,pdf,0,0,0,0,0,0,0,,0,0,0,0,,"F_12_1835_1788 (tableau général), F_12_1835Angleterre (commere avec l'Angleterre à différentes époques depuis 1783 jusqu'en 1788 inclusivement)"
1789,0,0,csv pdf,0,0,0,0,0,csv pdf,pdf,0,0,0,0,0,0,0,pdf,0,0,0,0,,
1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pdf,0,0,0,0,,
1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,"Extraits des résultats du CE, Résultats du CE 1er semestre, F_12_1675_A_Etats mensuels 1792 (importations des colonies), F_12_1673_Exportations mensuelles 1790 (archive du commerce 1792) "
1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,F_12_1675_B(-)_Archives du commerce 1793 (+ annuel Europe 1777-1793)
1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1796-1797 (an 5),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1797-1798 (an 6),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1798-1799 (an 7),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1799-1800 (an 8),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1800-1801 (an 9),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1801-1802 (an 10),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1802-1803 (an 11),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1803-1804 (an 12),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1804-1805 (an 13),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,F_12_1835_an XII et XIII (extrait du commerce extérieur de la France an XIII et an XIV-1806 et pièce sans date)
1805-1806 (an 14),0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1806,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1807,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1808,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1809,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1810,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1811,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1812,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1813,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1814,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1815,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1816,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1817,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1818,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1819,0,0,csv pdf,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1820,0,0,csv pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1821,0,0,csv pdf,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1822,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1823,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1824,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1825,0,0,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1826,0,0,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1827,0,0,0,pdf,0,0,pdf,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1828,0,0,0,pdf,0,0,pdf,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1829,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1830,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1831,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1832,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1833,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1834,0,0,0,pdf,0,0,Résumé dans pdf 1839,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1835,0,0,0,pdf,0,0,Résumé dans pdf 1839,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1836,0,0,0,pdf,0,0,Résumé dans pdf 1839,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1837,0,0,0,0,0,0,Résumé dans pdf 1839,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1838,0,0,0,0,0,0,Résumé dans pdf 1839,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
1839,0,0,0,0,0,0,pdf,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,
