numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
11,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Coton en laine,Marseille,466,Livres,"2,5",1165,0,
12,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Eau de vie,Petites isles,3424,Velte,6,20544,0,
13,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Eau de vie d'andaye,Bayonne,135,Pinte,2,270,0,
14,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Fayence,Angleterre,,Livres,2,78,78,
15,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Fer en barre,Suède,291848,Livres,"0,2",58370,"0,4",20 livres le quintal
16,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Fer en paquets,Suède,6120,Livres,,1824,,pas de prix
17,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Fer en tole,Suède,335,Livres,"0,4",134,0,40 livres le quintal
18,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Fromage,Hollande,300,Livres,"0,6",180,0,60 livres le quintal
19,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Grains comestibles,Marseille,1818,Livres,"0,3",545,"-0,4",30 livres le quintal
20,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Graine de lin,Dunkerque,24,Sac,80,1920,0,
21,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Habillements divers,Angleterre,,,,170,,
22,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Laine filée,Angleterre,121,Livres,"3,75",453,"-0,75",
23,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Laine non filée,Bayonne,150,Livres,"2,5",375,0,
24,Loïc Charles,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Laine non filée,Angleterre,2165,Livres,"2,5",5412,"-0,5",
25,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Laine en poil,Angleterre,2259,Livres,"1,7",3940,"99,7",
26,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Liège en Planche,Marseille,5500,Livres,"0,09",495,0,9 livres le quintal
27,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,,Marchandises à la valeur,Petites isles,,,,203,,
28,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Marchandises à la valeur,Marseille,,,,120,,
29,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Marbre,Marseille,,,,1540,,
30,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Plomb en saumon,Angleterre,1300,Livres,"0,3",390,0,
31,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Huitres,Angleterre,140000,Livres,"0,01",1400,0,19 sous le quintal
32,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Sel,Petites isles,670200,Livres,"0,01",6702,0,20 sous le quintal
33,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Souffre en canon,Marseille,1042,Livres,"0,2",208,"-0,4",20 livres le quintal
34,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Terrerie,Marseille,,,,348,,
35,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Vin,Espagne,500,Pintes,,250,,
36,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Vinaigre,Petites isles,2604,Pintes,"0,1",246,"-14,4",erreur de calcul
37,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Le Légué et dépendances,3,Ustensiles pour la pêche,Angleterre,,,,520,,
38,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Acier,Hollande,12820,Livres,"0,35",4487,0,35 livres le quintal
39,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Acier,Suède,197420,Livres,"0,35",69097,0,36 livres le quintal
40,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Amandes en coques,Marseille,20999,Livres,"0,5",10499,"-0,5",50 livres le quintal
41,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Amandes cassées,Marseille,887,Livres,"0,6",532,"-0,2",60 livres le quintal
42,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Armes à feu,Hollande,300,Livres,10,3000,0,
43,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Balais de riz,Marseille,536,Nombre,"0,2",107,"-0,2",
44,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bêtes de sommes ; cheveaux,Angleterre,2,Nombre,,192,,
45,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bierre,Hollande,83250,Pintes,,9990,,
46,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois de teinture moulu,Hollande,1355,Livres,"0,2",271,0,20 Livres le quintal
47,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois divers de contruction,Danemark,,,,3987,,
48,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois divers de contruction,Suède,,,,816,,
49,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois divers de contruction,Russie et Courlande,,,,864,,
50,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois en aviron,Angleterre,150,Pièces,"1,5",225,0,
51,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois en aviron,Danemark,228,Pièces,"1,5",342,0,
52,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois de chêne en planches,Les 4 villes anséatiques,1757,Livres,,6811,,
53,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Espagne,88,Livres,,132,,
54,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Hollande,2494,,,3741,,
55,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Danemark,17824,,,36736,,
56,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Suède,28148,,,42222,,
57,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bonneterie de coton,Angleterre,,,,6692,,
58,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bonneterie de laine,Angleterre,,,,116736,,
59,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Bray sec,Angleterre,27300,Livres,"0,1",2730,0,
60,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Goudron,Suède,350100,Livres,"0,0666667",23340,0,
61,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cauris,L'Orient,72300,Livres,1,72300,0,
62,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cauris,Hollande,25020,Livres,1,25020,0,
63,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Caves garnies en flacons,Hollande,3700,Nombre,4,14800,0,
64,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Chairs salées,Hollande,458,Livres,"0,7",321,"0,4",
65,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Viande fumée,Suède,500,Livres,"0,3",150,0,30 livres le quintal
66,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Chanvre,Hollande,16000,Livres,"0,4",6400,0,40 livres le quintal
67,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Chanvre,Etats du roi,144754,Livres,"0,4",57902,"0,4",40 livres le quintal
68,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Chanvre,Russie et Courlande,176100,Livres,"0,4",70440,0,40 livres le quintal
69,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Charbon de terre,Angleterre,498000,Livres,,9960,,
70,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cordages,Espagne,4500,Livres,"0,35",1575,0,35 livres le quintal
71,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Coton en laine,Marseille,23017,Livres,"1,3",29922,"-0,1",130 livres le quintal
72,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Coton filé,Marseille,972,Livres,5,4860,0,
73,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Couteaux flamand,Hollande,300,Douzaines,"2,5",750,0,
74,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Couvertures de laine,Angleterre,,,,262,,
75,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cuivre en pain,Angleterre,520,Livres,1,520,0,
76,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cuivre en bassin,Hollande,525,Livres,"1,5",787,"-0,5",
77,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cuivre en fond,Hollande,450,Livres,"1,4",630,0,
78,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cuivre en chaudron,Hollande,2109,Livres,"1,5",3163,"-0,5",
79,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Cuivre en feuille,Angleterre,31139,Livres,1,31139,0,
80,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Draperie en laine,Angleterre,,,,13215,,
81,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Drogues diverse pour la médecine,Marseille,,,,619,,
82,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Drogues de réglisse,Marseille,1420,Livres,1,1420,0,
83,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Drogues de réglisse,Marseille,743,Livres,"2,25",1672,"0,25",
84,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,5,Drogues pour la peinture et la teinture gome arabique,Marseille,197,Livres,,591,,
85,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Alun,Marseille,581,Livres,"0,3",174,"-0,3",30 livres le quintal
86,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Alun,Hollande,2855,Livres,"0,3",856,"-0,5",30 livres le quintal
87,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Alun,Suède,2400,Livres,"0,3",720,0,30 livres le quintal
88,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Céruse,Hollande,3561,Livres,"0,45",1602,"-0,45",45 livres le quintal
89,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Noix de galle,Marseille,355,Livres,"1,5",532,"-0,5",
90,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Sumach,Marseille,2532,Livres,"0,2",506,"-0,4",20 livres le quintal
91,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Térébenthine,L'Orient,9300,Livres,,1240,,
92,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Vert de gris,Marseille,114,Livres,"1,5",171,0,
93,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de Balaru,Marseille,216,Flacons,,492,,
94,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de fleur d'orange,Marseille,103,Bouteilles,,257,,
95,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de vertu,Marseille,420,Fioles,,315,,
96,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de spa,Hollande,100,Bouteilles,,200,,
97,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de vie simple,Petites isles,"6668,25",Velte,"4,5",30007,"-0,13",
98,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de vie simple,Marseille,"5512,5",Velte,"4,5",24835,"28,75",
99,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Eau de vie simple,Hollande,100,Bouteilles,"4,5",200,-250,
100,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National toutes directions partenaires manquants,Imports,1789,Saint-Malo,Saint-Malo,6,Epicerie (girofle),Hollande,20,Livres,12,240,0,
