numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
17,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fer blanc,Lorraine,40250,Livres,"0,6",24150,0,
18,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fer martinet,Lorraine,1200,Livres,"0,2",240,0,
19,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fer en barres,Lorraine,2120,Livres,"0,2",424,0,
20,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fer de fonte en plaques,Lorraine,1000,Livres,"0,15",150,0,
21,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fourage en foin,Lorraine,2,Chariots,60,120,0,
22,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fromage,Lorraine,746,Livres,"0,5",373,0,
23,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Fruits secs pruneaux,Lorraine,1605,Livres,"0,25",401,"-0,25",
24,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musiques ; basses,Lorraine,38,Nombre,20,760,0,
25,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musiques ; Guittard,Lorraine,68,Nombre,18,1224,0,
26,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musique ; ?,Lorraine,3158,Nombre,"1,2",3788,"-1,6",
27,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musique ; Violons gros,Lorraine,5049,Nombre,6,30294,0,
28,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musique ; Violons petites,Lorraine,606,Nombre,3,1818,0,
29,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musique ; serinette,Lorraine,737,Nombre,12,8844,0,
30,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Instruments de musique ; vieles,Lorraine,14,Nombre,2,280,252,Erreur de calcul
31,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Linge vieux,Lorraine,,,,622,0,
32,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Liqueurs,Lorraine,170,Bouteilles,1,170,0,
33,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Marchandises à la valeur,Lorraine,306,Livres,2,612,0,
34,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Meubles en tete de rennes,Lorraine,3,Nombre,,100,,
35,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Meubles divers,Lorraine,,,,254,0,
36,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Meules,Lorraine,43,Nombre,"4,5",193,"-0,5",
37,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en boutons,Lorraine,3847,Livres,"0,12",462,"0,36",
38,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en boïtes de sapin,Lorraine,29900,Nombre,"0,25",7475,0,
39,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en pelles à main,Lorraine,17325,Nombre,"0,15",2598,"-0,75",15 livres le quintal
40,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en rouets à filer,Lorraine,323,Nombre,1,323,0,
41,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en pailles,Lorraine,88,Douzaines,"3,6",307,"-9,8",Erreur de calcul
42,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en atelier de coluses,Lorraine,,,,5550,0,
43,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; en sabots,Lorraine,2173,Grosses,24,52152,0,
44,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages de bois ; boïtes à ?,Lorraine,70,Nombre,3,210,0,
45,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrages ; de luthier en archets violon,Lorraine,,,,472,0,
46,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrage ; de terre cuite en thuiles,Lorraine,37100,Nombre,"0,12",452,-4000,Erreur de calcul; 12 livres le quintal
47,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Ouvrage ; de tonnelier en futaille,Lorraine,75,Nombre,2,150,0,
48,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Peaux de chevreuil,Lorraine,3,Douzaines,30,90,0,
49,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Pierres à bâtir,Lorraine,19000,Nombre,"0,0125",237,"-0,5",25 livres le cent
50,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Poterie ,Lorraine,717,Douzaines,2,1434,0,
51,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Quincaillerie de fer en fil,Lorraine,7200,Livres,"0,4",2880,0,
52,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Quincaillerie de fer et acier en faulx,Lorraine,570,Livres,,855,,Pas de prix unitaire
53,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Verre en bouteilles,Lorraine,1800,Bouteilles,"0,25",450,0,
54,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Verre en bouteilles,Lorraine,1400,Demi bouteilles,"0,125",175,0,
55,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Verre blanc en assortiment ,Lorraine,29302,Livres,"0,3",8790,"-0,6",30 livres le quintal
56,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Bourbonne,2,Verre à vitre,Lorraine,1150,Livres,1,1150,0,
57,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Bestiaux ; en bœuf,Lorraine,43,Nombre,150,6450,0,
58,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Bestiaux ; en porcs et porcelets,Lorraine,52,Nombre,20,1040,0,
59,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Bestiaux ; en vaches,Lorraine,29,Nombre,70,2030,0,
60,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Bêtes de somme en cheval,Lorraine,1,Nombre,150,150,0,
61,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Bois ouvré,Lorraine,,,,1149,0,
62,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Bois en planches de chene,Lorraine,2165,Nombre,"0,75",1623,"-0,75",
63,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Chanvre brut,Lorraine,950,Livres,"0,45",665,"237,5",Erreur de calcul
64,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Chanvre apprêté,Lorraine,1791,Livres,"0,75",1343,"-0,25",
65,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Charbon de bois,Lorraine,510,charrette,,951,,Pas de prix unitaire
66,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Cuivre divers,Lorraine,508,Livres,,524,,Pas de prix unitaire
67,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Etain,Lorraine,660,Livres,"0,75",495,0,
68,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Fayence,Lorraine,2298,Livres,"0,3",689,"-0,4",
69,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Fil divers,Lorraine,186,Livres,,332,,pas de prix unitaire
70,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Habillements ,Lorraine,300,Livres,,1200,,pas de prix unitaire
71,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Instruments de musique ; violon,Lorraine,29,Nombre,4,116,0,
72,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Laine filée,Lorraine,30,Livres,4,120,0,
73,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Mercerie divers,Lorraine,"7520,5",Livres,2,15041,0,
74,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Marchandises à la valeur,Lorraine,,,,915,0,
75,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Meubles,Lorraine,,,,310,0,
76,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Meulardeaux,Lorraine,20,Nombre,6,120,0,
77,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Ouvrages de bois divers,Lorraine,,,,48,0,
78,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Ouvrages de platres ,Lorraine,,,,141,0,
79,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Chaumont,4,Rocaille de verre,Lorraine,149,Livres,"1,5",223,"-0,5",
80,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Acier,Lorraine,2492,Livres,"0,4",996,"-0,8",
81,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bestiaux ; en bœuf gras,Lorraine,186,Nombre,200,37200,0,
82,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bestiaux ; en vaches,Lorraine,9,Nombre,66,594,0,
83,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bêtes de somme en chevaux,Hollande,22,Nombre,400,8800,0,
84,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bêtes de somme en chevaux,Etats du roi de Prusse,56,Nombre,400,22400,0,
85,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bois en planches de sapin,Lorraine,811,Nombre,"0,9",730,"0,1",
86,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bois divers,Lorraine,,,,2155,0,
87,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bonneterie en bas de fil,Lorraine,42,Paires,"2,5",105,0,
88,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bonneterie en bas de fil,Lorraine,56,Livres,3,168,0,
89,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bray en soix blanche et noire,Lorraine,3155,Livres,"0,2",630,-1,
90,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Bray en soix blanche et noire,Les 4 villes anséatiques,3460,Livres,"0,2",692,0,
91,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Chanvre apprêté,Lorraine,162160,Livres,"0,5",81080,0,
92,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Chanvre apprêté,Lorraine,21600,Livres,"0,6",12960,0,
93,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Charbon de bois,Lorraine,243,Charetés,20,4860,0,
94,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Cire en branche,Lorraine,,,,323,0,
95,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Drogues medicinales boules d'acier,Lorraine,,,,221,0,
96,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Drogres pour peinture et teinture en alun,Etats de l'empereur et en Allemagne et Flandre,3500,Livres,"0,4",1400,0,40 livres le quintal
97,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Drogres pour peinture et teinture en garance,Alsace,1725,Livres,"0,4",690,0,
98,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Drogres pour peinture et teinture en noir à noircir,Les 4 villes anséatiques,5000,Livres,"0,1",500,0,10 livres le quintal
99,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Drogues pour peinture et teinture en noir à noircir,Etats de l'empereur et en Allemagne et Flandre,5000,Livres,"0,1",500,0,10 livres le quintal
100,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Etain rouge,Lorraine,5980,Livres,"0,6",3588,0,
101,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Fayence,3 évéchés,43010,Livres,"0,4",17204,0,
102,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Fayence,Lorraine,12560,Livres,"0,4",5024,0,
103,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Fil de chanvre ecru,Lorraine,5765,Livres,1,5765,0,
104,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Fil de chanvre riz,Lorraine,3895,Livres,"0,6",2336,-1,
105,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Fil blanc retord,Lorraine,80,Livres,8,640,0,
106,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National toutes directions partenaires manquants,Imports,1789,Langres,Langres,6,Fil d'étoupe,Lorraine,2545,Livres,"0,6",1908,381,Erreur de calcul
