numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,sheet,marchandises,pays,quantit,quantity_unit,value,remarks
33,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Mouchoir de fil de lin,La Hollande,36,Nombre ,180,Pas de prix unitaire
34,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Ouvrages de cristal,La Hollande,300,Livres,1500,Pas de prix unitaire
35,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Ouvrages de cristal,L'Allemagne et la Pologne,100,Livres,500,Pas de prix unitaire
36,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Ouvrages de sellerie ,L'Angleterre,,,3600,Pas de prix unitaire
37,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Patte d'Italie vermichel,"Naples, Sicile et Parme",360,Livres,216,Pas de prix unitaire
38,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Peaux de maroquin,Etats de Barbarie,34,Douzaines,1020,Pas de prix unitaire
39,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Pelterie appretée,L'Allemagne et la Pologne,18,Livres,108,Pas de prix unitaire
40,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Pelterie appretée,La Russie et Courlande,25,Livres,150,Pas de prix unitaire
41,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Quicaillerie,L'Angleterre,,,2000,Pas de prix unitaire
42,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Porcelaine,La Hollande,350,Livres,2100,Pas de prix unitaire
43,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Porcelaine,"La Suisse, les alliés et Genève",250,Livres,1500,Pas de prix unitaire
44,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Porcelaine,Etats du roi de Prusse,25,Livres,150,Pas de prix unitaire
45,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Tabac d'Espagne,L'Espagne et les Etats en dépendances,98,Livres,1470,Pas de prix unitaire
46,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,4,Tableaux,La Hollande,200,Livres,1000,Pas de prix unitaire
47,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Toiles de coton mousseline,La Hollande,469,Aunes,2130,Pas de prix unitaire
48,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Toile de coton,La Hollande,20,Pièces,180,Pas de prix unitaire
49,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Toile de lin,La Hollande,372,Aunes,2170,Pas de prix unitaire
50,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Toile de lin,"Les Etats de l'empereur, en Allemagne et Flandre",144,Aunes,576,Pas de prix unitaire
51,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Verre a boire en cristal,L'Allemagne et la Pologne,54,Livres,270,Pas de prix unitaire
52,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Vin de liqueur divers,L'Espagne et les Etats en dépendances,144,Bouteilles,432,Pas de prix unitaire
53,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Vin de liqueur divers,Etats du roi de Sardaigne,288,Bouteilles,864,Pas de prix unitaire
54,Laura Moutou,AN F12 1667,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 – Imports – Passeports.csv,National toutes directions partenaires manquants,Imports,1789,Passeport du roy,5,Vin de liqueur divers,L'Angleterre,95,Bouteilles,285,Pas de prix unitaire
