numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,value,Valeur (Prix unitaire ,problem,remarks,Unverified
84,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Orge,Espagne,36000,livres,,1,,"0,05",,,,,1800,,,
85,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Papier blanc,Espagne,10,rames,3,10,,"3,5",,,,,35,,,
86,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Papier peint,Espagne,2709,livres,,40,,2,,,,,5418,,,
87,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Peaux de moutons aprêtés,Espagne,648,peaux,,11,,"0,55",,,,,"356,4",,,
88,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Peaux de veau corroyées,Espagne,199,douzaines,28,,,28,,,,,5572,,,
89,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Pierres à fusil,Espagne,350000,en nombre,,30,,"1,5",,,,,525000,,,
90,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Pierre ponce,Espagne,500,livres,,4,,"0,2",,,,,100,,,
91,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Pois,Espagne,14000,livres,,1,,"0,05",,,,,700,,,
92,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Poudre à poudrer,Espagne,761,livres,,5,,"0,25",,,,,"190,25",,,
93,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Quincaille,Espagne,29970,livres,,20,,1,,,,,29970,,,
94,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Rubans de soie,Espagne,5,livres,60,,,60,,,,,300,,,
95,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Savon,Espagne,15040,livres,,8,,"0,4",,,,,6016,,,
96,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Seringues,Espagne,73,en nombre,3,10,,"3,5",,,,,"255,5",,,
97,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Sirop de capillaire,Espagne,300,livres,,4,,"0,2",,,,,60,,,
98,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Sirop mélasse,Espagne,16000,livres,"0,09",,,"0,09",,,,,1440,,,
99,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Souliers,Espagne,16,paires,3,,,3,,,,,48,,,
100,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Sphères,Espagne,2,en nombre,5,,,5,,,,,10,,,
101,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Sucre brun,Espagne,99100,livres,,4,,"0,2",,,,,19820,,,
102,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Sucre en pain,Espagne,300,livres,,12,,"0,6",,,,,180,,,
103,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Sucre terré,Espagne,1097190,livres,,7,,"0,35",,,,,"384016,5",,,
104,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Toile de Bretagne,Espagne,403998,livres,3,,,3,,,,,1211994,,,
105,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Vin de Champagne,Espagne,288,bouteilles,,40,,2,,,,,576,,,
106,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Vin nantais,Espagne,90,tonneaux,120,,,120,,,,,10800,,,
107,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Vinaigre,Espagne,2,tonneaux,100,,,100,,,,,200,,,
108,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Vinaigre,Espagne,83,quarts,13,,,13,,,,,1079,,,
109,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,4,Vinaigre,Espagne,14,barils,13,,,13,,,,,182,,,
110,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Bois de Campêche,Flandre autrichienne,200,livres,,2,,"0,1",,,,,20,,,
111,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Bois des Iles,Flandre autrichienne,1500,livres,,2,,"0,1",,,,,150,,,
112,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Cacao,Flandre autrichienne,6775,livres,,10,,"0,5",,,,,"3387,5",,,
113,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Café des Iles,Flandre autrichienne,267656,livres,,12,,"0,6",,,,,"160593,6",,,
114,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Châtaignes,Flandre autrichienne,3025,boisseaux,,12,,"0,6",,,,,1815,,,
115,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Confitures,Flandre autrichienne,911,livres,,11,,"0,55",,,,,"501,05",,,
116,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Coton en laine,Flandre autrichienne,22847,livres,"1,4",,,"1,4",,,,,"31985,8",,,
117,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Eau de vie,Flandre autrichienne,19287,veltes,4,,,4,,,,,77148,,,
118,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Graine de genièvre,Flandre autrichienne,510,livres,,3,,"0,15",,,,,"76,5",,,
119,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Huile d'olive,Flandre autrichienne,2600,livres,,12,,"0,6",,,,,1560,,,
120,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Indigo,Flandre autrichienne,1052,livres,4,10,,"4,5",,,,,4734,,,
121,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Marchandises mêlées,Flandre autrichienne,,,,,,0,65,,,65,0,,Valeur totale,
122,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Miel,Flandre autrichienne,65396,livres,,3,,"0,15",,,,,"9809,4",,,
123,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Peaux de lièvre,Flandre autrichienne,250,livres,,12,,"0,6",,,,,150,,,
124,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Plumes à lit,Flandre autrichienne,120,livres,,20,,1,,,,,120,,,
125,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Prunes,Flandre autrichienne,490,livres,,8,,"0,4",,,,,196,,,
126,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Pruneaux,Flandre autrichienne,25100,livres,,2,,"0,1",,,,,2510,,,
127,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Sel ammoniac,Flandre autrichienne,25,livres,,55,,"2,75",,,,,"68,75",,,
128,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Sirop mélasse,Flandre autrichienne,931640,livres,"0,09",,,"0,09",,,,,"83847,6",,,
129,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Sucre brun,Flandre autrichienne,1214625,livres,,4,,"0,2",,,,,242925,,,
130,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Sucre terré,Flandre autrichienne,1096720,livres,,7,,"0,35",,,,,383852,,,
131,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Thé,Flandre autrichienne,655,livres,,42,,"2,1",,,,,"1375,5",,,
132,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Vin d'amont,Flandre autrichienne,"1883,5",tonneaux,140,,,140,,,,,263690,,,
133,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Vin nantais,Flandre autrichienne,"1519,13",tonneaux,120,,,120,,,,,182295,,,
134,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Vinaigre,Flandre autrichienne,1,tonneaux,100,,,100,,,,,100,,,
135,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Vinaigre,Flandre autrichienne,28,quarts,13,,,13,,,,,364,,,
136,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Ardoises,Hollande,2,milliers,12,,,12,,,,,24,,,
137,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Argenterie,Hollande,"49,25",marcs,57,,,57,,,,,"2807,25",,,
138,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Bois d'acajou,Hollande,213,madriers,40,,,40,,,,,8520,,,
139,Matthias Loise,AD 44 C 717,Local/Nantes/Nantes - Exports – 1766.csv,Local,1766,Exports,Nantes,5,Bois de Gaillac,Hollande,79030,livres,,,9,"0,0375",,,,,"2963,63",,,
