numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccounts
20,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Mouchoirs des Indes,Angleterre,"15,00",Pièce,"20,000","300,00","0,00",,
21,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Mouchoirs de Rouen,Angleterre,"23,00",Pièce,"10,000","230,00","0,00",,
22,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Mousseline ,Angleterre,"1,00",Pièce,"60,000","60,00","0,00",,
23,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,1,Mercerie,Angleterre,,Valeur,"0,000","360,00","-360,00",,
24,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Meubles,Angleterre,,Valeur,"0,000","165,00","-165,00",,
25,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Noix,Angleterre,"250,00",Millier,"1,500","375,00","0,00",,
26,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Pekin uni,Angleterre,"24,00",Pièce,"50,000","1 200,00","0,00",,
27,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Papier a écrire,Angleterre,"7,00",Rame,"3,000","21,00","0,00",,
28,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Papier a écrire,Angleterre,"12000,00",Livre,"2,500","42 000,00","-12 000,00",erreur de calcul,
29,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Plume a lit,Angleterre,"150,00",Livre,"0,400","60,00","0,00",,
30,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Porcelaine des Indes,Angleterre,"78,00",Livre,"5,000","390,00","0,00",,
31,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Poudre a poudrer,Angleterre,"50,00",Livre,"0,200","10,00","0,00",,
32,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Rocou,Angleterre,"400,00",Livre,"0,350","120,00","20,00",erreur de calcul,
33,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Raisine,Angleterre,"10000,00",Livre,"0,070","700,00","0,00",Prix unitaire en millier,
34,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sels du croisic,Angleterre,"827,00",Muid,"44,000","36 388,00","0,00",,
35,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sels du croisic,Angleterre,"180,00",Muid,"40,000","7 200,00","0,00",,
36,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sels du croisic,Angleterre,"160,00",Muid,"30,000","4 800,00","0,00",,
37,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sels du croisic,Angleterre,"443,00",Muid,"24,000","10 628,00","4,00",erreur de calcul,
38,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sucre en pain,Angleterre,"1225,00",Livre,"0,450","551,00","0,25",Prix unitaire en pourcentage,
39,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sucre terré,Angleterre,"2175,00",Livre,"0,260","565,50","0,00",Prix unitaire en pourcentage/ erreur prix indiqué,
40,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Sirop de sucre,Angleterre,"8900,00",Livre,"0,050","445,00","0,00",Prix unitaire en pourcentage,
41,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Salemporis,Angleterre,"13,00",Pièce,"15,000","195,00","0,00",,
42,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Soyerie,Angleterre,"37,00",Livre,"40,000","1 480,00","0,00",,
43,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Savon,Angleterre,"100,00",Livre,"0,300","30,00","0,00",Prix unitaire en pourcentage,
44,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Thé imperial,Angleterre,"3000,00",Livre,"2,000","6 000,00","0,00",,
45,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Thé divers,Angleterre,"90800,00",Livre,"2,250","204 300,00","0,00",,
46,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Toile batiste,Angleterre,"3,00",Pièce,"35,000","105,00","0,00",,
47,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Toile batiste,Angleterre,"8,00",Livre,"32,000","256,00","0,00",,
48,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Toile d'hollande,Angleterre,"1,00",Pièce,"100,000","100,00","0,00",,
49,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Toile de Bretagne,Angleterre,"2180,00",Livre,"4,000","8 720,00","0,00",,
50,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Toile a voile,Angleterre,"7,00",Pièce,"60,000","420,00","0,00",,
51,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Toile cirée,Angleterre,"25,00",Livre,"0,600","15,00","0,00",,
52,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Vin de Bourgogne,Angleterre,"1,00",Barique,"120,000","120,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
53,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Vin de Bordeaux,Angleterre,"6,00",Tonneau,"150,000","900,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
54,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Vin d'amont,Angleterre,"28,00",Tonneau,"160,000","4 480,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
55,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Vin nantois,Angleterre,"32,00",Tonneau,"70,000","2 240,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
56,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,2,Vinaigre,Angleterre,"17,00",Tonneau,"50,000","850,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
57,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Bafetas,Flandre Imperiallle,"41,00",Pièce,"7,000","287,00","0,00",,
58,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Catlas,Flandre Imperiallle,"1041,00",Pièce,"4,000","4 164,00","0,00",,
59,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Coupis,Flandre Imperiallle,"100,00",Pièce,"8,000","800,00","0,00",,
60,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Cartes a jouer,Flandre Imperiallle,"52,00",Livre,"1,000","52,00","0,00",,
61,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Cuirs secs en poil,Flandre Imperiallle,"664,00",Nombre,"5,000","3 320,00","0,00",,
62,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Coton en laine,Flandre Imperiallle,"17156,00",Livre,"0,850","13 582,00","1 000,60",erreur de calcul,
63,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Compotier de porcelaine,Flandre Imperiallle,"920,00",Nombre,"1,000","920,00","0,00",,
64,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Cabarets vernis,Flandre Imperiallle,"72,00",Nombre,"1,000","72,00","0,00",,
65,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Confitures,Flandre Imperiallle,"80,00",Livre,"1,000","80,00","0,00",,
66,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Caffé de moka,Flandre Imperiallle,"4290,00",Livre,"2,000","8 580,00","0,00",,
67,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Caffé de Bourbon,Flandre Imperiallle,"7825,00",Livre,"1,600","12 520,00","0,00",,
68,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Chataignes,Flandre Imperiallle,"1190,00",Boisseau,"0,600","714,00","0,00",,
69,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Eau de vie,Flandre Imperiallle,"2500,00",Barique,"60,000","150 000,00","0,00",Droits à 3 livres et 5 sous par barique,
70,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Elatchas,Flandre Imperiallle,"100,00",Pièce,"8,000","800,00","0,00",,
71,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Fottes,Flandre Imperiallle,"640,00",Pièce,"0,000","3 000,00","-3 000,00",Pas de prix unitaire indiqué,
72,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Fruit cuit,Flandre Imperiallle,"200,00",Livre,"0,500","100,00","0,00",,
73,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Fayence,Flandre Imperiallle,"10,00",Douzaine,"3,000","30,00","0,00",,
74,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Gingembre,Flandre Imperiallle,"3700,00",Livre,"0,200","740,00","0,00",Prix unitaire en pourcentage,
75,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Gourgouran,Flandre Imperiallle,"314,00",Pièce,"70,000","21 980,00","0,00",Erreur prix total,
76,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Guinee bleüe,Flandre Imperiallle,"660,00",Pièce,"15,000","9 900,00","0,00",,
77,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Huile d'olive,Flandre Imperiallle,"100,00",Livre,"0,800","80,00","0,00",,
78,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Indienne,Flandre Imperiallle,"77,00",Pièce,"25,000","2 695,00","-770,00",erreur de calcul,
79,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Limeneas,Flandre Imperiallle,"300,00",Pièce,"0,750","225,00","0,00",,
80,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Liege,Flandre Imperiallle,"200,00",Livre,"0,000","200,00","-200,00",Pas de prix unitaire indiqué,
81,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Mouchoirs des Indes,Flandre Imperiallle,"100,00",Pièce,"20,000","2 000,00","0,00",,
82,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Nelis,Flandre Imperiallle,"176,00",Pièce,"20,000","3 520,00","0,00",,
83,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Neganepeaux,Flandre Imperiallle,"80,00",Pièce,"0,000","600,00","-600,00",Pas de prix unitaire indiqué,
84,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Pinasse,Flandre Imperiallle,"70,00",Pièce,"0,000","500,00","-500,00",Pas de prix unitaire indiqué,
85,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Porcelaine des Indes,Flandre Imperiallle,"60,00",Livre,"5,000","300,00","0,00",,
86,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Plume a lit,Flandre Imperiallle,"100,00",Livre,"0,400","40,00","0,00",,
87,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Papier a écrire,Flandre Imperiallle,"250,00",Livre,"0,150","37,00","0,50",,
88,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Pruneaux de Ste Catherine,Flandre Imperiallle,"2100,00",Livre,"0,500","1 050,00","0,00",,
89,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Pruneaux d'amont,Flandre Imperiallle,"2250,00",Livre,"0,400","900,00","0,00",,
90,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,3,Rocou,Flandre Imperiallle,"225,00",Livre,"0,400","90,00","0,00",,
91,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sel de Bourneuf,Flandre Imperiallle,"136,00",Charge,"42,000","5 712,00","0,00",,
92,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sel de Bourneuf,Flandre Imperiallle,"20,00",Charge,"32,000","640,00","0,00",,
93,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Safran,Flandre Imperiallle,"373,00",Livre,"30,000","11 190,00","0,00",,
94,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sucre en pain blanc,Flandre Imperiallle,"11000,00",Livre,"0,450","4 950,00","0,00",Prix unitaire en pourcentage,
95,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sucre terré,Flandre Imperiallle,"59200,00",Livre,"0,260","13 572,00","1 820,00",Prix unitaire en pourcentage / erreur de calcul,
96,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sucre teste de forme,Flandre Imperiallle,"27800,00",Livre,"0,188","5 292,00","-79,50",Prix unitaire en pourcentage / erreur de calcul,
97,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sucre brut,Flandre Imperiallle,"556900,00",Livre,"0,138","20 883,00","55 690,75",Prix unitaire en pourcentage / erreur de calcul,
98,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sirop de sucre,Flandre Imperiallle,"542500,00",Livre,"0,045","24 462,00","-49,50",Prix unitaire en pourcentage / erreur de calcul,
99,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Soucy,Flandre Imperiallle,"250,00",Pièce,"30,000","7 500,00","0,00",,
100,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Sanas,Flandre Imperiallle,"50,00",Pièce,"18,000","900,00","0,00",,
101,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Soye mankin,Flandre Imperiallle,"30600,00",Livre,"15,000","459 600,00","-600,00",erreur de calcul,
102,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Soye tanis,Flandre Imperiallle,"1700,00",Livre,"9,000","15 300,00","0,00",,
103,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Soyerie,Flandre Imperiallle,"6,00",Livre,"40,000","240,00","0,00",,
104,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Thé soachaon,Flandre Imperiallle,"2200,00",Livre,"5,000","11 000,00","0,00",,
105,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Thé divers,Flandre Imperiallle,"32100,00",Livre,"2,500","80 250,00","0,00",,
106,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Toile de cotton des Indes,Flandre Imperiallle,"1076,00",Pièce,"18,000","19 308,00","60,00",erreur de calcul,
107,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Toile de Bretagne,Flandre Imperiallle,"665,00",Livre,"4,000","2 660,00","0,00",,
108,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Vin de Bordeaux,Flandre Imperiallle,"2,00",Tonneau,"160,000","320,00","0,00",,
109,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Vin d'amont,Flandre Imperiallle,"2010,00",Tonneau,"170,000","341 700,00","0,00",,
110,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Vin nantois,Flandre Imperiallle,"1208,00",Tonneau,"60,000","72 480,00","0,00",,
111,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Alibanis,Hollande,"2792,00",Pièce,"0,000","12 000,00","-12 000,00",Pas de prix unitaire indiqué,
112,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Armoisin,Hollande,"302,00",Pièce,"32,000","9 664,00","0,00",,
113,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Amidon,Hollande,"125,00",Livre,"0,160","20,00","0,00",Prix unitaire ne pourcentage,
114,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Arbrisseaux,Hollande,,,"0,000","26,00","-26,00",,
115,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Biere,Hollande,"2,00",Barique,"18,000","36,00","0,00",,
116,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bafetas blanc,Hollande,"2954,00",Pièce,"10,000","29 540,00","0,00",,
117,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bafetas bleu,Hollande,"1790,00",Pièce,"7,000","12 530,00","0,00",,
118,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bajutapau,Hollande,"1318,00",Pièce,"0,000","26 360,00","-26 360,00",Pas de prix unitaire indiqué,
119,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Branle ,Hollande,"46,00",Pièce,"0,000","920,00","-920,00",Pas de prix unitaire indiqué,
120,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Borax,Hollande,"580,00",Livre,"0,000","11 600,00","-11 600,00",Pas de prix unitaire indiqué,
121,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bois rouge,Hollande,"592250,00",Livre,"0,180","106 605,00","0,00",Prix unitaire en pourcentage,
122,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bois de fauteuil,Hollande,"21,00",Nombre,"0,000","42,00","-42,00",Pas de prix unitaire indiqué,
123,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bled froment,Hollande,"160,00",Tonneau,"110,000","17 600,00","0,00",,
124,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Bled seigle,Hollande,"100,00",Tonneau,"65,000","6 500,00","0,00",,
125,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,4,Cacao,Hollande,"700,00",Livre,"2,000","1 400,00","0,00",Erreur prix total,
126,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Caffé de Moka,Hollande,"36050,00",Livre,"2,000","72 100,00","0,00",,
127,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Caffé de la Martinique,Hollande,"28765,00",Livre,"1,150","29 829,00","3 250,75",erreur de calcul,
128,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Caffé de Bourbon,Hollande,"157700,00",Livre,"1,650","260 005,00","200,00",erreur de calcul,
129,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Chataignes,Hollande,"1075,00",Boisseau,"0,400","430,00","0,00",,
130,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports - 1734.csv,Local,1734,Exports,Nantes,5,Citrons confits,Hollande,"4100,00",Livre,"0,800","3 280,00","0,00",,
