numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,remarks
103,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Gans,Nantes,Suède,"51,00",Douzaines,"9,000",
104,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Indigo,Nantes,Suède,"300,00",Livres,"6,500",
105,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Pruneaux,Nantes,Suède,"43500,00",Livres,"0,100",
106,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Sel,Nantes,Suède,"698,00",Muids,"26,000",
107,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Sirop melasse,Nantes,Suède,"27194,00",Livres,"0,120",Prix unitaire en pourcentage
108,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Sucre terré,Nantes,Suède,"2000,00",Livres,"0,500",Prix unitaire en pourcentage
109,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Taffetas,Nantes,Suède,"6,00",Aunes,"5,000",
110,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Thé,Nantes,Suède,"22926,00",Livres,"2,250",
111,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Toile,Nantes,Suède,"162,00",Livres,"1,750",
112,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Vin d'Amont,Nantes,Suède,"83,00",Tonneaux,"230,000",
113,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Vin de Bordeaux,Nantes,Suède,"2,00",Tonneaux,"300,000",
114,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Vin nantois,Nantes,Suède,"429,00",Tonneaux,"90,000",
115,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Vin nantois,Nantes,Suède,"19,00",Bariques,"22,500",
116,Anthony Rebours,AD 44 C716 n°34,Local/Nantes/Nantes - Exports – 1759.csv,Local,6,1759,Exports,Vinaigre,Nantes,Suède,"37,00",Bariques,"20,000",
