numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,prix_unitaire
29,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Cauris,Hollande,0,5241,Livres,,"0,75"
30,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Chataignes,Hollande,0,1346,Boisseaux,,"0,6"
31,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Citrons confits,Hollande,0,200,Livres,,"0,6"
32,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Confitures,Hollande,0,50,Livres,,"0,6"
33,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Cotton en laine,Hollande,0,25332,Livres,,"1,5"
34,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Cuirs secs en poils,Hollande,0,8124,En nombre,,"5,5"
35,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Damas divers,Hollande,0,275,PIèces,il est indiqué 8 Livres l'aune,0
36,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Eau de vie,Hollande,0,105642,Veltes,80 livres les 27 veltes,"2,963"
37,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Fruits cuits,Hollande,0,935,Livres,,"0,25"
38,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Garas blanc,Hollande,0,1280,Pièces,,14
39,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Garas bleu,Hollande,0,254,Pièces,,13
40,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Gingembre confit,Hollande,0,1580,Livres,,"0,6"
41,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Gomme du senegal,Hollande,0,15200,Livres,,"0,4"
42,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Gourgouran,Hollande,0,213,Pièces,,80
43,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Guinée blanche,Hollande,0,30,Pièces,,44
44,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Guinée bleue,Hollande,0,120,Pièces,,18
45,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Guingas,Hollande,0,200,Pièces,,8
46,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Huille d'olive,Hollande,0,530,Livres,,"0,6"
47,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Jamavart,Hollande,0,52,Pièces,,60
48,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Indienne,Hollande,0,130,Pièces,,17
49,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Indigo,Hollande,0,102971,Livres,,"3,5"
50,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Lampas,Hollande,0,25,Pièces,doute prix unitaire en partie effacé,76
51,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,2,Limeneas,Hollande,0,160,Pièces,,18
52,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Madriers de noier,Hollande,0,232,En nombre,,15
53,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Miel,Hollande,0,27850,Livres,,"0,15"
54,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Mouchoirs de bengalle,Hollande,0,100,Pièces,,10
55,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Mouchoirs mazulipatan,Hollande,0,97,Pièces,,24
56,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Mouchoirs de ponlichery,Hollande,0,412,PIèces,,17
57,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Ocre,Hollande,0,1165,Bariques,,20
58,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Ocre,Hollande,0,200,Barils,,10
59,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Orge,Hollande,0,505,Tonneaux,,50
60,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Satissoye,Hollande,0,116,Pièces,,80
61,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Peaux de mouton passées,Hollande,0,1800,Pièces,,1
62,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Peaux de veau corroyées,Hollande,0,8100,Pièces,,"2,5"
63,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Pekins unis,Hollande,0,147,Pièces,,75
64,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Pruneaux d'amont,Hollande,0,42950,Livres,,"0,2"
65,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Pruneaux communs,Hollande,0,27500,Livres,,"0,125"
66,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Pruneaux de sainte catherine,Hollande,0,1600,Livres,,"0,225"
67,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Rats de maroc,Hollande,0,1450,Aunes,,"2,25"
68,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Ris,Hollande,0,415331,Livres,,"0,125"
69,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Salemporis blanc,Hollande,0,160,PIèces,,18
70,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Satins rayés et unis,Hollande,0,168,Pièces,il est indiqué 4 Livres l'aune,0
71,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Savon,Hollande,0,1880,Livres,,"0,44"
72,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,316,Charges,,33
73,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,568,Charges,,30
74,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,183,Charges,,"27,5"
75,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,725,Charges,,25
76,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,425,Charges,,23
77,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,49,Charges,,"22,5"
78,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Bourgneuf,Hollande,0,617,Charges,,22
79,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel du Croisic,Hollande,0,36,Muids,,33
80,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel du Croisic,Hollande,0,30,Muids,,25
81,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel du Croisic,Hollande,0,281,Muids,,24
82,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel du Croisic,Hollande,0,269,Muids,,30
83,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel du Croisic,Hollande,0,1654,Muids,,14
84,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Poulinguen,Hollande,0,35,Muids,,24
85,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,3,Sel de Poulinguen,Hollande,0,263,Muids,,13
86,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Sirop de Sucre,Hollande,0,1084725,Livres,,"0,075"
87,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Soye nankin,Hollande,0,2535,Livres,,22
88,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Soye tanis,Hollande,0,13646,Livres,,20
89,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Sucre brut,Hollande,0,686950,Livres,,"0,3"
90,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Sucre en pain,Hollande,0,2530,Livres,,"0,8"
91,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Sucre terré,Hollande,0,861025,Livres,,"0,4"
92,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Sucre teste,Hollande,0,63025,Livres,,"0,33"
93,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Tabac en feuille,Hollande,0,200484,Livres,,"0,23"
94,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Tabac filé,Hollande,0,867327,Livres,,"0,75"
95,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Tabac de Saint Domingue,Hollande,0,5975,Livres,,"0,9"
96,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Taffia,Hollande,0,10,Quarts,,0
97,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Taffia,Hollande,0,552,Veltes,il est indiqué 60 Livres les 29 veltes,"2,0689655"
98,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Thés divers,Hollande,0,16541,Livres,Il est indiqué et valent 3986926.13,"3,25"
99,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Thés divers,Hollande,"3986926,65",,,,
100,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Toilles de bretagne,Hollande,0,30210,Aunes,"Pas clair s'il s'agit de quantités en Aunes ou en livres, à vérifier statistiquement.","1,1"
101,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Toille d'hollande de façon d'Ambourg,Hollande,0,6668,Aunes,"Il y a un pataquès, le nom de la marchandise est en 2 lignes et les copistes ont semble-til cru qu'il s'agissait de 2 flux de marchandises diférents, mais il n'y qu'un quantité en vis-à-vis de la dernière ligne.Par ailleurs c'est toile d'hollande (ce qui est marqué) ou d'hollone (on le trouve plus bas)??",6
102,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Vin d'amont,Hollande,0,3436,Tonneaux,,140
103,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Vin Nantois,Hollande,0,319,Tonneaux,,100
104,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Amandes cassées,Nord qui comprend les villes anseatiques et la moscovie,0,21980,Livres,,"0,2"
105,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Arbres fruitiers,Nord qui comprend les villes anseatiques et la moscovie,0,50,En nombre,,4
106,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Armoisins,Nord qui comprend les villes anseatiques et la moscovie,0,48,PIèces,,35
107,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Armoisins,Nord qui comprend les villes anseatiques et la moscovie,1660,,,,
108,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Bas divers,Nord qui comprend les villes anseatiques et la moscovie,0,184,Paires,,2
109,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Basin blanc,Nord qui comprend les villes anseatiques et la moscovie,0,30,Pièces,,25
110,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Beurre du pays,Nord qui comprend les villes anseatiques et la moscovie,0,14840,Livres,,"0,32"
111,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Billes d'ivoir,Nord qui comprend les villes anseatiques et la moscovie,0,6,En nombre,,2
112,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Bled froment,Nord qui comprend les villes anseatiques et la moscovie,0,1077,Tonneaux,,100
113,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,4,Bled seigle,Nord qui comprend les villes anseatiques et la moscovie,0,1019,Tonneaux,,56
114,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Bois jaune a teindre,Nord qui comprend les villes anseatiques et la moscovie,0,3350,Livres,,"0,3"
115,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Bois rouge,Nord qui comprend les villes anseatiques et la moscovie,"1158,3",,,,
116,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Boucles de tombac,Nord qui comprend les villes anseatiques et la moscovie,0,47,Paires,il est indiqué 24 sous la douzaine,"0,6"
117,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Bouteilles de cristal,Nord qui comprend les villes anseatiques et la moscovie,0,4,PIèces,,"1,5"
118,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Boutons de tombas,Nord qui comprend les villes anseatiques et la moscovie,0,48,Paires,il est indiqué 24 sous la douzaine,"0,2"
119,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Cabarets garnis,Nord qui comprend les villes anseatiques et la moscovie,200,,,,
120,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Cacao,Nord qui comprend les villes anseatiques et la moscovie,0,793,Livres,,"0,8"
121,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Caffé bourbon,Nord qui comprend les villes anseatiques et la moscovie,0,560884,Livres,,"1,05"
122,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Caffé des Isles,Nord qui comprend les villes anseatiques et la moscovie,0,992909,Livres,,"0,75"
123,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Caffé de Moka,Nord qui comprend les villes anseatiques et la moscovie,0,200,Livres,,"3,5"
124,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Caladaris,Nord qui comprend les villes anseatiques et la moscovie,0,100,PIèces,,42
125,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Cardes a carder,Nord qui comprend les villes anseatiques et la moscovie,0,6,Paires,Pas de rpix unitaire,0
126,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Chandeliers de cuivre,Nord qui comprend les villes anseatiques et la moscovie,0,4,PIèces,,"1,5"
127,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Circahas,Nord qui comprend les villes anseatiques et la moscovie,0,88,PIèces,,50
128,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Citrons confits,Nord qui comprend les villes anseatiques et la moscovie,0,1170,Livres,,"0,6"
129,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Confitures,Nord qui comprend les villes anseatiques et la moscovie,0,624,Livres,,"0,6"
130,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Couteaux de table,Nord qui comprend les villes anseatiques et la moscovie,0,99,PIèces,,1
131,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Cuirs de vache tanné,Nord qui comprend les villes anseatiques et la moscovie,0,100,Livres,,"0,8"
132,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Damas divers,Nord qui comprend les villes anseatiques et la moscovie,0,116,PIèces,Il est indiqué 8 Livres l'aune,0
133,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Diamans,Nord qui comprend les villes anseatiques et la moscovie,1000,,,,
134,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Dissouchay,Nord qui comprend les villes anseatiques et la moscovie,0,40,PIèces,pas de prix unitaire,0
135,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Drap fin,Nord qui comprend les villes anseatiques et la moscovie,0,3,PIèces,,400
136,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Drogué de soye,Nord qui comprend les villes anseatiques et la moscovie,0,2,PIèces,,200
137,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Eau de la Reine d'ongrie,Nord qui comprend les villes anseatiques et la moscovie,0,4104,fioles,,"0,15"
138,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Eau de vie,Nord qui comprend les villes anseatiques et la moscovie,0,9269,Veltes,80 livres les 27 veltes,"2,963"
139,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Eguieres d'etain,Nord qui comprend les villes anseatiques et la moscovie,0,20,Livres,,"1,5"
140,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Eperon,Nord qui comprend les villes anseatiques et la moscovie,0,10,Livres,,"0,5"
141,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Etuy de mathematiques,Nord qui comprend les villes anseatiques et la moscovie,0,1,PIèces,,20
142,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,5,Flanelle,Nord qui comprend les villes anseatiques et la moscovie,0,30,Livres,"il est indiqué 2lt l'aune, sur l'autre manuscrit, il semble qu'on a le prix à la livre: 12s mais à vérifier sous Stata.","0,6"
143,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Fourchettes d'acier,Nord qui comprend les villes anseatiques et la moscovie,0,5,Douzaines,,2
144,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Fromage,Nord qui comprend les villes anseatiques et la moscovie,0,25,Livres,,"0,35"
145,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Garas blanc,Nord qui comprend les villes anseatiques et la moscovie,0,7964,PIèces,,14
146,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Gomme du Senegal,Nord qui comprend les villes anseatiques et la moscovie,0,48075,Livres,il est indiqué et valent 5800 Livres,"0,4"
147,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Gomme du Senegal,Nord qui comprend les villes anseatiques et la moscovie,5800,,,,
148,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Gourgouran,Nord qui comprend les villes anseatiques et la moscovie,0,159,PIèces,,80
149,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Guinée blanche,Nord qui comprend les villes anseatiques et la moscovie,0,275,Pièces,,44
150,Pascal Fontaine,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1745,Exports,Nantes,6,Guingans de Bingalle,Nord qui comprend les villes anseatiques et la moscovie,0,25,PIèces,,10
