numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
11,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Balance et poids de Cuivre,Espagne,"120,00",livres,"0,0000000","0,00","0,00",
12,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Bas de cotton,Espagne,"35,00",livres,"0,0000000","0,00","0,00",
13,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Bretagne,Bas de fil,Espagne,"6,00",livres,"0,0000000","0,00","0,00",
14,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Bretagne,Bas de fil,Irlande,"3,00",livres,"0,0000000","0,00","0,00",
15,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Bretagne,Bas de laine,Norwegue,"6,00",livres,"0,0000000","0,00","0,00",
16,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Bretagne,Bas de laine,Espagne,"80,00",livres,"0,0000000","0,00","0,00",
17,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Bretagne,Bas de laine,Portugal,"700,00",livres,"0,0000000","0,00","0,00",
18,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Paris,Bas de soye,Espagne,"2,00",livres,"0,0000000","0,00","0,00",
19,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Paris,Bas de soye,Irlande,"2,00",livres,"0,0000000","0,00","0,00",
20,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Paris,Basse de violle,Espagne,"1,00",en nombre,"0,0000000","0,00","0,00",
21,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Bazin sec fil,Hollande,"80,00",livres,"0,0000000","0,00","0,00",
22,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Beure,Espagne,"490,00",livres,"0,0000000","0,00","0,00",
23,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Beure,Espagne,"70,00",livres,"0,0000000","0,00","0,00",
24,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Irlande,Beure,Espagne,"1 190,00",livres,"0,0000000","0,00","0,00",
25,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Irlande,Beure,Hollande,"200,00",livres,"0,0000000","0,00","0,00",
26,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Marseille,Borax,Hollande,"580,00",livres,"0,0000000","0,00","0,00",
27,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Bonnets de laine,Portugal,"129,00",en nombre,"0,0000000","0,00","0,00",
28,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Nantes,Bonnets de laine,Espagne,"770,00",en nombre,"0,0000000","0,00","0,00",
29,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Le Mans,Bougie,Espagne,"40,00",livres,"0,0000000","0,00","0,00",
30,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Le Mans,Bougie,Portugal,"50,00",livres,"0,0000000","0,00","0,00",
31,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,1,Paix Haut,Bouracana,Espagne,"30,00",livres,"0,0000000","0,00","0,00",
32,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Boutons de crin ,Irlande,"3,00",livres,"0,0000000","0,00","0,00",
33,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Paris,Boutons de fil et d´or,Irlande,"5,50",livres,"0,0000000","0,00","0,00",
34,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Paris,Boutons de fil d'argent,Irlande,"3,75",livres,"0,0000000","0,00","0,00",
35,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Paris,Boutons de fil d'argent,Espagne,"0,13",livres,"0,0000000","0,00","0,00",
36,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Bayonne,Bray sec,Espagne,"710,00",livres,"0,0000000","0,00","0,00",
37,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Bayonne,Bray sec,Portugal,"9 769,00",livres,"0,0000000","0,00","0,00",
38,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Bayonne,Cacao,Hambourg,"1 000,00",livres,"0,0000000","0,00","0,00",
39,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Bayonne,Cacao,Livourne,"2 925,00",livres,"0,0000000","0,00","0,00",
40,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Isles ,Cacao,Espagne,"12 254,00",livres,"0,0000000","0,00","0,00",Par mer
41,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Isles ,Cacao,Angleterre,"27,00",livres,"0,0000000","0,00","0,00",Par mer
42,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Isles ,Cacao,Besançon,"164,00",livres,"0,0000000","0,00","0,00",Par terre
43,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Isles ,Cacao,Livourne,"638,00",livres,"0,0000000","0,00","0,00",Par terre
44,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cage a oiseaux,Espagne,"12,00",pieces,"0,0000000","0,00","0,00",Par mer en passant par Bordeaux et de là par terre
45,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Lisle,Camelot fil et soye,Espagne,"30,00",aunes,"0,0000000","0,00","0,00",
46,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Hollande,Canelle,Espagne,"50,00",livres,"0,0000000","0,00","0,00",
47,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Marseille,Câpres,Breme,"20,00",livres,"0,0000000","0,00","0,00",
48,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cartes a jouer,Hollande,"248,00",livres,"0,0000000","0,00","0,00",
49,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cartes a jouer,Irlande,"330,00",livres,"0,0000000","0,00","0,00",
50,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cartes a jouer,Espagne,"170,00",livres,"0,0000000","0,00","0,00",
51,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cartes a jouer,Flandre imperiale,"52,00",livres,"0,0000000","0,00","0,00",
52,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chaises de Paille,Espagne,"513,00",en nombre,"0,0000000","0,00","0,00",
53,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chandelle,Livourne,"200,00",livres,"0,0000000","0,00","0,00",
54,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chandelle,Espagne,"345,00",livres,"0,0000000","0,00","0,00",
55,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chandelle,Espagne,"150,00",livres,"0,0000000","0,00","0,00",
56,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Paris,Chapeaux de castor,Espagne,"36,00",en nombre,"0,0000000","0,00","0,00",
57,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Paris,Chapeaux de castor,Espagne,"5,00",en nombre,"0,0000000","0,00","0,00",
58,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Paris,Chapeaux communs,Espagne,"36,00",en nombre,"0,0000000","0,00","0,00",
59,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Hambourg,"540,00",boisseaux,"0,0000000","0,00","0,00",
60,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Hollande,"2 317,00",boisseaux,"0,0000000","0,00","0,00",
61,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Flandre imperiale,"1 327,00",boisseaux,"0,0000000","0,00","0,00",
62,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Breme,"250,00",boisseaux,"0,0000000","0,00","0,00",
63,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Suede,"378,00",boisseaux,"0,0000000","0,00","0,00",
64,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Portugal,"100,00",boisseaux,"0,0000000","0,00","0,00",
65,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chateignes,Irlande,"144,00",boisseaux,"0,0000000","0,00","0,00",
66,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Chaux,Espagne,"2,00",barriques,"0,0000000","0,00","0,00",
67,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cire jaune,Espagne,"4 875,00",livres,"0,0000000","0,00","0,00",
68,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Nantes,Cire jaune,Hollande,"3 200,00",livres,"0,0000000","0,00","0,00",
69,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Isles Amerique,Citrons confits,Breme,"12,00",livres,"0,0000000","0,00","0,00",
70,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,2,Isles Amerique,Citrons confits,Hambourg,"1 017,00",livres,"0,0000000","0,00","0,00",
71,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Espagne et Portugal,Citrons verds,Irlande,"10 000,00",livres,"0,0000000","0,00","0,00",
72,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Paris,,Espagne,"1,00",,"0,0000000","0,00","0,00",Absence de marchandise
73,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Bretagne,Clouds de fer,Espagne,"1 300,00",livres,"0,0000000","0,00","0,00",
74,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Bretagne,Clouds de fer,Espagne,"125,00",livres,"0,0000000","0,00","0,00",
75,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Bretagne,Colle,Espagne,"4 880,00",livres,"0,0000000","0,00","0,00",
76,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Commode en bois de noyer,Portugal,"2,00",en nombre,"0,0000000","0,00","0,00",
77,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Hambourg,"703,00",livres,"0,0000000","0,00","0,00",
78,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Hollande,"687,00",livres,"0,0000000","0,00","0,00",
79,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Irlande,"156,00",livres,"0,0000000","0,00","0,00",
80,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Breme,"26,00",livres,"0,0000000","0,00","0,00",
81,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Livourne,"100,00",livres,"0,0000000","0,00","0,00",
82,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Espagne,"278,00",livres,"0,0000000","0,00","0,00",
83,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Suede,"42,00",livres,"0,0000000","0,00","0,00",
84,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture,Flandre imperiale,"85,00",livres,"0,0000000","0,00","0,00",
85,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture seiche,Hambourg,"30,00",livres,"0,0000000","0,00","0,00",
86,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture seiche,Hollande,"36,00",livres,"0,0000000","0,00","0,00",
87,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture seiche,Espagne,"20,00",livres,"0,0000000","0,00","0,00",
88,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture seiche,Irlande,"10,00",livres,"0,0000000","0,00","0,00",
89,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Confiture seiche,Flandre imperiale,"6,00",livres,"0,0000000","0,00","0,00",
90,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cottonade,Irlande,"2 224,00",aunes,"0,0000000","0,00","0,00",
91,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cottonade,Hollande,"190,00",aunes,"0,0000000","0,00","0,00",
92,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cottonade,Flandre imperiale,"600,00",aunes,"0,0000000","0,00","0,00",
93,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cottonade,Portugal,"36,00",aunes,"0,0000000","0,00","0,00",
94,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cottonade,Suede,"16,00",aunes,"0,0000000","0,00","0,00",
95,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Isles,Cotton ,Flandre imperiale,"19 687,00",livres,"0,0000000","0,00","0,00",
96,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Isles,Cotton ,Hambourg,"1 769,00",livres,"0,0000000","0,00","0,00",
97,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Isles,Cotton ,Hollande,"3 200,00",livres,"0,0000000","0,00","0,00",
98,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Bretagne,Couetil,Irlande,"15,00",livres,"0,0000000","0,00","0,00",
99,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cotton en fil,Flandre imperiale,"840,00",livres,"0,0000000","0,00","0,00",
100,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Couvertures de laine,Espagne,"8,00",en nombre,"0,0000000","0,00","0,00",
101,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Bretagne,Crin,Espagne,"200,00",livres,"0,0000000","0,00","0,00",
102,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Paris,Cuillères et fourchettes de cuivre argenté,Espagne,"12,00",boites,"0,0000000","0,00","0,00",
103,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cuir en croute,Espagne,"150,00",pieces,"0,0000000","0,00","0,00",
104,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Bretagne,Cuir pour souliers,Espagne,"50,00",pieces,"0,0000000","0,00","0,00",
105,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,3,Nantes,Cuir tanné,Espagne,"450,00",pieces,"0,0000000","0,00","0,00",
106,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Isles,Cuir sec en poil,Flandre imperiale,"164,00",en nombre,"0,0000000","0,00","0,00",
107,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Irlande,Cuir verds,Flandre imperiale,"500,00",en nombre,"0,0000000","0,00","0,00",
108,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Forest,Cuir verds,Espagne,"3 380,00",livres,"0,0000000","0,00","0,00",
109,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Tours,Damas,Hollande,"2,00",livres,"0,0000000","0,00","0,00",
110,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,,Dentelle grossiere,Espagne,"1 570,00",livres,"0,0000000","0,00","0,00",
111,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,,Dentelle grossiere,Espagne,"7 400,00",livres,"0,0000000","0,00","0,00",
112,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,,Dentelle de soye,Espagne,"1,00",livres,"0,0000000","0,00","0,00",
113,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Chateaubriant,Draps communs,Portugal,"62,00",aunes,"0,0000000","0,00","0,00",
114,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Chateaubriant,Draps communs,Portugal,"4,00",aunes,"0,0000000","0,00","0,00",
115,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Chateaubriant,Draps communs,Espagne,"32,50",aunes,"0,0000000","0,00","0,00",
116,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Chateaubriant,Draps communs,Espagne,"31,00",aunes,"0,0000000","0,00","0,00",
117,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Chateaubriant,Draps communs,Irlande,"4,00",aunes,"0,0000000","0,00","0,00",
118,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Sedan,Draps ,Portugal,"160,00",aunes,"0,0000000","0,00","0,00",
119,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Hambourg,"19 083,00",veltes,"0,0000000","0,00","0,00",
120,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Hollande,"34 259,50",veltes,"0,0000000","0,00","0,00",
121,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Irlande et Angleterre,"129 680,25",veltes,"0,0000000","0,00","0,00",
122,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Espagne,"5 937,50",veltes,"0,0000000","0,00","0,00",
123,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Flandre imperiale,"93 208,00",veltes,"0,0000000","0,00","0,00",
124,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Portugal,"10 308,75",veltes,"0,0000000","0,00","0,00",
125,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,"Stockholm, Middelbourg, Göteborg, Andenville, Narbeck et Gherben en Suède","6 722,50",veltes,"0,0000000","0,00","0,00",
126,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,"Bremen, Lubeck, Norvège et villes anséatiques","19 582,00",veltes,"0,0000000","0,00","0,00",
127,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Gennes,"148,00",veltes,"0,0000000","0,00","0,00",
128,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Livorne,"34,00",veltes,"0,0000000","0,00","0,00",
129,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Comte de Nantes,Eau de vie,Danemark,"290,00",veltes,"0,0000000","0,00","0,00",
130,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Isles,Eau de citronelle,Grenerey et Drumptom,"23,00",bouteilles,"0,0000000","0,00","0,00",
131,Torsten,AD44 C706,Local/Nantes/Nantes – Sorties – 1734 – bis.csv,Local,1734,Exportations,Nantes,4,Montpellier,Eau de la Reine d'Hongrie,Lubeck en Norvège,"16,00",livres,"0,0000000","0,00","0,00",
