numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,
23,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,1,Noix,Angleterre,"56,00",Millier,"1,000","320,00","-264,00",erreur de calcul,
24,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Nates de jonc,Angleterre,"561,00",Pièce,"2,000","1 122,00","0,00",,
25,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Ozier,Angleterre,"2000,00",Nombre,"0,150","300,00","0,00",Prix unitaire en pourcentage/ Quantité en milliers,
26,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Papier a écrire,Angleterre,"8275,00",Livre,"0,500","4 137,50","0,00",,
27,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Porcelaine des Indes,Angleterre,"1133,00",Livre,"4,000","4 532,00","0,00",,
28,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Reglisse,Angleterre,"2400,00",Livre,"0,150","360,00","0,00",Prix unitaire en pourcentage,
29,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sel,Angleterre,"1062,00",Muid,"25,000","26 550,00","0,00",,
30,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sucre en pain,Angleterre,"275,00",Livre,"0,600","165,00","0,00",Prix unitaire en pourcentage,
31,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sucre terré,Angleterre,"350,00",Livre,"0,335","117,25","0,00",Prix unitaire en pourcentage,
32,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Sirop de sucre,Angleterre,"109250,00",Livre,"0,050","5 462,50","0,00",Prix unitaire en pourcentage,
33,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Soyerie,Angleterre,"82,00",Livre,"40,000","3 280,00","0,00",,
34,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Satin soye et fil,Angleterre,"44,00",Aune,"3,000","132,00","0,00",,
35,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Savon,Angleterre,"980,00",Livre,"0,330","312,40","11,00",erreur de calcul,
36,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé imperial,Angleterre,"130,00",Livre,"6,000","780,00","0,00",,
37,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé saoul,Angleterre,"670,00",Livre,"3,000","2 010,00","0,00",,
38,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé vert,Angleterre,"4564,00",Livre,"2,300","9 812,60","684,60",erreur de calcul,
39,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Thé bou,Angleterre,"19940,00",Livre,"2,500","49 850,00","0,00",,
40,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Tapis,Angleterre,"1,00",Nombre,"40,000","40,00","0,00",,
41,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile Batiste,Angleterre,"3,00",Livre,"30,000","90,00","0,00",,
42,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile de Bretagne,Angleterre,"1850,00",Livre,"4,000","7 400,00","0,00",,
43,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile de cotton des Indes,Angleterre,"14,00",Pièce,"30,000","420,00","0,00",,
44,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Toile de cotton des Indes,Angleterre,"1175,00",Aune,"1,250","1 468,75","0,00",,
45,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vin de Bordeaux,Angleterre,"3,00",Tonneau,"300,000","900,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
46,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vin d'amont,Angleterre,"66,00",Tonneau,"150,000","9 900,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
47,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vin nantois,Angleterre,"20,00",Tonneau,"60,000","1 249,00","-49,00",Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul,
48,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vinaigre,Angleterre,"20,50",Tonneau,"60,000","1 280,20","-50,20",Droits sur le vin et le vinaigre à 49 sous par tonneau / erreur de calcul,
49,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Vernis,Angleterre,"200,00",Livre,"40,000","8 000,00","0,00",,
50,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Armoire vieille,Flandre Impériale,"1,00",Nombre,"30,000","30,00","0,00",,
51,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Arbres fruitiers,Flandre Impériale,,,"0,000","22,00","-22,00",,
52,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Beurre,Flandre Impériale,"4000,00",Livre,"0,250","1 000,00","0,00",Prix unitaire en pourcentage,
53,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Bougie de cire blanche,Flandre Impériale,"20,00",Livre,"1,650","33,00","0,00",,
54,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Confiture,Flandre Impériale,"290,00",Livre,"0,700","203,00","0,00",,
55,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Chataignes,Flandre Impériale,"916,00",Boisseau,"0,500","458,00","0,00",,
56,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Capillaire,Flandre Impériale,"55,00",Livre,"0,750","41,25","0,00",,
57,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Cottonades,Flandre Impériale,"40,00",Aune,"2,750","110,00","0,00",,
58,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,2,Cuirs de bœuf en poil,Flandre Impériale,"901,00",Nombre,"6,000","5 406,00","0,00",,
59,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Cotton en laine,Flandre Impériale,"19315,00",Livre,"0,700","13 520,00","0,50",Prix unitaire en pourcentage,
60,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Drap noir,Flandre Impériale,"6,00",Aune,"15,000","90,00","0,00",,
61,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Estamine,Flandre Impériale,"80,00",Aune,"3,000","240,00","0,00",,
62,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Eau de vie,Flandre Impériale,"3222,00",Barrique,"35,000","123 241,50","-10 471,50","Plus droits à 65 sous la barrique = 10471,50 livres",
63,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Fruits cuits,Flandre Impériale,"300,00",Livre,"0,250","75,00","0,00",Prix unitaire en pourcentage,
64,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Fayance en vaisselles,Flandre Impériale,"57,00",Douzaine,"4,000","228,00","0,00",,
65,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Huile d'olives,Flandre Impériale,"400,00",Livre,"0,700","280,00","0,00",Prix unitaire en pourcentage,
66,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Indigo,Flandre Impériale,"3268,00",Livre,"2,375","7 761,50","0,00",,
67,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Librairie,Flandre Impériale,"200,00",Livre,"2,000","400,00","0,00",,
68,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Mouchoirs des Indes,Flandre Impériale,"80,00",Pièce,"20,000","1 600,00","0,00",,
69,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Noix,Flandre Impériale,"90,00",Millier,"1,000","90,00","0,00",,
70,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Pommes crues,Flandre Impériale,"2,00",Quart,"12,000","24,00","0,00",,
71,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Pruneaux de Ste Catherine,Flandre Impériale,"2050,00",Livre,"0,300","615,00","0,00",Prix unitaire en pourcentage,
72,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Pruneaux d'amont,Flandre Impériale,"1775,00",Livre,"0,040","71,00","0,00",Prix unitaire en pourcentage,
73,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Pekins à grandes fleurs,Flandre Impériale,"22,00",Pièce,"70,000","1 540,00","0,00",,
74,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Pekins ,Flandre Impériale,"17,00",Pièce,"70,000","1 190,00","0,00",,
75,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Papier a écrire,Flandre Impériale,"13000,00",Livre,"0,500","6 500,00","0,00",,
76,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Pierres à fusil,Flandre Impériale,"2,00",Millier,"7,000","14,00","0,00",,
77,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Safran,Flandre Impériale,"25,00",Livre,"32,000","800,00","0,00",,
78,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sel,Flandre Impériale,"58,00",Charge,"30,000","1 740,00","0,00",,
79,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sel,Flandre Impériale,"61,00",Muid,"22,000","1 342,00","0,00",,
80,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sucre en pain,Flandre Impériale,"9825,00",Livre,"0,600","5 895,00","0,00",Prix unitaire en pourcentage,
81,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sucre terré,Flandre Impériale,"85950,00",Livre,"0,305","28 793,25","-2 578,50",erreur de calcul,
82,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sucre testes de forme,Flandre Impériale,"50000,00",Livre,"0,220","11 000,00","0,00",Prix unitaire en pourcentage,
83,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sucre brut,Flandre Impériale,"436750,00",Livre,"0,150","65 512,50","0,00",Prix unitaire en pourcentage,
84,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Sirop de sucre,Flandre Impériale,"1140450,00",Livre,"0,050","57 022,50","0,00",Prix unitaire en pourcentage,
85,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Soirie,Flandre Impériale,"20,00",Livre,"40,000","800,00","0,00",,
86,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Soye tanée,Flandre Impériale,"1711,00",Livre,"8,000","13 688,00","0,00",,
87,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Thé bou,Flandre Impériale,"5740,00",Livre,"2,500","14 350,00","0,00",,
88,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Thé vert,Flandre Impériale,"948,00",Livre,"2,300","2 180,40","0,00",,
89,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Thé cambou,Flandre Impériale,"380,00",Livre,"4,000","1 520,00","0,00",,
90,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Thé savalo,Flandre Impériale,"236,00",Livre,"5,000","1 180,00","0,00",,
91,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Thé divers,Flandre Impériale,"700,00",Livre,"3,000","2 100,00","0,00",,
92,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Toile de Bretagne,Flandre Impériale,"1171,00",Livre,"4,000","4 684,00","0,00",,
93,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Vin d'Espagne,Flandre Impériale,"2,00",Tonneau,"500,000","1 000,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
94,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Vin de Bordeaux,Flandre Impériale,"2,00",Tonneau,"300,000","600,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
95,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Vin d'amont,Flandre Impériale,"3030,00",Tonneau,"150,000","454 500,00","0,00",Droits sur le vin et le vinaigre à 49 sous par tonneau,
96,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Vin nantois,Flandre Impériale,"496,00",Tonneau,"60,000","30 752,00","-992,00",Plus droits à 40 sous la barrique = 992 livres,
97,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,3,Vinaigre,Flandre Impériale,"34,00",Tonneau,"60,000","2 108,00","-68,00",Plus droits à 40 sous la barrique = 68 livres,
98,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Alibanis,Hollande,"1556,00",Pièce,"18,000","28 008,00","0,00",,
99,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Arbres fruitiers,Hollande,,,"0,000","12,00","-12,00",,
100,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Bois rouge des Indes,Hollande,"174500,00",Livre,"0,180","31 410,00","0,00",Prix unitaire en pourcentage,
101,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Bois de buis,Hollande,"6300,00",Livre,"0,050","315,00","0,00",Prix unitaire en pourcentage,
102,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Bafetas,Hollande,"20,00",Pièce,"18,000","360,00","0,00",,
103,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Bazin des Indes,Hollande,"637,00",Pièce,"30,000","19 110,00","0,00",,
104,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Bazin des Indes,Hollande,"50,00",Aune,"3,000","150,00","0,00",,
105,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Confiture,Hollande,"870,00",Livre,"0,700","604,00","5,00",erreur de calcul,
106,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Chocolat,Hollande,"4,00",Livre,"3,000","12,00","0,00",,
107,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cacao,Hollande,"130,00",Livre,"2,400","312,00","0,00",,
108,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Caffé,Hollande,"2831,00",Livre,"3,000","8 493,00","0,00",,
109,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Chataignes,Hollande,"960,00",Boisseau,"0,500","480,00","0,00",,
110,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Chittes,Hollande,"125,00",Pièce,"30,000","3 750,00","0,00",,
111,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cazin bazar,Hollande,"2,00",Pièce,"35,000","70,00","0,00",,
112,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cotonade,Hollande,"230,00",Aune,"2,750","632,50","0,00",,
113,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cotton en laine,Hollande,"7800,00",Livre,"0,700","5 460,00","0,00",Prix unitaire en pourcentage,
114,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cinabre,Hollande,"1900,00",Livre,"4,000","7 600,00","0,00",,
115,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cabarets vernis,Hollande,"260,00",Nombre,"8,000","2 080,00","0,00",,
116,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Cornes de belliers,Hollande,"1500,00",Livre,"0,000","0,00","0,00",,
117,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Damas des Indes,Hollande,"474,00",Pièce,"90,000","42 660,00","0,00",,
118,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Drogueries,Hollande,,,"0,000","300,00","-300,00",,
119,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Eau de vie,Hollande,"1437,00",Barrique,"55,000","83 705,00","-4 670,00",Plus droits de 65 sous la barrique = 4670 livres,
120,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Eau de citronelle,Hollande,"83,00",Bouteille,"4,000","332,00","0,00",,
121,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Eau de la Reyne de Hongrie,Hollande,"25,00",Livre,"3,000","75,00","0,00",,
122,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Etoffes diverses des Indes,Hollande,"1131,00",Pièce,"60,000","67 860,00","0,00",,
123,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Etofes a carreaux,Hollande,"36,00",Pièce,"70,000","2 520,00","0,00",,
124,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Eventails de la Chine,Hollande,"433,00",Nombre,"5,000","2 165,00","0,00",,
125,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Esquine,Hollande,"3300,00",Livre,"0,750","2 475,00","0,00",,
126,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fleurs artificielles ,Hollande,"1,00",Caisse,"10,000","50,00","-40,00",Plus 4 boites à 10 livres = 40 livres,1
127,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fleurs artificielles ,Hollande,"4,00",Boites,"10,000","50,00","-10,00",Plus 4 boites à 10 livres = 40 livres,2
128,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fayance en vaisselles,Hollande,"41,00",Douzaine,"4,000","164,00","0,00",,
129,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fil de laton,Hollande,"200,00",Livre,"0,250","50,00","0,00",Prix unitaire en pourcentage,
130,Anthony Rebours,20AD44_C706,Local/Nantes/Nantes - Exports – 1731.csv,Local,1731,Exports,Nantes,4,Fer en barres,Hollande,"1000,00",Livre,"0,140","140,00","0,00",Prix unitaire en pourcentage,
