numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,prix_unitaire,Valeur en Livres tournois,valeur en sous,valeur en denier,Valeur (Prix unitaire ,value,problem,remarks,Unverified
15,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Sel,Danemark,154,Charge,30,,,30,,,,4620,,,,
16,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Sucre cassonnade,Danemark,283,Livre,"0,56",,,"0,56",,,,"158,48",,,Prix unitaire en pourcentage,
17,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Toile de cotton,Danemark,36,Livre,4,,,4,,,,144,,,,
18,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Vin de Bordeaux,Danemark,1,Tonneau,280,,,280,,,,280,,,,
19,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Vin nantois,Danemark,"1,5",Tonneau,100,,,100,,,,150,,,,
20,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Vinaigre,Danemark,8,Quart,10,,,10,,,,80,,,,
21,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Ardoises,Espagne,16000,Nombre,"0,02",,,"0,02",,,,320,,,Prix unitaire en millier,
22,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Bœuf sallé,Espagne,21,Baril,35,,,35,,,,735,,,,
23,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Boeure,Espagne,5908,Livre,,10,,"0,5",,,,2954,,,,
24,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Bougie,Espagne,270,Livre,,45,,"2,25",,,,"607,5",,,,
25,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Cacao,Espagne,20220,Livre,,7,,"0,35",,,,7077,,,,
26,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Caffé des Isles,Espagne,540,Livre,,18,,"0,9",,,,486,,,,
27,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Camelot,Espagne,560,Aune,,50,,"2,5",,,,1400,,,,
28,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Chaises de paille,Espagne,26,Douzaine,12,,,12,,,,312,,,,
29,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Chandelles,Espagne,570,Livre,,10,,"0,5",,,,285,,,,
30,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Chapeaux,Espagne,192,Pièce,9,,,9,,,,1728,,,Demy-castor,
31,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Chapeaux communs,Espagne,4,Douzaine,36,,,36,,,,144,,,,
32,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Confiture,Espagne,195,Livre,,20,,1,,,,195,,,,
33,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Coutel,Espagne,3323,Livre,,20,,1,,,,3323,,,,
34,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Cuirs dorés,Espagne,185,Livre,4,,,4,,,,740,,,,
35,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Cuirs de vache corroyés,Espagne,2680,Livre,,18,,"0,9",,,,2412,,,,
36,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Cuirs de vache en croute,Espagne,180,Livre,,11,,"0,55",,,,99,,,,
37,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Cuirs de vache en poil,Espagne,655,Pièce,12,,,12,,,,7860,,,,
38,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Culottes de velours de gueux,Espagne,12,Douzaine,48,,,48,,,,576,,,,
39,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,2,Drap de Sedan,Espagne,11,Pièce,500,,,500,,,,5500,,,,
40,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Drogueries,Espagne,1400,Livre,,40,,2,,,,2800,,,,
41,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Drogues de soye,Espagne,7,Aune,10,,,10,,,,70,,,,
42,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Eau de vie,Espagne,218,Velte,2,8,,"2,4",,,,"523,2",,,,
43,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Etamine de laine,Espagne,5540,Aune,5,,,5,,,,27700,,,,
44,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Fayance,Espagne,385,Douzaine,3,5,,"3,25",,,,"1251,25",,,,
45,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Feves,Espagne,173,Tonneau,100,,,100,,,,17300,,,,
46,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Fil a coudre,Espagne,710,Livre,,40,,2,,,,1420,,,,
47,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Fleurs artificielles,Espagne,150,Livre,50,,,50,,,,7500,,,,
48,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Fromage de Gruyère,Espagne,488,Livre,,10,,"0,5",,,,244,,,,
49,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Indigo,Espagne,1900,Livre,9,,,9,,,,17100,,,,
50,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Lamproye,Espagne,346,Boïte,4,,,4,,,,1384,,,,
51,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Malry,Espagne,32,Tonneau,80,,,80,,,,2560,,,,
52,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Mercerie,Espagne,27078,Livre,3,10,,"3,5",,,,94773,,,,
53,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Mouchoirs de fil,Espagne,12300,Livre,6,,,6,,,,73800,,,,
54,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Papier,Espagne,2850,Livre,,30,,"1,5",,,,4275,,,,
55,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Peaux de daim apprêtées,Espagne,10,Douzaine,72,,,72,,,,720,,,,
56,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Peaux de veau corroyées,Espagne,64,Douzaine,36,,,36,,,,2304,,,,
57,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Peau de veau en poil,Espagne,69,Douzaine,28,,,28,,,,1932,,,,
58,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Pierres a fusil,Espagne,100,Millier,,40,,2,,,,200,,,,
59,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Plumes a écrire,Espagne,3,Millier,4,,,4,,,,12,,,,
60,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Poivre,Espagne,7250,Livre,,24,,"1,2",,,,8700,,,,
61,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Pruneaux,Espagne,210,Livre,,4,,"0,2",,,,42,,,,
62,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Quincaille,Espagne,11340,Livre,,20,,1,,,,11340,,,,
63,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Sel,Espagne,21,Muid,60,,,60,,,,1260,,,,
64,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Sirop melasse,Espagne,925,Livre,"0,08",,,"0,08",,,,74,,,Prix unitaire en pourcentage,
65,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Souliers,Espagne,18,Paire,4,,,4,,,,72,,,,
66,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Sucre en pain,Espagne,12525,Livre,,14,,"0,7",,,,"8767,5",,,,
67,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Sucre terré,Espagne,926866,Livre,"0,56",,,"0,56",,,,"519044,96",,,Prix unitaire en pourcentage,
68,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Sucre teste,Espagne,6718,Livre,"0,48",,,"0,48",,,,"3224,64",,,Prix unitaire en pourcentage,
69,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Thé,Espagne,164,Livre,3,15,,"3,75",,,,615,,,,
70,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Toile de Bretagne,Espagne,329071,Livre,3,10,,"3,5",,,,"1151748,5",,,,
71,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Toile linge de table,Espagne,120,Douzaine,18,,,18,,,,2160,,,Toiles ouvrées,
72,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,3,Toile linge de table,Espagne,68865,Douzaine,12,,,12,,,,826380,,,Toiles unies,
73,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vieux oing,Espagne,2500,Livre,,5,,"0,25",,,,625,,,,
74,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vin de Bourgogne,Espagne,6500,Bouteille,,40,,2,,,,13000,,,,
75,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vin nantois,Espagne,7,Tonneau,100,,,100,,,,700,,,,
76,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vinaigre,Espagne,16,Barique,36,,,36,,,,576,,,,
77,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vinaigre,Espagne,4,Quart,10,,,10,,,,40,,,,
78,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Cacao,Flandre autrichienne,350,Livre,,7,,"0,35",,,,"122,5",,,,
79,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Caffé des Isles,Flandre autrichienne,19146,Livre,,18,,"0,9",,,,"17231,4",,,,
80,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Chataignes,Flandre autrichienne,4176,Boisseau,,18,,"0,9",,,,"3758,4",,,,
81,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Confiture,Flandre autrichienne,15,Livre,,20,,1,,,,15,,,,
82,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Coton en laine,Flandre autrichienne,3337,Livre,,22,,"1,1",,,,"3670,7",,,,
83,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Drogueries,Flandre autrichienne,300,Livre,,40,,2,,,,600,,,,
84,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Eau de vie,Flandre autrichienne,31739,Velte,2,8,,"2,4",,,,"76173,6",,,,
85,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Huile d'olive,Flandre autrichienne,563,Livre,,16,,"0,8",,,,"450,4",,,,
86,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Indigo,Flandre autrichienne,6850,Livre,6,,,6,,,,41100,,,,
87,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Miel,Flandre autrichienne,1820,Livre,"0,1",,,"0,1",,,,182,,,Prix unitaire en pourcentage,
88,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Pruneaux,Flandre autrichienne,4355,Livre,,4,,"0,2",,,,871,,,,
89,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Reglisse,Flandre autrichienne,1200,Livre,"0,2",,,"0,2",,,,240,,,Prix unitaire en pourcentage,
90,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Saffran,Flandre autrichienne,12,Livre,25,,,25,,,,300,,,,
91,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Syrop melasse,Flandre autrichienne,1322196,Livre,"0,08",,,"0,08",,,,"105775,68",,,Prix unitaire en pourcentage,
92,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Sucre brut,Flandre autrichienne,337850,Livre,"0,21",,,"0,21",,,,"70948,5",,,Prix unitaire en pourcentage,
93,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Sucre terré,Flandre autrichienne,596345,Livre,"0,56",,,"0,56",,,,"333953,2",,,Prix unitaire en pourcentage,
94,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Thé,Flandre autrichienne,4680,Livre,3,15,,"3,75",,,,17550,,,,
95,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vin d'Amont,Flandre autrichienne,"1505,4",Tonneau,140,,,140,,,,210756,,,,
96,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vin nantois,Flandre autrichienne,"713,25",Tonneau,100,,,100,,,,71325,,,,
97,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vinaigre,Flandre autrichienne,2,Barique,20,,,20,,,,40,,,,
98,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Vinaigre,Flandre autrichienne,30,Ancre,4,10,,"4,5",,,,135,,,,
99,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Beure,Hollande,30000,Livre,,7,,"0,35",,,,10500,,,,
100,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Bois de Campêche,Hollande,21000,Livre,,3,,"0,15",,,,3150,,,,
101,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Bois de Ste Marthe,Hollande,27000,Livre,,5,,"0,25",,,,6750,,,,
102,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,4,Bougie,Hollande,60,Livre,,45,,"2,25",,,,135,,,,
103,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Caffé des Isles,Hollande,33888,Livre,,18,,"0,9",,,,"30499,2",,,,
104,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Chataignes,Hollande,50,Boisseau,,18,,"0,9",,,,45,,,,
105,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Confiture,Hollande,42,Livre,,20,,1,,,,42,,,,
106,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Eau de vie,Hollande,3571,Velte,2,8,,"2,4",,,,"8570,4",,,,
107,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Fruit cuit,Hollande,124,Livre,,6,,"0,3",,,,"37,2",,,,
108,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Indigo,Hollande,28398,Livre,6,,,6,,,,170388,,,,
109,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Ocre,Hollande,158,Barique,20,,,20,,,,3160,,,,
110,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Pierres a fusil,Hollande,1923,Millier,,40,,2,,,,3846,,,,
111,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Pruneaux,Hollande,88676,Livre,,4,,"0,2",,,,"17735,2",,,,
112,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Sel,Hollande,394,Muid,60,,,60,,,,23640,,,,
113,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Sel,Hollande,4000,Charge,30,,,30,,,,120000,,,,
114,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Syrop melasse,Hollande,598750,Livre,"0,08",,,"0,08",,,,47900,,,Prix unitaire en pourcentage,
115,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Soye de ?,Hollande,665,Livre,,40,,2,,,,1330,,,,
116,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Sucre brut,Hollande,688192,Livre,"0,21",,,"0,21",,,,"144520,32",,,Prix unitaire en pourcentage,
117,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Sucre terré,Hollande,452500,Livre,"0,56",,,"0,56",,,,253400,,,Prix unitaire en pourcentage,
118,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Thé,Hollande,9887,Livre,3,15,,"3,75",,,,"37076,25",,,,
119,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Toile de Bretagne,Hollande,44400,Livre,3,10,,"3,5",,,,155400,,,,
120,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Toile platille,Hollande,1212,Pièce,5,,,5,,,,6060,,,,
121,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Vin d'Amont,Hollande,1849,Tonneau,140,,,140,,,,258860,,,,
122,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Vin nantois,Hollande,"85,25",Tonneau,100,,,100,,,,8525,,,,
123,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Vinaigre,Hollande,4,Tonneau,144,,,144,,,,576,,,,
124,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Vinaigre,Hollande,1,Quart,10,,,10,,,,10,,,,
125,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Beure,Nord,13934,Livre,,7,,"0,35",,,,"4876,9",,,,
126,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Bois de Brezille,Nord,3060,Livre,,3,,"0,15",,,,459,,,,
127,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Caffé des Isles,Nord,806699,Livre,,18,,"0,9",,,,"726029,1",,,,
128,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Chataignes,Nord,6940,Boisseau,,18,,"0,9",,,,6246,,,,
129,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Eau de vie,Nord,13512,Velte,2,8,,"2,4",,,,"32428,8",,,,
130,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,5,Indigo,Nord,69422,Livre,6,,,6,,,,416532,,,,
131,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Peaux de veau corroyées,Nord,183,Douzaine,28,,,28,,,,5124,,,,
132,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Pierres a fusil,Nord,432,Millier,,40,,2,,,,864,,,,
133,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Pruneaux,Nord,25000,Livre,,4,,"0,2",,,,5000,,,,
134,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Saffran,Nord,200,Livre,25,,,25,,,,5000,,,,
135,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Sel,Nord,2497,Muid,60,,,60,,,,149820,,,,
136,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Sel,Nord,2273,Charge,30,,,30,,,,68190,,,,
137,Anthony Rebours,AD 44 C706,Local/Nantes/Nantes - Exports – 1756.csv,Local,1756,Exports,Nantes,6,Sirop melasse,Nord,65700,Livre,"0,08",,,"0,08",,,,5256,,,Prix unitaire en pourcentage,
