numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,remarks
14,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Eau de vie,Nantes,Espagne,"258,00",Veltes,"3,250",,
15,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Etamine de laine,Nantes,Espagne,"1 594,00",Aunes,"3,000",,
16,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Fayance,Nantes,Espagne,"488,00",Douzaines,"3,250",,
17,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Feves,Nantes,Espagne,"129,00",Tonneaux,"100,000",,
18,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Feves,Nantes,Espagne,"20,00",Boisseaux,"0,625",,
19,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Lamproyes,Nantes,Espagne,"24,00",Boîtes,"4,000",,
20,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Miel,Nantes,Espagne,"580,00",Livres,"0,100",,Prix unitaire en pourcentage
21,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Papier blanc,Nantes,Espagne,"900,00",Livres,"0,500",,
22,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Peaux de dain,Nantes,Espagne,"5,00",Douzaines,"70,000",,
23,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Peaux de mouton,Nantes,Espagne,"800,00",Pièces,"1,000",,
24,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Peaux de veau corroyées,Nantes,Espagne,"162,00",Douzaines,"36,000",,
25,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Poudre a poudrer,Nantes,Espagne,"450,00",Livres,"0,300",,
26,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Pruneaux ,Nantes,Espagne,"241,00",Livres,"0,100",,
27,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Soufflets,Nantes,Espagne,"23,00",Douzaines,"9,000",,
28,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Sucre en pain,Nantes,Espagne,"1 556,00",Livres,"0,800",,
29,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Sucre tête,Nantes,Espagne,"26 450,00",Livres,"0,380",,Prix unitaire en pourcentage
30,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Thé,Nantes,Espagne,"127,00",Livres,"2,250",,
31,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Toile de Bretagne,Nantes,Espagne,"323 909,00",Livres,"1,750",,
32,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Caffé,Nantes,Flandre,"915,00",Livres,"0,750",,
33,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Chataignes,Nantes,Flandre,"3 322,00",Boisseaux,"0,500",,
34,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Eau de vie,Nantes,Flandre,"8 165,00",Veltes,"3,250",,
35,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Etamine de laine,Nantes,Flandre,"620,00",Aunes,"3,000",,
36,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,2,1758,Exports,Huile de poisson,Nantes,Flandre,"2 375,00",Livres,"0,400",,
37,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Indigo,Nantes,Flandre,"4 000,00",Livres,"7,000",,
38,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Miel,Nantes,Flandre,"1 281,00",Livres,"0,100",,Prix unitaire en pourcentage
39,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Pruneaux ,Nantes,Flandre,"677,00",Livres,"0,100",,
40,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Sirop melasse,Nantes,Flandre,"576 901,00",Livres,"0,100",,Prix unitaire en pourcentage
41,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Thé,Nantes,Flandre,"7 014,00",Livres,"2,250",,
42,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Vin d'Amont,Nantes,Flandre,"1 618,00",Tonneaux,"240,000",,
43,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Vin d'Amont,Nantes,Flandre,"2,00",Bariques,"60,000",,
44,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Vin nantois,Nantes,Flandre,"1 154,00",Tonneaux,"90,000",,
45,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Vin nantois,Nantes,Flandre,"2,00",Bariques,"22,500",,
46,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Vinaigre,Nantes,Flandre,"10,00",Tonneaux,"60,000",,
47,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Beure,Nantes,Hollande,"11 130,00",Livres,"0,375",,
48,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Bois rouge,Nantes,Hollande,"20 000,00",Livres,"0,200",,
49,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Bois de Ste Marthe,Nantes,Hollande,"1 500,00",Livres,"0,200",,
50,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Bougie,Nantes,Hollande,"380,00",Livres,"2,250",,
51,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Caffé,Nantes,Hollande,"18 665,00",Livres,"0,750",,
52,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Drogueries,Nantes,Hollande,"1 800,00",Livres,"2,000",,"prix moyen évalué car sur le doc, c'est marqué de 5 sous à 100livres"
53,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Eau de vie,Nantes,Hollande,"1 400,00",Veltes,"3,250",,
54,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Fil,Nantes,Hollande,"790,00",Livres,"1,750",,
55,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Houblon,Nantes,Hollande,"12 625,00",Livres,"0,110",,Prix unitaire en pourcentage
56,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Indigo,Nantes,Hollande,"9 406,00",Livres,"7,000",,
57,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Miel,Nantes,Hollande,"3 600,00",Livres,"0,100",,
58,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Ocre,Nantes,Hollande,"1 015,00",Bariques,"15,000",,
59,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Pierres a fusils,Nantes,Hollande,"1 680,00",Milliers,"2,000",,
60,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Pruneaux ,Nantes,Hollande,"57 010,00",Livres,"0,100",,
61,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Sel,Nantes,Hollande,"58,00",Muids,"44,000",,
62,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,3,1758,Exports,Sel,Nantes,Hollande,"887,00",Charges,"50,000",,
63,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Sirop melasse,Nantes,Hollande,"40 203,00",Livres,"0,100",,Prix unitaire en pourcentage
64,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Thé,Nantes,Hollande,"32 768,00",Livres,"2,250",,
65,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Toile de Bretagne,Nantes,Hollande,"13 550,00",Livres,"1,750",,
66,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Vin d'Amont,Nantes,Hollande,"230,00",Tonneaux,"240,000",,
67,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Vin nantois,Nantes,Hollande,"49,00",Tonneaux,"90,000",,
68,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Caffé des isles,Nantes,Nord,"154 635,00",Livres,"0,750",,
69,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Chataignes,Nantes,Nord,"432,00",Boisseaux,"0,500",,
70,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Confitures,Nantes,Nord,"260,00",Livres,"0,750",,
71,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Eau de vie,Nantes,Nord,"1 959,00",Veltes,"3,250",,
72,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Fruit sec,Nantes,Nord,"230,00",Livres,"0,250",,
73,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Indigo,Nantes,Nord,"514,00",Livres,"7,000",,
74,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Pierres a fusils,Nantes,Nord,"260,00",Milliers,"2,000",,
75,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Pruneaux ,Nantes,Nord,"1 670,00",Livres,"0,100",,
76,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Sel,Nantes,Nord,"7 601,00",Muids,"44,000",,
77,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Sel,Nantes,Nord,"3 216,00",Charges,"50,000",,
78,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Sirop melasse,Nantes,Nord,"154 612,00",Livres,"0,100",,Prix unitaire en pourcentage
79,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Sucre terré,Nantes,Nord,"2 000,00",Livres,"0,450",,Prix unitaire en pourcentage
80,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Thé,Nantes,Nord,"4 373,00",Livres,"2,250",,
81,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Vin d'Amont,Nantes,Nord,"1 687,00",Tonneaux,"240,000",,
82,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Vin d'Amont,Nantes,Nord,"2,00",Bariques,"60,000",,
83,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Vin nantois,Nantes,Nord,"1 030,00",Tonneaux,"90,000",,
84,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Beure,Nantes,Portugal,"14 666,00",Livres,"0,375",,
85,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,4,1758,Exports,Bougie,Nantes,Portugal,"100,00",Livres,"2,250",,
86,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Etamine de laine,Nantes,Portugal,"1 200,00",Aunes,"3,000",,
87,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Fayance,Nantes,Portugal,"20,00",Douzaines,"3,250",,
88,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Miel,Nantes,Portugal,"11 500,00",Livres,"0,100",,
89,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Peaux de veau corroyées,Nantes,Portugal,"4 646,00",Douzaines,"36,000",,
90,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Peaux de veau passées,Nantes,Portugal,"12 345,00",Livres,"1,000",,
91,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Sirop melasse,Nantes,Portugal,"23 500,00",Livres,"0,100",,Prix unitaire en pourcentage
92,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Tapisserie d'Aubusson,Nantes,Portugal,"1 460,00",Livres,"4,750",,
93,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Toile de Bretagne,Nantes,Portugal,"2 872,00",Livres,"1,750",,
94,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Vinaigre,Nantes,Portugal,"212,00",Tonneaux,"60,000",,
95,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Sel,Nantes,Russie,"88,00",Charges,"50,000",,
96,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Sel,Nantes,Russie,"42,00",Muids,"44,000",,
97,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Beure,Nantes,Suède,"1,00",Bariques,"70,200",,"1 barrique à 7 sous et 6 deniers la livre, mais rien sur le poids de la barrique. J'ai pris le chiffre de l'objet général qui indique une exportation de 70 livres et 4 sous pour la Suède en 1758 ce qui signifie que la barril de beurre est évalué à 187,33 livres poid. "
98,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Caffé,Nantes,Suède,"1 790,00",Livres,"0,750",,
99,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Casse,Nantes,Suède,"405,00",Livres,"1,250",,
100,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Confitures,Nantes,Suède,"165,00",Livres,"0,750",,
101,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Coton en laine,Nantes,Suède,"350,00",Livres,"1,750",,
102,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Eau de vie,Nantes,Suède,"11 650,00",Veltes,"3,250",,
103,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Eau de vie,Nantes,Suède,"4,00",Tierçons,"66,000",,
104,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Eau de vie,Nantes,Suède,"2,00",Bariques,"100,000",,
105,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,5,1758,Exports,Eau de vie,Nantes,Suède,"58,00",Pipes,"200,000",,
106,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Gingembre,Nantes,Suède,"247,00",Livres,"0,400",,
107,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Papier,Nantes,Suède,"8,00",Livres,"0,500",,
108,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Pruneaux ,Nantes,Suède,"133,00",Livres,"0,100",,
109,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Riz,Nantes,Suède,"20,00",Livres,"0,200",,
110,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Sel,Nantes,Suède,"1 498,50",Muids,"44,000",,
111,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Sirop melasse,Nantes,Suède,"1 142,00",Livres,"0,100",,Prix unitaire en pourcentage
112,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Sucre brut,Nantes,Suède,"2,00",Bariques,"300,000",,
113,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Sucre terré,Nantes,Suède,"400,00",Livres,"0,450",,Prix unitaire en pourcentage
114,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Tabac,Nantes,Suède,"6,00",Livres,"2,600",,
115,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vin d'Amont,Nantes,Suède,"1,00",Tonneaux,"240,000",,
116,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vin de Bordeaux,Nantes,Suède,"2,00",Bariques,"100,000",,
117,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vin de Bordeaux,Nantes,Suède,"2,00",Tierçons,"70,000",,
118,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vin nantois,Nantes,Suède,"118,00",Tonneaux,"90,000",,
119,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vin nantois,Nantes,Suède,"7,00",Bariques,"22,500",,
120,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vinaigre,Nantes,Suède,"18,00",Tierçons,"10,000",,
121,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vinaigre,Nantes,Suède,"9,00",Bariques,"15,000",,
122,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Vinaigre,Nantes,Suède,"30,00",Quarts,"7,500",,
123,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Ardoises,Nantes,Isles françoises de l'Amérique,"15,00",Milliers,"15,000",,
124,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Beuf salé,Nantes,Isles françoises de l'Amérique,"465,00",Barils,"36,000",,
125,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Beuf salé,Nantes,Isles françoises de l'Amérique,"12,00",Tierçons,"50,000",,
126,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Beure,Nantes,Isles françoises de l'Amérique,"8 492,00",Livres,"0,375",,
127,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Bierre,Nantes,Isles françoises de l'Amérique,"6,00",Bariques,"25,000",,
128,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Blanc d'Espagne,Nantes,Isles françoises de l'Amérique,"5,00",Bariques,"15,000",,
129,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Bougie,Nantes,Isles françoises de l'Amérique,"2 849,00",Livres,"2,250",,
130,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Carreaux a paver,Nantes,Isles françoises de l'Amérique,"10,00",Milliers,"17,000",,
131,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,6,1758,Exports,Cercles a Bariques,Nantes,Isles françoises de l'Amérique,"52,00",Fournitures,"10,000",,
132,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Chandelle,Nantes,Isles françoises de l'Amérique,"8 623,00",Livres,"0,450",,
133,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Chapeaux castors,Nantes,Isles françoises de l'Amérique,"130,00",Pièces,"13,000",,
134,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Charbon de terre,Nantes,Isles françoises de l'Amérique,"14,00",Bariques,"12,000",,
135,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Clouds de fer,Nantes,Isles françoises de l'Amérique,"18 600,00",Livres,"0,275",,
136,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Cordages,Nantes,Isles françoises de l'Amérique,"13 700,00",Livres,"0,300",,
137,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Eau de vie,Nantes,Isles françoises de l'Amérique,"2 340,00",Veltes,"3,250",,
138,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Etamine de laine,Nantes,Isles françoises de l'Amérique,"520,00",Aunes,"3,000",,
139,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Farine,Nantes,Isles françoises de l'Amérique,"3 519,00",Barils,"30,000",,
140,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Fayance,Nantes,Isles françoises de l'Amérique,"15,00",Douzaines,"3,250",,
141,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Fer en barres,Nantes,Isles françoises de l'Amérique,"380 880,00",Livres,"0,150",,
142,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Fer en chaudiéres,Nantes,Isles françoises de l'Amérique,"16 350,00",Livres,"0,130",,Prix unitaire en pourcentage
143,Anthony Rebours,AD 44 C716 n°30,Local/Nantes/Nantes - Exports – 1758.csv,Local,7,1758,Exports,Fer en grilles,Nantes,Isles françoises de l'Amérique,"32 900,00",Livres,"0,100",,
