numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,remarks
13,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Vin de Bordeaux,Nantes,Angleterre,"5,75",Barriques,300,.,
14,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Vinaigre,Nantes,Angleterre,14,Quarts,14,.,droits sur le vin et le vinaigre à 49s par tonneau 
15,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Arbres fruitiers,Nantes,Flandre Impériale,.,valeur,74,74,
16,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Bray Sec,Nantes,Flandre Impériale,1200,Livres,"0,5",.,
17,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Bois Rouge,Nantes,Flandre Impériale,20000,Livres,"0,35",.,
18,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Chataignes,Nantes,Flandre Impériale,469,Boisseaux,"0,7",.,
19,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Confitures,Nantes,Flandre Impériale,34,Livres,"0,6",.,
20,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Cassonade,Nantes,Flandre Impériale,150,Livres,"0,4",.,
21,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Caffé de moka,Nantes,Flandre Impériale,828,Livres,"2,325",.,
22,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Caffé de bourbon,Nantes,Flandre Impériale,119402,Livres,"0,675",.,
23,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Caffé des Isles,Nantes,Flandre Impériale,35670,Livres,"0,55",.,
24,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Cacao,Nantes,Flandre Impériale,2683,Livres,"1,3",.,
25,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Cotton en laine,Nantes,Flandre Impériale,40083,Livres,"0,9",.,
26,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Cuirs secs en poil,Nantes,Flandre Impériale,3190,En nombre,"0,8",.,
27,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Eau de vie,Nantes,Flandre Impériale,1658,Bariques,120,.,Droits à 3lt5s la barrique
28,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Guinée blanche,Nantes,Flandre Impériale,180,Pièces,40,.,
29,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Huile d'olive,Nantes,Flandre Impériale,109,Livres,"0,75",.,
30,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Indigo,Nantes,Flandre Impériale,19662,Livres,"4,25",.,
31,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Liège en planches,Nantes,Flandre Impériale,300,Livres,"0,12",.,
32,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Mouchoirs de Pontichery,Nantes,Flandre Impériale,600,Pièces,21,.,
33,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Pruneaux de St Catherine,Nantes,Flandre Impériale,650,Livres,"0,4",.,
34,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Pruneaux communs,Nantes,Flandre Impériale,400,Livres,"0,15",.,
35,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,1,1740,Exports,Pierres à fusils,Nantes,Flandre Impériale,875,Milliers,"3,5",.,
36,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Rocou,Nantes,Flandre Impériale,975,Livres,"0,6",.,
37,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Saffran,Nantes,Flandre Impériale,200,Livres,30,.,
38,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Sucre en pain,Nantes,Flandre Impériale,900,Livres,"0,7",.,
39,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Sucre terré,Nantes,Flandre Impériale,373225,Livres,"0,365",.,
40,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Sucre tête,Nantes,Flandre Impériale,22200,Livres,"0,2725",.,
41,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Sucre brut,Nantes,Flandre Impériale,749175,Livres,"0,225",.,
42,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Sirop de sucre,Nantes,Flandre Impériale,677375,Livres,"0,075",.,
43,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Thé divers,Nantes,Flandre Impériale,79787,Livres,"5,125",.,
44,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Toile de Bretagne,Nantes,Flandre Impériale,625,Livres,4,.,
45,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Vin Nantois,Nantes,Flandre Impériale,247,Tonneaux,120,.,Droits sur le vin à 49s le tonneau
46,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Vin d'amont,Nantes,Flandre Impériale,"841,25",Tonneaux,230,.,Droits sur le vin à 49s le tonneau
47,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Vin de Bordeaux,Nantes,Flandre Impériale,"2,25",Tonneaux,240,.,Droits sur le vin à 49s le tonneau
48,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Alibanis,Nantes,Hollande,354,Pièces,11,.,
49,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Arains,Nantes,Hollande,100,Pièces,28,.,
50,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Baffetas blanc,Nantes,Hollande,480,Pièces,10,.,
51,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Basin,Nantes,Hollande,300,Pièces,"32,5",.,
52,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Bois rouge,Nantes,Hollande,305200,Livres,"0,35",.,
53,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Bois de Fernanbourg,Nantes,Hollande,20000,Livres,"0,5",.,
54,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Chataignes,Nantes,Hollande,687,Boisseaux,"0,7",.,
55,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Citrons confits,Nantes,Hollande,1800,Livres,"0,6",.,
56,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Confitures,Nantes,Hollande,800,Livres,"0,6",.,
57,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Caffé de moka,Nantes,Hollande,28130,Livres,"2,325",.,
58,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Caffé de bourbon,Nantes,Hollande,942200,Livres,"0,675",.,
59,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Caffé des Isles,Nantes,Hollande,534775,Livres,"0,55",.,
60,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Cacao,Nantes,Hollande,8200,Livres,"1,3",.,
61,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Cotton en laine,Nantes,Hollande,7325,Livres,"0,9",.,
62,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Caladaris,Nantes,Hollande,1171,Pièces,18,.,
63,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Coupis,Nantes,Hollande,469,Pièces,"13,5",.,
64,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Chasselas ,Nantes,Hollande,320,Pièces,21,.,
65,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Chalbaf,Nantes,Hollande,200,Pièces,"19,5",.,
66,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Chitte,Nantes,Hollande,12,Pièces,61,.,
67,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Cirthaca,Nantes,Hollande,120,Pièces,15,.,
68,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Chuquelas,Nantes,Hollande,501,Pièces,18,.,
69,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Casse,Nantes,Hollande,240,Pièces,50,.,
70,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Cardamomum,Nantes,Hollande,5554,Livres,"3,5",.,
71,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Cabarets Vernis,Nantes,Hollande,2,Pièces,"7,5",.,
72,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Damas,Nantes,Hollande,634,Pièces,100,.,
73,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Dissouchaye,Nantes,Hollande,96,Pièces,24,.,
74,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Doutis,Nantes,Hollande,1721,Pièces,15,.,
75,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Dariabadis,Nantes,Hollande,1076,Pièces,"8,5",.,
76,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Eau de vie,Nantes,Hollande,157,Barriques,120,.,
77,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Esquine,Nantes,Hollande,1100,Livres,"0,35",.,
78,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Etoffe de soye,Nantes,Hollande,44,Livres,40,.,
79,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Elatchas,Nantes,Hollande,230,Pièces,18,.,
80,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Fruit cuit,Nantes,Hollande,200,Livres,"0,35",.,
81,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Gingembre,Nantes,Hollande,9100,Livres,"0,1375",.,
82,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Galanga,Nantes,Hollande,28725,Livres,"0,4",.,
83,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Gomme de Senegal,Nantes,Hollande,299250,Livres,"0,32",.,
84,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,2,1740,Exports,Gomme Elemy,Nantes,Hollande,275,Livres,"0,425",.,
85,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Gaze,Nantes,Hollande,7,Pièces,70,.,
86,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Guinguans divers,Nantes,Hollande,1911,Pièces,12,.,
87,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Gourgouran,Nantes,Hollande,473,Pièces,"87,5",.,
88,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Garas blanc,Nantes,Hollande,17365,Pièces,15,.,
89,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Guinée bleuë,Nantes,Hollande,2580,Pièces,16,.,
90,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Guinée blanche ordinaire ,Nantes,Hollande,27823,Pièces,40,.,
91,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Guinée mazulipatan,Nantes,Hollande,223,Pièces,40,.,
92,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Huile d'olive,Nantes,Hollande,620,Livres,"0,75",.,
93,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Hamans,Nantes,Hollande,336,Pièces,30,.,
94,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Indigo,Nantes,Hollande,98250,Livres,"4,25",.,
95,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Jamard,Nantes,Hollande,23,Pièces,55,.,
96,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Lampas,Nantes,Hollande,40,Pièces,55,.,
97,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mousseline,Nantes,Hollande,114,Pièces,45,.,
98,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Malemote,Nantes,Hollande,40,Pièces,55,.,
99,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Manoudis ,Nantes,Hollande,97,Pièces,42,.,
100,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mouchoirs d'organdis ,Nantes,Hollande,45,Pièces,60,.,
101,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mouchoirs peints,Nantes,Hollande,237,Pièces,49,.,
102,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mouchoirs paliacate,Nantes,Hollande,100,Pièces,65,.,
103,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mouchoirs de Bengal,Nantes,Hollande,100,Pièces,28,.,
104,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mouchoirs de Pontichery,Nantes,Hollande,1908,Pièces,21,.,
105,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mouchoirs divers,Nantes,Hollande,100,Pièces,15,.,
106,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Mastaquy,Nantes,Hollande,167,Livres,"1,8",.,
107,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Nelis,Nantes,Hollande,21,Pièces,15,.,
108,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Ocre,Nantes,Hollande,404,Barriques,6,.,
109,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Pruneaux de St Catherine,Nantes,Hollande,992,Livres,"0,4",.,
110,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Pruneaux communs,Nantes,Hollande,80825,Livres,"0,15",.,
111,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Percales,Nantes,Hollande,720,Pièces,28,.,
112,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Pinaze,Nantes,Hollande,110,Pièces,"16,5",.,
113,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Pekin uni,Nantes,Hollande,581,Pièces,70,.,
114,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Patissoye,Nantes,Hollande,209,Pièces,104,.,
115,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Patissoye broché,Nantes,Hollande,8,Pièces,.,.,pas de valeur unitaire
116,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Papier peint,Nantes,Hollande,180,Feuilles,"2,5",.,
117,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Porcelaine,Nantes,Hollande,280,Livres,5,.,
118,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Pierres à fusils,Nantes,Hollande,857,Milliers,"3,5",.,
119,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sucre de cane,Nantes,Hollande,14600,Livres,"0,46125",.,
120,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sucre terré,Nantes,Hollande,1500850,Livres,"0,365",.,
121,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sucre tête,Nantes,Hollande,16000,Livres,"0,2725",.,
122,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sucre brut,Nantes,Hollande,6864200,Livres,"0,225",.,
123,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sirop de sucre,Nantes,Hollande,365075,Livres,"0,70525",.,
124,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,50,Charges,88,.,
125,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,160,Charges,80,.,
126,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,41,Charges,75,.,
127,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,149,Charges,70,.,
128,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,173,Charges,68,.,
129,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,116,Charges,65,.,
130,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,112,Charges,64,.,
131,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel de Bourgneuf,Nantes,Hollande,104,Charges,60,.,
132,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel du Croisic,Nantes,Hollande,"961,5",Muids,50,.,
133,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel du Croisic,Nantes,Hollande,47,Muids,35,.,
134,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel du Croisic,Nantes,Hollande,85,Muids,30,.,
135,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Sel du Croisic,Nantes,Hollande,55,Muids,20,.,
136,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Saffran,Nantes,Hollande,500,Livres,30,.,
137,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Salpetre brut,Nantes,Hollande,13625,Livres,"0,45",.,
138,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Soye Nankin,Nantes,Hollande,6350,Livres,15,.,
139,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Soye tanis,Nantes,Hollande,20118,Livres,10,.,
140,Loïc Charles,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,3,1740,Exports,Salemporis blanc,Nantes,Hollande,4881,Livres,17,.,
141,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Sanas,Nantes,Hollande,739,Pièces,20,.,
142,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Socreton ,Nantes,Hollande,210,Pièces,"32,5",.,
143,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Soucis,Nantes,Hollande,672,Pièces,28,.,
144,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Satin uni,Nantes,Hollande,235,Pièces,100,.,
145,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Satin broché,Nantes,Hollande,6,Pièces,87,.,
146,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Thé divers,Nantes,Hollande,52642,Livres,"5,125",.,
147,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Toutenaque,Nantes,Hollande,95500,Livres,"0,47",.,
148,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Tafetas foulas,Nantes,Hollande,96,Pièces,.,.,pas de prix unitaire
149,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Toile peinte indienne,Nantes,Hollande,182,Pièces,17,.,
150,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Toile de Bretagne,Nantes,Hollande,250,Livres,4,.,
151,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Vin Nantois,Nantes,Hollande,92,Tonneaux,170,.,
152,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Vin d'amont,Nantes,Hollande,1069,Tonneaux,230,.,
153,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Vestes courtepointes et jupes de toile peinte,Nantes,Hollande,14,Pièces,30,.,
154,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Antimoine,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,4000,Livres,"0,25",.,
155,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Alibanis,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,480,Pièces,11,.,
156,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Armoisin,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,223,Pièces,28,.,
157,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Arains,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,60,Pièces,28,.,
158,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Boeuf salé,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,450,Livres,"0,36",.,1 quart de baril sur le pied
159,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Baffetas blanc,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,300,Pièces,10,.,
160,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Betilles,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,20,Pièces,25,.,
161,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Basin,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,30,Pièces,"32,5",.,
162,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Basin Brodé,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,4,Pièces,250,.,
163,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Bois de Brezil,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,96650,Livres,"0,5",.,
164,Gabriel Varela,AD 44 C706,Local/Nantes/Nantes-exports.csv,Local,4,1740,Exports,Bois de Sapan,Nantes,Nord qui comprend les villes anseatiques et la moscovie ,33000,Livres,"0,355",.,
