numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,probleme
23,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Cordage,Flandre Imperialle,2913.3,16185,Livres,0.18,0
24,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Bierre,Flandre Imperialle,1620,54,Bariques,30,0
25,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Bariques vuides,Flandre Imperialle,50,50,En nombre,1,0
26,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,harans blancs,Flandre Imperialle,2175,145,Barils,15,0
27,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Gaudron,Flandre Imperialle,144,12,Barils,12,0
28,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Lin crû,Flandre Imperialle,840,3000,Livres,0.28,0
29,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Bled froment,Hollande,195,1.5,Thonneaux,130,0
30,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Beure,Hollande,115.5,550,Livres,0.21,0
31,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Bierre,Hollande,17400,580,Barriques,30,0
32,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Bierre,Hollande,38.5,110,Bouteilles,0.35,0
33,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Cabillau,Hollande,5062,50620,Livres,0.1,0
34,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Canelle,Hollande,10660,2132,Livres,5,0
35,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Esturgeons,Hollande,9,3,Barrillets,3,0
36,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Epicerie commune,Hollande,90930,12990,Livres,7,0
37,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Fromage,Hollande,93812.5,375250,Livres,0.25,0
38,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Geroffle,Hollande,8470,1210,Livres,7,0
39,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Gruau,Hollande,3580,179,Barriques,20,0
40,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Harans blancs,Hollande,40867.5,2724.5,Barils,15,0
41,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Harans sors,Hollande,4640,464,Barils,10,0
42,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Jambons,Hollande,3856,9640,Livres,0.4,0
43,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Liqueurs a boire,Hollande,0,,Valeur,0,0
44,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Muscade,Hollande,4648,664,Livres,7,0
45,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Orge mondée,Hollande,40.5,150,Livres,0.27,0
46,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Poivre noir,Hollande,71380,71380,Livres,1,0
47,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Pois secs,Hollande,585,6.5,Thonneaux,90,0
48,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Ris,Hollande,114,760,Livres,0.15,0
49,Demba,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Stocfiche,Hollande,369,3075,Livres,0.12,0
50,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Sucre en pain,Hollande,9,12,Livres,0.75,0
51,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Thé,Hollande,55,11,Livres,5,0
52,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Vin du Rhin,Hollande,0,875,Bouteilles,0,0
53,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,2,Ambre jaune,Hollande,0,370,Livres,0,0
54,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Alun,Hollande,632,3160,Livres,0.2,0
55,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Azur commun,Hollande,527.5,1055,Livres,0.5,0
56,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Amidon,Hollande,1343,7900,Livres,0.17,0
57,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Arcenic,Hollande,0,410,Livres,0,0
58,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Acier,Hollande,6300,252,Barils,25,0
59,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Baleine coupée,Hollande,4675,935,Livres,5,0
60,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Baleine en fanon,Hollande,3700,925,Livres,4,0
61,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bois de campesche,Hollande,32025,213500,Livres,0.15,0
62,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bois de campesche rapé,Hollande,8490,28300,Livres,0.3,0
63,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bois de pernanmbouc,Hollande,111300,3180,Livres,35,0
64,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bois de caliatour,Hollande,74470,3385,Livres,22,0
65,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bois de saxafra,Hollande,0,100,Livres,0,0
66,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bois a brusler,Hollande,80,8,Cordes,10,0
67,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Batons de sapin,Hollande,30,5,Douzaines,6,0
68,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Baguettes de cuivre,Hollande,450,300,En nombre,1.5,0
69,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Borax,Hollande,70,28,Livres,2.5,0
70,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Bray gras,Hollande,1521,117,Barils,13,0
71,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Cuivre rouge,Hollande,4410,3150,Livres,1.4,0
72,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Cuivre jaune,Hollande,9609.3,7118,Livres,1.35,0
73,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Ceruze,Hollande,0,10050,Livres,0,0
74,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Couperose verte,Hollande,0,48425,Livres,0,0
75,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,colle de poisson,Hollande,64,16,Livres,4,0
76,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Cire blanche,Hollande,30,20,Livres,1.5,0
77,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Chevrons de 8 pieds,Hollande,24,30,En nombre,0.8,0
78,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Droguerie a teindre,Hollande,0,99850,Livres,0,0
79,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Draps de lits vieux,Hollande,1862.5,1490,En nombre,1.25,0
80,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Eau forte,Hollande,0,340,Livres,0,0
81,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Eau de bronze,Hollande,0,100,Petites cruches,0,0
82,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Essence de terebantine,Hollande,0,12,Livres,0,0
83,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Epars de 27 pieds de long,Hollande,832,416,En nombre,2,0
84,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Filasse,Hollande,60,100,Livres,0.6,0
85,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Fleches a prendre des huistres,Hollande,250,50,En nombre,5,0
86,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Fer en barres,Hollande,6796.2,56635,Livres,0.12,0
87,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Garance,Hollande,0,7500,Livres,0,0
88,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Graine de choux,Hollande,170,170,Livres,1,0
89,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,3,Gaudron,Hollande,3912,326,Barils,12,0
90,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Groisil,Hollande,0,450,Barils,0,0
91,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Huile de lin,Hollande,10350,103.5,Bariques,100,0
92,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Huille de rabette,Hollande,950,10,Bariques,95,0
93,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Huile de baleine,Hollande,1440,12,Bariques,120,0
94,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Lin apresté,Hollande,0,4920,Livres,0,0
95,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mine de plomb,Hollande,542.75,4175,Livres,0.13,0
96,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Massicot,Hollande,15,20,Livres,0.75,0
97,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Manches a balais,Hollande,32,16,Douzaines,2,0
98,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mats de navires de 78 pieds,Hollande,150,1,nombre,150,0
99,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mats de navires de 69 pieds,Hollande,100,1,nombre,100,0
100,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mats de navires de 60 pieds,Hollande,160,2,nombre,80,0
101,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mats de navires de 56 pieds,Hollande,980,28,nombre,35,0
102,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mats de navires de 40 a 50 pieds,Hollande,2680,134,nombre,20,0
103,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Mats de navires de 40 pieds,Hollande,1350,90,nombre,15,0
104,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Matreaux,Hollande,980,140,En nombre,7,0
105,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Merain a pipes,Hollande,1400,4000,Douelles,0.35,0
106,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Merain a bariques,Hollande,180,1200,Douelles,0.15,0
107,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Planches de chesne de 11 pieds,Hollande,1987.5,1590,Pièces,1.25,0
108,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Planches de chesne de 8 pieds et demi,Hollande,25.5,25.5,pièces,1,0
109,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Planches de prusse de 27 pieds,Hollande,3520,880,Pièces,4,0
110,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Planches de sapin ; de 15 pieds,Hollande,324,270,Pièces,1.2,0
111,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Planches de sapin ; de 12 pieds,Hollande,1239,1050,Pièces,1.18,0
112,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Planches de sapin ; de 8 pieds,Hollande,19569.76,34946,Pièces,0.56,0
113,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,"Planches de sapin ; de Rebut de 7,5 pieds",Hollande,1200,2500,Pièces,0.48,0
114,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Poix grasse,Hollande,552,3680,Livres,0.15,0
115,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Rave de morue,Hollande,2875,115,Barils,25,0
116,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Rassade,Hollande,1580,1975,Livres,0.8,0
117,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Sel d'ipsum,Hollande,0,270,Livres,0,0
118,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Souffre,Hollande,336,2400,Livres,0.14,0
119,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Sumac,Hollande,168,2400,Livres,0.07,0
120,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Soye de porc,Hollande,0,27,Livres,0,0
121,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Soliveaux de sapin de 12 pieds,Hollande,285,95,Pièces,3,0
122,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Terre d'ombre,Hollande,90,360,Livres,0.25,0
123,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,4,Vermillon,Hollande,5500,1000,Livres,5.5,0
124,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Anabas,Hollande,116360,5818,Pièces,20,0
125,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Argent monnoyé,Hollande,0,,Valeur,0,0
126,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Ancres de fer,Hollande,11770,53500,Livres,0.22,0
127,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Aiguilles ancile,Hollande,750,5000,En nombre,0.15,0
128,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Aiguilles ancile,Hollande,0,101,Livres,0,0
129,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Baffetas bleu,Hollande,43560,3630,Pièces,12,0
130,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Bolsas,Hollande,560,40,Pièces,14,0
131,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Brosserie,Hollande,0,440,Livres,0,0
132,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Boulles de marbre pour jouets des enfants,Hollande,180,30,Milliers,6,0
133,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Bouteilles de verre,Hollande,12,40,Livres,0.3,0
134,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Boulets de canon de fer,Hollande,2400,20000,Livres,0.12,0
135,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Bouchons de liege,Hollande,6,800,En nombre,0.008,0
136,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Bariques cerclées et fer,Hollande,20,2,En nombre,10,0
137,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Barils vuides,Hollande,135,180,En nombre,0.75,0
138,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Carots,Hollande,562.5,150,Pièces,3.75,0
139,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Couty,Hollande,325,130,Aunes,2.5,0
140,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Coupis,Hollande,375,25,Pièces,15,0
141,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cordage,Hollande,10387.8,57710,Livres,0.18,0
142,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cartes marines,Hollande,640,64,Livres,10,0
143,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Corail,Hollande,700,7,Livres,100,0
144,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cauris,Hollande,108358.4,67724,Livres,1.6,0
145,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Couteaux a gaisne,Hollande,1415.75,809,Douzaines,1.75,0
146,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Couteaux communes,Hollande,4240,2650,Douzaines,1.6,0
147,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cuivre en chaudrons,Hollande,67050,44700,Livres,1.5,0
148,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cuivre en bassins,Hollande,22638,16170,Livres,1.4,0
149,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cries de fer,Hollande,0,20,En nombre,0,0
150,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Cercles de fer,Hollande,2077.5,13850,Livres,0.15,0
151,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Clouds de fer,Hollande,410,2050,Livres,0.2,0
152,Pascal Fontaine,AD 44 C 706,Local/Nantes/Nantes-imports-1730-1776.csv,Local,1730,Imports,Nantes,5,Clefs a uin,Hollande,10,2,Livres,5,0
