numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,remarks
11,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bêtes de somme,Possessions Espagnoles,921768,Articles de marchandises permis par l'arrêt du 30 août 1784
12,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bêtes de somme,Possessions Portugaises,10100,Articles de marchandises permis par l'arrêt du 30 août 1784
13,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bêtes de somme,Possessions Anglaises,40004,Articles de marchandises permis par l'arrêt du 30 août 1784
14,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bêtes de somme,Possessions Danoises,12000,Articles de marchandises permis par l'arrêt du 30 août 1784
15,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bêtes de somme,Possessions Hollandaises,198460,Articles de marchandises permis par l'arrêt du 30 août 1784
16,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Chairs salées,Possessions des États-Unis de l'Amérique,734815,Articles de marchandises permis par l'arrêt du 30 août 1784
17,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Chairs salées,Possessions Espagnoles,12342,Articles de marchandises permis par l'arrêt du 30 août 1784
18,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Chairs salées,Possessions Anglaises,139430,Articles de marchandises permis par l'arrêt du 30 août 1784
19,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Chairs salées,Possessions Danoises,20328,Articles de marchandises permis par l'arrêt du 30 août 1784
20,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Chairs salées,Possessions suédoises,1160,Articles de marchandises permis par l'arrêt du 30 août 1784
21,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Chairs salées,Possessions Hollandaises,45003,Articles de marchandises permis par l'arrêt du 30 août 1784
22,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Charbon de terre,Possessions des États-Unis de l'Amérique,68750,Articles de marchandises permis par l'arrêt du 30 août 1784
23,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Charbon de terre,Possessions Anglaises,3120,Articles de marchandises permis par l'arrêt du 30 août 1784
24,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Cuirs en poil,Possessions des États-Unis de l'Amérique,34500,Articles de marchandises permis par l'arrêt du 30 août 1784
25,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Cuirs en poil,Possessions Espagnoles,256356,Articles de marchandises permis par l'arrêt du 30 août 1784
26,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Cuirs en poil,Possessions Portugaises,2310,Articles de marchandises permis par l'arrêt du 30 août 1784
27,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Cuirs en poil,Possessions Danoises,21450,Articles de marchandises permis par l'arrêt du 30 août 1784
28,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Cuirs en poil,Possessions Hollandaises,2186,Articles de marchandises permis par l'arrêt du 30 août 1784
29,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de toute sorte,Possessions Espagnoles,822219,Articles de marchandises permis par l'arrêt du 30 août 1784
30,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de toute sorte,Possessions des États-Unis de l'Amérique,23216,Articles de marchandises permis par l'arrêt du 30 août 1784
31,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de toute sorte,Possessions Anglaises,11455,Articles de marchandises permis par l'arrêt du 30 août 1784
32,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de toute sorte,Possessions Danoises,28380,Articles de marchandises permis par l'arrêt du 30 août 1784
33,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de toute sorte,Possessions suédoises,453,Articles de marchandises permis par l'arrêt du 30 août 1784
34,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de toute sorte,Possessions Hollandaises,13733,Articles de marchandises permis par l'arrêt du 30 août 1784
35,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de construction,Possessions Espagnoles,2678079,Articles de marchandises permis par l'arrêt du 30 août 1784
36,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de construction,Possessions des États-Unis de l'Amérique,48810,Articles de marchandises permis par l'arrêt du 30 août 1784
37,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de construction,Possessions Anglaises,90210,Articles de marchandises permis par l'arrêt du 30 août 1784
38,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de construction,Possessions Danoises,3640,Articles de marchandises permis par l'arrêt du 30 août 1784
39,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de construction,Possessions suédoises,1600,Articles de marchandises permis par l'arrêt du 30 août 1784
40,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de construction,Possessions Hollandaises,43994,Articles de marchandises permis par l'arrêt du 30 août 1784
41,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois merrain et feuillard,Possessions Espagnoles,764886,Articles de marchandises permis par l'arrêt du 30 août 1784
42,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de marqueterie,Possessions Espagnoles,38043,Articles de marchandises permis par l'arrêt du 30 août 1784
43,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de teinture,Possessions Espagnoles,126323,Articles de marchandises permis par l'arrêt du 30 août 1784
44,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de teinture,Possessions Anglaises,4800,Articles de marchandises permis par l'arrêt du 30 août 1784
45,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Bois de teinture,Possessions Portugaises,2800,Articles de marchandises permis par l'arrêt du 30 août 1784
46,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,"Bray, goudron, résine",Possessions Espagnoles,106918,Articles de marchandises permis par l'arrêt du 30 août 1784
47,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,"Bray, goudron, résine",Possessions Anglaises,380,Articles de marchandises permis par l'arrêt du 30 août 1784
48,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,"Bray, goudron, résine",Possessions Danoises,585,Articles de marchandises permis par l'arrêt du 30 août 1784
49,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,"Bray, goudron, résine",Possessions Hollandaises,2321,Articles de marchandises permis par l'arrêt du 30 août 1784
50,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Grains de toute sorte,Possessions des États-Unis de l'Amérique,46542,Articles de marchandises permis par l'arrêt du 30 août 1784
51,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Grains de toute sorte,Possessions Espagnoles,3080,Articles de marchandises permis par l'arrêt du 30 août 1784
52,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Grains de toute sorte,Possessions Anglaises,7780,Articles de marchandises permis par l'arrêt du 30 août 1784
53,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Harengs et maquereaux salés,Possessions des États-Unis de l'Amérique,179444,Articles de marchandises permis par l'arrêt du 30 août 1784
54,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Harengs et maquereaux salés,Possessions Anglaises,93470,Articles de marchandises permis par l'arrêt du 30 août 1784
55,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Harengs et maquereaux salés,Possessions Danoises,2764,Articles de marchandises permis par l'arrêt du 30 août 1784
56,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Harengs et maquereaux salés,Possessions Hollandaises,3314,Articles de marchandises permis par l'arrêt du 30 août 1784
57,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Légumes divers,Possessions des États-Unis de l'Amérique,264420,Articles de marchandises permis par l'arrêt du 30 août 1784
58,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Légumes divers,Possessions Espagnoles,3612,Articles de marchandises permis par l'arrêt du 30 août 1784
59,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Légumes divers,Possessions Anglaises,8767,Articles de marchandises permis par l'arrêt du 30 août 1784
60,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Légumes divers,Possessions Danoises,1307,Articles de marchandises permis par l'arrêt du 30 août 1784
61,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Légumes divers,Possessions Hollandaises,2706,Articles de marchandises permis par l'arrêt du 30 août 1784
62,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Mays,Possessions des États-Unis de l'Amérique,464848,Articles de marchandises permis par l'arrêt du 30 août 1784
63,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Mays,Possessions Espagnoles,62088,Articles de marchandises permis par l'arrêt du 30 août 1784
64,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Mays,Possessions Portugaises,10697,Articles de marchandises permis par l'arrêt du 30 août 1784
65,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Mays,Possessions Anglaises,8004,Articles de marchandises permis par l'arrêt du 30 août 1784
66,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Mays,Possessions Danoises,9810,Articles de marchandises permis par l'arrêt du 30 août 1784
67,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Mays,Possessions Hollandaises,13444,Articles de marchandises permis par l'arrêt du 30 août 1784
68,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Morue salée,Possessions des États-Unis de l'Amérique,1203369,Articles de marchandises permis par l'arrêt du 30 août 1784
69,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Morue salée,Possessions Espagnoles,11280,Articles de marchandises permis par l'arrêt du 30 août 1784
70,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Morue salée,Possessions Anglaises,26557,Articles de marchandises permis par l'arrêt du 30 août 1784
71,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Morue salée,Possessions Danoises,10880,Articles de marchandises permis par l'arrêt du 30 août 1784
72,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Morue salée,Possessions suédoises,400,Articles de marchandises permis par l'arrêt du 30 août 1784
73,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Morue salée,Possessions Hollandaises,39260,Articles de marchandises permis par l'arrêt du 30 août 1784
74,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Nègres,Possessions des États-Unis de l'Amérique,287000,Articles de marchandises permis par l'arrêt du 30 août 1784
75,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Nègres,Possessions Portugaises,465320,Articles de marchandises permis par l'arrêt du 30 août 1784
76,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Nègres,Possessions Anglaises,5154500,Articles de marchandises permis par l'arrêt du 30 août 1784
77,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Nègres,Possessions Hollandaises,329915,Articles de marchandises permis par l'arrêt du 30 août 1784
78,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Or monnoyé,Possessions des États-Unis de l'Amérique,6600,Articles de marchandises permis par l'arrêt du 30 août 1784
79,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Or monnoyé,Possessions Portugaises,393052,Articles de marchandises permis par l'arrêt du 30 août 1784
80,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Or monnoyé,Possessions Anglaises,29744,Articles de marchandises permis par l'arrêt du 30 août 1784
81,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Or monnoyé,Possessions suédoises,1540,Articles de marchandises permis par l'arrêt du 30 août 1784
82,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Or monnoyé,Possessions Hollandaises,232540,Articles de marchandises permis par l'arrêt du 30 août 1784
83,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Poisson salé de toute sorte,Possessions des États-Unis de l'Amérique,76391,Articles de marchandises permis par l'arrêt du 30 août 1784
84,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Poisson salé de toute sorte,Possessions Espagnoles,7770,Articles de marchandises permis par l'arrêt du 30 août 1784
85,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Poisson salé de toute sorte,Possessions Anglaises,5760,Articles de marchandises permis par l'arrêt du 30 août 1784
86,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Poisson salé de toute sorte,Possessions Danoises,966,Articles de marchandises permis par l'arrêt du 30 août 1784
87,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Poisson salé de toute sorte,Possessions Hollandaises,8639,Articles de marchandises permis par l'arrêt du 30 août 1784
88,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Riz,Possessions des États-Unis de l'Amérique,852964,Articles de marchandises permis par l'arrêt du 30 août 1784
89,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Riz,Possessions Portugaises,15762,Articles de marchandises permis par l'arrêt du 30 août 1784
90,Cyril Mouton,ANOM Col F 2B 13 (tableaux 37 et 38),Local/Colonies/1788 - Commerce des colonies françaises d'Amérique avec l'étranger.csv,Local,1788,Imports,Colonies Françaises de l'Amérique,3,Riz,Possessions Anglaises,43360,Articles de marchandises permis par l'arrêt du 30 août 1784
