numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,Année,exportsimports,marchandises,Direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
11,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Esprit de vin,Marseille,Pour la Hollande,"200,00",Livres,"0,450","90,00","0,00",
12,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Eau de la Reyne d'Hongrie,Marseille,Pour la Hollande,"200,00",Livres,"0,750","150,00","0,00",
13,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Essence,Marseille,Pour la Hollande,"200,00",Livres,"0,500","100,00","0,00",
14,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Figues,Marseille,Pour la Hollande,"8360,00",Livres,"0,120","1 003,20","0,00",
15,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Grenades fruit,Marseille,Pour la Hollande,"1,00",Millier,"20,000","20,00","0,00",
16,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Graine de jardin,Marseille,Pour la Hollande,"1355,00",Livres,"0,750","1 016,25","0,00",
17,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Galles d'alep,Marseille,Pour la Hollande,"150,00",Livres,"0,580","87,00","0,00",
18,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Huile d'olive,Marseille,Pour la Hollande,"2762,00",Millerolles,"40,000","110 480,00","0,00",
19,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Huile de senteur,Marseille,Pour la Hollande,"3725,00",Livres,"1,000","3 725,00","0,00",
20,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Indigo,Marseille,Pour la Hollande,"180,00",Livres,"2,250","405,00","0,00",
21,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Liqueurs a boire,Marseille,Pour la Hollande,"4300,00",Livres,"1,000","4 300,00","0,00",
22,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Liege fin,Marseille,Pour la Hollande,"18300,00",Livres,"0,140","2 562,00","0,00",
23,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Miel,Marseille,Pour la Hollande,"64500,00",Livres,"0,130","8 385,00","0,00",
24,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Noisettes,Marseille,Pour la Hollande,"1700,00",Livres,"0,060","102,00","0,00",
25,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Olives,Marseille,Pour la Hollande,"34,00",Barrils,"1,200","40,80","0,00",
26,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Olives,Marseille,Pour la Hollande,"29450,00",Livres,"0,120","3 534,00","0,00",
27,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Prunes Brugnolles,Marseille,Pour la Hollande,"276175,00",Livres,"0,280","77 329,00","0,00",
28,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Pommade,Marseille,Pour la Hollande,"100,00",Livres,"1,000","100,00","0,00",
29,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Pelleterie blanche,Marseille,Pour la Hollande,"1000,00",Livres,"0,800","800,00","0,00",
30,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,2,1728,Exports,Pelleterie crüe,Marseille,Pour la Hollande,"5400,00",Livres,"0,400","2 160,00","0,00",
31,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Peaux de parchemin,Marseille,Pour la Hollande,"425,00",Livres,"2,000","850,00","0,00",
32,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Raisin sec,Marseille,Pour la Hollande,"164100,00",Livres,"0,150","24 615,00","0,00",
33,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Saucissons,Marseille,Pour la Hollande,"150,00",Livres,"1,000","150,00","0,00",
34,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Sirop,Marseille,Pour la Hollande,"110,00",Livres,"1,000","110,00","0,00",
35,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Saffran,Marseille,Pour la Hollande,"367,00",Livres,"20,000","7 340,00","0,00",
36,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Soye de Provence,Marseille,Pour la Hollande,"6061,00",Livres,"12,000","72 732,00","0,00",
37,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Savon,Marseille,Pour la Hollande,"11925,00",Livres,"0,180","2 146,50","0,00",
38,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Savonettes,Marseille,Pour la Hollande,"10,00",Livres,"0,300","3,00","0,00",
39,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Ton mariné,Marseille,Pour la Hollande,"20,00",Livres,"0,900","18,00","0,00",
40,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Tartre,Marseille,Pour la Hollande,"27200,00",Livres,"0,150","4 080,00","0,00",
41,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Vin,Marseille,Pour la Hollande,"5755,00",Millerolles,"6,000","34 530,00","0,00",
42,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Vin de liqueurs,Marseille,Pour la Hollande,"10825,00",Livres,"1,000","10 825,00","0,00",
43,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Vinaigre,Marseille,Pour la Hollande,"5,00",Charges,"6,000","30,00","0,00",
44,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Bijouteries,Marseille,Pour l'Espagne,.,Valeur,"600,000","600,00","0,00",en valeur
45,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Boutons de fil d'or,Marseille,Pour l'Espagne,"9,00",Livres,"65,000","585,00","0,00",
46,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Bas de Soye,Marseille,Pour l'Espagne,"123,00",Livres,"45,000","5 535,00","0,00",
47,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,3,1728,Exports,Bas de filozelle,Marseille,Pour l'Espagne,"358,00",Livres,"17,000","6 086,00","0,00",
48,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Bas de laine fins,Marseille,Pour l'Espagne,"58,00",Livres,"9,000","522,00","0,00",
49,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Bas de fils,Marseille,Pour l'Espagne,"24,00",Paires,"1,000","24,00","0,00",
50,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Bazanes tannées,Marseille,Pour l'Espagne,"108,50",Douzaines,"9,000","976,50","0,00",
51,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Bougie de cire blanche,Marseille,Pour l'Espagne,"2150,00",Livres,"1,500","3 225,00","0,00",
52,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Bouteilles de verre,Marseille,Pour l'Espagne,"2100,00",Livres,"0,200","420,00","0,00",
53,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Chair salée,Marseille,Pour l'Espagne,"8625,00",Livres,"0,200","1 725,00","0,00",
54,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Couvertures de laine,Marseille,Pour l'Espagne,"717,00",Livres,"1,250","896,25","0,00",
55,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Couvertures de mulet,Marseille,Pour l'Espagne,"222,00",Nombre,"2,750","610,00","0,50",arrondi
56,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Camelot poil et laine,Marseille,Pour l'Espagne,"990,00",Livres,"6,000","5 940,00","0,00",
57,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Camelot ecarlate,Marseille,Pour l'Espagne,"25,00",Livres,"12,000","300,00","0,00",
58,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Chapeaux castor,Marseille,Pour l'Espagne,"374,00",En nombre,"18,000","6 732,00","0,00",
59,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Chapeaux demi castor,Marseille,Pour l'Espagne,"133,00",En nombre,"10,000","1 330,00","0,00",
60,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Chapeaux vigognes,Marseille,Pour l'Espagne,"44,00",Douzaines,"84,000","3 696,00","0,00",
61,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Chapeaux poil et laine,Marseille,Pour l'Espagne,"126,50",Douzaines,"60,000","7 590,00","0,00",
62,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Chapeaux comuns,Marseille,Pour l'Espagne,"264,00",Douzaines,"36,000","9 504,00","0,00",
63,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Cheveux,Marseille,Pour l'Espagne,"270,00",Livres,"22,000","5 940,00","0,00",
64,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Cuir tanné,Marseille,Pour l'Espagne,"43110,00",Livres,"0,500","21 555,00","0,00",
65,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,4,1728,Exports,Cuirs de vache tannés,Marseille,Pour l'Espagne,"117,00",En nombre,"25,000","2 925,00","0,00",
66,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Carte a jouer,Marseille,Pour l'Espagne,"3200,00",Livres,"0,750","2 400,00","0,00",
67,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Cire jaune,Marseille,Pour l'Espagne,"7825,00",Livres,"1,200","9 390,00","0,00",
68,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Crasse de cire,Marseille,Pour l'Espagne,"2550,00",Livres,"0,300","765,00","0,00",
69,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Chaises de paille,Marseille,Pour l'Espagne,"1,00",Douzaines,"10,000","10,00","0,00",10 douzaines estimé à 1£
70,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Cacao,Marseille,Pour l'Espagne,"5500,00",Livres,"0,100","550,00","0,00",
71,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Drogues dapoticaire,Marseille,Pour l'Espagne,"12,00",Livres,"3,000","36,00","0,00",
72,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Draperie fine de lanquedoc,Marseille,Pour l'Espagne,"2200,00",Livres,"6,000","13 200,00","0,00",
73,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Drap cordeillat,Marseille,Pour l'Espagne,"10,00",Pieces,"20,000","200,00","0,00",
74,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Dentelle d'argent,Marseille,Pour l'Espagne,"1,50",Livres,"144,000","216,00","0,00",
75,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Dentelle de fil fine,Marseille,Pour l'Espagne,"10,00",Livres,"800,000","8 000,00","0,00",
76,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Dentelle dupuy,Marseille,Pour l'Espagne,"23872,00",Livres,"45,000","1 074 240,00","0,00",
77,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,"Etoffe or, argent et soye",Marseille,Pour l'Espagne,"2397,00",Livres,"80,000","191 760,00","0,00",
78,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Etoffe de soye,Marseille,Pour l'Espagne,"8037,00",Livres,"40,000","321 480,00","0,00",
79,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,etoffe mi soye,Marseille,Pour l'Espagne,"4060,00",Livres,"16,000","64 960,00","0,00",
80,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Etoffe avec un brin de soye,Marseille,Pour l'Espagne,"6950,00",Livres,"10,000","69 500,00","0,00",
81,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Etoffe de laine,Marseille,Pour l'Espagne,"3385,00",Livres,"6,000","20 310,00","0,00",
82,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,5,1728,Exports,Etoffe fil et laine,Marseille,Pour l'Espagne,"54,00",Livres,"4,000","216,00","0,00",
83,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Evantails fins,Marseille,Pour l'Espagne,"6,50",Douzaines,"40,000","260,00","0,00",
84,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Essence,Marseille,Pour l'Espagne,"17,00",Livres,"0,500","8,50","0,00",
85,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Eau de vie,Marseille,Pour l'Espagne,"7900,00",Livres,"0,200","1 580,00","0,00",
86,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fromage de gruyeres,Marseille,Pour l'Espagne,"19950,00",Livres,"0,180","3 591,00","0,00",
87,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fromage d'auvergne,Marseille,Pour l'Espagne,"66600,00",Livres,"0,160","10 656,00","0,00",
88,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fayence,Marseille,Pour l'Espagne,"3240,00",Livres,"0,180","583,20","0,00",
89,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fil de fer,Marseille,Pour l'Espagne,"1470,00",Livres,"0,300","441,00","0,00",
90,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fer ouvré,Marseille,Pour l'Espagne,"85,00",Livres,"0,260","22,10","0,00",
91,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fil en masse,Marseille,Pour l'Espagne,"875,00",Livres,"0,750","656,25","0,00",
92,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Fil cru,Marseille,Pour l'Espagne,"180,00",Livres,"1,000","180,00","0,00",
93,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Gingembre,Marseille,Pour l'Espagne,"13400,00",Livres,"0,150","2 010,00","0,00",
94,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Gans de senteur,Marseille,Pour l'Espagne,"4,00",Douzaines,"8,000","32,00","0,00",
95,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Huile de noix,Marseille,Pour l'Espagne,"500,00",Livres,"0,200","100,00","0,00",
96,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Jayet ouvré,Marseille,Pour l'Espagne,"112,00",Livres,"1,500","168,00","0,00",
97,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Laine a tapesserie,Marseille,Pour l'Espagne,"1247,00",Livres,"4,000","4 988,00","0,00",
98,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Mousseline,Marseille,Pour l'Espagne,"4,00",Livres,"20,000","80,00","0,00",
99,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Mercerie fine,Marseille,Pour l'Espagne,"12837,00",Livres,"5,000","64 185,00","0,00",
100,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Marchandises melées,Marseille,Pour l'Espagne,"1,00",Valeur,"1 830,000","1 830,00","0,00",
101,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,6,1728,Exports,Noix,Marseille,Pour l'Espagne,"15,00",Sacs,"2,000","30,00","0,00",
102,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,7,1728,Exports,"Ouvrage d'or, argent et Soye",Marseille,Pour l'Espagne,"21,00",Livres,"80,000","1 680,00","0,00",
103,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,7,1728,Exports,Ouvrage de Soye,Marseille,Pour l'Espagne,"23,00",Livres,"40,000","920,00","0,00",
104,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,7,1728,Exports,Ouvrage de filozelle,Marseille,Pour l'Espagne,"540,00",Livres,"16,000","8 640,00","0,00",
105,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,7,1728,Exports,Ouvrage or et argent faux,Marseille,Pour l'Espagne,"98,00",Livres,"20,000","1 960,00","0,00",
106,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,7,1728,Exports,Pinchina,Marseille,Pour l'Espagne,"20,00",Pieces,"70,000","1 400,00","0,00",
107,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1728,Local,7,1728,Exports,Peaux de veaux tannées,Marseille,Pour l'Espagne,"43,50",Douzaines,"18,000","783,00","0,00",
