numrodeligne,dataentryby,source,sourcepath,sourcetype,year,sheet,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
19,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Eau de fleur d'orange,Marseille,Pour la Hollande,50,Livres,"0,5",25,0,
20,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Eau de vie,Marseille,Pour la Hollande,206425,Livres,"0,2",41285,0,
21,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Encens,Marseille,Pour la Hollande,24475,Livres,"0,75",18356,"0,25",
22,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Eponges,Marseille,Pour la Hollande,100,Livres,1,100,0,
23,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Estampes,Marseille,Pour la Hollande,100,Livres,5,500,0,
24,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Fayance,Marseille,Pour la Hollande,500,Livres,"0,5",250,0,
25,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Fil de chevre,Marseille,Pour la Hollande,284,Livres,3,852,0,
26,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Fleur de souffre,Marseille,Pour la Hollande,1050,Livres,"0,2",210,0,
27,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Fruit a l'eau de vie,Marseille,Pour la Hollande,800,Livres,1,800,0,
28,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Galbanon,Marseille,Pour la Hollande,750,Livres,3,2250,0,"Lire ""galbanum"""
29,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Galles de levant,Marseille,Pour la Hollande,242975,Livres,"0,6",145785,0,
30,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Garence,Marseille,Pour la Hollande,7442,Livres,"0,4",2976,"0,8",
31,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Gomme armoniac,Marseille,Pour la Hollande,380,Livres,2,760,0,
32,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Graine d'avignon,Marseille,Pour la Hollande,22109,Livres,"0,3",663,"5969,7","erreur sur le prix, c'est 0,3 toutes les autres années."
33,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Graine de jardin,Marseille,Pour la Hollande,115,Livres,"1,1",126,"0,5",
34,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Huile d'aspic,Marseille,Pour la Hollande,355,Livres,"0,15",53,"0,25",
35,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Huile d'olive,Marseille,Pour la Hollande,2034,Milleroles,40,81360,0,
36,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Huile d'olive,Marseille,Pour la Hollande,1155,Livres,"0,3",346,"0,5",
37,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,2,Exports,Huile de senteur,Marseille,Pour la Hollande,600,Livres,1,600,0,
38,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Laine lavée,Marseille,Pour la Hollande,5819,Livres,"0,5",2909,"0,5",
39,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Librairie,Marseille,Pour la Hollande,100,Livres,2,200,0,
40,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Liege,Marseille,Pour la Hollande,1800,Livres,"0,15",270,0,
41,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Mane de calabre,Marseille,Pour la Hollande,2513,Livres,"1,5",3769,"0,5",
42,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Mastic,Marseille,Pour la Hollande,525,Livres,3,1575,0,
43,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Mercerie,Marseille,Pour la Hollande,12686,Livres,"3,5",44401,0,
44,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Miel,Marseille,Pour la Hollande,60750,Livres,"0,15",9112,"0,5",
45,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Oignon de fleurs,Marseille,Pour la Hollande,220,Livres,"0,5",110,0,
46,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Olives,Marseille,Pour la Hollande,12708,Livres,"0,15",1906,"0,2",
47,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Orcanette,Marseille,Pour la Hollande,180,Livres,"0,5",90,0,
48,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Papier a ecrire,Marseille,Pour la Hollande,100,Livres,1,100,0,
49,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Peaux de marroquin,Marseille,Pour la Hollande,2298,Livres,"1,5",3447,0,
50,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Peaux de veaux tanées,Marseille,Pour la Hollande,13560,Livres,"1,25",16950,0,
51,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Pignon d'Inde,Marseille,Pour la Hollande,517,Livres,3,1551,0,
52,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Pruneaux,Marseille,Pour la Hollande,800,Livres,"0,2",160,0,
53,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Prunes brignolles,Marseille,Pour la Hollande,23222,Livres,"0,2",4644,"0,4",
54,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Quincaille de fer et acier,Marseille,Pour la Hollande,3154,Livres,1,3154,0,
55,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Ris,Marseille,Pour la Hollande,173600,Livres,"0,12",20832,0,
56,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Saffran,Marseille,Pour la Hollande,525,Livres,20,10500,0,
57,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Saffranon,Marseille,Pour la Hollande,16321,Livres,"0,65",10608,"0,65",
58,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Savon madré,Marseille,Pour la Hollande,746716,Livres,"0,3",224014,"0,8",
59,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Sebestes,Marseille,Pour la Hollande,100,Livres,"0,45",45,0,
60,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,3,Exports,Sel armoniac,Marseille,Pour la Hollande,11132,Livres,"0,8",8905,"0,6",
61,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Sené,Marseille,Pour la Hollande,196,Livres,"1,5",294,0,
62,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Sirop d'alkerme,Marseille,Pour la Hollande,1415,Livres,3,4245,0,
63,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Sirop de capilaire,Marseille,Pour la Hollande,300,Livres,1,300,0,
64,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Soye aprêtée,Marseille,Pour la Hollande,22654,Livres,20,453080,0,
65,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Storax,Marseille,Pour la Hollande,1258,Livres,"1,25",1572,"0,5",
66,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Sucre blanc,Marseille,Pour la Hollande,104306,Livres,"0,36",37550,"0,16",
67,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Sucre brut,Marseille,Pour la Hollande,14950,Livres,"0,25",3737,"0,5",
68,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Tartre,Marseille,Pour la Hollande,3950,Livres,"0,24",948,0,
69,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Toille piquée,Marseille,Pour la Hollande,750,Livres,10,7500,0,
70,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Verdet,Marseille,Pour la Hollande,38385,Livres,"0,8",30708,0,
71,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Vin de bourgogne,Marseille,Pour la Hollande,8,Milleroles,100,800,0,
72,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Vin muscat,Marseille,Pour la Hollande,4,Milleroles,60,240,0,
73,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Vin rouge commun,Marseille,Pour la Hollande,4273,Milleroles,6,25638,0,
74,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Vitriol de chipres,Marseille,Pour la Hollande,1264,Livres,"0,75",948,0,
75,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Agneaux en vie,Marseille,Pour l'Angleterre,203,Nombre,4,812,0,
76,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Alun,Marseille,Pour l'Angleterre,450,Livres,"0,15",67,"0,5",
77,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Ajamis,Marseille,Pour l'Angleterre,162,Pieces,8,1296,0,
78,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Airain,Marseille,Pour l'Angleterre,6,Livres,1,6,0,
79,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Amandes,Marseille,Pour l'Angleterre,35,Livres,"0,2",7,0,
80,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,4,Exports,Amidon,Marseille,Pour l'Angleterre,540,Livres,"0,2",108,0,
81,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Anchois,Marseille,Pour l'Angleterre,3,Pots,"1,5",4,"0,5",
82,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Arbres fruitriers,Marseille,Pour l'Angleterre,144,Nombre,"0,5",72,0,
83,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Arbres fruitriers,Marseille,Pour l'Angleterre,50,Livres,"0,25",12,"0,5",
84,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Arquifou,Marseille,Pour l'Angleterre,400,Livres,"0,15",60,0,
85,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Avoine,Marseille,Pour l'Angleterre,"2,5",Charges,10,25,0,
86,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bas de cotton,Marseille,Pour l'Angleterre,5,Livres,5,25,0,
87,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bas de laine,Marseille,Pour l'Angleterre,"180,63",Livres,6,1084,"-0,25",180£ et 10 onces à 6£ l'unité
88,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Batanonis,Marseille,Pour l'Angleterre,900,Pieces,4,3600,0,
89,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Batanonis,Marseille,Pour l'Angleterre,1000,Livres,"0,3",300,0,
90,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bazin,Marseille,Pour l'Angleterre,"1,5",Livres,3,4,"0,5",
91,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Becasses,Marseille,Pour l'Angleterre,14,Nombre,"1,25",17,"0,5",
92,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Boeuf en vie ,Marseille,Pour l'Angleterre,345,Nombre,80,27600,0,
93,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Brebis,Marseille,Pour l'Angleterre,754,Nombre,6,4524,0,
94,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Briques,Marseille,Pour l'Angleterre,6625,Livres,"0,02",132,"0,5",
95,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Brun rouge,Marseille,Pour l'Angleterre,4750,Livres,"0,03",142,"0,5",
96,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bois a bruler,Marseille,Pour l'Angleterre,20616,Quintaux,1,20616,0,
97,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bois de campêche,Marseille,Pour l'Angleterre,150,Livres,"0,16",24,0,
98,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bois fustel ,Marseille,Pour l'Angleterre,975,Livres,"0,05",48,"0,75",
99,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bonnets brodés d'or,Marseille,Pour l'Angleterre,4,Nombre,,60,,Pas de prix à l'unité
100,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bonnets de laine,Marseille,Pour l'Angleterre,78,Douzaines,12,936,0,
101,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bonnets de laine,Marseille,Pour l'Angleterre,12,Livres,6,72,0,
102,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,5,Exports,Bouchons de liege,Marseille,Pour l'Angleterre,165,Livres,3,495,0,
103,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Bougie,Marseille,Pour l'Angleterre,25,Livres,"1,5",37,"0,5",
104,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Bours cotton et soye,Marseille,Pour l'Angleterre,20,Pieces,25,500,0,
105,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Bours fil et coton,Marseille,Pour l'Angleterre,253,Pieces,8,2024,0,
106,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Bouteilles de verre,Marseille,Pour l'Angleterre,1500,Livres,"0,2",300,0,
107,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Boutons d'argent ,Marseille,Pour l'Angleterre,1,Once,,4,,Pas de prix à l'unité
108,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Boutons de cuivre doré,Marseille,Pour l'Angleterre,6,Douzaines,3,18,0,
109,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Boutons d'or,Marseille,Pour l'Angleterre,9,Onces,,54,,Pas de prix à l'unité
110,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Cacao,Marseille,Pour l'Angleterre,340,Livres,"1,4",476,0,
111,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Caffé,Marseille,Pour l'Angleterre,364,Livres,"1,5",546,0,
112,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Canards ,Marseille,Pour l'Angleterre,27,Nombre,"0,75",20,"0,25",
113,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Canelle,Marseille,Pour l'Angleterre,1,Livres,6,6,0,
114,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1743,Local,1743,6,Exports,Capres,Marseille,Pour l'Angleterre,25,Livres,"0,22",5,"0,5",
