numrodeligne,dataentryby,source,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
29,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Oranges douces,Marseille,La Hollande,"2500,00",Nombre,"0,140","350,00","0,00",
30,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Prunes de Brignolles,Marseille,La Hollande,"346900,00",Livres,"0,250","86 725,00","0,00",
31,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Pommade,Marseille,La Hollande,"203,00",Livres,"1,000","203,00","0,00",
32,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Pelleterie,Marseille,La Hollande,"1290,00",Livres,"0,600","774,00","0,00",
33,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Peaux d'agneau blanches,Marseille,La Hollande,"20,00",Douzaines,"4,000","80,00","0,00",
34,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Papier,Marseille,La Hollande,"525,00",Livres,"0,600","315,00","0,00",
35,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Poil de chameau,Marseille,La Hollande,"1470,00",Livres,"1,500","2 205,00","0,00",
36,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Raisin de Damas,Marseille,La Hollande,"2950,00",Livres,"0,150","442,50","0,00",
37,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Saffran,Marseille,La Hollande,"98,00",Livres,"12,000","1 176,00","0,00",
38,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Sirop d'alkerme,Marseille,La Hollande,"45,00",Livres,"2,000","90,00","0,00",
39,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Soye de Provence,Marseille,La Hollande,"1500,00",Livres,"11,000","16 500,00","0,00",
40,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Savon,Marseille,La Hollande,"23730,00",Livres,"0,190","4 508,70","0,00",
41,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Ton mariné,Marseille,La Hollande,"200,00",Livres,"0,750","150,00","0,00",
42,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Tartre,Marseille,La Hollande,"33760,00",Livres,"0,180","6 076,80","0,00",
43,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Vin,Marseille,La Hollande,"2671,00",Millerolles,"6,000","16 026,00","0,00",
44,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Vermichel,Marseille,La Hollande,"1865,00",Livres,"0,180","335,50","0,20",
45,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Verdet,Marseille,L'Espagne,"2170,00",Livres,"0,900","1 953,00","0,00",
46,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Bijouteries,Marseille,L'Espagne,"1,00",Valeurs,"967,000","967,00","0,00",
47,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,2,1727,Exports,Bours de mismes,Marseille,L'Espagne,"80,00",Livres,"10,000","800,00","0,00","Lire ""Nîmes"""
48,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Bas de Soye,Marseille,L'Espagne,"223,00",Barrils,"45,000","10 035,00","0,00",
49,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Bas de Soye,Marseille,L'Espagne,"6,00",Paires,"10,000","60,00","0,00",
50,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Bas de filozelle,Marseille,L'Espagne,"100,00",Livres,"17,000","1 700,00","0,00",
51,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Bas d'estame,Marseille,L'Espagne,"1700,00",Livres,"7,000","11 900,00","0,00",
52,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Bazanes de veau,Marseille,L'Espagne,"266,00",Douzaines,"16,000","4 256,00","0,00",
53,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Bazanes de mouton,Marseille,L'Espagne,"163,00",Douzaines,"6,000","978,00","0,00",
54,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Chair salée,Marseille,L'Espagne,"7460,00",Livres,"0,200","1 492,00","0,00",
55,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Champignons secs,Marseille,L'Espagne,"60,00",Livres,"0,250","15,00","0,00",
56,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Cacao,Marseille,L'Espagne,"220,00",Livres,"1,000","220,00","0,00",
57,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Chapeaux castor,Marseille,L'Espagne,"290,00",Nombre,"18,000","5 220,00","0,00",
58,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Chapeaux demy castor,Marseille,L'Espagne,"174,00",Nombre,"10,000","1 740,00","0,00",
59,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Chapeaux poil et laine,Marseille,L'Espagne,"60,00",Douzaines,"5,000","300,00","0,00",
60,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Chapeaux de laine,Marseille,L'Espagne,"18,00",Nombre,"3,000","54,00","0,00",
61,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Chapeaux de laine,Marseille,L'Espagne,"15,00",Livres,"5,000","75,00","0,00",
62,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Camelot de laine,Marseille,L'Espagne,"25,00",Livres,"2,000","50,00","0,00",25livres esti+U2mées à 2£
63,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Cuir tanné,Marseille,L'Espagne,"6910,00",Livres,"0,400","2 764,00","0,00",
64,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Cartes a joüer,Marseille,L'Espagne,"2985,00",Livres,"0,300","895,50","0,00",
65,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Cheveux,Marseille,L'Espagne,"1850,00",Livres,"22,000","40 700,00","0,00",
66,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Cire Jaune,Marseille,L'Espagne,"15300,00",Livres,"1,300","19 890,00","0,00",
67,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Crasse de cire,Marseille,L'Espagne,"3250,00",Livres,"0,250","812,50","0,00",
68,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Cloutaille,Marseille,L'Espagne,"3950,00",Livres,"0,240","948,00","0,00",
69,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Dorure fine,Marseille,L'Espagne,"25,00",Livres,"128,000","3 200,00","0,00",
70,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Dorure fausse,Marseille,L'Espagne,"30,00",Livres,"22,000","660,00","0,00",
71,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Drapperie ordinaire,Marseille,L'Espagne,"1360,00",Livres,"4,000","5 440,00","0,00",
72,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Dentelles Dupuy,Marseille,L'Espagne,"24997,00",Livres,"45,000","1 124 865,00","0,00",
73,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Droguerie d'apoticaire,Marseille,L'Espagne,"10,00",Livres,"1,000","10,00","0,00",
74,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,"Etoffe or, argent et soye",Marseille,L'Espagne,"922,00",Livres,"80,000","73 760,00","0,00",
75,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Etoffe de Soye,Marseille,L'Espagne,"4707,00",Livres,"40,000","188 280,00","0,00",
76,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,3,1727,Exports,Etoffe soye et laine,Marseille,L'Espagne,"3755,00",Livres,"16,000","60 080,00","0,00",
77,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Ettofe de filozelle,Marseille,L'Espagne,"50,00",Livres,"16,000","800,00","0,00",
78,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Etoffe de laine,Marseille,L'Espagne,"1075,00",Livres,"5,000","5 375,00","0,00",
79,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Etamine du mans,Marseille,L'Espagne,"1234,00",Livres,"6,000","7 404,00","0,00",
80,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Evantails de tafetas,Marseille,L'Espagne,"10,00",Douzaines,"8,000","80,00","0,00",
81,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Eau de vie,Marseille,L'Espagne,"1215,00",Livres,"0,200","243,00","0,00",
82,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Fromage d'auvergne,Marseille,L'Espagne,"73300,00",Livres,"0,150","10 995,00","0,00",
83,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Filozelle,Marseille,L'Espagne,"547,00",Livres,"3,500","1 914,50","0,00",
84,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Fil cru,Marseille,L'Espagne,"1020,00",Livres,"1,250","1 285,00","-10,00",Erreur de calcul
85,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Fil de fer,Marseille,L'Espagne,"300,00",Livres,"0,340","102,00","0,00",
86,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Fayence,Marseille,L'Espagne,"850,00",Livres,"0,160","136,00","0,00",
87,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Gaze de soye et fil,Marseille,L'Espagne,"6,50",Livres,"40,000","260,00","0,00",
88,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Gans de peau,Marseille,L'Espagne,"60,00",Douzaines,"9,000","540,00","0,00",
89,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Galons d'or,Marseille,L'Espagne,"8,00",Livres,"144,000","1 152,00","0,00",
90,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Gomme gutte,Marseille,L'Espagne,"200,00",Livres,"3,000","600,00","0,00",
91,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Graine de Jardin,Marseille,L'Espagne,"140,00",Livres,"0,200","28,00","0,00",
92,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Laine filée,Marseille,L'Espagne,"240,00",Livres,"1,250","300,00","0,00",
93,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Mercerie,Marseille,L'Espagne,"18170,00",Livres,"1,500","27 255,00","0,00",
94,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Noix,Marseille,L'Espagne,"43,00",Sacs,"5,000","215,00","0,00",
95,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Pelleterie crue,Marseille,L'Espagne,"11850,00",Livres,"0,300","3 555,00","0,00",
96,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Peaux de mouton en laine,Marseille,L'Espagne,"20,00",Douzaines,"4,000","80,00","0,00",
97,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Parchemin,Marseille,L'Espagne,"440,00",Livres,"2,000","880,00","0,00",
98,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Papeline,Marseille,L'Espagne,"52,00",Livres,"6,000","312,00","0,00",
99,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Peigne de buy,Marseille,L'Espagne,"4850,00",Livres,"0,360","1 746,00","0,00",
100,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Quincaille,Marseille,L'Espagne,"7075,00",Livres,"1,000","7 075,00","0,00",
101,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Rubarbe,Marseille,L'Espagne,"33,00",Livres,"80,000","2 640,00","0,00",
102,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Ruban or et argent,Marseille,L'Espagne,"3,00",Livres,"100,000","300,00","0,00",
103,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Ruban de Soye,Marseille,L'Espagne,"27,00",Livres,"55,000","1 485,00","0,00",
104,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Saffran,Marseille,L'Espagne,"310,00",Livres,"12,000","3 720,00","0,00",
105,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,4,1727,Exports,Sargue fil et laine,Marseille,L'Espagne,"130,00",Livres,"1,000","130,00","0,00",
106,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,5,1727,Exports,Souliers,Marseille,L'Espagne,"48,00",Paires,"3,000","144,00","0,00",
107,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,5,1727,Exports,Tapisserie d'auvergne,Marseille,L'Espagne,"1175,00",Livres,"3,000","3 525,00","0,00",
108,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,5,1727,Exports,Toille blanche,Marseille,L'Espagne,"66953,00",Livres,"3,000","200 859,00","0,00",
109,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1727,Local,5,1727,Exports,Toille crue,Marseille,L'Espagne,"35407,00",Livres,"2,000","70 814,00","0,00",
