numrodeligne,dataentryby,source,sourcepath,sourectype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
72,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sirop d'alkerme,Marseille,Pour la Hollande,300,Livres,"1,5",450,0,
73,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Saffranum,Marseille,Pour la Hollande,5475,Livres,"0,65",3558,"0,75",
74,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Scamonée,Marseille,Pour la Hollande,150,Livres,"6,5",975,0,
75,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sumac ,Marseille,Pour la Hollande,8875,Livres,"0,2",1775,0,
76,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Storax,Marseille,Pour la Hollande,460,Livres,"1,25",575,0,
77,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sené ,Marseille,Pour la Hollande,2448,Livres,"1,5",3672,0,
78,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Sel armoniac,Marseille,Pour la Hollande,17875,Livres,"0,9",16087,"0,5",
79,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Souffre,Marseille,Pour la Hollande,301250,Livres,"0,12",36150,0,
80,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Savon madré,Marseille,Pour la Hollande,176175,Livres,"0,3",52852,"0,5",
81,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Soude,Marseille,Pour la Hollande,36700,Livres,"0,09",3303,0,
82,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Soye ouvrée,Marseille,Pour la Hollande,9959,Livres,20,199180,0,
83,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Tartre,Marseille,Pour la Hollande,17325,Livres,"0,24",4158,0,
84,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Tournesol,Marseille,Pour la Hollande,700,Livres,"0,65",455,0,
85,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Toille piquée,Marseille,Pour la Hollande,1305,Livres,10,13050,0,
86,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Toille blanche,Marseille,Pour la Hollande,200,Livres,4,800,0,
87,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Toille manouf,Marseille,Pour la Hollande,200,pièces,6,1200,0,
88,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Vin muscat,Marseille,Pour la Hollande,6,Millerolles,40,240,0,
89,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,3,Exports,Vin de champagne,Marseille,Pour la Hollande,6,Millerolles,140,840,0,
90,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,1741,Exports,Vin de bourgogne,Marseille,Pour la Hollande,10,Millerolles,120,1200,0,
91,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,1741,Exports,Vin rouge,Marseille,Pour la Hollande,2476,Millerolles,9,22284,0,
92,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,1741,Exports,Vin blanc,Marseille,Pour la Hollande,14,Millerolles,18,252,0,
93,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,1741,Exports,Vitriol de chipres,Marseille,Pour la Hollande,2750,Livres,"0,55",1512,"0,5",
94,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,4,1741,Exports,Verdet,Marseille,Pour la Hollande,24150,Livres,"0,8",19320,0,
95,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Anchois,Marseille,Pour l'Angleterre,1925,Livres,"0,5",962,"0,5",
96,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Amandes,Marseille,Pour l'Angleterre,100,Livres,"0,2",20,0,
97,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Anis,Marseille,Pour l'Angleterre,3200,Livres,"0,2",6400,-5760,Erreur de calcul (dizaines)
98,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Alun,Marseille,Pour l'Angleterre,200,Livres,"0,1",20,0,
99,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Amidon,Marseille,Pour l'Angleterre,200,Livres,"0,2",40,0,
100,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Allaya,Marseille,Pour l'Angleterre,10,Pieces,5,50,0,
101,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Ajamis,Marseille,Pour l'Angleterre,150,Pieces,6,900,0,
102,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Biscuit,Marseille,Pour l'Angleterre,700,Livres,"0,15",105,0,
103,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bray,Marseille,Pour l'Angleterre,330,Livres,"0,1",33,0,
104,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Batanony,Marseille,Pour l'Angleterre,2019,Pieces,"2,5",5047,"0,5",
105,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bours de coton,Marseille,Pour l'Angleterre,404,Pieces,5,2020,0,
106,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bours de fil,Marseille,Pour l'Angleterre,100,Pieces,2,200,0,
107,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bas de laine,Marseille,Pour l'Angleterre,150,Livres,6,900,0,
108,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bas d'estame,Marseille,Pour l'Angleterre,200,Livres,10,2000,0,
109,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bas et bonnets de fil,Marseille,Pour l'Angleterre,150,Livres,5,750,0,
110,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bonnets de laine,Marseille,Pour l'Angleterre,93,Douzaines,12,1116,0,
111,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Bois de campeche,Marseille,Pour l'Angleterre,875,Livres,"0,16",140,0,
112,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Balays de palme,Marseille,Pour l'Angleterre,70,Douzaines,"0,9",63,0,
113,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Chataignes,Marseille,Pour l'Angleterre,1200,Livres,"0,05",60,0,
114,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Confitures,Marseille,Pour l'Angleterre,50,Livres,1,50,0,
115,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Caffé de l'amerique,Marseille,Pour l'Angleterre,290,Livres,"0,55",159,"0,5",
116,Requia,Archives de la CCI de Marseille - I 21 ,Local/Marseille/Archives_de_la_CCI_de_Marseille-I21/Marseille – Exports – 1741,Local,5,1741,Exports,Couperoze,Marseille,Pour l'Angleterre,200,Livres,"0,09",18,0,
