Data entry by,Source,Year,Sheet,Marchandises,Quantité,,Leur valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,
Fatima Zahra,,1788,14,Matières premieres ; liége en planches,468 800,,74 000,,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; lin en Rame,3 032 480,,2 028 400,,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; diverses,value,145 560 ET 66 000 ET 802 800,346 900,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; d'agneaux,24 900,135 560 ET 66 000 ET 802 800,15 700,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; de chevres,value,135 560 ET 66 000 ET 802 800,425 900,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; de cheveuils,2 500,135 560 ET 66 000 ET 802 800,10 100,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; de livres et lapins,101 560,135 560 ET 66 000 ET 802 800,152 300,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; de Dain,6 600,135 560 ET 66 000 ET 802 800,18 000,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; de Moutons,value,135 560 ET 66 000 ET 802 800,30 000,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Peaux en poil ; de veau,66 000 ET 45 700,135 560 ET 66 000 ET 802 800,273 500,1 272 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Plumes ; à écrire,value,39 540 ET 263 900,263 900,357 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Plumes ; d'autruches bruttes,2 690,39 540 ET 263 900,30 900,357 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Plumes ; à lit,36 850,39 540 ET 263 900,62 600,357 400,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Poils ; de chevre,235 350,261 729,1 294 400,1 329 100,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Poils ; de lièvres et lapins,3 129,261 729,11 500,1 329 100,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; Poils ; de Porc et sanglier,23 250,261 729,23 200,1 329 100,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; soye ; diverse,866 920,929 490,20 907 900,21 314 600,,,81 388 700,
Fatima Zahra,,1788,14,Matières premieres ; soye ; fleuret,62 570,929 490,406 700,21 314 600,,,81 388 700,
Fatima Zahra,,1788,14,Objets manufacturés ; Bonnetterie ; diverse,value,,329 900,1 346 000,,,45 787 700,le total devrait être 45 877 700
Fatima Zahra,,1788,14,Objets manufacturés ; Bonnetterie ; de coton,value,,396 000,1 346 000,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; Bonnetterie ; de coton et laine,value,,25 100,1 346 000,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; Bonnetterie ; de fil et coton ,value,,269 300,1 346 000,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; Bonnetterie ; e laine,value,,325 700,1 346 000,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; Chapeaux ; divers,value,,17 900,64 400,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; Chapeaux ; de laine,value,,46 500,64 400,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; couvertures,value,,46 900,,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; dentelle ; de fil,1 024,,1 117 900,,,,45 787 700,
Fatima Zahra,,1788,14,Objets manufacturés ; draperie diverse de laine,value,,1 905 800,,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; divers,value,,97 400,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; de coton,value,,4 778 300,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; de coton et laine ,value,,35 800,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; de laine ,value,,3 938 800,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; de soye diverses,value,,535 100,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; de soye des indes,value,,1 304 200,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; Bours,value,,591 000,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; de soye et coton des Indes ,value,,905 400,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Etoffes ; melangée des soye,value,,45 000,12 231 000,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Gaze ; divers,value,,170 500,1 562 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Gaze ; de soye,value,,985 300,1 562 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Gaze ; crepe,5 080,,406 400,1 562 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Mouchoirs ; divers,value,,145 500,804 900,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Mouchoirs ; des Indes,value,,96 800,804 900,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Mouchoirs ; de fil et coton ,5 200,,54 200,804 900,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Mouchoirs ; de soye ,value,,508 400,804 900,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Rubans ; de fil,770 840,934 986,1 447 600,2 042 400,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Rubans ; de laine,157 050,934 986,355 000,2 042 400,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Rubans ; de Soye ,6 196,934 986,239 800,2 042 400,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; melées,805 200 - 23 700 - 3 278 746,,8 852 900,24 666 200,,,45 787 700,le total 1 devrait être 24 756 200
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de chanvre,63 500 et 1 651 417 ,,4 588 700,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; d'emballage,39 185,,13 700,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; coutil ,76 710,,337 300,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; à voile,12 334 et 122 700,,296 300,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de coton ; diverses,value,6 088 ET 11 300 ET 3 982 700,3 112 000,4 116 400,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de coton ; peinte,6 088,6 088 ET 11 300 ET 3 982 700,91 300,4 116 400,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de coton ; bazin,value,6 088 ET 11 300 ET 3 982 700,257 700,4 116 400,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de coton ; Indienne,11 300,6 088 ET 11 300 ET 3 982 700,42 400,4 116 400,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de coton ; mousseline,value,6 088 ET 11 300 ET 3 982 700,579 500,4 116 400,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de coton ; mankin,value,6 088 ET 11 300 ET 3 982 700,33 500,4 116 400,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; Etrangere,value,,30200,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de lin ; diverses,132 100 - 81 100 - 1 637 790,1 678 649,4 054 800,4 344 900,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de lin ; fine,39 799,1 678 649,233 400,4 344 900,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; de lin ; batiste et linon ,222 - 3 506 - 1 060,1 678 649,56 700,4 344 900,24 666 200,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; peinte et teinte,value,,25 000,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; des Indes,66 779 ET 21 486,,2 108 200,24 666 200,,,45 787 700,
Fatima Zahra,,1788,16,Objets manufacturés ; Toiles ; Cirée et gommée,31 564,,42 600,24 666 200,,,45 787 700,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; agres de navire,value,,46 900,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; armes blanches et à feu,value,,394 800,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; artillerie en boulets,61 500,,12 300,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Balais ,value,,138 100,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Bijouterie,value,,47 200,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Boutons,value,,47 900,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Brosserie,10 800,,11 700,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Cannes,value,,68 100,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Cauris,153 900,,158 800,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Caves avec flacon,11 400,,50 400,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; chandelles,369 500,,234 000,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; chapeaux de bois et de paille,3 500 ET 7 132,,77 500,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; colle ; diverse,228 100,,146 000,193 700,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; colle ; de poisson,value,,47 700,193 700,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; cordage,458 800,,232 800,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; cordes à violon,980,,14 600,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; coutellerie,value,,100 800,,,,16 555 000,
Fatima Zahra,,1788,18,"Objets d'industrie etrangere ; cuirs appretés, tannées de bœuf",34 050,,34 000,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Eaux et huiles spiritueuses,129 700,,122 900,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Essence,25 710,,176 800,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Estampes,value,,33 300,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Sayence,value,,965 400,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; habillements,value,,207 900,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; horlogerie,value,,55 600,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Instruments ; divers,value,,148 100,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; librairie,542 600,,630 000,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; liege en bouchons,268 300,,87 700,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; lingerie,value,,30 000,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Marbre ouvré,203 960,,50 900,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Marchandises à la valeurs,value,,331 900,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; Marchandises de l'inde,value,,123 100,,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; mercerie ; melée,value,96 877 ET 1 783 200,1 783 200,2 204 700,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; mercerie ; fine,94 150,96 877 ET 1 783 200,406 200,2 204 700,,,16 555 000,
Fatima Zahra,,1788,18,Objets d'industrie etrangere ; mercerie ; aiguilles,2 727,96 877 ET 1 783 200,15 300,2 204 700,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; meubles,value,,72 900,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; nacre en coquille,value,,63 000,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; orphevrerie diverse,22 700 ET 1 724,,108 900,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; outils,421 000,,214 100,,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; divers,value,,211 600,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; d'auffe,1 840 800,,157 500,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de bois,value,,35 700,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; Jd. En avirons,value,,39 000,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de cordonies,value,,15 300,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de cuivre,value,,21 200,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; de cuir,value,,32 700,1 532 800,,,16 555 000,
Fatima Zahra,,1788,20,Objets d'industrie etrangere ; ouvrages ; en dorure finesse,48 772,,269 800,1 532 800,,,16 555 000,
