numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
14,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Royaume de sardaigne,146400,,,,,,99200500,,,18900000,,,,,,,,
14,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,Angleterre,429400,,,,,,8462200,,,,,,,,,,,
15,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Empire d'Autriche,1375500,,,,,,99200500,,,18900000,,,,,,,,
15,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Blé et autres grains comestibles,République de VENISE,327800,,,,,,8462200,,,,,,,,,,,
16,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Empire de Suisse,674000,,,,,,99200500,,,18900000,,,,,,,,
16,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Royaume d'Espagne,20200,,,,,,2260000,,,,,,,,,,,
17,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Royaume de Portugal,5800,,,,,,99200500,,,18900000,,,,,,,,
17,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Hollande,69300,,,,,,2260000,,,,,,,,,,,
18,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Etats de Rome,1800,,,,,,99200500,,,18900000,,,,,,,,
18,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Etats d'Allemagne,1500,,,,,,2260000,,,,,,,,,,,
19,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,Angleterre,7456700,,,,,,99200500,,,18900000,,,,,,,,
19,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Republique de Suisse,4400,,,,,,2260000,,,,,,,,,,,
20,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Eaux-de-vie,"Colonies francaises en Amérique,Asie et afrique",1874300,,,,,,99200500,,,18900000,,,,,,,,
20,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Etats-Unis d'Amérique,473100,,,,,,2260000,,,,,,,,,,,
21,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Royaume d'Espagne,2200,,,,,,99200500,,,9673800,,,,,,,,
21,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Milanes et toscane,13000,,,,,,2260000,,,,,,,,,,,
22,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Hollande,536000,,,,,,99200500,,,9673800,,,,,,,,
22,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,République de Gènes,401200,,,,,,2260000,,,,,,,,,,,
23,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Royaume de Prusse,243300,,,,,,99200500,,,9673800,,,,,,,,
23,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Riz,Empire ottoman et babbarie,3500,,,,,,2260000,,,,,,,,,,,
24,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Etats d'Allemagne,939000,,,,,,99200500,,,9673800,,,,,,,,
24,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,Royaume de naples,6600,,,,,,2260000,,,,,,,,,,,
25,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,République de suisse,2131900,,,,,,99200500,,,9673800,,,,,,,,
25,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,Royaume de sardaigne,734000,,,,,,2260000,,,,,,,,,,,
26,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Etats-Unis d'Amérique,74300,,,,,,99200500,,,9673800,,,,,,,,
26,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,Empire d'Autriche,62700,,,,,,2260000,,,,,,,,,,,
27,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Villes anséatiques,598200,,,,,,99200500,,,9673800,,,,,,,,
27,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,Royaume de Portugal,45100,,,,,,2260000,,,,,,,,,,,
28,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Royaume de Danemarck,152900,,,,,,99200500,,,9673800,,,,,,,,
28,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,Angleterre,228500,,,,,,2260000,,,,,,,,,,,
29,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Royaume de Suede,75500,,,,,,99200500,,,9673800,,,,,,,,
29,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,République de VENISE,15200,,,,,,2260000,,,,,,,,,,,
30,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins divers,Milanes et toscane,84200,,,,,,99200500,,,9673800,,,,,,,,
30,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Riz,"Colonies francaises en Amérique,Asie et afrique",181700,,,,,,2260000,,,,,,,,,,,
31,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,République de Genes,1217800,,,,,,99200500,,,9673800,,,,,,,,
31,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Farine et biscuit de mer,Royaume d'Espagne,39900,,,,,,236100,,,,,,,,,,,
32,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Empire ottoman et Barbarie,61300,,,,,,99200500,,,9673800,,,,,,,,
32,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Farine et biscuit de mer,Milanes et toscane,19200,,,,,,236100,,,,,,,,,,,
33,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Royaume de Naples,11500,,,,,,99200500,,,9673800,,,,,,,,
33,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Farine et biscuit de mer,République de Gènes,1700,,,,,,236100,,,,,,,,,,,
34,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Royaume de sardaigne,772600,,,,,,99200500,,,9673800,,,,,,,,
34,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Farine et biscuit de mer,Royaume de sardaigne,6200,,,,,,236100,,,,,,,,,,,
35,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Empire d'Autriche,1153000,,,,,,99200500,,,9673800,,,,,,,,
35,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Farine et biscuit de mer,Empire d'Autriche,62800,,,,,,236100,,,,,,,,,,,
36,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Empire de Suisse,176400,,,,,,99200500,,,9673800,,,,,,,,
36,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Farine et biscuit de mer,Angleterre,106300,,,,,,236100,,,,,,,,,,,
37,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Royaume de Portugal,11000,,,,,,99200500,,,9673800,,,,,,,,
37,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,Royaume d'Espagne,15200,,,,,,955800,,,,,,,,,,,
38,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Etats de Rome,7800,,,,,,99200500,,,9673800,,,,,,,,
38,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,Hollande,211300,,,,,,955800,,,,,,,,,,,
39,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,Angleterre,279500,,,,,,99200500,,,9673800,,,,,,,,
39,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,Villes anséatiques,16300,,,,,,955800,,,,,,,,,,,
40,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,République de VENISE,1000,,,,,,99200500,,,9673800,,,,,,,,
40,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,Royaume de Danemarck,9000,,,,,,955800,,,,,,,,,,,
41,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins divers,"Colonies francaises en Amérique,Asie et afrique",1144400,,,,,,99200500,,,9673800,,,,,,,,
41,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,Milanes et toscane,37700,,,,,,955800,,,,,,,,,,,
42,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Royaume d'Espagne,324200,,,,,,99200500,,,23900000,,,,,,,,
42,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,République de Gènes,21000,,,,,,955800,,,,,,,,,,,
43,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Hollande,2335100,,,,,,99200500,,,23900000,,,,,,,,
43,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Légumes,Empire ottoman et babbarie,299300,,,,,,955800,,,,,,,,,,,
44,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Royaume de Prusse,2486100,,,,,,99200500,,,23900000,,,,,,,,
44,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Légumes,Royaume de naples,191100,,,,,,955800,,,,,,,,,,,
45,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Etats d'Allemagne,32800,,,,,,99200500,,,23900000,,,,,,,,
45,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Légumes,Empire d'Autriche,2200,,,,,,955800,,,,,,,,,,,
46,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,République de suisse,4800,,,,,,99200500,,,23900000,,,,,,,,
46,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Légumes,Etats de Rome,109800,,,,,,955800,,,,,,,,,,,
47,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Etats-Unis d'Amérique,68300,,,,,,99200500,,,23900000,,,,,,,,
47,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Légumes,Angleterre,16400,,,,,,955800,,,,,,,,,,,
48,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Villes anséatiques,3165300,,,,,,99200500,,,23900000,,,,,,,,
48,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Légumes,Republique de Venise,26500,,,,,,955800,,,,,,,,,,,
49,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Royaume de Danemarck,971000,,,,,,99200500,,,23900000,,,,,,,,
49,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",Royaume d'Espagne,108200,,,,,,6474100,,,,,,,,,,,
50,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Royaume de Suede,467300,,,,,,99200500,,,23900000,,,,,,,,
50,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",Hollande,13100,,,,,,6474100,,,,,,,,,,,
51,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vins de bordeaux,Milanes et toscane,2900,,,,,,99200500,,,23900000,,,,,,,,
51,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",Etats d'Allemagne,903000,,,,,,6474100,,,,,,,,,,,
52,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Empire ottoman et Barbarie,5400,,,,,,99200500,,,23900000,,,,,,,,
52,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",Republique de Suisse,222500,,,,,,6474100,,,,,,,,,,,
53,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Royaume de Naples,6200,,,,,,99200500,,,23900000,,,,,,,,
53,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",Royaume de sardaigne,886000,,,,,,6474100,,,,,,,,,,,
54,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Royaume de Naples,3700,,,,,,99200500,,,23900000,,,,,,,,
54,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,"1///Subsistances///Bestiaux en bœufs,vaches,porcs moutons",Empire d'Autriche,4341300,,,,,,6474100,,,,,,,,,,,
55,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Royaume de sardaigne,36800,,,,,,99200500,,,23900000,,,,,,,,
55,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Royaume d'Espagne,10300,,,,,,2976700,,,,,,,,,,,
56,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Empire d'Autriche,800200,,,,,,99200500,,,23900000,,,,,,,,
56,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Hollande,177100,,,,,,2976700,,,,,,,,,,,
57,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Empire de Suisse,1383500,,,,,,99200500,,,23900000,,,,,,,,
57,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Royaume de Prusse,1700,,,,,,2976700,,,,,,,,,,,
58,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Royaume de Portugal,3500,,,,,,99200500,,,23900000,,,,,,,,
58,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Etats d'Allemagne,24400,,,,,,2976700,,,,,,,,,,,
59,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Etats de Rome,4500,,,,,,99200500,,,23900000,,,,,,,,
59,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Etats-Unis d'Amérique,1200,,,,,,2976700,,,,,,,,,,,
60,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,Angleterre,5602900,,,,,,99200500,,,23900000,,,,,,,,
60,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Villes anséatiques,17000,,,,,,2976700,,,,,,,,,,,
61,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vins de bordeaux,"Colonies francaises en Amérique,Asie et afrique",6199500,,,,,,99200500,,,23900000,,,,,,,,
61,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Royaume de Danemarck,57800,,,,,,2976700,,,,,,,,,,,
62,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vin de liqueurs,Royaume d'Espagne,9700,,,,,,99200500,,,169300,,,,,,,,
62,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Chairs salées,Milanes et toscane,13500,,,,,,2976700,,,,,,,,,,,
63,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vin de liqueurs,Etats d'Allemagne,56400,,,,,,99200500,,,169300,,,,,,,,
63,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Chairs salées,Royaume de sardaigne,1800,,,,,,2976700,,,,,,,,,,,
64,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vin de liqueurs,République de suisse,5900,,,,,,99200500,,,169300,,,,,,,,
64,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Chairs salées,Empire d'Autriche,3100,,,,,,2976700,,,,,,,,,,,
65,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vin de liqueurs,Etats-Unis d'Amérique,10200,,,,,,99200500,,,169300,,,,,,,,
65,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Chairs salées,Empire de Russie,4500,,,,,,2976700,,,,,,,,,,,
66,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vin de liqueurs,Villes anséatiques,1800,,,,,,99200500,,,169300,,,,,,,,
66,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Chairs salées,Angleterre,2664300,,,,,,2976700,,,,,,,,,,,
67,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Vin de liqueurs,Milanes et toscane,4700,,,,,,99200500,,,169300,,,,,,,,
67,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Royaume d'Espagne,8000,,,,,,4542400,,,,,,,,,,,
68,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,République de Genes,8800,,,,,,99200500,,,169300,,,,,,,,
68,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Hollande,3107400,,,,,,4542400,,,,,,,,,,,
69,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,Empire ottoman et Barbarie,1300,,,,,,99200500,,,169300,,,,,,,,
69,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Royaume de Prusse,7200,,,,,,4542400,,,,,,,,,,,
70,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,Royaume de Naples,4100,,,,,,99200500,,,169300,,,,,,,,
70,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Republique de Suisse,1206200,,,,,,4542400,,,,,,,,,,,
71,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,Royaume de sardaigne,6500,,,,,,99200500,,,169300,,,,,,,,
71,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Etats-Unis d'Amérique,1700,,,,,,4542400,,,,,,,,,,,
72,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,Empire d'Autriche,12300,,,,,,99200500,,,169300,,,,,,,,
72,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Villes anséatiques,38900,,,,,,4542400,,,,,,,,,,,
73,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,Empire de Suisse,1000,,,,,,99200500,,,169300,,,,,,,,
73,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Milanes et toscane,2200,,,,,,4542400,,,,,,,,,,,
74,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,Angleterre,5800,,,,,,99200500,,,169300,,,,,,,,
74,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Fromage,Republique de Gènes,34800,,,,,,4542400,,,,,,,,,,,
75,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,10,1///Subsistances///Vin de liqueurs,"Colonies francaises en Amérique,Asie et afrique",40800,,,,,,99200500,,,169300,,,,,,,,
75,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Fromage,Royaume de sardaigne,103300,,,,,,4542400,,,,,,,,,,,
76,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Huile d'olive,Royaume d'Espagne,6300,,,,,,99200500,,,4021200,,,,,,,,
76,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Fromage,Empire d'Autriche,1300,,,,,,4542400,,,,,,,,,,,
77,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Huile d'olive,Hollande,150900,,,,,,99200500,,,4021200,,,,,,,,
77,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,3,1///Subsistances///Fromage,Angleterre,31400,,,,,,4542400,,,,,,,,,,,
78,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Huile d'olive,Royaume de Prusse,14200,,,,,,99200500,,,4021200,,,,,,,,
78,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Poissons de toute sorte,Royaume d'Espagne,731300,,,,,,2599300,,,,,,,,,,,
79,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Huile d'olive,Etats d'Allemagne,39900,,,,,,99200500,,,4021200,,,,,,,,
79,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Poissons de toute sorte,Hollande,217500,,,,,,2599300,,,,,,,,,,,
80,Fatima Zahra,AN F12 251,Résumé,1787,Exports,,,9,1///Subsistances///Huile d'olive,République de suisse,567800,,,,,,99200500,,,4021200,,,,,,,,
80,Fatima Zahra,AN F12 251,Résumé,1787,Imports,,,2,1///Subsistances///Poissons de toute sorte,Royaume de Prusse,2800,,,,,,2599300,,,,,,,,,,,
