numrodeligne,dataentryby,Source,,,Page,Année,Import/Import,Nom Marchandise,Direction,Pays/Région,Quantité,Unité de poids/quantité,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Prix unitaire en  Lt (décimale),Valeur / unité de compte Lt,Valeur / unité de compte Sous,Valeur/ unité de compte Deniers,"Valeur en livres, sous et deniers",Valeur en décimales de livres tournois,Différence,Remarques
36,Pascal Fontaine,Marseille,,,2,1750,Import,Bois a bruler,Marseille,Espagne,"734 300,00",livres,,"0,18",,"0,00900",6609,,,"6609,00","6 608,70","0,30",
37,Pascal Fontaine,Marseille,,,2,1750,Import,Bois de campeche,Marseille,Espagne,"22 550,00",livres,,"3,00",,"0,15000",3382,,,"3382,00","3 382,50","-0,50",
38,Pascal Fontaine,Marseille,,,2,1750,Import,Bois de rose,Marseille,Espagne,"2 500,00",livres,,"12,00",,"0,60000",1500,,,"1500,00","1 500,00","0,00",
39,Pascal Fontaine,Marseille,,,2,1750,Import,Bonnets de laine,Marseille,Espagne,"73,00",douzaines,"22,000",,,"22,00000",1606,,,"1606,00","1 606,00","0,00",
40,Pascal Fontaine,Marseille,,,2,1750,Import,Bouchons de liege,Marseille,Espagne,"400,00",livres,"3,000",,,"3,00000",1200,,,"1200,00","1 200,00","0,00",
41,Pascal Fontaine,Marseille,,,2,1750,Import,Bourdes,Marseille,Espagne,"8 120 550,00",livres,"0,080",,,"0,08000",649644,,,"649644,00","649 644,00","0,00",
42,Pascal Fontaine,Marseille,,,2,1750,Import,Bourre,Marseille,Espagne,"350,00",livres,,"6,00",,"0,30000",105,,,"105,00","105,00","0,00",
43,Pascal Fontaine,Marseille,,,2,1750,Import,Bray sec,Marseille,Espagne,"43 800,00",livres,,"3,00",,"0,15000",6570,,,"6570,00","6 570,00","0,00",
44,Pascal Fontaine,Marseille,,,2,1750,Import,Brun rouge,Marseille,Espagne,"588 700,00",livres,,,6,"0,02500",14717,,,"14717,00","14 717,50","-0,50",
45,Pascal Fontaine,Marseille,,,2,1750,Import,Canbas de palme,Marseille,Espagne,"4,00",douzaines,"3,000",,,"3,00000",12,,,"12,00","12,00","0,00",
46,Pascal Fontaine,Marseille,,,2,1750,Import,Cacao,Marseille,Espagne,"112 913,00",livres,,"26,00",,"1,30000",146786,,,"146786,00","146 786,90","-0,90",
47,Pascal Fontaine,Marseille,,,2,1750,Import,Caffé,Marseille,Espagne,"12 800,00",livres,,"30,00",,"1,50000",19200,,,"19200,00","19 200,00","0,00",
48,Pascal Fontaine,Marseille,,,2,1750,Import,Capres,Marseille,Espagne,"28 800,00",livres,"0,220",,,"0,22000",6336,,,"6336,00","6 336,00","0,00",
49,Pascal Fontaine,Marseille,,,2,1750,Import,Chandelle,Marseille,Espagne,"1 200,00",livres,,"9,00",,"0,45000",540,,,"540,00","540,00","0,00",
50,Pascal Fontaine,Marseille,,,2,1750,Import,Chanvre cru,Marseille,Espagne,"250,00",livres,,"4,00",,"0,20000",50,,,"50,00","50,00","0,00",
51,Pascal Fontaine,Marseille,,,2,1750,Import,Charbon de bois,Marseille,Espagne,"5 850,00",livres,,"0,40",,"0,02000",117,,,"117,00","117,00","0,00",
52,Pascal Fontaine,Marseille,,,2,1750,Import,Cheveux,Marseille,Espagne,"126,00",livres,"30,000",,,"30,00000",3780,,,"3780,00","3 780,00","0,00",
53,Pascal Fontaine,Marseille,,,2,1750,Import,Chocolat,Marseille,Espagne,"884,00",livres,"3,000","10,00",,"3,50000",3094,,,"3094,00","3 094,00","0,00",
54,Pascal Fontaine,Marseille,,,2,1750,Import,Citrons,Marseille,Espagne,"27,00",milliers,"15,000",,,"15,00000",405,,,"405,00","405,00","0,00",
55,Pascal Fontaine,Marseille,,,2,1750,Import,Cloux de fer,Marseille,Espagne,"400,00",livres,,"5,00",,"0,25000",100,,,"100,00","100,00","0,00",
56,Pascal Fontaine,Marseille,,,2,1750,Import,Cochenille,Marseille,Espagne,"247 079,00",livres,"14,000",,,"14,00000",3459106,,,"3459106,00","3 459 106,00","0,00",
57,Pascal Fontaine,Marseille,,,2,1750,Import,Collequinte,Marseille,Espagne,"956,00",livres,,"30,00",,"1,50000",1434,,,"1434,00","1 434,00","0,00",
58,Pascal Fontaine,Marseille,,,2,1750,Import,Confitures,Marseille,Espagne,"115,00",livres,,"20,00",,"1,00000",115,,,"115,00","115,00","0,00",
59,Pascal Fontaine,Marseille,,,2,1750,Import,Corail,Marseille,Espagne,"22 435,00",livres,,"40,00",,"2,00000",44870,,,"44870,00","44 870,00","0,00",
60,Pascal Fontaine,Marseille,,,2,1750,Import,Cordages de chanvre,Marseille,Espagne,"5 400,00",livres,,"6,00",,"0,30000",1620,,,"1620,00","1 620,00","0,00",
61,Pascal Fontaine,Marseille,,,2,1750,Import,Cordages d'espar,Marseille,Espagne,"2 124,00",douzaines,"7,000",,,"7,00000",14868,,,"14868,00","14 868,00","0,00",
62,Pascal Fontaine,Marseille,,,2,1750,Import,Cornes de mouton,Marseille,Espagne,"100 613,00",paires,,"1,00",,"0,05000",5030,,,"5030,00","5 030,65","-0,65",
63,Pascal Fontaine,Marseille,,,2,1750,Import,Coton filé,Marseille,Espagne,"145,00",livres,,"20,00",,"1,00000",145,,,"145,00","145,00","0,00",
64,Pascal Fontaine,Marseille,,,2,1750,Import,Couffes a boulanger,Marseille,Espagne,"24,00",douzaines,"30,000",,,"30,00000",720,,,"720,00","720,00","0,00",
65,Pascal Fontaine,Marseille,,,2,1750,Import,Couffins d'espar,Marseille,Espagne,"54,00",douzaines,"3,000",,,"3,00000",162,,,"162,00","162,00","0,00",
66,Pascal Fontaine,Marseille,,,2,1750,Import,Couperose,Marseille,Espagne,"3 700,00",livres,"0,110",,,"0,11000",407,,,"407,00","407,00","0,00",
67,Pascal Fontaine,Marseille,,,2,1750,Import,Courdoüans,Marseille,Espagne,"300,00",peaux,,"25,00",,"1,25000",375,,,"375,00","375,00","0,00",
68,Pascal Fontaine,Marseille,,,2,1750,Import,Couvertures,Marseille,Espagne,"8 500,00",livres,"2,000",,,"2,00000",17000,,,"17000,00","17 000,00","0,00",
69,Pascal Fontaine,Marseille,,,2,1750,Import,Creme de tartre,Marseille,Espagne,"10 770,00",livres,"0,450",,,"0,45000",4846,,,"4846,00","4 846,50","-0,50",
70,Pascal Fontaine,Marseille,,,2,1750,Import,Cuirs en poil,Marseille,Espagne,"2 130,00",pièces,"14,000",,,"14,00000",29820,,,"29820,00","29 820,00","0,00",
71,Pascal Fontaine,Marseille,,,2,1750,Import,Dattes,Marseille,Espagne,"1 340,00",livres,"0,200",,,"0,20000",268,,,"268,00","268,00","0,00",
72,Pascal Fontaine,Marseille,,,2,1750,Import,Douelles a tonneaux,Marseille,Espagne,"3 930,00",tonneaux,"5,000",,,"5,00000",19650,,,"19650,00","19 650,00","0,00",
73,Pascal Fontaine,Marseille,,,3,1750,Import,Eau de la Reyne d'hongrie,Marseille,Espagne,"2 430,00",livres,,"15,00",,"0,75000",1822,,,"1822,00","1 822,50","-0,50",
74,Pascal Fontaine,Marseille,,,3,1750,Import,Eau de vie,Marseille,Espagne,"2 500,00",livres,,"3,00",,"0,15000",375,,,"375,00","375,00","0,00",
75,Pascal Fontaine,Marseille,,,3,1750,Import,Ecorces de grenade,Marseille,Espagne,"200,00",livres,,"1,00",,"0,05000",10,,,"10,00","10,00","0,00",
76,Pascal Fontaine,Marseille,,,3,1750,Import,Escayolle,Marseille,Espagne,"30 950,00",livres,,"3,00",,"0,15000",4642,,,"4642,00","4 642,50","-0,50",
77,Pascal Fontaine,Marseille,,,3,1750,Import,Espars,Marseille,Espagne,"404,00",milliers,"40,000",,,"40,00000",16160,,,"16160,00","16 160,00","0,00",
78,Pascal Fontaine,Marseille,,,3,1750,Import,Estrasses de soye,Marseille,Espagne,"300,00",livres,"25,000",,,"25,00000",7500,,,"7500,00","7 500,00","0,00",
79,Pascal Fontaine,Marseille,,,3,1750,Import,Etoffes de soye,Marseille,Espagne,"3 760,00",livres,"40,000",,,"40,00000",150400,,,"150400,00","150 400,00","0,00",
80,Pascal Fontaine,Marseille,,,3,1750,Import,Fer en barres,Marseille,Espagne,"7 800,00",livres,"0,140","0,10",,"0,14500",1131,,,"1131,00","1 131,00","0,00",
81,Pascal Fontaine,Marseille,,,3,1750,Import,Fer en cercles,Marseille,Espagne,"5 000,00",livres,,"5,00",,"0,25000",1250,,,"1250,00","1 250,00","0,00",
82,Pascal Fontaine,Marseille,,,3,1750,Import,Figues,Marseille,Espagne,"89 332,00",livres,,"2,00",,"0,10000",8933,,,"8933,00","8 933,20","-0,20",
83,Pascal Fontaine,Marseille,,,3,1750,Import,Fil de chevre,Marseille,Espagne,"200,00",livres,"4,000",,,"4,00000",800,,,"800,00","800,00","0,00",
84,Pascal Fontaine,Marseille,,,3,1750,Import,Filets d'espars,Marseille,Espagne,"6 121,00",grosses,"40,000",,,"40,00000",244840,,,"244840,00","244 840,00","0,00",
85,Pascal Fontaine,Marseille,,,3,1750,Import,Filets d'espars,Marseille,Espagne,"266,00",milliers,"50,000",,,"50,00000",13300,,,"13300,00","13 300,00","0,00",
86,Pascal Fontaine,Marseille,,,3,1750,Import,Filoselle,Marseille,Espagne,"336,00",livres,"4,000",,,"4,00000",1344,,,"1344,00","1 344,00","0,00",
87,Pascal Fontaine,Marseille,,,3,1750,Import,Fondettes de corail,Marseille,Espagne,"1 525,00",livres,,"15,00",,"0,75000",1143,,,"1143,00","1 143,75","-0,75",
88,Pascal Fontaine,Marseille,,,3,1750,Import,Freisset de vermillon,Marseille,Espagne,"200,00",livres,,"30,00",,"1,50000",300,,,"300,00","300,00","0,00",
89,Pascal Fontaine,Marseille,,,3,1750,Import,Fromage,Marseille,Espagne,"104 879,00",livres,,"5,00",,"0,25000",26219,,,"26219,00","26 219,75","-0,75",
90,Pascal Fontaine,Marseille,,,3,1750,Import,Gaudron,Marseille,Espagne,"120 600,00",livres,,"3,00",,"0,15000",18090,,,"18090,00","18 090,00","0,00",
91,Pascal Fontaine,Marseille,,,3,1750,Import,Gaudes,Marseille,Espagne,"4 850,00",livres,"0,120",,,"0,12000",582,,,"582,00","582,00","0,00",
92,Pascal Fontaine,Marseille,,,3,1750,Import,Gomme arabique,Marseille,Espagne,"1 500,00",livres,,"7,00",,"0,35000",525,,,"525,00","525,00","0,00",
93,Pascal Fontaine,Marseille,,,3,1750,Import,Grabeaux de corail,Marseille,Espagne,"905,00",livres,,"6,00",,"0,30000",271,,,"271,00","271,50","-0,50",
94,Pascal Fontaine,Marseille,,,3,1750,Import,Graine de laitue,Marseille,Espagne,"1 764,00",livres,,"10,00",,"0,50000",882,,,"882,00","882,00","0,00",
95,Pascal Fontaine,Marseille,,,3,1750,Import,Graine de vers à soye,Marseille,Espagne,"50,00",livres,"6,000",,,"6,00000",300,,,"300,00","300,00","0,00",
96,Pascal Fontaine,Marseille,,,3,1750,Import,Herbe d'orseille,Marseille,Espagne,"4 928,00",livres,,"20,00",,"1,00000",4928,,,"4928,00","4 928,00","0,00",
97,Pascal Fontaine,Marseille,,,3,1750,Import,Huile d'olive,Marseille,Espagne,"6 657,00",milleroles,"40,000",,,"40,00000",266280,,,"266280,00","266 280,00","0,00",
98,Pascal Fontaine,Marseille,,,3,1750,Import,Huile de poisson,Marseille,Espagne,"125 250,00",livres,,"4,00",,"0,20000",25050,,,"25050,00","25 050,00","0,00",
99,Pascal Fontaine,Marseille,,,3,1750,Import,Jalap,Marseille,Espagne,"15 310,00",livres,,"50,00",,"2,50000",38275,,,"38275,00","38 275,00","0,00",
100,Pascal Fontaine,Marseille,,,3,1750,Import,Indigo,Marseille,Espagne,"2 450,00",livres,"4,000","10,00",,"4,50000",11025,,,"11025,00","11 025,00","0,00",
101,Pascal Fontaine,Marseille,,,3,1750,Import,Joncs a voile,Marseille,Espagne,"1 225,00",livres,,"2,00",,"0,10000",122,,,"122,00","122,50","-0,50",
102,Pascal Fontaine,Marseille,,,3,1750,Import,Jus de citron,Marseille,Espagne,"248 600,00",livres,"0,060",,,"0,06000",14916,,,"14916,00","14 916,00","0,00",
103,Pascal Fontaine,Marseille,,,3,1750,Import,Laine lavée,Marseille,Espagne,"229 148,00",livres,,"22,00",,"1,10000",252062,,,"252062,00","252 062,80","-0,80",
104,Pascal Fontaine,Marseille,,,3,1750,Import,Laine de Sigovie,Marseille,Espagne,"118 582,00",livres,,"32,00",,"1,60000",189731,,,"189731,00","189 731,20","-0,20",
105,Pascal Fontaine,Marseille,,,3,1750,Import,Laine surge,Marseille,Espagne,"783 316,00",livres,,"8,00",,"0,40000",313326,,,"313326,00","313 326,40","-0,40",
106,Pascal Fontaine,Marseille,,,3,1750,Import,Legumes,Marseille,Espagne,"7 850,00",livres,,"3,00",,"0,15000",1177,,,"1177,00","1 177,50","-0,50",
107,Pascal Fontaine,Marseille,,,3,1750,Import,Liege,Marseille,Espagne,"120 750,00",livres,,"3,00",,"0,15000",18112,,,"18112,00","18 112,50","-0,50",
108,Pascal Fontaine,Marseille,,,3,1750,Import,Lin cru,Marseille,Espagne,"60,00",livres,,"12,00",,"0,60000",36,,,"36,00","36,00","0,00",
109,Pascal Fontaine,Marseille,,,3,1750,Import,Liqueurs a boire,Marseille,Espagne,"2 100,00",livres,,"15,00",,"0,75000",1575,,,"1575,00","1 575,00","0,00",
110,Pascal Fontaine,Marseille,,,3,1750,Import,Lustres,Marseille,Espagne,"5 000,00",livres,,"30,00",,"1,50000",7500,,,"7500,00","7 500,00","0,00",
111,Pascal Fontaine,Marseille,,,3,1750,Import,Mane,Marseille,Espagne,"1 120,00",livres,,"30,00",,"1,50000",1680,,,"1680,00","1 680,00","0,00",
112,Pascal Fontaine,Marseille,,,3,1750,Import,Medicamens,Marseille,Espagne,"1 000,00",livres,"6,000",,,"6,00000",6000,,,"6000,00","6 000,00","0,00",
113,Pascal Fontaine,Marseille,,,3,1750,Import,Miel,Marseille,Espagne,"5 525,00",livres,,"3,00",,"0,15000",828,,,"828,00","828,75","-0,75",
114,Pascal Fontaine,Marseille,,,3,1750,Import,Millet,Marseille,Espagne,"142 175,00",livres,"0,130",,,"0,13000",18482,,,"18482,00","18 482,75","-0,75",
115,Pascal Fontaine,Marseille,,,3,1750,Import,Mouchoirs de soye,Marseille,Espagne,"4 788,00",douzaines,"28,000",,,"28,00000",134064,,,"134064,00","134 064,00","0,00",
116,Pascal Fontaine,Marseille,,,3,1750,Import,Nattes,Marseille,Espagne,"85,00",pièces,,"20,00",,"1,00000",85,,,"85,00","85,00","0,00",
117,Pascal Fontaine,Marseille,,,3,1750,Import,Noisettes,Marseille,Espagne,"41 800,00",livres,,"2,00",,"0,10000",4180,,,"4180,00","4 180,00","0,00",
118,Pascal Fontaine,Marseille,,,3,1750,Import,Olives,Marseille,Espagne,"5 800,00",livres,,"3,00",,"0,15000",870,,,"870,00","870,00","0,00",
119,Pascal Fontaine,Marseille,,,3,1750,Import,Orge,Marseille,Espagne,"45,00",charges,"12,000",,,"12,00000",540,,,"540,00","540,00","0,00",
120,Pascal Fontaine,Marseille,,,3,1750,Import,Palmes en feuilles,Marseille,Espagne,"5 000,00",livres,,"20,00",,"1,00000",5000,,,"5000,00","5 000,00","0,00",
121,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux d'agneau,Marseille,Espagne,"200,00",livres,,"18,00",,"0,90000",180,,,"180,00","180,00","0,00",
122,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de chagrin,Marseille,Espagne,"1 815,00",livres,,"54,00",,"2,70000",4900,,,"4900,00","4 900,50","-0,50",
123,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de chevron,Marseille,Espagne,"73,00",douzaines,"8,000",,,"8,00000",584,,,"584,00","584,00","0,00",
124,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de chevron,Marseille,Espagne,"1 800,00",livres,,"8,00",,"0,40000",720,,,"720,00","720,00","0,00",
125,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de chien de mer,Marseille,Espagne,"65,00",en nombre,,"20,00",,"1,00000",65,,,"65,00","65,00","0,00",
126,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de chien de mer,Marseille,Espagne,"220,00",livres,,"20,00",,"1,00000",220,,,"220,00","220,00","0,00",
127,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de lapin,Marseille,Espagne,"7 877,00",livres,,"50,00",,"2,50000",19692,,,"19692,00","19 692,50","-0,50",
128,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de lievres,Marseille,Espagne,"2 000,00",livres,,"12,00",,"0,60000",1200,,,"1200,00","1 200,00","0,00",
129,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de maroquin,Marseille,Espagne,"1 200,00",livres,,"30,00",,"1,50000",1800,,,"1800,00","1 800,00","0,00",
130,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de mouton en laine,Marseille,Espagne,"1 287,00",en nombre,,"20,00",,"1,00000",1287,,,"1287,00","1 287,00","0,00",
131,Pascal Fontaine,Marseille,,,3,1750,Import,Peaux de mouton en laine,Marseille,Espagne,"200,00",livres,,"15,00",,"0,75000",150,,,"150,00","150,00","0,00",
132,Pascal Fontaine,Marseille,,,4,1750,Import,Peaux de tigres,Marseille,Espagne,"50,00",peaux,"20,000",,,"20,00000",1000,,,"1000,00","1 000,00","0,00",
133,Pascal Fontaine,Marseille,,,4,1750,Import,Pierres a fusils,Marseille,Espagne,"10 000,00",livres,,"2,00",,"0,10000",1000,,,"1000,00","1 000,00","0,00",
134,Pascal Fontaine,Marseille,,,4,1750,Import,Pierres de moulin,Marseille,Espagne,"46,00",en nombre,"50,000",,,"50,00000",2300,,,"2300,00","2 300,00","0,00",
135,Pascal Fontaine,Marseille,,,4,1750,Import,Pirettes,Marseille,Espagne,"230,00",livres,,"4,00",,"0,20000",46,,,"46,00","46,00","0,00",
136,Pascal Fontaine,Marseille,,,4,1750,Import,Pignons de pin,Marseille,Espagne,"16 400,00",livres,,"6,00",,"0,30000",4920,,,"4920,00","4 920,00","0,00",
137,Pascal Fontaine,Marseille,,,4,1750,Import,Planches de sapin,Marseille,Espagne,"9,00",douzaines,"9,000",,,"9,00000",81,,,"81,00","81,00","0,00",
138,Pascal Fontaine,Marseille,,,4,1750,Import,Plomb en saumon,Marseille,Espagne,"33 600,00",livres,,"4,00",,"0,20000",6720,,,"6720,00","6 720,00","0,00",
139,Pascal Fontaine,Marseille,,,4,1750,Import,Poil de lapin,Marseille,Espagne,"17 972,00",livres,"4,000",,,"4,00000",71888,,,"71888,00","71 888,00","0,00",
140,Pascal Fontaine,Marseille,,,4,1750,Import,Poissons salés,Marseille,Espagne,"678 690,00",livres,,"5,00",,"0,25000",169672,,,"169672,00","169 672,50","-0,50",
141,Pascal Fontaine,Marseille,,,4,1750,Import,Porcelaine,Marseille,Espagne,"200,00",livres,"5,000",,,"5,00000",1000,,,"1000,00","1 000,00","0,00",
142,Pascal Fontaine,Marseille,,,4,1750,Import,Poutargues,Marseille,Espagne,"60,00",livres,"2,000","10,00",,"2,50000",150,,,"150,00","150,00","0,00",
143,Pascal Fontaine,Marseille,,,4,1750,Import,Quincailles,Marseille,Espagne,"300,00",livres,,"20,00",,"1,00000",300,,,"300,00","300,00","0,00",
144,Pascal Fontaine,Marseille,,,4,1750,Import,Quinquina,Marseille,Espagne,"1 100,00",livres,"4,000",,,"4,00000",4400,,,"4400,00","4 400,00","0,00",
145,Pascal Fontaine,Marseille,,,4,1750,Import,Racine de pirettre,Marseille,Espagne,"600,00",livres,,"4,00",,"0,20000",120,,,"120,00","120,00","0,00",
146,Pascal Fontaine,Marseille,,,4,1750,Import,Raisins secs,Marseille,Espagne,"26 620,00",livres,,"4,00",,"0,20000",5324,,,"5324,00","5 324,00","0,00",
147,Pascal Fontaine,Marseille,,,4,1750,Import,Reglisse,Marseille,Espagne,"38 792,00",livres,,"7,00",,"0,35000",13577,,,"13577,00","13 577,20","-0,20",
148,Pascal Fontaine,Marseille,,,4,1750,Import,Saffran,Marseille,Espagne,"531,00",livres,"15,000",,,"15,00000",7965,,,"7965,00","7 965,00","0,00",
149,Pascal Fontaine,Marseille,,,4,1750,Import,Saffranum,Marseille,Espagne,"255,00",livres,,"12,00",,"0,60000",153,,,"153,00","153,00","0,00",
150,Pascal Fontaine,Marseille,,,4,1750,Import,Salicor,Marseille,Espagne,"1 642 275,00",livres,"0,040",,,"0,04000",65691,,,"65691,00","65 691,00","0,00",
151,Pascal Fontaine,Marseille,,,4,1750,Import,Salsepareille,Marseille,Espagne,"4 400,00",livres,,"40,00",,"2,00000",8800,,,"8800,00","8 800,00","0,00",
152,Pascal Fontaine,Marseille,,,4,1750,Import,Sang de dragon,Marseille,Espagne,"50,00",livres,,"12,00",,"0,60000",30,,,"30,00","30,00","0,00",
153,Pascal Fontaine,Marseille,,,4,1750,Import,Sardines salées,Marseille,Espagne,"45 400,00",livres,,"6,00",,"0,30000",13620,,,"13620,00","13 620,00","0,00",
154,Pascal Fontaine,Marseille,,,4,1750,Import,Saumure,Marseille,Espagne,"12 200,00",livres,,"4,00",,"0,20000",2440,,,"2440,00","2 440,00","0,00",
