"numerodeligne","dataentryby","source","sourcepath","sourcetype","sheet","year","exportsimports","marchandises","direction","pays","quantity","quantity_unit","value","prix_unitaire","Remarques"
30,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",119,1750,"Exports","Chemises de toile de lin","Rouen","Espagne",,,670,,
31,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",100,1733,"Imports","chévre passée","Rouen","hollande",12,"douzaines",,,
32,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",100,1735,"Imports","chévre passée","Rouen","hollande",12,"douzaines",,,
33,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",100,1736,"Imports","chévre passée","Rouen","hollande",24,"douzaines",,,
34,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",162,1775,"Exports","Combourg","Rouen","Isles Françaises",1800,"livres",,,
35,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",93,1755,"Imports","Dents d'élèphants","Rouen","ile française",20,"douzaines",,,
36,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",150,1773,"Exports","Drap de Carcassonne","Rouen","Indes",2620,"livres",,,
37,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",140,1764,"Exports","Draps de Sedan","Rouen","Portugal",,,1500,,
38,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",159,1733,"Exports","Eau de vie","Rouen","Isles Françaises",1,"barrique",,,
39,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1764,"Exports","Emballage","Rouen","Isles Françaises",2600,"livres",,,
40,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",109,1775,"Exports","Espagnolette croisée","Rouen","Allemagne Lorraine et pays de Liège",3354,"livres",,,
41,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",133,1770,"Exports","Toile fil et coton","Rouen","Italie",41,"livres",,,
42,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",162,1775,"Exports","Fougères","Rouen","Isles Françaises",5000,"livres",,,
43,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",62,1734,"Imports","Huile d’eben","Rouen","Hollande",45,"livres",,,
44,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",128,1764,"Exports","Vin de Champagne","Rouen","Hollande","7.5","muids",,,
45,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",96,1749,"Imports","Morue verte en tonneau","Rouen","hollande",3,"tonneaux",,,
46,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",100,1733,"Imports","or battu en feuille","Rouen","hollande",,,100,,
47,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",99,1733,"Imports","planche de sapin","Rouen","hollande",27120,"livres",,,
48,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",136,1755,"Exports","Poires sèches","Rouen","Nord",620,"livres",,,
49,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",136,1764,"Exports","poires sèches","Rouen","Nord",1800,"livres",,,
50,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",138,1733,"Exports","Pruneaux","Rouen","Portugal",22,"barils",,,
51,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",112,1763,"Exports","Pruneaux","Rouen","Angleterre",9,"barils",,,
52,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",136,1763,"Exports","Pruneaux","Rouen","Nord",1,"baril",,,
53,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",126,1763,"Exports","Pruneaux","Rouen","Hollande",2,"barils",,,
54,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",136,1764,"Exports","Pruneaux","Rouen","Nord",85,"barils",,,
55,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",99,1736,"Imports","raisins jalap","Rouen","hollande",,,1660,,
56,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",169,1750,"Exports","Terre à potier","Rouen","Angleterre",,,630,,
57,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",169,1750,"Exports","Terre à potier","Rouen","Hollande",,,1517,,
58,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",169,1750,"Exports","Terre à potier","Rouen","Nord",,,948,,
59,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",169,1750,"Exports","Terre à potier","Rouen","Danemark",,,123,,
60,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",169,1750,"Exports","Terre à potier","Rouen","Espagne",,,60,,
61,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",169,1750,"Exports","Terre à potier","Rouen","Suède",,,380,,
62,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1764,"Exports","Terre à potier","Rouen","Angleterre",,,298,,
63,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1764,"Exports","Terre à potier","Rouen","Hollande",,,333,,
64,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1764,"Exports","Terre à potier","Rouen","Nord",,,507,,
65,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1764,"Exports","Terre à potier","Rouen","Danemark",,,1590,,
66,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1764,"Exports","Terre à potier","Rouen","Suède",,,324,,
67,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1773,"Exports","Terre à potier","Rouen","Angleterre",,,105,,
68,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1773,"Exports","Terre à potier","Rouen","Danemark",,,141,,
69,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1773,"Exports","Terre à potier","Rouen","Hollande",,,172,,
70,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1773,"Exports","Terre à potier","Rouen","Nord",,,188,,
71,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1773,"Exports","Terre à potier","Rouen","Suède",,,337,,
72,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1775,"Exports","Terre à potier","Rouen","Angleterre",,,730,,
73,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1775,"Exports","Terre à potier","Rouen","Danemark",,,165,,
74,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1775,"Exports","Terre à potier","Rouen","Hollande",,,211,,
75,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1775,"Exports","Terre à potier","Rouen","Nord",,,273,,
76,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",171,1775,"Exports","Terre à potier","Rouen","Suède",,,139,,
77,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1764,"Exports","Toile grosse","Rouen","Isles Françaises",76105,"livres",,,
78,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",160,1750,"Exports","Toile bougrain","Rouen","Isles Françaises",60,"livres",,,
79,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",119,1750,"Exports","Toile bougrain","Rouen","Espagne",940,"livres",,,
80,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",138,1750,"Exports","Toile bougrain","Rouen","Portugal",2339,"livres",,,
81,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",120,1755,"Exports","Toile bougrain","Rouen","Espagne",585,"livres",,,
82,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1755,"Exports","Toile Bougrain","Rouen","Isles Françaises",710,"livres",,,
83,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",123,1755,"Exports","Toile bougrain","Rouen","Flandres",120,"livres",,,
84,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1763,"Exports","Toile Bougrain","Rouen","Isles Françaises",4200,"livres",,,
85,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",162,1770,"Exports","Toile bougran","Rouen","Isles Françaises",44,"livres",,,
86,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1755,"Exports","Toile Bretagne","Rouen","Isles Françaises",39309,"livres",,,
87,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",108,1764,"Exports","toile cirée","Rouen","Allemagne Lorraine et pays de Liège",,,470,,
88,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",112,1764,"Exports","Toile cirée","Rouen","Angleterre",,,1450,,
89,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",161,1764,"Exports","Toile cirée","Rouen","Isles Françaises",7,"ballots",,,
90,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",108,1767,"Exports","Toile de chanvre","Rouen","Allemagne Lorraine et pays de Liège",,,800,,
91,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",162,1772,"Exports","Charbon terre","Rouen","Isles Françaises",1739,"livres",,"0,008333333333333",
92,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",118,1728,"Exports","Savon et sirop de sucre","Rouen","Espagne",3500,"livres",,"0,016666666666667",
93,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",140,1764,"Exports","avoine","Rouen","Portugal",230000,"livres",,"0,025",
94,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",83,1728,"Imports","Orge","Rouen","angleterre",69,"livres",,"0,05",
95,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",99,1733,"Imports","rouge brun","Rouen","hollande",66150,"livres",,"0,075",
96,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",99,1734,"Imports","rouge brun","Rouen","hollande",65700,"livres",,"0,075",
97,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",99,1735,"Imports","rouge brun","Rouen","hollande",43275,"livres",,"0,075",
98,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",99,1736,"Imports","rouge brun","Rouen","hollande",42150,"livres",,"0,075",
99,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",101,1733,"Imports","couperose verte","Rouen","hollande",8525,"livres",,"0,083333333333333",
100,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",101,1734,"Imports","couperose verte","Rouen","hollande",70475,"livres",,"0,083333333333333",
101,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",101,1735,"Imports","couperose verte","Rouen","hollande",32375,"livres",,"0,083333333333333",
102,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",101,1736,"Imports","couperose verte","Rouen","hollande",329550,"livres",,"0,083333333333333",
103,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",162,1775,"Exports","Avoine","Rouen","Isles Françaises",27100,"livres",,"0,1",
104,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",162,1773,"Exports","Blé d'Espagne","Rouen","Isles Françaises",5400,"livres",,"0,1",
105,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",140,1764,"Exports","blé de seigle","Rouen","Portugal",211200,"livres",,"0,1",
106,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",120,1763,"Exports","Blé froment","Rouen","Espagne",443,"livres",,"0,1",
107,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",132,1763,"Exports","Blé Froment","Rouen","Italie",1438,"livres",,"0,1",
108,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",120,1764,"Exports","Blé froment","Rouen","Espagne",384300,"livres",,"0,1",
109,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",132,1764,"Exports","Blé Froment","Rouen","Italie",765000,"livres",,"0,1",
110,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",132,1764,"Exports","Blé Froment","Rouen","Italie (Naples & Sicile)",316000,"livres",,"0,1",
111,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",86,1773,"Imports","Blé seigle ","Rouen","Hollande",255485,"livres",,"0,1",
112,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",86,1773,"Imports","Blé seigle ","Rouen","nord",766150,"livres",,"0,1",
113,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",86,1775,"Imports","Blé seigle ","Rouen","Hollande",59378,"livres",,"0,1",
114,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",86,1775,"Imports","Blé seigle ","Rouen","nord",285702,"livres",,"0,1",
115,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",86,1775,"Imports","Blé seigle ","Rouen","Suéde",2239910,"livres",,"0,1",
116,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",112,1763,"Exports","Chataignes","Rouen","Angleterre",3900,"livres",,"0,1",
117,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",116,1763,"Exports","Chataignes","Rouen","Danemark",275,"livres",,"0,1",
118,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",126,1763,"Exports","Chataignes","Rouen","Hollande",400,"livres",,"0,1",
119,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",116,1764,"Exports","Chataignes","Rouen","Danemark",80,"livres",,"0,1",
120,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",112,1766,"Exports","Chataignes","Rouen","Angleterre",3480,"livres",,"0,1",
121,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",128,1766,"Exports","Chataignes","Rouen","Hollande",7000,"livres",,"0,1",
122,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",102,1733,"Imports","cornes plates","Rouen","hollande",6200,"en nombre",,"0,1",
123,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","angleterre",17230,"livres",,"0,1",
124,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Danemark",65175,"livres",,"0,1",
125,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Espagne",25125,"livres",,"0,1",
126,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Hollande",124577,"livres",,"0,1",
127,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Hollande",6960,"livres",,"0,1",
128,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Hollande",6829,"livres",,"0,1",
129,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","nord",170505,"livres",,"0,1",
130,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","nord",3155,"livres",,"0,1",
131,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Suéde",454245,"livres",,"0,1",
132,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",84,1750,"Imports","Fer coulé en gueuse","Rouen","Suéde",13075,"livres",,"0,1",
133,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",82,1768,"Imports","Fer coulé","Rouen","nord",2210,"livres",,"0,1",
134,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",82,1768,"Imports","Fer coulé","Rouen","nord",6110,"livres",,"0,1",
135,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",82,1770,"Imports","Fer coulé","Rouen","Danemark",103010,"livres",,"0,1",
136,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",120,1764,"Exports","Orge","Rouen","Espagne",90000,"livres",,"0,1",
137,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",140,1764,"Exports","Orge","Rouen","Portugal",36395,"livres",,"0,1",
138,"Paul Maneuvrier-Hervieu","AD76 7F97 – via Dardel","Local/Rouen/Rouen - via Dardel.csv","Local",86,1773,"Imports","Orge","Rouen","Hollande",26943,"livres",,"0,1",
