line_number,source_type,year,customs_region,customs_office,partner,exports_imports,product,origin,width_in_line,value,value_part_of_bundle,quantity,quantity_unit,value_per_unit,filepath,customs_office,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
121,Local,1733,Nantes,,Hollande,Exports,Cartes a jouer,,,198,,198,livres,1,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
122,Local,1733,Nantes,,Hollande,Exports,Cauris,,,32300,,38000,livres,0.85,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
123,Local,1733,Nantes,,Hollande,Exports,Cabarets vernis,,,4100,,410,pièces,10,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
124,Local,1733,Nantes,,Hollande,Exports,Cornes de bœuf,,,0,,2000,en nombre,0,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
125,Local,1733,Nantes,,Hollande,Exports,Damas des Indes,,,85905,,799,pièces,95,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
126,Local,1733,Nantes,,Hollande,Exports,Doreas,,,9800,,98,pièces,100,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
127,Local,1733,Nantes,,Hollande,Exports,Dissouchy,,,2450,,98,pièces,25,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
128,Local,1733,Nantes,,Hollande,Exports,Droguerie,,,37.5,,,,,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
129,Local,1733,Nantes,,Hollande,Exports,Eau de vie,,,66720,,834,bariques,80,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,droits de 3 livres et 5 sols par barique,,,,,834,barique,3.25,,,
130,Local,1733,Nantes,,Hollande,Exports,Elachar,,,22020,,1468,pièces,15,sources/local/AD44_C706_Nantes_Exports_1733,AD44 C706,4,,,,,Thasectra,,,,,,,,,,,,
