line_number,source_type,year,customs_region,customs_office,partner,export_import,product,origin,width_in_lines,value,value_part_of_bundle,quantity,quantity_unit,Prix unitaire en décimale de Lt,filepath,source,sheet,value_total,value_sub_total_1,value_sub_total_2,value_sub_total_3,data_collector,unverified,remarks,value_minus_unit_val_x_qty,absurd_observation,trade_deficit,trade_surplus,duty_quantity,duty_quantity_unit,duty_by_unit,duty_total,duty_part_of_bundle,duty_remarks
11,Local,1770,Rennes,,Angleterre,Exports,Fruits crus,,,60.00,,20.00,panniers,3.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
12,Local,1770,Rennes,,Angleterre,Exports,Fruits secs,,,"13,920.00",,"46,400.00",livres,0.3000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
13,Local,1770,Rennes,,Angleterre,Exports,Huille d'olive,,,"8,742.50",,"3,497.00",pots,2.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
14,Local,1770,Rennes,,Angleterre,Exports,Huitres a la daube,,,"4,000.00",,200.00,barils,20.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
15,Local,1770,Rennes,,Angleterre,Exports,marchandises meslées,,,291.00,,,,,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,,,,,,,,,,
16,Local,1770,Rennes,,Angleterre,Exports,Miel,,,"3,657.50",,"20,900.00",livres,0.1750000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
17,Local,1770,Rennes,,Angleterre,Exports,Noix,,,"2,537.50",,145.00,nuliers ?,17.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
18,Local,1770,Rennes,,Angleterre,Exports,Papier blanc,,,"2,874.00",,479.00,rames,6.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
19,Local,1770,Rennes,,Angleterre,Exports,Plumes a lit,,,301.00,,301.00,livres,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
20,Local,1770,Rennes,,Angleterre,Exports,Poivre,,,"1,128.40",,868.00,livres,1.3000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
21,Local,1770,Rennes,,Angleterre,Exports,Raisin,,,282.00,,"3,760.00",livres,0.0750000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
22,Local,1770,Rennes,,Angleterre,Exports,Savon,,,"59,450.00",,410.00,caisses,145.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
23,Local,1770,Rennes,,Angleterre,Exports,Souffre,,,270.00,,"2,700.00",livres,0.1000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
24,Local,1770,Rennes,,Angleterre,Exports,Sucre terré,,,"53,525.70",,"124,720.00",livres,0.4291667,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
25,Local,1770,Rennes,,Angleterre,Exports,Taffia,,,423.50,,121.00,veltes,3.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
26,Local,1770,Rennes,,Angleterre,Exports,Thé,,,"773,822.50",,"407,275.00",livres,1.9000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,1,,,,,Thasectra,,,0.00,,,,,,,,,
27,Local,1770,Rennes,,Angleterre,Exports,Toile batiste,,,"1,200.00",,40.00,carreaux,30.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
28,Local,1770,Rennes,,Angleterre,Exports,Toile de bretagne diverses,,,"15,000.00",,"10,000.00",aunes,1.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
29,Local,1770,Rennes,,Angleterre,Exports,Toile de bretagne blanche,,,720.00,,360.00,aunes,2.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
30,Local,1770,Rennes,,Angleterre,Exports,Toile de bretagne de halle,,,"43,747.50",,"46,050.00",aunes,0.9500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
31,Local,1770,Rennes,,Angleterre,Exports,Toile de bretagne serpillère,,,864.00,,"2,160.00",aunes,0.4000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
32,Local,1770,Rennes,,Angleterre,Exports,Toile cirée,,,60.00,,12.00,pièces,5.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
33,Local,1770,Rennes,,Angleterre,Exports,Toile cirée,,,400.00,,400.00,aunes,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
34,Local,1770,Rennes,,Angleterre,Exports,Toiles de coton bleues,,,319.20,,152.00,aunes,2.1000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
35,Local,1770,Rennes,,Angleterre,Exports,Toiles fines,,,"7,819.50",,"2,606.50",aunes,3.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
36,Local,1770,Rennes,,Angleterre,Exports,Toiles Siamoises,,,"2,000.00",,500.00,aunes,4.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
37,Local,1770,Rennes,,Angleterre,Exports,Vin d'aubagne,,,990.00,,18.00,barriques ,55.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
38,Local,1770,Rennes,,Angleterre,Exports,Vin de bordeaux,,,"5,066.65",,50.66,barriques ,100.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
39,Local,1770,Rennes,,Angleterre,Exports,Vin de Provence,,,240.00,,4.00,barriques ,60.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
40,Local,1770,Rennes,,Angleterre,Exports,Vinaigre,,,960.00,,32.00,barils,30.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
41,Local,1770,Rennes,,Angleterre,Exports,Vinaigre,,,37.50,,5.00,quarteaux,7.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
42,Local,1770,Rennes,,Danemark,Exports,Beurre,,,575.00,,"1,150.00",livres,0.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
43,Local,1770,Rennes,,Danemark,Exports,Caffé de Bourbon,,,990.00,,900.00,livres,1.1000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
44,Local,1770,Rennes,,Danemark,Exports,Eau de vie,,,278.25,,53.00,veltes,5.2500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
45,Local,1770,Rennes,,Danemark,Exports,Taffia,,,560.00,,160.00,Veltes,3.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
46,Local,1770,Rennes,,Danemark,Exports,Toile de Bretagne de Morlaix,,,375.00,,250.00,aunes,1.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
47,Local,1770,Rennes,,Danemark,Exports,Vin de bordeaux,,,180.00,,180.00,pots,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
48,Local,1770,Rennes,,Espagne,Exports,Agréments pour robes,,,750.00,,50.00,pièces,15.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
49,Local,1770,Rennes,,Espagne,Exports,Bas de fil,,,300.00,,12.00,douzaines,25.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
50,Local,1770,Rennes,,Espagne,Exports,Beuf salé,,,800.00,,20.00,barils,40.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
51,Local,1770,Rennes,,Espagne,Exports,Beuf salé,,,"1,658.00",,"7,368.00",livres,0.2250000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
52,Local,1770,Rennes,,Espagne,Exports,Beurre,,,"43,145.00",,"86,290.00",livres,0.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
53,Local,1770,Rennes,,Espagne,Exports,Bled froment,,,"22,858.00",,"189,170.00",livres,0.1208333,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
54,Local,1770,Rennes,,Espagne,Exports,Bled seigle,,,"21,000.00",,"210,000.00",livres,0.1000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
55,Local,1770,Rennes,,Espagne,Exports,Blonde de soye,,,"1,600.00",,100.00,pièces,16.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
56,Local,1770,Rennes,,Espagne,Exports,Bougie,,,630.00,,300.00,livres,2.1000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
57,Local,1770,Rennes,,Espagne,Exports,Chandelle,,,521.40,,948.00,livres,0.5500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
58,Local,1770,Rennes,,Espagne,Exports,Chaussettes de fil,,,"1,125.00",,45.00,douzaines,25.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
59,Local,1770,Rennes,,Espagne,Exports,Chemise bretonne,,,"1,389.00",,463.00,en nombre,3.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
60,Local,1770,Rennes,,Espagne,Exports,Chemise garnie,,,"64,547.00",,"9,221.00",en nombre,7.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,2,,,,,Thasectra,,,0.00,,,,,,,,,
61,Local,1770,Rennes,,Espagne,Exports,Cuirs de bœuf tannés,,,"738,870.00",,"24,629.00",pièces,30.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
62,Local,1770,Rennes,,Espagne,Exports,Cuirs de bœuf tannés,,,886.50,,"1,970.00",livres,0.4500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
63,Local,1770,Rennes,,Espagne,Exports,Cuirs de genisses corroyés,,,"21,861.00",,"2,429.00",pièces,9.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
64,Local,1770,Rennes,,Espagne,Exports,Dorure fine,,,"8,000.00",,50.00,livres,160.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
65,Local,1770,Rennes,,Espagne,Exports,Etamine de laine,,,960.00,,16.00,pièces,60.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
66,Local,1770,Rennes,,Espagne,Exports,Farine,,,405.00,,"2,160.00",livres,0.1875000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
67,Local,1770,Rennes,,Espagne,Exports,Feves,,,"7,660.00",,"114,900.00",livres,0.0666667,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
68,Local,1770,Rennes,,Espagne,Exports,Filain,,,"39,000.00",,"130,000.00",livres,0.3000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
69,Local,1770,Rennes,,Espagne,Exports,Graisses,,,"29,133.00",,"64,740.00",livres,0.4500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
70,Local,1770,Rennes,,Espagne,Exports,Lard,,,"1,927.20",,"7,008.00",livres,0.2833333,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
71,Local,1770,Rennes,,Espagne,Exports,Marchandises meslées,,,287.00,,,,287.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,,,,,,,,,,
72,Local,1770,Rennes,,Espagne,Exports,Mercerie,,,"1,200.00",,,,"1,200.0000000",sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,,,,,,,,,,
73,Local,1770,Rennes,,Espagne,Exports,Mouchoir d'indienne,,,270.00,,9.00,douzaines,30.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
74,Local,1770,Rennes,,Espagne,Exports,Mousseline,,,168.00,,24.00,aunes,7.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
75,Local,1770,Rennes,,Espagne,Exports,Papier batard commun,,,"5,568.00",,"1,392.00",rames,4.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
76,Local,1770,Rennes,,Espagne,Exports,Papier commun,,,"2,058.00",,49.00,balles,42.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
77,Local,1770,Rennes,,Espagne,Exports,Papier commun,,,96.00,,24.00,rames,4.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
78,Local,1770,Rennes,,Espagne,Exports,Papier gène fin,,,"1,008.00",,168.00,rames,6.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
79,Local,1770,Rennes,,Espagne,Exports,Peaux de mouton appretées,,,84.00,,12.00,douzaines,7.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
80,Local,1770,Rennes,,Espagne,Exports,Peaux de veau corroyées,,,"20,637.50",,592.50,douzaines,35.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
81,Local,1770,Rennes,,Espagne,Exports,Pois,,,228.00,,"3,040.00",livres,0.0750000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
82,Local,1770,Rennes,,Espagne,Exports,Poivre,,,403.00,,310.00,livres,1.3000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
83,Local,1770,Rennes,,Espagne,Exports,Sel,,,"9,920.00",,62.00,muids,160.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
84,Local,1770,Rennes,,Espagne,Exports,Toile batiste,,,750.00,,125.00,aunes,6.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
85,Local,1770,Rennes,,Espagne,Exports,Toile beurriere,,,"6,057.60",,"3,786.00",aunes,1.6000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
86,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne diverses,,,"113,583.00",,"113,583.00",aunes,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
87,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne Blanche,,,"2,094.00",,"1,047.00",aunes,2.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
88,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne à carreaux,,,"22,416.00",,"22,416.00",aunes,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
89,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de couleur,,,"15,292.00",,"15,292.00",aunes,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
90,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne crée large,,,"536,311.20",,"335,232.00",aunes,1.6000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
91,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne crée estre large,,,"21,324.30",,"13,328.00",aunes,1.6000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
92,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne d'emballage,,,946.80,,"2,104.00",aunes,0.4500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
93,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne etroitte,,,"1,893,045.00",,"252,406.00",pièces,7.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
94,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne etroitte,,,"176,857.50",,"117,905.00",aunes,1.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
95,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne gracienne,,,"2,894,172.40",,"2,067,266.00",aunes,1.4000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
96,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de halle,,,"12,390.85",,"13,043.00",aunes,0.9500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
97,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de Languenan,,,"2,348.30",,"2,042.00",aunes,1.1500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
98,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne large,,,"638,125.00",,"51,050.00",pièces,12.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
99,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne large,,,"71,525.00",,"28,610.00",aunes,2.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,3,,,,,Thasectra,,,0.00,,,,,,,,,
100,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de Léon,,,125.00,,100.00,aunes,1.2500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
101,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de ménage,,,996.00,,498.00,aunes,2.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
102,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de Morlaix,,,195.00,,130.00,aunes,1.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
103,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne d'oloron,,,"7,237.50",,"5,790.00",aunes,1.2500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
104,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne rayée,,,"10,112.00",,"10,112.00",aunes,1.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
105,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne railonne,,,"6,461.70",,"6,154.00",livres,1.0500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
106,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne rousse,,,"6,711.00",,"4,474.00",aunes,1.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
107,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne de vitré,,,560.00,,700.00,aunes,0.8000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
108,Local,1770,Rennes,,Espagne,Exports,Toile de Bretagne a voile,,,"14,513.15",,"15,277.00",aunes,0.9500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
109,Local,1770,Rennes,,Espagne,Exports,Toile de Laval,,,450.00,,1.00,balles,450.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
110,Local,1770,Rennes,,Espagne,Exports,Toile royale,,,"2,750.00",,"1,000.00",aunes,2.7500000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
111,Local,1770,Rennes,,Espagne,Exports,Vin,,,440.00,,11.00,barriques ,40.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
112,Local,1770,Rennes,,Espagne,Exports,Vin,,,226.00,,113.00,pots,2.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
113,Local,1770,Rennes,,Espagne,Exports,Beurre,,,"285,495.00",,"570,990.00",livres,0.5000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
114,Local,1770,Rennes,,Espagne,Exports,Bois rouge,,,"15,750.00",,"180,000.00",livres,0.0875000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
115,Local,1770,Rennes,,Espagne,Exports,Caffé des isles,,,"79,021.80",,"87,802.00",livres,0.9000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
116,Local,1770,Rennes,,Espagne,Exports,Caffé de l'Orient,,,"1,118,788.00",,"1,017,080.00",livres,1.1000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
117,Local,1770,Rennes,,Espagne,Exports,Miel,,,"140,287.85",,"801,645.00",livres,0.1750000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
118,Local,1770,Rennes,,Espagne,Exports,Papier Batard fin,,,"15,160.00",,"3,790.00",rames,4.0000000,sources/local/AD44_C717_Rennes_Exports_1770,AD44 C717,4,,,,,Thasectra,,,0.00,,,,,,,,,
