quantity_unit,quantity_unit_ortho,source_bdc,nbr_bdc_quantity_unit,nbr_bdc_quantity_unit_ortho
Caisses,caisses,1,199,944
faix,faix,1,198,267
poinçons,poinçons,1,196,256
pièce,pièces,1,192,22175
tierçons,tierçons,1,192,529
quarts,quarts,1,185,432
aune,aunes,1,184,9784
Baril,barils,1,184,6949
Douelles,douelles,1,183,712
Millier,milliers,1,179,2293
Tierçons,tierçons,1,170,529
traques,traques,1,165,241
pieds,pieds,1,164,199
boucs,boucs,1,163,173
Marcs,marcs,1,158,680
sacs,sacs,1,153,208
PIèces,pièces,1,151,22175
valeurs,valeur,1,151,552
pinte,pintes,1,149,731
peaux,peaux,1,143,265
????,????,1,138,245
mesures,mesures,1,130,152
Bouteille,bouteilles,1,126,1994
estimées,estimé,1,125,362
Paire,paires,1,125,2838
charretées,charretées,1,124,216
cuirs,cuirs,1,124,154
Quintaux,quintaux,1,124,14434
chars,chars,1,121,145
Peaux,peaux,1,120,265
Charge,charges,1,118,2768
chapeaux,chapeaux,1,115,127
litre,litres,1,112,328
onces,onces,1,111,169
muid,muids,1,110,4540
Velte,veltes,1,110,888
Barrique,barriques,1,109,5046
feuilles,feuille,1,109,166
rame,rames,1,108,2000
gramme,gramme,1,105,106
ballots,ballots,1,102,210
cent au grand compte,cent au grand compte,1,94,122
Hectolitres,hectolitres,1,93,909
milliers au grand compte,milliers au grand compte,1,92,92
mètres,mètre,1,90,122
flacons,flacon,1,89,174
Boisseau,boisseau,1,88,1453
Quart,quart,1,85,95
Valeur,valeur,1,79,552
francs,francs,1,77,78
Paquets,paquets,1,74,420
tonnes,tonne,1,74,114
caissons,caissons,1,72,90
Flacons,flacon,1,71,174
baril,barils,1,69,6949
Balles,balle,1,68,557
estimés,estimé,1,68,362
tiercons,tierçons,1,67,529
septiers,setiers,1,66,162
Faix,faix,1,65,267
rodes,rodes,1,65,68
caisse,caisses,1,62,944
Aulnes,aunes,1,61,9784
piéces,pièces,1,61,22175
?,????,1,60,245
carreaux,carreaux,1,59,94
Pipes,pipe,1,58,371
Traques,traques,1,58,241
madriers,madriers,1,57,92
rouleaux,rouleaux,1,56,63
cent,cent,1,55,188
Onces,onces,1,54,169
Bottes,bottes,1,52,320
estimé,estimé,1,52,362
LIvres,livres,1,50,234152
Paniers,paniers,1,50,318
Auns,aunes,1,48,9784
Feuilles,feuille,1,46,166
masses,masses,1,46,53
Tierçon,tierçons,1,46,529
cents,cent,1,45,188
piece,pièces,1,45,22175
Sacs,sacs,1,45,208
fournitures,fournitures,1,44,107
razières,razières,1,44,55
setiers,setiers,1,44,162
ancres,ancre,1,43,104
barique,barriques,1,42,5046
estimée,estimé,1,42,362
Grosse,grosses,1,42,1313
Ancres,ancre,1,41,104
mannes,mannes,1,41,59
balots,ballots,1,40,210
futailles,futailles,1,40,52
planches,planches,1,40,51
Ballots,ballots,1,39,210
Douzaines de paires,douzaine de paires,1,39,80
???,????,1,38,245
monds,monds,1,38,38
monts,mont,1,37,61
pains,pains,1,36,46
Estimées,estimé,1,35,362
Fournitures,fournitures,1,35,107
Barils de 450 feuilles,barils de 450 feuilles,1,34,42
Cens,cent,1,34,188
charge de 300 livres,charge de 300 livres,1,34,34
leths,leths,1,34,47
nombres,nombre,1,34,9417
pairs,paires,1,34,2838
Poinçons,poinçons,1,34,256
boucauds,boucaux,1,33,53
cannes,cannes,1,33,66
Chartées,charretées,1,33,216
Marc,marcs,1,33,680
paire,paires,1,33,2838
Cannes,cannes,1,32,66
cordes,corde,1,32,57
douzaines de paires,douzaine de paires,1,32,80
mètre,mètre,1,32,122
canelles,cannelles,1,31,44
le cent,le cent,1,31,32
toises,toises,1,31,37
Barillets,barillets,1,30,55
doüelles,douelles,1,30,712
frequins,frequin,1,30,46
Carreaux,carreaux,1,28,94
Cent au grand compte,cent au grand compte,1,28,122
Fourniture,fournitures,1,28,107
grosse,grosses,1,28,1313
Madriers,madriers,1,28,92
Pieds,pieds,1,28,199
poignées,poignées,1,28,52
Pot,pots,1,28,1518
Thonneaux,tonneaux,1,28,5564
Cuirs,cuirs,1,27,154
Doüelles,douelles,1,27,712
Tonnes,tonne,1,26,114
Cents,cent,1,25,188
Muids + pintes et bouteilles,muids + pintes et bouteilles,1,25,25
barres,barres,1,24,39
communes,communes,1,24,28
Douelle,douelles,1,24,712
millier,milliers,1,24,2293
"muid de 62,5 pintes","muid de 62,5 pintes",1,24,24
petits barils,barils petits,1,24,50
Quartiers,quartiers,1,24,43
Septiers,setiers,1,24,162
bateaux,bateaux,1,23,30
douz,douzaine,1,23,10510
mines,mines,1,23,47
Mines,mines,1,23,47
pierres,pierre,1,23,31
verges,verges,1,23,45
cabas,cabas,1,22,23
pacquets,paquets,1,22,420
Verges,verges,1,22,45
AUNES,aunes,1,21,9784
charetées,charretées,1,21,216
Chars,chars,1,21,145
diverses,divers,1,21,23
fanegues,fanègues,1,21,27
garnitures,garnitures,1,21,42
miliers,milliers,1,21,2293
bannes,bannes,1,20,28
Boîtes,boîtes,1,20,57
Cent,cent,1,20,188
fusils,fusils,1,20,23
last,last,1,20,22
malles,malles,1,20,39
Monts,mont,1,20,61
voitures,voitures,1,20,23
Ancre,ancre,1,19,104
Aums,aunes,1,19,9784
Cordes,corde,1,19,57
en valeur,en valeur,1,19,19
muides,muids,1,19,4540
timbres,timbres,1,19,23
aumes,aunes,1,18,9784
Caisse,caisses,1,18,944
Caissons,caissons,1,18,90
canavettes,canevettes,1,18,44
charge,charges,1,18,2768
coffres,coffre,1,18,25
Fiolles,fiole,1,18,56
hectogrammes,hectogrammes,1,18,18
parasols en nombre,parasols en nombre,1,18,18
tiercon,tierçons,1,18,529
barillets,barillets,1,17,55
bouteuilles,bouteilles,1,17,1994
Estimé,estimé,1,17,362
gonnes,gonnes,1,17,29
paquet,paquets,1,17,420
Poignées,poignées,1,17,52
tonneau,tonneaux,1,17,5564
barrique,barriques,1,16,5046
coupes,coupes,1,16,30
fioles,fiole,1,16,56
Garnitures,garnitures,1,16,42
Mesures,mesures,1,16,152
ordinaires,ordinaire,1,16,19
pieds cubes,pieds cubes,1,16,19
stère,stères,1,16,28
vaches,vaches,1,16,16
Barres,barres,1,15,39
coupons,coupons,1,15,26
groses,grosses,1,15,1313
potiches,potiches,1,15,15
tierçon,tierçons,1,15,529
bailler,bailles,1,14,41
bailles,bailles,1,14,41
billes,billes,1,14,17
Cottes,cottes,1,14,34
letz,letz,1,14,21
minots,minots,1,14,22
petits,petits,1,14,28
stères à bruler,stères à bruler,1,14,14
décimètres,décimètres,1,13,13
demi Cuirs,demi cuirs,1,13,21
Droits,droits,1,13,13
Panier,paniers,1,13,318
Rame,rames,1,13,2000
thonneaux,tonneaux,1,13,5564
asnées,anée,1,12,14
Bailles,bailles,1,12,41
buches,bûches,1,12,30
cavelles,cavelles,1,12,14
Coupes,coupes,1,12,30
Estimés,estimé,1,12,362
Fioles,fiole,1,12,56
hectolitre,hectolitres,1,12,909
panier,paniers,1,12,318
quartiers,quartiers,1,12,43
services,services,1,12,28
stères,stères,1,12,28
tasses,tasses,1,12,13
volumes,volume,1,12,14
cercles,cercles,1,11,11
Chapeaux,chapeaux,1,11,127
douëlles,douelles,1,11,712
Futailles,futailles,1,11,52
kilogrammes de l'étranger,kilogrammes de l'étranger,1,11,11
loirdins,lordins,1,11,16
marc,marcs,1,11,680
morceaux,morceaux,1,11,14
Paquet,paquets,1,11,420
pipots,pipot,1,11,11
Pochées,pochées,1,11,12
Sixains,sixains,1,11,32
traque,traques,1,11,241
Ballons,ballon,1,10,23
Buches,bûches,1,10,30
chariots,chariots,1,10,18
juttes,jutes,1,10,16
kilogramme,kilogrammes,1,10,9937
Pacquet,paquets,1,10,420
Pains,pains,1,10,46
panniers,paniers,1,10,318
Planches,planches,1,10,51
quart,quart,1,10,95
Services,services,1,10,28
sizains,sizains,1,10,11
??,????,1,9,245
??? pièces,pièces,1,9,22175
???? bout s,???? bout s,1,9,9
balle,balle,1,9,557
barraux,barreaux,1,9,16
Boites,boîtes,1,9,57
boîtes,boîtes,1,9,57
Bouts,bouts,1,9,18
Brasses,brasses,1,9,12
caves,cave,1,9,13
dousaines,douzaine,1,9,10510
grandes,grande,1,9,11
les 180 livres,les 180 livres,1,9,9
petites,petits,1,9,28
ballot,ballots,1,8,210
Balots,ballots,1,8,210
barilles,barils,1,8,6949
boetes,boëtes,1,8,34
Boëtes,boëtes,1,8,34
Boite,boîtes,1,8,57
boutades,boutades,1,8,11
bouts,bouts,1,8,18
brassées,brassées,1,8,8
canes,canes,1,8,9
cannelles,cannelles,1,8,44
carpes,carpes,1,8,8
centaines,centaine,1,8,10
chartées,charretées,1,8,216
demi-caisses,demi caisses,1,8,17
Douëlles,douelles,1,8,712
fagots,fagots,1,8,10
Grossess,grosses,1,8,1313
le pied cube,le pied cube,1,8,8
lets,lets,1,8,15
milliers en nombre,milliers en nombre,1,8,8
muid de 120 livres,muid de 120 livres,1,8,8
napes,nappes,1,8,8
pans,pans,1,8,9
poinçon,poinçons,1,8,256
poulains,poulains,1,8,9
sabres,sabres,1,8,9
saumons,saumon,1,8,10
Septier,setiers,1,8,162
sommées,sommées,1,8,11
tonne,tonne,1,8,114
velte,veltes,1,8,888
wagons,wagons,1,8,8
???? Rien,???? rien,1,7,7
Balle,balle,1,7,557
Barrillets,barillets,1,7,55
boites,boîtes,1,7,57
Botte,bottes,1,7,320
bouteille,bouteilles,1,7,1994
Brins,brins,1,7,14
Canevettes,canevettes,1,7,44
cent.,cent,1,7,188
charettes,charrettes,1,7,15
chemises,chemises,1,7,7
Coupons,coupons,1,7,26
feuillettes,feuillette,1,7,8
flacon,flacon,1,7,174
Frequins,frequin,1,7,46
Lets,lets,1,7,15
Mannes,mannes,1,7,59
Minots,minots,1,7,22
Pipe,pipe,1,7,371
plaques,plaques,1,7,7
quintaux métriques,quintaux métriques,1,7,7
roues,roues,1,7,7
septier,setiers,1,7,162
sixains,sixains,1,7,32
sommiers,sommiers,1,7,7
Tiercons,tierçons,1,7,529
ballons,ballon,1,6,23
Bannes,bannes,1,6,28
barbançons,barbançons,1,6,12
Barbançons,barbançons,1,6,12
bariques de 1000 livres,barriques de 1000 livres,1,6,6
boillaux,boisseau,1,6,1453
Boues,boucs,1,6,173
bûches,bûches,1,6,30
caises,caisses,1,6,944
Canavettes,canevettes,1,6,44
caps,caps,1,6,10
cottes,cottes,1,6,34
demi caisses,demi caisses,1,6,17
douzaines de tasses,douzaine de tasses,1,6,6
estimation,estimation,1,6,8
fiolles,fiole,1,6,56
Flacon,flacon,1,6,174
fréquins,frequin,1,6,46
grands,grands,1,6,6
jarres,jarres,1,6,8
Letz,letz,1,6,21
Madrier,madriers,1,6,92
Malles,malles,1,6,39
Manes,mannes,1,6,59
Masses,masses,1,6,53
Millerolle,milleroles,1,6,2186
Muids de Paris,muids de Paris,1,6,6
Poignée,poignées,1,6,52
Sac,sacs,1,6,208
Toises,toises,1,6,37
tonaux,tonneaux,1,6,5564
Tonne,tonne,1,6,114
violons,violons,1,6,6
Arobes,arrobes,1,5,10
barils doubles,barils double,1,5,8
barril,barils,1,5,6949
Barril,barils,1,5,6949
Barrils petits,barils petits,1,5,50
Boete,boëtes,1,5,34
Boissaux,boisseau,1,5,1453
Boucauds,boucaux,1,5,53
Brin,brins,1,5,14
chaldres,chaldres,1,5,13
Charretées,charretées,1,5,216
Corde,corde,1,5,57
Estimée,estimé,1,5,362
Garniture,garnitures,1,5,42
Gommes,gommes,1,5,7
Gonne,gonnes,1,5,29
Gonnes,gonnes,1,5,29
jets,jets,1,5,13
jutes,jutes,1,5,16
males,malles,1,5,39
Milles,milliers,1,5,2293
Pamiers,paniers,1,5,318
Panniers,paniers,1,5,318
piéce,pièces,1,5,22175
Pinte,pintes,1,5,731
quarteaux,quartaut,1,5,6
queues,queues,1,5,9
Settiers,setiers,1,5,162
sixaines,sixains,1,5,32
teintures,teintures,1,5,5
Traque,traques,1,5,241
???? tonnage,???? tonnage,1,4,4
Ballot,ballots,1,4,210
Barils de 600 feuilles,barils de 600 feuilles,1,4,4
barils petits,barils petits,1,4,50
Barraux,barreaux,1,4,16
Batteaux,bateaux,1,4,30
Boëte,boëtes,1,4,34
boineaux,boisseau,1,4,1453
boiseaux,boisseau,1,4,1453
bouc,boucs,1,4,173
canettes,cannettes,1,4,9
cannevettes,canevettes,1,4,44
Caps,caps,1,4,10
chaldes,chaldres,1,4,13
Chariots,chariots,1,4,18
colis,colis,1,4,5
de,de,1,4,4
demie,demie,1,4,8
demy Cuirs,demi cuirs,1,4,21
emines,émines,1,4,5
Feuille,feuille,1,4,166
feüilles,feuille,1,4,166
Foncailles,fonçailles,1,4,8
fours,fours,1,4,6
Grosses bariques,grosses barriques,1,4,6
hambourgs,hambourg,1,4,13
lats,lats,1,4,4
Leths,leths,1,4,47
Lethz,leths,1,4,47
mats,mats,1,4,4
meules,meules,1,4,9
millers,milliers,1,4,2293
mortiers,mortiers,1,4,5
Muids + Septiers + Minots,muids + septiers + minots,1,4,4
muids encerclés,muids encerclés,1,4,4
pendules,pendules,1,4,7
Petits barrils,barils petits,1,4,50
piè,pièces,1,4,22175
Pièces estimées,pièces,1,4,22175
pied,pieds,1,4,199
pinçons,poinçons,1,4,256
Poincons,poinçons,1,4,256
Quartieres,quartiers,1,4,43
quintaux des colonies françaises,quintaux des colonies françaises,1,4,4
Razieres,razières,1,4,55
Saus,sacs,1,4,208
Sixaines,sixains,1,4,32
sixtaines,sixains,1,4,32
sommes,somme,1,4,8
tables,tables,1,4,4
Taupettes,topettes,1,4,5
???? aunes,???? aunes,1,3,4
#,#,1,3,3
aimes,aimes,1,3,8
Avirons,avirons,1,3,4
aymes,aimes,1,3,8
balot,ballots,1,3,210
Balot,ballots,1,3,210
barbues,barbues,1,3,5
bariques de 500 livres,barriques de 500 livres,1,3,3
barreaux,barreaux,1,3,16
barrils petits,barils petits,1,3,50
bas,bas,1,3,3
batons,bâtons,1,3,4
batteaux,bateaux,1,3,30
Billes,billes,1,3,17
billons,billons,1,3,3
boete,boëtes,1,3,34
boettes,boëtes,1,3,34
bonnets,bonnets,1,3,4
boules,boules,1,3,4
Boutades,boutades,1,3,11
Bouteiles,bouteilles,1,3,1994
canelle,cannelles,1,3,44
caques,caques,1,3,5
Cartieres,cartieres,1,3,4
Cartons,cartons,1,3,3
Caves,cave,1,3,13
chaises,chaises,1,3,3
charetés,charretées,1,3,216
Chartée,charretées,1,3,216
chartés,charretées,1,3,216
Coffres,coffre,1,3,25
Cotte,cottes,1,3,34
Coupon,coupons,1,3,26
cruches,cruche,1,3,8
Cruches,cruche,1,3,8
demi barriques,demi barriques,1,3,6
demi charge,demi charge,1,3,6
demi pièces,demi pièces,1,3,15
Demi pièces,demi pièces,1,3,15
demi planches,demi planches,1,3,4
demie bouteilles,demi bouteilles,1,3,9
demie charge,demie charge,1,3,4
demies,demie,1,3,8
demies caisses,demi caisses,1,3,17
demy pieces,demi pièces,1,3,15
Douzaine de paires,douzaine de paires,1,3,80
Douzaines de Paires,douzaine de paires,1,3,80
en pièces,en pièces,1,3,3
fauteuils,fauteuils,1,3,3
fiottes,fiole,1,3,56
Fluttes,flûtes,1,3,5
Fusils,fusils,1,3,23
gobelets,gobelets,1,3,5
grandes caisses,grande caisse,1,3,3
Hambourg,hambourg,1,3,13
Hambourgs,hambourg,1,3,13
jattes,jattes,1,3,4
Jets,jets,1,3,13
jeux,jeux,1,3,7
laes,laest,1,3,12
laest,laest,1,3,12
laëst,laest,1,3,12
Latz,latz,1,3,3
le reste,le reste,1,3,3
lethz,leths,1,3,47
lordins,lordins,1,3,16
malle,malles,1,3,39
mandel,mandes,1,3,3
mane,mannes,1,3,59
mesure,mesures,1,3,152
Migeres,migères,1,3,6
migères,migères,1,3,6
mil,milliers,1,3,2293
Millers,,1,3,163258
mils,,1,3,163258
Monts ?,mont,1,3,61
muids en bouteilles,muids en bouteilles,1,3,3
Once,onces,1,3,169
panaux,panaux,1,3,3
paumes,paumes,1,3,3
petit baril,barils petits,1,3,50
petite,petits,1,3,28
Pied,pieds,1,3,199
Pieds cubes,pieds cubes,1,3,19
pierre,pierre,1,3,31
Pierres,pierre,1,3,31
pipe,pipe,1,3,371
plats,plats,1,3,3
poids,poids,1,3,3
Poinçon,poinçons,1,3,256
poincons,poinçons,1,3,256
poutres,poutre,1,3,4
prises,prises,1,3,4
Quartiers mesure de Blaye,quartiers mesure de blaye,1,3,3
Queues,queues,1,3,9
robes,robes,1,3,3
Rouleaux,rouleaux,1,3,63
serrures,serrures,1,3,3
settiers,setiers,1,3,162
Sommes,somme,1,3,8
Teinture,,1,3,163258
têtes,têtes,1,3,3
Tiercon,tierçons,1,3,529
Timbres,timbres,1,3,23
Torche,,1,3,163258
???? bann,???? bann,1,2,2
???? boir X,???? boir x,1,2,2
???? boue(c)s,???? boue(c)s,1,2,2
???? de la bour.,???? de la bour.,1,2,2
???? grosses,???? grosses,1,2,2
???? livres,???? livres,1,2,2
???? m,???? m,1,2,2
???? mot,???? mot,1,2,2
???? p,???? p,1,2,2
???? pièces,???? pièces,1,2,2
[vide],,1,2,163258
6 flacons,,1,2,163258
9 flacons,,1,2,163258
alvrames,alvrames,1,2,2
Arobe,arrobes,1,2,10
Aroves,arrobes,1,2,10
assortis,,1,2,163258
atlas,atlas,1,2,2
ballles,balle,1,2,557
Ballon,ballon,1,2,23
Balons,ballon,1,2,23
Barile,barils,1,2,6949
barils ?,,1,2,163258
barils de 450 feuilles,barils de 450 feuilles,1,2,42
Barils de 450 Feuilles,barils de 450 feuilles,1,2,42
barils de 64 pots,barils de 64 pots,1,2,2
Barils petits,barils petits,1,2,50
barils simples,barils simple,1,2,3
Barrile,barils,1,2,6949
Barriles,barils,1,2,6949
Barrils de 450 feuilles,barils de 450 feuilles,1,2,42
bazin,,1,2,163258
boëtes,boëtes,1,2,34
boîte,boîtes,1,2,57
Boïte,,1,2,163258
botes,bottes,1,2,320
botiches,botiches,1,2,5
Botiches,botiches,1,2,5
botte,bottes,1,2,320
boucauls,boucaux,1,2,53
boucault,boucaux,1,2,53
boucaults,boucaux,1,2,53
Boucaults,boucaux,1,2,53
boucaux,boucaux,1,2,53
bouquets,bouquets,1,2,2
Bouteilles + Muids + Pintes,bouteilles + muids + pintes,1,2,2
Bouteuilles,,1,2,163258
brases,brasses,1,2,12
buche,bûches,1,2,30
Canastres,canastre,1,2,2
canavette,canevettes,1,2,44
canevettes,canevettes,1,2,44
cannavettes,canevettes,1,2,44
Cannettes,cannettes,1,2,9
Caques,caques,1,2,5
Careaux,carreaux,1,2,94
Carraux,carreaux,1,2,94
cavelle,cavelles,1,2,14
Chantourné,chantourné,1,2,2
Char,chars,1,2,145
Charetée,charretées,1,2,216
Charetées,charretées,1,2,216
charetes,charrettes,1,2,15
Charetés,charretées,1,2,216
Charettes,charrettes,1,2,15
Chariot,chariots,1,2,18
charretes,charrettes,1,2,15
charte,charte,1,2,2
chartée,charretées,1,2,216
Chartés,charretées,1,2,216
chevaux,chevaux,1,2,2
Ciel,ciel,1,2,2
coffre,coffre,1,2,25
Coffre,coffre,1,2,25
cotes,cottes,1,2,34
Cotes,cottes,1,2,34
Cotté,,1,2,163258
Cottés,cottes,1,2,34
couples,,1,2,163258
Couvertures,couvertures,1,2,3
Croix,croix,1,2,3
cruche,cruche,1,2,8
cuir,cuirs,1,2,154
demi bouteilles,demi bouteilles,1,2,9
demi cuirs,demi cuirs,1,2,21
demi pieces,,1,2,163258
demie pièces,demi pièces,1,2,15
demy,demi,1,2,2
demy charge,demi charge,1,2,6
Demy pièces,demi pièces,1,2,15
demycs,demycs,1,2,2
devants,devants,1,2,2
divers,divers,1,2,23
Dossier,dossier,1,2,2
Douëlle,,1,2,163258
douelless,douelles,1,2,712
douzaine de paires,douzaine de paires,1,2,80
Douzaines de bas,douzaine de bas,1,2,2
Douzaines de fiolles,douzaine de fiole,1,2,3
ecuelles,écuelles,1,2,2
en,en,1,2,3
en Bouteille,en bouteille,1,2,2
en milliers,en milliers,1,2,2
epinettes,épinettes,1,2,2
Estimation,estimation,1,2,8
esturgeons,esturgeons,1,2,2
Fagots,fagots,1,2,10
fais,faix,1,2,267
faneques,fanègues,1,2,27
feuilles simples,feuille simple,1,2,2
feuillet,feuillet,1,2,4
fez,fez,1,2,3
Fiole,,1,2,163258
fluttes,flûtes,1,2,5
foncailles,fonçailles,1,2,8
Fonçailles,fonçailles,1,2,8
Fours,fours,1,2,6
frequiers,frequier,1,2,5
Futaille,,1,2,163258
gerbes,gerbes,1,2,2
gets,jets,1,2,13
gommes,gommes,1,2,7
Grandes pentes,grandes pentes,1,2,2
Greniers,grenier,1,2,5
Gros,gros,1,2,2
Grosses barriques,grosses barriques,1,2,6
grosseur,grosseur,1,2,2
Jarres,jarres,1,2,8
jetz,jets,1,2,13
Jeu,jeux,1,2,7
Jeux,jeux,1,2,7
juments,juments,1,2,2
justes,justes,1,2,2
laësts,laest,1,2,12
lest,lest,1,2,2
Liens,liens,1,2,2
mains,main,1,2,5
Mains,main,1,2,5
Males,malles,1,2,39
manes,mannes,1,2,59
merrains,merrain,1,2,2
Mesure,mesures,1,2,152
Meules,meules,1,2,9
Meulles,meules,1,2,9
mli,milliers,1,2,2293
Morceaux,morceaux,1,2,14
mottes,mottes,1,2,2
moulu,,1,2,163258
moute,moutte,1,2,3
moyennes,moyenne,1,2,5
mulets,mulets,1,2,4
nattes,,1,2,163258
outres,outres,1,2,2
Pacquets,,1,2,163258
pair,paires,1,2,2838
Pairs,paires,1,2,2838
palme,palme,1,2,2
palmes,palmes,1,2,2
Panneaux,panneaux,1,2,4
Pannier,paniers,1,2,318
paque,paquets,1,2,420
perches,perches,1,2,3
petites bouteilles,petites bouteilles,1,2,2
petites caisses,petites caisses,1,2,3
petits barrils,barils petits,1,2,50
Pezant,pezant,1,2,3
Piece,,1,2,163258
pièces fonçailles,pièces fonçailles,1,2,2
Pierre,pierre,1,2,31
pochées,,1,2,163258
Poches,poches,1,2,3
Poincon,poinçons,1,2,256
pot,pots,1,2,1518
quartier,quartiers,1,2,43
Quinteaux,quintaux,1,2,14434
quints,quints,1,2,2
Raziere,razières,1,2,55
Razières,razières,1,2,55
rets,rets,1,2,5
retz,rets,1,2,5
Rideaux,rideaux,1,2,2
rouleau,rouleaux,1,2,63
ruleaux,rouleaux,1,2,63
sanegues,sanegues,1,2,2
saumon,saumon,1,2,10
sennes,sennes,1,2,2
service,services,1,2,28
Setiers,setiers,1,2,162
Sommées,sommées,1,2,11
Tabourets,tabourets,1,2,2
tapis,tapis,1,2,3
taureaux,taureaux,1,2,2
tierçns,tierçons,1,2,529
Tiercours,tierçons,1,2,529
Tiercous,tierçons,1,2,529
Tiersous,tierçons,1,2,529
Toilette,toilette,1,2,2
tomes,tomes,1,2,3
Torches,torches,1,2,4
verres,verres,1,2,2
Volumes,volume,1,2,14
W,w,1,2,2
???? an,???? an,1,1,1
???? Aunes,???? aunes,1,1,4
???? aunes ou livres,???? aunes ou livres,1,1,1
???? B,???? b,1,1,1
???? Bar,???? bar,1,1,1
???? boileaux,???? boileaux,1,1,1
???? boisses,???? boisses,1,1,1
???? boucoud,???? boucoud,1,1,1
???? boul,???? boul,1,1,1
???? bouteilles,???? bouteilles,1,1,1
???? caps,???? caps,1,1,1
???? cha,???? cha,1,1,1
???? charres,???? charres,1,1,1
???? LC dit peut être fausse valeur,???? lc dit peut être fausse valeur,1,1,1
???? livres x,???? livres x,1,1,1
???? lotes,???? lotes,1,1,1
???? malls,???? malls,1,1,1
???? maq s,???? maq s,1,1,1
???? mo,???? mo,1,1,1
???? mottes,???? mottes,1,1,1
???? paquets,???? paquets,1,1,1
???? po/ans,???? po/ans,1,1,1
???? quar,???? quar,1,1,1
???? scdes,???? scdes,1,1,1
???? teinpettes,???? teinpettes,1,1,1
???? tonneaux,???? tonneaux,1,1,1
???? tonnes,???? tonnes,1,1,1
???? tours,???? tours,1,1,1
???? W,???? w,1,1,1
???? wades,???? wades,1,1,1
???? wagues,???? wagues,1,1,1
???? weltes,???? weltes,1,1,1
?ans,?ans,1,1,1
15 flacons,,1,1,163258
450 Feuilles,450 feuilles,1,1,1
600 Feuilles,600 feuilles,1,1,1
à répétition,à répétition,1,1,1
acharmiere,à charnière d'or,1,1,1
ancre,ancre,1,1,104
andouilles,andouilles,1,1,1
années,anée,1,1,14
Arrobes,arrobes,1,1,10
arts,arts,1,1,1
asnée,anée,1,1,14
au nombre,en nombre,1,1,18136
AUnes,aunes,1,1,9784
aunes carrées,aunes carrées,1,1,1
aunes',,1,1,163258
autunce,aunes,1,1,9784
Ayme,aimes,1,1,8
aynes,aimes,1,1,8
bahnes,bannes,1,1,28
baille du Poids,baille du poids,1,1,1
baillet,bailles,1,1,41
Baines,baines,1,1,2
bairque,barrique,1,1,1
bales,balle,1,1,557
Bales,balle,1,1,557
bales d'haricots,bales d'haricots,1,1,1
balets,ballots,1,1,210
balle et 900 livres,balle et 900 livres,1,1,1
balllot,ballots,1,1,210
ballon,ballon,1,1,23
Ballos,ballots,1,1,210
