numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccounts
28,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Vinaigre,Angleterre,"1,00",Tonneau,"60,000","60,00","0,00",Droits sur le vin et vinaigre à 49 sous le tonneau,
29,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Alibanis,Flandre Impérialle,"480,00",Pièce,"11,000","5 280,00","0,00",,
30,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Bled froment,Flandre Impérialle,"109,50",Tonneau,"115,000","19 935,00","-7 342,50",erreur de calcul,
31,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Bazin des Indes,Flandre Impérialle,"71,00",Pièce,"20,000","1 420,00","0,00",,
32,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Bas de soye,Flandre Impérialle,"18,00",Paire,"14,000","252,00","0,00",,
33,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,1,Bois rouge,Flandre Impérialle,"19600,00",Livre,"0,180","3 528,00","0,00",Prix unitaire en pourcentage,
34,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Bouchons de liège,Flandre Impérialle,"8,00",Millier,"10,000","80,00","0,00",,
35,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Bierre,Flandre Impérialle,"4,00",Barique,"18,000","72,00","0,00",,
36,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Confitures,Flandre Impérialle,"35,00",Livre,"1,000","35,00","0,00",,
37,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Caffé des Isles,Flandre Impérialle,"19415,00",Livre,"0,750","14 561,00","0,25",,
38,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Caffé de moka,Flandre Impérialle,"20,00",Livre,"1,650","33,00","0,00",,
39,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Capilaire de Canada,Flandre Impérialle,"50,00",Livre,"1,250","62,00","0,50",,
40,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Chataignes,Flandre Impérialle,"4040,00",Boisseau,"0,350","414,00","1 000,00",erreur de calcul,
41,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Camelot des Indes,Flandre Impérialle,"7,00",Pièce,"30,000","210,00","0,00",,
42,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Chasselas,Flandre Impérialle,"160,00",Pièce,"13,000","2 080,00","0,00",,
43,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Chite patena,Flandre Impérialle,"78,00",Pièce,"20,000","1 560,00","0,00",,
44,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Cartes a jouer,Flandre Impérialle,"8,00",Grosse,"15,000","120,00","0,00",,
45,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Cartes a jouer,Flandre Impérialle,"175,00",Livre,"1,250","218,00","0,75",,
46,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Cotonade,Flandre Impérialle,"145,00",Aune,"2,000","290,00","0,00",,
47,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Cuirs secs en poil,Flandre Impérialle,"1850,00",Nombre,"5,000","9 250,00","0,00",,
48,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Cotton en laine,Flandre Impérialle,"15500,00",Livre,"0,863","968,00","12 400,75",erreur de calcul,
49,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Cabarets des Indes,Flandre Impérialle,"4,00",Nombre,"3,000","12,00","0,00",,
50,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Damas des Indes,Flandre Impérialle,"13,00",Pièce,"60,000","780,00","0,00",,
51,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Eau de vie,Flandre Impérialle,"1742,00",Barique,"65,000","107 569,00","5 661,00","Droits à 3 livres et 5 sous par bariques = 5661,50 livres",
52,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Farine,Flandre Impérialle,"200,00",Livre,"0,250","5 000,00","-4 950,00",erreur de calcul,
53,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Fruit cuit,Flandre Impérialle,"225,00",Livre,"0,350","78,00","0,75",,
54,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Fruit cru,Flandre Impérialle,"7,00",Baril,"15,000","105,00","0,00",,
55,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Gingembre,Flandre Impérialle,"11350,00",Livre,"0,180","2 043,00","0,00",Prix unitaire en pourcentage,
56,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Gourgouran,Flandre Impérialle,"75,00",Pièce,"60,000","4 500,00","0,00",,
57,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Guinée bleüe,Flandre Impérialle,"127,00",Pièce,"21,000","2 667,00","0,00",,
58,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Guingam,Flandre Impérialle,"4,00",Pièce,"10,000","40,00","0,00",,
59,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Gomme Senegal,Flandre Impérialle,"600,00",Livre,"0,350","210,00","0,00",Prix unitaire en pourcentage,
60,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Jamarard,Flandre Impérialle,"6,00",Pièce,"65,000","390,00","0,00",doute sur la marchandise,
61,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Indigo,Flandre Impérialle,"8720,00",Livre,"3,250","26 340,00","2 000,00",erreur de calcul,
62,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,L'ohorria,Flandre Impérialle,"38,00",Pièce,"30,000","1 140,00","0,00",,
63,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mousseline,Flandre Impérialle,"7,00",Pièce,"75,000","525,00","0,00",,
64,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mousseline,Flandre Impérialle,"120,00",Pièce,"60,000","7 200,00","0,00",,
65,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mouchoirs de soye,Flandre Impérialle,"194,00",Pièce,"50,000","485,00","9 215,00",erreur de calcul,
66,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mouchoirs mazulipatan,Flandre Impérialle,"157,00",Pièce,"30,000","4 710,00","0,00",,
67,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mouchoirs de Bengale,Flandre Impérialle,"49,00",Pièce,"10,000","490,00","0,00",,
68,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mouchoirs de Pontichery,Flandre Impérialle,"53,00",Pièce,"22,500","1 192,00","0,50",,
69,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Mouchoirs de Rouen,Flandre Impérialle,"94,00",Douzaine,"7,000","658,00","0,00",,
70,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Neganipau,Flandre Impérialle,"60,00",Pièce,"14,000","840,00","0,00",,
71,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Pruneaux de Ste Catherine,Flandre Impérialle,"3000,00",Livre,"0,050","150,00","0,00",Prix unitaire en pourcentage,
72,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Papier,Flandre Impérialle,"300,00",Livre,"0,550","165,00","0,00",Prix unitaire en pourcentage,
73,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Peaux de veau seches,Flandre Impérialle,"1375,00",Nombre,"1,833","30 250,00","-27 729,17",erreur de calcul,
74,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Porcelaine des Indes,Flandre Impérialle,"2020,00",Livre,"5,000","10 100,00","0,00",,
75,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Rocou,Flandre Impérialle,"1000,00",Livre,"0,325","325,00","0,00",Prix unitaire en pourcentage,
76,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Saffran,Flandre Impérialle,"111,00",Livre,"30,000","3 330,00","0,00",,
77,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Sucre blanc,Flandre Impérialle,"2700,00",Livre,"0,345","931,00","0,50",Prix unitaire en pourcentage,
78,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,2,Sucre terré,Flandre Impérialle,"132500,00",Livre,"0,250","330,00","32 795,00",Prix unitaire en pourcentage/Erreur prix total,
79,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Sucre teste de forme,Flandre Impérialle,"11800,00",Livre,"0,181","2 138,00","0,75",Prix unitaire en pourcentage,
80,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Sucre brut,Flandre Impérialle,"291700,00",Livre,"0,134","39 304,00","-106,81",erreur de calcul,
81,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Sirop de sucre,Flandre Impérialle,"974600,00",Livre,"0,050","48 730,00","0,00",Prix unitaire en pourcentage,
82,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Sels,Flandre Impérialle,"25,00",Muid,"35,000","875,00","0,00",,
83,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Satin des Indes,Flandre Impérialle,"2,00",Pièce,"80,000","160,00","0,00",,
84,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Stinkerque,Flandre Impérialle,"40,00",Pièce,"8,000","320,00","0,00",,
85,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Soyerie,Flandre Impérialle,"16,00",Livre,"40,000","640,00","0,00",,
86,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Squine,Flandre Impérialle,"1275,00",Livre,"1,000","1 275,00","0,00",,
87,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Thé divers,Flandre Impérialle,"93500,00",Livre,"3,000","280 500,00","0,00",,
88,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Toile peinte,Flandre Impérialle,"42,00",Pièce,"18,000","756,00","0,00",,
89,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Toile de Bretagne,Flandre Impérialle,"1910,00",Livre,"4,000","7 640,00","0,00",,
90,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Velours,Flandre Impérialle,,,"0,000","36,00","-36,00",,
91,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Vin d'amont,Flandre Impérialle,"2117,00",Tonneau,"200,000","423 400,00","0,00",Droits sur le vin et vinaigre à 49 sous le tonneau,
92,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Vin nantois,Flandre Impérialle,"1496,00",Tonneau,"80,000","119 680,00","0,00",Droits sur le vin et vinaigre à 49 sous le tonneau,
93,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Vinaigre,Flandre Impérialle,"1,50",Tonneau,"60,000","90,00","0,00",Droits sur le vin et vinaigre à 49 sous le tonneau,
94,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Alibanis,Hollande,"640,00",Pièce,"11,000","7 040,00","0,00",,
95,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Acier,Hollande,"2400,00",Livre,"0,220","528,00","0,00",Prix unitaire en pourcentage,
96,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Armoires de noyer,Hollande,"1,00",Nombre,"0,000","45,00","-45,00",,
97,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Arbres fruitiers,Hollande,,,"0,000","32,50","-32,50",,
98,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Bled froment,Hollande,"1,00",Tonneau,"115,000","115,00","0,00",,
99,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Beure,Hollande,"9500,00",Livre,"0,180","1 710,00","0,00",,
100,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Bajutapaux,Hollande,"862,00",Pièce,"14,000","12 068,00","0,00",,
101,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Bafetas,Hollande,"100,00",Pièce,"9,000","900,00","0,00",,
102,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Baleine coupée,Hollande,"100,00",Livre,"3,500","350,00","0,00",,
103,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Bois rouge,Hollande,"343000,00",Livre,"0,180","61 740,00","0,00",Prix unitaire en pourcentage,
104,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Confitures,Hollande,"1850,00",Livre,"1,100","2 035,00","0,00",,
105,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Chataignes,Hollande,"635,00",Boisseau,"0,350","221,00","1,25",erreur de calcul,
106,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Caffé de moka,Hollande,"13530,00",Livre,"1,650","22 324,50","0,00",,
107,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Caffé des Isles,Hollande,"187800,00",Livre,"0,750","140 850,00","0,00",,
108,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Chasselas,Hollande,"460,00",Pièce,"13,000","5 980,00","0,00",,
109,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Cirsaca,Hollande,"30,00",Pièce,"86,250","2 587,00","0,50",,
110,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Cotonade,Hollande,"3,00",Pièce,"40,000","120,00","0,00",,
111,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Cotonade,Hollande,"45,00",Aune,"2,000","90,00","0,00",,
112,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Cotton en laine,Hollande,"4800,00",Livre,"0,863","4 140,00","0,00",Prix unitaire en pourcentage,
113,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Cire blanche,Hollande,"25,00",Livre,"1,800","63,00","-18,00",erreur de calcul,
114,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Drogueries,Hollande,"200,00",Livre,"1,250","250,00","0,00",,
115,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Damas des Indes,Hollande,"198,00",Pièce,"89,000","16 713,00","909,00",erreur de calcul,
116,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Eau de vie,Hollande,"377,00",Barique,"65,000","23 386,00","1 119,00",Droits à 3 livres et 5 sous par bariques / erreur de calcul,
117,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Eau de la reine d'Hongrie,Hollande,"100,00",Livre,"2,500","250,00","0,00",,
118,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Etamine de laine,Hollande,"120,00",Aune,"2,500","300,00","0,00",,
119,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,3,Fruit cuit,Hollande,"1025,00",Livre,"0,350","358,00","0,75",,
120,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Fruit cru,Hollande,"60,00",Baril,"15,000","900,00","0,00",,
121,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Guinée blanche,Hollande,"270,00",Pièce,"35,000","9 450,00","0,00",,
122,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Guingam,Hollande,"377,00",Pièce,"10,000","3 770,00","0,00",,
123,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Gans de peau,Hollande,"40,00",Livre,"16,000","640,00","0,00",,
124,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Gingembre,Hollande,"27425,00",Livre,"0,130","3 565,00","0,25",Prix unitaire en pourcentage,
125,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Galanga,Hollande,"21150,00",Livre,"0,600","12 680,00","10,00",erreur de calcul,
126,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Gomme Senegal,Hollande,"163000,00",Livre,"0,350","57 050,00","0,00",Prix unitaire en pourcentage,
127,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Gomme arabique,Hollande,"165925,00",Livre,"0,350","58 073,00","0,75",Prix unitaire en pourcentage,
128,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Garance,Hollande,"2000,00",Livre,"0,350","700,00","0,00",Prix unitaire en pourcentage,
129,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Indigo,Hollande,"59210,00",Livre,"3,500","207 235,00","0,00",,
130,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Liqueurs à boire,Hollande,"50,00",Livre,"0,750","37,00","0,50",,
131,Anthony Rebours,AD44 C706,Local/Nantes/Nantes - Exports - 1736.csv,Local,1736,Exports,Nantes,4,Librairie,Hollande,"125,00",Livre,"2,000","250,00","0,00",,
