numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,remarks,doubleaccounts
11,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Hollande,35365,70207,140475879,livres,665794,,,0,0
12,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Naples,17442,36179,914721,livres,,,,,0
12,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Ville d'anslatique,22020,44006,140475879,livres,665794,,,0,0
13,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Venise,17214,39814,914721,livres,,,,,0
13,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,emperend,28398,54908,140475879,livres,665794,,,0,0
14,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Barbarie,2826,6403,914721,livres,,,,,0
14,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Pologne,206,413,140475879,livres,665794,,,0,0
15,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Levant,26304,57087,914721,livres,,,,,0
15,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Suisse,224185,47609,140475879,livres,665794,,,0,0
16,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Angleterre,9817,17525,914721,livres,,,,,0
16,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Danemark,3346,6624,140475879,livres,665794,,,0,0
17,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Hollande,84085,211708,914721,livres,,,,,0
17,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Suede,2045,4010,140475879,livres,665794,,,0,0
18,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Villes hanséatiques,99657,224626,914721,livres,,,,,0
18,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Prusse,4482,8964,140475879,livres,665794,,,0,0
19,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Empreur,45350,136353,914721,livres,,,,,0
19,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Cacao,Russie,1210,2420,140475879,livres,665794,,,0,0
20,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Suisse,46756,88722,914721,livres,,,,,0
20,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Espagne,54243,57212,140475879,livres,68400000,,,le total des qtités devrait être7.28e+07,0
21,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Danemark,40831,88281,914721,livres,,,,,0
21,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Portugal,166,166,140475879,livres,68400000,,,0,0
22,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Suède,24614,55108,914721,livres,,,,,0
22,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Sardaigne,308044,308111,140475879,livres,68400000,,,0,0
23,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Prusse,2185,5601,914721,livres,,,,,0
23,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Genes,469200,469200,140475879,livres,68400000,,,0,0
24,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Russie,11378,25414,914721,livres,,,,,0
24,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Toscane,3946444,3946444,140475879,livres,68400000,,,0,0
25,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amandes,Amérique,3686,11454,914721,livres,,,,,0
25,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Etat elésiastique,708439,708439,140475879,livres,68400000,,,0,0
26,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amidon,Espagne,5149,19789,45903,livres,,,,,0
26,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Naples,419358,419358,140475879,livres,68400000,,,0,0
27,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amidon,Gènes,37276,124254,45903,livres,,,,,0
27,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Venise,8428,8428,140475879,livres,68400000,,,0,0
28,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amidon,Angleterre,2275,5901,45903,livres,,,,,0
28,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Barbarie,141983,141983,140475879,livres,68400000,,,0,0
29,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Amidon,Danemark,1203,4010,45903,livres,,,,,0
29,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Levant,5705053,5705053,140475879,livres,68400000,,,0,0
30,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Agrès de navires,Amérique,12000,,,,,,,,0
30,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Angleterre,55215,59065,140475879,livres,68400000,,,0,0
31,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Arbres et arbrisseaux,Angleterre,1500,,2500,,,,,,0
31,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Hollande,7780974,8573490,140475879,livres,68400000,,,0,0
32,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Arbres et arbrisseaux,Hollande,1000,,2500,,,,,,0
32,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Ville d'anslatique,31325712,34158796,140475879,livres,68400000,,,0,0
33,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Ardoises,Empreur,112331,14000000,118686,en nombre,,,,,0
33,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Ensperend,7498928,7906787,140475879,livres,68400000,,,0,0
34,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,6,Ardoises,Pologne,6355,1100000,118686,en nombre,,,,,0
34,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Pologne,585680,576921,140475879,livres,68400000,,,0,0
35,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; divers,Sardaigne,78632,,5110570,,128132,,,,0
35,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Suisse,3568213,3462705,140475879,livres,68400000,,,0,0
36,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; divers,Levant,49500,,5110570,,128132,,,,0
36,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Danemark,2172650,2303427,140475879,livres,68400000,,,0,0
37,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; carragoux,Barbarie,31800,6000,5110570,en nombre,273968,4504315,,,0
37,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Suède,1319016,1417344,140475879,livres,68400000,,,0,0
38,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; carragoux,Levant,242168,45692,5110570,en nombre,273968,4504315,,,0
38,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Prusse,1577860,1753177,140475879,livres,68400000,,,0,0
39,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres d'Espagne,Sardaigne,59507,11281,5110570,en nombre,474362,4504315,,,0
39,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Russie,737601,812332,140475879,livres,68400000,,,0,0
40,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres d'Espagne,Gènes,10500,2000,5110570,en nombre,474362,4504315,,,0
40,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,214,Marchandises de Colonies françaises de l'Amérique ; Caffé,Amérique,6851,7486,140475879,livres,68400000,,,0,0
41,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres d'Espagne,Etats ecclésiastiques,4725,900,5110570,en nombre,474362,4504315,,,0
41,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Espagne,8907,3557,140475879,livres,7542267,,,0,0
42,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres d'Espagne,Naples,10500,2000,5110570,en nombre,474362,4504315,,,0
42,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Angleterre,6837488,2728571,140475879,livres,7542267,,,0,0
43,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres d'Espagne,Barbarie,366765,69860,5110570,en nombre,474362,4504315,,,0
43,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Hollande,71607,30483,140475879,livres,7542267,,,0,0
44,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres d'Espagne,Levant,22365,4260,5110570,en nombre,474362,4504315,,,0
44,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Ville d'anslatique,154151,76354,140475879,livres,7542267,,,0,0
45,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres du Grand Seigneur,Barbarie,1002400,200480,5110570,en nombre,1077895,4504315,,,0
45,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,emperend,44897,22069,140475879,livres,7542267,,,0,0
46,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; piastres du Grand Seigneur,Levant,75495,15099,5110570,en nombre,1077895,4504315,,,0
46,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Suisse,408601,204288,140475879,livres,7542267,,,0,0
47,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; argent ; talaris,Levant,2678090,505300,5110570,en nombre,4504315,,,,0
47,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Danemark,752,307,140475879,livres,7542267,,,0,0
48,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; or ; quadruples,Sardaigne,175135,,5110570,,460413,478123,,,0
48,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Suede,820,410,140475879,livres,7542267,,,0,0
49,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; or ; quadruples,Barbarie,29028,354,5110570,en nombre,460413,478123,,,0
49,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Coton,Suisse,15044,7522,140475879,livres,7542267,,,0,0
50,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; or ; quadruples,Levant,256250,3125,5110570,en nombre,460413,478123,,,0
50,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Espagne,814,2817,140475879,livres,9822,,,le total des qtités devrait être34600,0
51,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; or ; sequins vénitiens,Sardaigne,7410,741,5110570,en nombre,17710,478123,,,0
51,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Sardaigne,821,2932,140475879,livres,9822,,,0,0
52,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Argent ; or ; sequins vénitiens,Barbarie,10300,1030,5110570,en nombre,17710,478123,,,0
52,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Genes,3265,11662,140475879,livres,9822,,,0,0
53,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Armes ; blanches,Empreur,6730,,44850,,,,,,0
53,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Toscane,2813,10048,140475879,livres,9822,,,0,0
54,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Armes ; à feu,Gènes,2685,,44850,,38120,,,,0
54,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Ville anslatique,397,1325,140475879,livres,9822,,,0,0
55,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Armes ; à feu,Pologne,2971,,44850,,38120,,,,0
55,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Suisse,486,1734,140475879,livres,9822,,,0,0
56,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Armes ; à feu,Danemark,16250,,44850,,38120,,,,0
56,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Danemark,5,12,140475879,livres,9822,,,0,0
57,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Armes ; à feu,Suède,4550,,44850,,38120,,,,0
57,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; gingembre,Prusse,1221,4070,140475879,livres,9822,,,0,0
58,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Armes ; à feu,Amérique,11664,,44850,,38120,,,,0
58,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Espagne,10040,1004,140475879,livres,5807956,,,le total des qtités devrait être599919,0
59,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,8,Balais divers,Suisse,4422,,,,,,,,0
59,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Sardaigne,79110,7911,140475879,livres,5807956,,,0,0
60,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,10,Baleine,Empreur,1275,225,2775,livres,,,,,0
60,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Genes,43250,4325,140475879,livres,5807956,,,0,0
61,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,10,Baleine,Danemark,1500,500,2775,livres,,,,,0
61,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Toscane,302500,30250,140475879,livres,5807956,,,0,0
62,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,10,Bestiaux ; divers,Espagne,11944,,5064776,,37598,,,,0
62,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Sud eclésiatique,15990,1599,140475879,livres,5807956,,,0,0
63,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,10,Bestiaux ; divers,Sardaigne,11558,,5064776,,37598,,,,0
63,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Naples,11400,1140,140475879,livres,5807956,,,0,0
64,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,10,Bestiaux ; divers,Angleterre,722,,5064776,,37598,,,,0
64,Fatima Zahra,AN F12 250,National/Objet Général/AN Paris/F_12_250_1787/1787.csv,Objet Général,1787,Exports,216,Marchandises de Colonies françaises de l'Amérique ; Indigo,Venise,5460,546,140475879,livres,5807956,,,0,0
