numrodeligne,dataentryby,sources,sourcepath,sourcetype,sheet,year,exportsimports,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,problem,remarks
13,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Bas de filozelle,Marseille,Espagne,3172,Livres,15,47580,0,
14,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Bas de laine,Marseille,Espagne,10563,Livres,6,63378,0,
15,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Bas de Soye,Marseille,Espagne,1954,Livres,40,78160,0,
16,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,1,1747,Exports,Batanonis,Marseille,Espagne,1194,Pieces,4,4776,0,
17,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bazin,Marseille,Espagne,5,Pieces,100,500,0,
18,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bazin,Marseille,Espagne,615,Livres,6,3690,0,
19,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Benjoin,Marseille,Espagne,50,Livres,5,250,0,
20,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bijouterie,Marseille,Espagne,140,Livres,6,840,0,
21,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bois de brezil,Marseille,Espagne,5495,Livres,"0,25",1373,"0,75",
22,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bois de campesche,Marseille,Espagne,6075,Livres,"0,16",972,0,
23,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bois de chesne,Marseille,Espagne,40,Pieces,15,600,0,
24,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bois de fustel,Marseille,Espagne,13700,Livres,"0,05",685,0,
25,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bois de sandal moulu,Marseille,Espagne,3387,Livres,"0,3",1016,"0,1",
26,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bonnets de laine,Marseille,Espagne,35,Douzaines,15,525,0,
27,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Borax,Marseille,Espagne,350,Livres,4,1400,0,
28,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bourre a bâtir,Marseille,Espagne,700,Livres,"0,1",70,0,
29,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Bours de coton,Marseille,Espagne,12,Pieces,12,144,0,
30,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Cacao,Marseille,Espagne,86335,Livres,"1,4",120869,0,
31,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Caffé,Marseille,Espagne,5665,Livres,"1,5",8497,"0,5",
32,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Callemande,Marseille,Espagne,777,Pieces,70,54390,0,
33,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Callemande,Marseille,Espagne,585,Livres,3,1755,0,
34,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Camphre,Marseille,Espagne,200,Livres,3,600,0,
35,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Canelle,Marseille,Espagne,1618,Livres,"6,5",10517,0,
36,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Cantarides,Marseille,Espagne,470,Livres,4,1880,0,
37,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Capres,Marseille,Espagne,400,Livres,"0,22",88,0,
38,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Carte a joüer,Marseille,Espagne,260,Grosses,18,4680,0,
39,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Cartons,Marseille,Espagne,880,Livres,"0,25",220,0,
40,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Cendre de Lion,Marseille,Espagne,100,Livres,"0,09",9,0,
41,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Cercles de fer,Marseille,Espagne,2800,Livres,"0,25",700,0,
42,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,2,1747,Exports,Ceruze,Marseille,Espagne,8422,Livres,"0,2",1684,"0,4",
43,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chair salée,Marseille,Espagne,3000,Livres,"0,25",750,0,
44,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chaises de paille,Marseille,Espagne,129,Douzaines,15,1935,0,
45,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chandelle,Marseille,Espagne,497,Livres,"0,45",223,"0,65",
46,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chanvre peigné,Marseille,Espagne,2212,Livres,"0,36",796,"0,32",
47,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chapeaux poil et laine,Marseille,Espagne,2790,Douzaines,48,133920,0,
48,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chataignes,Marseille,Espagne,1500,Livres,"0,06",90,0,
49,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Chocolat,Marseille,Espagne,325,Livres,3,975,0,
50,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cire blanche ouvrée,Marseille,Espagne,11539,Livres,"1,8",20770,"0,2",
51,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cire d'Espagne,Marseille,Espagne,50,Livres,5,250,0,
52,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cire jaune,Marseille,Espagne,31180,Livres,"1,4",43652,0,
53,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Choux de fer,Marseille,Espagne,5466,Livres,"0,25",1366,"0,5",
54,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Colle forte,Marseille,Espagne,11164,Livres,"0,4",4465,"0,6",
55,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Confitures,Marseille,Espagne,47641,Livres,1,47641,0,
56,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Coque de Levant,Marseille,Espagne,360,Livres,"0,5",180,0,
57,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cordage de chanvre,Marseille,Espagne,355,Livres,"0,3",106,"0,5",
58,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cordages d'espars,Marseille,Espagne,14,Douzaines,7,98,0,
59,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cordes a boyau,Marseille,Espagne,100,Livres,20,2000,0,
60,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Cornes de cerf,Marseille,Espagne,40,Livres,"0,25",10,0,
61,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Coton filé,Marseille,Espagne,174476,Livres,"1,1",191923,"0,6",
62,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Coton en laine,Marseille,Espagne,500,Livres,"0,5",250,0,
63,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Couffes a boulanger,Marseille,Espagne,6,Douzaines,25,150,0,
64,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Couperoze verte,Marseille,Espagne,56650,Livres,"0,09",5098,"0,5",
65,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Craye blanche ,Marseille,Espagne,2600,Livres,"0,1",260,0,
66,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,3,1747,Exports,Creme de tartre,Marseille,Espagne,1644,Livres,"0,35",575,"0,4",
67,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Crin,Marseille,Espagne,100,Livres,"0,5",50,0,
68,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cristal taillé,Marseille,Espagne,1625,Livres,2,3250,0,
69,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cuirs de beuf en poil,Marseille,Espagne,2020,Livres,18,36360,0,
70,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cuirs de beuf en poil,Marseille,Espagne,19341,Livres,"0,4",7736,"0,4",
71,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cuir doré,Marseille,Espagne,200,Livres,5,1000,0,
72,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cuir tanné,Marseille,Espagne,26800,Livres,"0,6",16080,0,
73,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cuir de vache de Russie,Marseille,Espagne,2222,Livres,1,2222,0,
74,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Cuivre tangoul,Marseille,Espagne,18108,Livres,"0,9",16297,"0,2",
75,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Dattes,Marseille,Espagne,1000,Livres,"0,2",200,0,
76,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Dentelle du Puy,Marseille,Espagne,1071,Livres,50,53550,0,
77,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Dorure fine,Marseille,Espagne,2791,Livres,100,279100,0,
78,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Doüelles a tonneaux,Marseille,Espagne,1025,Tonneaux,5,5125,0,
79,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Drap londrin,Marseille,Espagne,49131,Livres,7,343917,0,
80,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Draperie petite,Marseille,Espagne,131926,Livres,3,395778,0,
81,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Drogueries,Marseille,Espagne,60021,Livres,1,60021,0,
82,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Eau de fleur d'orange,Marseille,Espagne,150,Livres,"0,5",75,0,
83,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Eau forte,Marseille,Espagne,1157,Livres,"1,25",1446,"0,25",
84,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Eau de milice,Marseille,Espagne,522,Livres,1,522,0,
85,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Eau de la Reyne d'Hongrie,Marseille,Espagne,999,Livres,"0,75",749,"0,25",
86,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Eau de roze,Marseille,Espagne,130,Livres,"0,25",32,"0,5",
87,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Eau de vie,Marseille,Espagne,5400,Livres,"0,125",675,0,
88,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Ecorce de gayac ,Marseille,Espagne,150,Livres,"0,1",15,0,
89,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,4,1747,Exports,Encens,Marseille,Espagne,6998,Livres,"0,8",5598,"0,4",
90,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Epicerie,Marseille,Espagne,534,Livres,6,3204,0,
91,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Eponges,Marseille,Espagne,1905,Livres,1,1905,0,
92,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Esquine,Marseille,Espagne,487,Livres,1,487,0,
93,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Etain ouvré,Marseille,Espagne,1118,Livres,"1,5",1677,0,
94,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Etoffe or et argent,Marseille,Espagne,125,Livres,80,10000,0,
95,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Etoffe de soye,Marseille,Espagne,7265,Livres,40,290600,0,
96,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Evantails,Marseille,Espagne,1040,Livres,5,5200,0,
97,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Farine,Marseille,Espagne,800,Livres,"0,15",120,0,
98,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fayance,Marseille,Espagne,5375,Livres,"0,5",2687,"0,5",
99,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fer en barres,Marseille,Espagne,4125,Livres,"0,18",742,"0,5",
100,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fer blanc,Marseille,Espagne,840,Livres,"0,6",504,0,
101,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fer en plaques,Marseille,Espagne,600,Livres,"0,125",75,0,
102,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Figues,Marseille,Espagne,315,Livres,"0,1",31,"0,5",
103,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fil de chevre,Marseille,Espagne,2596,Livres,3,7788,0,
104,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fil a coudre,Marseille,Espagne,4725,Livres,2,9450,0,
105,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fil de laton,Marseille,Espagne,300,Livres,"1,4",420,0,
106,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Filets pour la pesche,Marseille,Espagne,481,Livres,50,24050,0,
107,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Folicule de sené,Marseille,Espagne,319,Livres,"1,25",398,"0,75",
108,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fromage,Marseille,Espagne,5000,Livres,"0,3",1500,0,
109,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Fruit a l'eau de vie,Marseille,Espagne,400,Livres,1,400,0,
110,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Galbanum,Marseille,Espagne,350,Livres,"1,5",525,0,
111,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,5,1747,Exports,Galles de levant,Marseille,Espagne,10480,Livres,"0,5",5240,0,
112,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Gans de chamois,Marseille,Espagne,500,Livres,"0,5",250,0,
113,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Garance,Marseille,Espagne,8220,Livres,"0,35",2877,0,
114,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Geroffle,Marseille,Espagne,1728,Livres,"8,5",14688,0,
115,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Gingembre,Marseille,Espagne,8610,Livres,"0,3",2583,0,
116,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Gomme adragan,Marseille,Espagne,5151,Livres,1,5151,0,
117,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Gomme arabique,Marseille,Espagne,4741,Livres,"0,4",1896,"0,4",
118,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Gomme armoniac,Marseille,Espagne,490,Livres,1,490,0,
119,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Grabeau de cire,Marseille,Espagne,21954,Livres,"0,5",10977,0,
120,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Grabeau d'encens,Marseille,Espagne,3601,Livres,"0,15",540,"0,15",
121,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Grabeau de sené,Marseille,Espagne,1827,Livres,"0,6",1096,"0,2",
122,Requia,Archives de la CCI de Marseille - I 22,Local/Marseille/Archives_de_la_CCI_de_Marseille-I22/Marseille – Exports – 1747,Local,6,1747,Exports,Graine d'aspic,Marseille,Espagne,300,Livres,"0,1",30,0,
