numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,Droits unitaires,value,probleme,remarks
12,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,2,1725-1726,Bois travaillés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"13,20",Quintaux,"0,875","0,00","0,00",Mesure d'origine livre
13,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bois travaillés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,50",Quintaux,"0,200","0,00","0,00",Mesure d'origine livre
14,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bois a batir,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,,,"0,000","211,33","-211,33",
15,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bois a bruler,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"51,00",Charrettée,"0,200","0,00","0,00",
16,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bois a bruler,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,00",Charrettée,"0,200","0,00","0,00",
17,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bois de futaye,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"19,70",Quintaux,"0,400","0,00","0,00",Mesure d'origine livre
18,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bois a teinturies,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,50",Quintaux,"0,600","0,00","0,00",Mesure d'origine livre
19,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Beurre et fromage,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"15,60",Quintaux,"0,750","0,00","0,00",Mesure d'origine livre
20,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Beurre et fromage,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"10,32",Quintaux,"4,000","0,00","0,00",Mesure d'origine livre
21,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Beurre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,80",Quintaux,"0,400","0,00","0,00",Mesure d'origine livre
22,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Beurre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"74,55",Quintaux,"0,400","0,00","0,00",Mesure d'origine livre
23,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Beurre pour geneve par transit,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"206,33",Quintaux,"0,800","0,00","0,00",Mesure d'origine livre
24,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bestiaux ,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"14,00",Mulets,"0,000","0,00","0,00",Droits 5% de la valeur + 2 sous pièce
25,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bestiaux ,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,00",Mulets,"0,000","0,00","0,00",Droits 5% de la valeur
26,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bestiaux ,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"8,00",Poulains,"0,000","0,00","0,00",Droits 5% de la valeur
27,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bœufs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,00",Pièces,"3,000","0,00","0,00",
28,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Batterie de fer coulé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1195,00",Nombres,"0,000","0,00","0,00",Droits 2 livres et 3 sous provinces réputées de l'étranger et 1 livre tournois de l'étranger
29,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Batterie de fer coulé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,30",Quintaux,"1,000","0,00","0,00",Mesure d'origine livre
30,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Batterie en plaque,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,36",Quintaux,"1,000","0,00","0,00",Mesure d'origine livre
31,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bourre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,00",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
32,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bourre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"6,80",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
33,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Barril à vuider,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"10,00",Barrils,"0,000","0,00","0,00",16 sous la douzaine
34,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Boettes de sapin,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"20,00",Ballots,"0,100","0,00","0,00",
35,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bouteilles de bois,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"11,00",Douzaines,"0,100","0,00","0,00",
36,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,3,1725-1726,Bijouterie,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,,,"0,000","592,50","-592,50",Droits 5 % de la valeur
37,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Chandelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,00",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
38,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cheveux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"20,00",Livres,"0,250","0,00","0,00",
39,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cheveux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"10,00",Livres,"0,250","0,00","0,00",
40,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Chocolat,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"70,00",Livres,"0,050","0,00","0,00",
41,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Chocolat et sorbet,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"190,00",Livres,"0,050","0,00","0,00",
42,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cornes de bœufs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,20",Milliers,"0,500","0,00","0,00",
43,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cornes,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,20",Milliers,"0,500","0,00","0,00",
44,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cornes de cerf,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,60",Quintaux,"0,250","0,00","0,00",Mesure d'origine livre
45,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cornes de betail,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,61",Quintaux,"0,100","0,00","0,00",Mesure d'origine livre
46,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuivre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,30",Quintaux,"0,750","0,00","0,00",Mesure d'origine livre
47,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuivre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,35",Quintaux,"1,500","0,00","0,00",Mesure d'origine livre
48,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuivre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,35",Quintaux,"1,500","0,00","0,00",Mesure d'origine livre
49,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuivre ouvré,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,20",Quintaux,"5,000","0,00","0,00",Mesure d'origine livre
50,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuivre leton,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,85",Quintaux,"0,875","0,00","0,00",Mesure d'origine livre
51,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuivre et airain ouvré,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,60",Quintaux,"5,000","0,00","0,00",Mesure d'origine livre
52,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuirs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,00",Pièces,"0,238","0,00","0,00",
53,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuirs en poil,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,00",Quintaux,"0,875","0,00","0,00",Mesure d'origine livre
54,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuirs de bœuf en poil,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"113,00",Pièces,"0,238","0,00","0,00",
55,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuirs de bœufs tannés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,16",Quintaux,"0,800","0,00","0,00",Mesure d'origine livre
56,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Cuirs de bœufs tannés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,00",Quintaux,"6,500","0,00","0,00",Mesure d'origine livre
57,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Chairs salées,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"5,00",Quintaux,"5,000","0,00","0,00",Mesure d'origine livre
58,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,4,1725-1726,Chairs et poisson,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,57",Quintaux,"1,038","0,00","0,00",Mesure d'origine livre
59,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cristaux ouvrés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,09",Quintaux,"400,000","0,00","0,00",Mesure d'origine livre
60,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cristal taillé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,50",Livres,"4,000","0,00","0,00",
61,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chapeaux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,25",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
62,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chapeaux poil et laine,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,60",Quintaux,"3,113","0,00","0,00",Mesure d'origine livre
63,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chapeaux poil et laine,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,20",Quintaux,"6,225","0,00","0,00",Mesure d'origine livre
64,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chanvre en rame,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,85",Quintaux,"0,338","0,00","0,00",Mesure d'origine livre
65,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chanvre cru,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"33,70",Quintaux,"0,338","0,00","0,00",Mesure d'origine livre
66,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chaussures pour tisserand,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"15,00",Livres,"0,000","0,00","0,00",Droits 5% de la valeur
67,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Chevilleres a tresser,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,65",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
68,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Colle forte,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,30",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
69,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Colle forte,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,50",Quintaux,"0,500","0,00","0,00",Mesure d'origine livre
70,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Colle,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,80",Quintaux,"0,900","0,00","0,00",Mesure d'origine livre
71,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Colles de toutes sortes,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"23,00",Quintaux,"0,225","0,00","0,00",Mesure d'origine livre
72,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Confitures,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,06",Quintaux,"2,000","0,00","0,00",Mesure d'origine livre
73,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Confitures de miel,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,25",Quintaux,"2,000","0,00","0,00",Mesure d'origine livre
74,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cassonades,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,40",Quintaux,"15,000","0,00","0,00",Mesure d'origine livre
75,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cotton fillé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,00",Livres,"0,025","0,00","0,00",
76,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cotton fillé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"72,05",Quintaux,"3,000","0,00","0,00",Mesure d'origine livre
77,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cadis,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,00",Pièces,"0,500","0,00","0,00",
78,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cordes de chanvre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,00",Quintaux,"0,375","0,00","0,00",Mesure d'origine livre
79,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cendre commune,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,75",Caisses,"0,500","0,00","0,00",
80,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cendre de verre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"15,80",Quintaux,"0,200","0,00","0,00",
81,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,5,1725-1726,Cendre de bois,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"213,00",Sacs,"0,025","0,00","0,00",
82,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Cire moitié suif et moitié cire,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,60",Quintaux,"4,000","0,00","0,00",Mesure d'origine livre
83,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Cribles de bois,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,50",Douzaines,"0,100","0,00","0,00",
84,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Chevaux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,00",Nombres,"9,000","0,00","0,00",
85,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Chevaux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,00",Nombres,"9,000","0,00","0,00",
86,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"60,00",Livres,"0,150","0,00","0,00",
87,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"8,00",Livres,"0,150","0,00","0,00",
88,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"341,00",Livres,"0,150","0,00","0,00",
89,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,18",Quintaux,"2,075","0,00","0,00",Mesure d'origine livre
90,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles du Puy,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,59",Quintaux,"2,800","0,00","0,00",Mesure d'origine livre
91,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles grossieres,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,15",Quintaux,"2,000","0,00","0,00",Mesure d'origine livre
92,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles grossieres,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,70",Quintaux,"4,000","0,00","0,00",Mesure d'origine livre
93,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Dentelles grossieres,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"11,66",Quintaux,"4,000","0,00","0,00",Mesure d'origine livre
94,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Drogueries,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,00",Quintaux,"5,125","0,00","0,00",Mesure d'origine livre
95,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Drogueries de toute sorte,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"11,53",Quintaux,"3,550","0,00","0,00",Mesure d'origine livre
96,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Draperies,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,40",Quintaux,"1,750","0,00","0,00",Mesure d'origine livre
97,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,6,1725-1726,Draps et mouchoirs de soye,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,50",Livres,"3,000","0,00","0,00",
98,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,7,1725-1726,Eaux de liqueurs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,25",Quintaux,"1,500","0,00","0,00",Mesure d'origine livre
99,Anthony Rebours,2C635,"Local/Grenoble, Lyon & Valence/Grenoble – Entrées – 1726.csv",Local,Imports,7,1725-1726,Eaux de vie,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"21,39",Quintaux,"3,113","0,00","0,00",Mesure d'origine livre
