numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,prix_unitaire,problème,remarks,doubleaccounts
24,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Etoffe ; or et argent,Allemagne,6154720,76934,Livres,80,0,,0
25,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Etoffe ; de soye,Allemagne,10131675,202633.5,Livres,50,0,,0
26,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Etoffe ; mi soye,Allemagne,89600,4480,Livres,20,0,,0
27,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,figues,Allemagne,48,320,Livres,.15,0,,0
28,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,fleuret,Allemagne,328,41,Livres,8,0,,0
29,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,gand ; de peau,Allemagne,99148,,en valeur,0,,,0
30,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,gaze ; de soye,Allemagne,6475,129.5,Livres,50,0,,0
31,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,huile ; d'olive,Allemagne,114922.35,255383,Livres,45,0,,0
32,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,liqueurs ; à boire,Allemagne,44,88,Livres,.5,0,,0
33,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Marrons,Allemagne,12,120,Livres,.1,0,,0
34,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Mercerie et quincaille,Allemagne,153713,,en valeur,0,,,0
35,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Mousseline ; de la Compagnie,Allemagne,37260,621,Livres,60,0,,0
36,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Nippes,Allemagne,36909,,en valeur,0,,,0
37,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,Olives,Allemagne,25.2,104,Livres,25,-8,erreur du copiste 100x4sous + 4 sous au lieu de 100x4 sous + 4x5 sous,0
38,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,ouvrage ; de fleuret,Allemagne,3835,383.5,Livres,10,0,,0
39,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,papier ; blanc,Allemagne,17874,17874,Livres,20,-339606,,0
40,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,peaux ; de maroquin,Allemagne,60,5,douzaines,12,0,,0
41,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,pelleterie ; commune & prestée,Allemagne,2601,2601,Livres,1,0,,0
42,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,provision ; de bouche,Allemagne,239476,,en valeur,0,,,0
43,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,ruban ; or et argent,Allemagne,179520,1496,Livres,120,0,,0
44,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",2,ruban ; de soye,Allemagne,1100037.5,220075,Livres,50,990000,le copiste a mis un 0 de trop,0
45,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,ruban ; mi soye,Allemagne,1600,50,Livres,20,600,erreur de multiplication du copiste,0
46,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,saffran,Allemagne,259350,10374,Livres,25,0,,0
47,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,savon,Allemagne,64249.5,183570,Livres,35,0,,0
48,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,soye ; a coudre,Allemagne,7587.5,3035,Livres,25,0,,0
49,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,tapisserie ; d'auvergne,Allemagne,9845,1969,Livres,5,0,,0
50,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,toile ; blanche,Allemagne,4365,1455,Livres,3,0,,0
51,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,toile ; de coton,Allemagne,680,136,Livres,5,0,,0
52,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,toile ; royalle,Allemagne,2200,550,Livres,4,0,,0
53,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,toile ; teinte,Allemagne,64,32,Livres,2,0,,0
54,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,vin ; muscat,Allemagne,168,67.25,barraux,25,-13,le copiste a laissé de côté la fraction,0
55,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,Bas ; de soye,Angleterre,140,3.5,Livres,40,0,,0
56,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,cheveux,Angleterre,2060,103,Livres,20,0,,0
57,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,Dorure ; fine,Angleterre,19200,160,Livres,120,0,,0
58,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,Etoffe ; or et argent,Angleterre,520,6.5,Livres,80,0,,0
59,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,Etoffe ; de soye,Angleterre,2400,48,Livres,50,0,,0
60,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,provision ; de bouche,Angleterre,950,,en valeur,0,,,0
61,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,ruban ; de soye,Angleterre,300,6,Livres,50,0,,0
62,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,saffran,Angleterre,9500,380,Livres,25,0,,0
63,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,Bas ; de soye,Espagne,58660,1466.5,Livres,40,0,,0
64,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,bougie,Espagne,1460,730,Livres,2,0,,0
65,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",3,Chapeaux ; castors,Espagne,11042.5,631,pièces,175,0,,0
66,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Chapeaux ; 1/2 castors,Espagne,12775,1022,Livres,12.5,0,,0
67,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,chapeaux ; poil et laine,Espagne,40205,731,douzaines,55,0,,0
68,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Dorure ; fausse,Espagne,10800,540,Livres,20,0,,0
69,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Dorure ; fine,Espagne,540060,4500.5,Livres,120,0,,0
70,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,drap ; ecarlate,Espagne,13500,1125,Livres,12,0,,0
71,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Draperie ; ordinaire,Espagne,62901,6989,Livres,9,0,,0
72,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Droguerie,Espagne,400,,en valeur,0,,,0
73,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Etoffe ; or et argent,Espagne,1109840,13873,Livres,80,0,,0
74,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Etoffe ; de soye,Espagne,609700,12194,Livres,50,0,,0
75,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Etoffe ; mi soye,Espagne,16130,806.5,Livres,20,0,,0
76,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,fleuret,Espagne,66.5,95,Livres,7,0,,0
77,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,gaze ; fil et soye,Espagne,500,25,Livres,20,0,,0
78,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,gaze ; de soye,Espagne,3750,75,Livres,50,0,,0
79,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Mercerie et quincaille,Espagne,88629,,en valeur,0,,,0
80,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,moquette,Espagne,600,120,Livres,5,0,,0
81,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,mousseline ; brodée,Espagne,2240,32,Livres,70,0,,0
82,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,Nippes,Espagne,35415,,en valeur,0,,,0
83,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,pelleterie ; commune et aprestée,Espagne,60,60,Livres,1,0,,0
84,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,provision ; de bouche,Espagne,4330,,en valeur,0,,,0
85,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,ruban ; or et argent,Espagne,198930,1657.75,Livres,120,0,,0
86,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,ruban ; de soye,Espagne,29475,589.5,Livres,50,0,,0
87,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,soye ; a coudre,Espagne,9525,381,Livres,25,0,,0
88,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,tapisserie ; d'auvergne,Espagne,750,150,Livres,5,0,,0
89,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,toile ; basine,Espagne,875,25,Livres,35,0,,0
90,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,toile ; blanche,Espagne,191823,63941,Livres,3,0,,0
91,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,toile ; de coton,Espagne,300,60,Livres,5,0,,0
92,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,toille ; royale,Espagne,45328,11332,Livres,4,0,,0
93,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",4,toile ; teinte,Espagne,58038,29019,Livres,2,0,,0
94,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Bas ; de soye,Flandre Autrichienne,21640,540,Livres,40,40,erreur de multiplication du copiste,0
95,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Chapeaux ; castors,Flandre Autrichienne,525,30,pièces,17.5,0,,0
96,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Chapeaux ; 1/2 castors,Flandre Autrichienne,1050,84,pièces,12.5,0,,0
97,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,chapeaux ; poil et laine,Flandre Autrichienne,21862.5,3975,douzaines,55,0,,0
98,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,cheveux,Flandre Autrichienne,23180,1159,Livres,20,0,,0
99,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Dorure ; fine,Flandre Autrichienne,104760,873,Livres,120,0,,0
100,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Draperie ; ordinaire,Flandre Autrichienne,23094,2566,Livres,9,0,,0
101,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Etoffe ; or et argent,Flandre Autrichienne,39440,493,Livres,80,0,,0
102,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Etoffe ; de soye,Flandre Autrichienne,240275,4805.5,Livres,50,0,,0
103,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Etoffe ; my soye,Flandre Autrichienne,7980,399,Livres,20,0,,0
104,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,fleuret,Flandre Autrichienne,84,12,Livres,7,0,,0
105,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,gand ; de peau,Flandre Autrichienne,1800,,en valeur,0,,,0
106,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,huille ; d'olive,Flandre Autrichienne,576,1280,Livres,.45,0,,0
107,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,mercerie,Flandre Autrichienne,2770,,en valeur,0,,,0
108,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Nippes,Flandre Autrichienne,1510,,en valeur,0,,,0
109,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,pelleterie ; commune et aprestée,Flandre Autrichienne,115,115,Livres,1,0,,0
110,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,provision ; de bouche,Flandre Autrichienne,2030,,en valeur,0,,,0
111,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,ruban ; or et argent,Flandre Autrichienne,2880,24,Livres,120,0,,0
112,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,ruban ; de soye,Flandre Autrichienne,19062.5,38125,Livres,50,0,,0
113,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,saffran,Flandre Autrichienne,2825,113,Livres,25,0,,0
114,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,soye ; a coudre,Flandre Autrichienne,500,20,Livres,25,0,,0
115,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",5,Bas ; de soye,Hollande,5620,140.5,Livres,40,0,,0
116,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",6,Chapeaux ; castors,Hollande,735,42,pièces,17.5,0,,0
117,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",6,Dorure ; fine,Hollande,40500,337.5,Livres,120,0,,0
118,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",6,Draperie ; ordinaire,Hollande,1260,140,Livres,9,0,,0
119,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",6,Etoffe ; or et argent,Hollande,1240,15.5,Livres,80,0,,0
120,Loïc,BM Lyon ms 1490,"Local/Grenoble, Lyon & Valence/Lyon Sorties 1752.csv",Local,1752,Exports,"Lyon, Grenoble et Valence",6,Etoffe ; de soye,Hollande,80450,1609,Livres,50,0,,0
