numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,Droits unitaires,value,probleme,remarks
16,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bois a bruler,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,1,Charrettée,"0,2",0,0,
17,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bois de futaye,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"19,7",Quintaux,"0,4",0,0,Mesure d'origine livre
18,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bois a teinturies,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,5",Quintaux,"0,6",0,0,Mesure d'origine livre
19,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Beurre et fromage,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"15,6",Quintaux,"0,75",0,0,Mesure d'origine livre
20,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Beurre et fromage,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"10,32",Quintaux,4,0,0,Mesure d'origine livre
21,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Beurre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,8",Quintaux,"0,4",0,0,Mesure d'origine livre
22,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Beurre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"74,55",Quintaux,"0,4",0,0,Mesure d'origine livre
23,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Beurre pour geneve par transit,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"206,33",Quintaux,"0,8",0,0,Mesure d'origine livre
24,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bestiaux ,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,14,Mulets,0,0,0,Droits 5% de la valeur + 2 sous pièce
25,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bestiaux ,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,4,Mulets,0,0,0,Droits 5% de la valeur
26,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bestiaux ,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,8,Poulains,0,0,0,Droits 5% de la valeur
27,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bœufs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,2,Pièces,3,0,0,
28,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Batterie de fer coulé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,1195,Nombres,0,0,0,Droits 2 livres et 3 sous provinces réputées de l'étranger et 1 livre tournois de l'étranger
29,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Batterie de fer coulé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,3",Quintaux,1,0,0,Mesure d'origine livre
30,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Batterie en plaque,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,36",Quintaux,1,0,0,Mesure d'origine livre
31,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bourre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,2,Quintaux,"0,5",0,0,Mesure d'origine livre
32,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bourre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"6,8",Quintaux,"0,5",0,0,Mesure d'origine livre
33,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Barril à vuider,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,10,Barrils,0,0,0,16 sous la douzaine
34,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Boettes de sapin,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,20,Ballots,"0,1",0,0,
35,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bouteilles de bois,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,11,Douzaines,"0,1",0,0,
36,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,3,1726 – 1725 à 1726,Bijouterie,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,,,0,"592,5","-592,5",Droits 5 % de la valeur
37,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Chandelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,1,Quintaux,"0,5",0,0,Mesure d'origine livre
38,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cheveux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,20,Livres,"0,25",0,0,
39,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cheveux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,10,Livres,"0,25",0,0,
40,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Chocolat,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,70,Livres,"0,05",0,0,
41,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Chocolat et sorbet,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,190,Livres,"0,05",0,0,
42,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cornes de bœufs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,2",Milliers,"0,5",0,0,
43,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cornes,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,2",Milliers,"0,5",0,0,
44,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cornes de cerf,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,6",Quintaux,"0,25",0,0,Mesure d'origine livre
45,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cornes de betail,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,61",Quintaux,"0,1",0,0,Mesure d'origine livre
46,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuivre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,3",Quintaux,"0,75",0,0,Mesure d'origine livre
47,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuivre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,35",Quintaux,"1,5",0,0,Mesure d'origine livre
48,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuivre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,35",Quintaux,"1,5",0,0,Mesure d'origine livre
49,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuivre ouvré,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,2",Quintaux,5,0,0,Mesure d'origine livre
50,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuivre leton,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,85",Quintaux,"0,875",0,0,Mesure d'origine livre
51,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuivre et airain ouvré,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,6",Quintaux,5,0,0,Mesure d'origine livre
52,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuirs,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,4,Pièces,"0,238",0,0,
53,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuirs en poil,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,1,Quintaux,"0,875",0,0,Mesure d'origine livre
54,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuirs de bœuf en poil,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,113,Pièces,"0,238",0,0,
55,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuirs de bœufs tannés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,16",Quintaux,"0,8",0,0,Mesure d'origine livre
56,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Cuirs de bœufs tannés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,1,Quintaux,"6,5",0,0,Mesure d'origine livre
57,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Chairs salées,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,5,Quintaux,5,0,0,Mesure d'origine livre
58,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,4,1726 – 1725 à 1726,Chairs et poisson,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,57",Quintaux,"1,038",0,0,Mesure d'origine livre
59,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cristaux ouvrés,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,09",Quintaux,400,0,0,Mesure d'origine livre
60,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cristal taillé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,5",Livres,4,0,0,
61,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chapeaux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,25",Quintaux,"0,5",0,0,Mesure d'origine livre
62,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chapeaux poil et laine,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,6",Quintaux,"3,113",0,0,Mesure d'origine livre
63,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chapeaux poil et laine,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,2",Quintaux,"6,225",0,0,Mesure d'origine livre
64,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chanvre en rame,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,85",Quintaux,"0,338",0,0,Mesure d'origine livre
65,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chanvre cru,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"33,7",Quintaux,"0,338",0,0,Mesure d'origine livre
66,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chaussures pour tisserand,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,15,Livres,0,0,0,Droits 5% de la valeur
67,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Chevilleres a tresser,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,65",Quintaux,"0,5",0,0,Mesure d'origine livre
68,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Colle forte,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,3",Quintaux,"0,5",0,0,Mesure d'origine livre
69,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Colle forte,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,5",Quintaux,"0,5",0,0,Mesure d'origine livre
70,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Colle,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"2,8",Quintaux,"0,9",0,0,Mesure d'origine livre
71,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Colles de toutes sortes,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,23,Quintaux,"0,225",0,0,Mesure d'origine livre
72,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Confitures,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,06",Quintaux,2,0,0,Mesure d'origine livre
73,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Confitures de miel,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,25",Quintaux,2,0,0,Mesure d'origine livre
74,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cassonades,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"1,4",Quintaux,15,0,0,Mesure d'origine livre
75,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cotton fillé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,3,Livres,"0,025",0,0,
76,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cotton fillé,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"72,05",Quintaux,3,0,0,Mesure d'origine livre
77,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cadis,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,3,Pièces,"0,5",0,0,
78,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cordes de chanvre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,3,Quintaux,"0,375",0,0,Mesure d'origine livre
79,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cendre commune,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,75",Caisses,"0,5",0,0,
80,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cendre de verre,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"15,8",Quintaux,"0,2",0,0,
81,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,5,1726 – 1725 à 1726,Cendre de bois,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,213,Sacs,"0,025",0,0,
82,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Cire moitié suif et moitié cire,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,6",Quintaux,4,0,0,Mesure d'origine livre
83,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Cribles de bois,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"4,5",Douzaines,"0,1",0,0,
84,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Chevaux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,1,Nombres,9,0,0,
85,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Chevaux,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,2,Nombres,9,0,0,
86,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,60,Livres,"0,15",0,0,
87,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,8,Livres,"0,15",0,0,
88,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,341,Livres,"0,15",0,0,
89,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,18",Quintaux,"2,075",0,0,Mesure d'origine livre
90,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles du Puy,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,59",Quintaux,"2,8",0,0,Mesure d'origine livre
91,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles grossieres,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"3,15",Quintaux,2,0,0,Mesure d'origine livre
92,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles grossieres,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"0,7",Quintaux,4,0,0,Mesure d'origine livre
93,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Dentelles grossieres,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,"11,66",Quintaux,4,0,0,Mesure d'origine livre
94,Anthony Rebours,2C635,"Local - out/Grenoble, Lyon & Valence/Grenoble - Entrées - 1725-1726.csv",Local - out,Imports,6,1726 – 1725 à 1726,Drogueries,"Grenoble, Marseille et Lyon",Etats du Roy de Sardaigne,2,Quintaux,"5,125",0,0,Mesure d'origine livre
