numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
48,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Piastres,Sardaigne,46970,9394,152655,en nombre,149880,,,0
49,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Piastres,Barbarie,98400,19680,152655,en nombre,149880,,,0
50,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Piastres,Levant,4510,902,152655,en nombre,149880,,,0
51,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Séquins,Barbarie,2200,220,152655,en nombre,,,,0
52,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Argent brut,Genes,300,6,152655,morceaux,,,,0
53,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Argent et or monnoyé ; Argent en feuilles,Etat de l'empreur,75,2500,152655,feuilles,,,,0
54,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; Blanches,Etat de l'empreur,237,,75299,,808,,,0
55,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; Blanches,Allemagne-Pologne,150,,75299,,808,,,0
56,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; Blanches,Etats unis d'Amerique,421,,75299,,808,,,0
57,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Espagne,30,,75299,,74491,,,0
58,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Sardaigne,570,,75299,,74491,,,0
59,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Barbarie,260,,75299,,74491,,,0
60,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Levant,400,,75299,,74491,,,0
61,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Hollande,14000,,75299,,74491,,,0
62,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Etat de l'empreur,631,,75299,,74491,,,0
63,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Armes ; A feu,Etats unis d'Amerique,58600,,75299,,74491,,,0
64,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Artilleries,Espagne,1459,,38402,,,,,0
65,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Artilleries,Hollande,33114,,38402,,,,,0
66,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Artilleries,Etats unis d'Amerique,3829,,38402,,,,,0
67,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Balais divers,Sardaigne,167,1500,2474,en nombre,,,ne correspond pas au total marqué,0
68,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Balais divers,Barbarie,24,,2474,,,,,0
69,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Balais divers,Levant,972,,2474,,,,,0
70,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Balais divers,Etat de l'empreur,384,,2474,,,,,0
71,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Balais divers,Suisse-Geneve,927,9279,2474,en nombre,,,,0
72,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Baleines coupées en fanon,Espagne,304,76,732,livres,,,,0
73,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Baleines coupées en fanon,Sardaigne,148,49,732,livres,,,,0
74,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Baleines coupées en fanon,Etat de l'empreur,177,59,732,livres,,,,0
75,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Baleines coupées en fanon,Allemagne-Pologne,54,6,732,livres,,,,0
76,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Baleines coupées en fanon,Suisse-Geneve,49,11,732,livres,,,,0
77,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Bestiaux ; en agneaux,Espagne,3430,1407,3016965,en nombre,7163,,,0
78,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Bestiaux ; en agneaux,Sardaigne,3359,2237,3016965,en nombre,7163,,,0
79,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Bestiaux ; en agneaux,Etat de l'empreur,40,10,3016965,en nombre,7163,,,0
80,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Bestiaux ; en agneaux,Allemagne-Pologne,264,33,3016965,en nombre,7163,,,0
81,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,8,Bestiaux ; en agneaux,Suisse-Geneve,70,29,3016965,en nombre,7163,,,0
82,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Bœufs,Espagne,114320,1034,3016965,en nombre,458740,,,0
83,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Bœufs,Sardaigne,137400,947,3016965,en nombre,458740,,,0
84,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Bœufs,etats ecclésiastiques,450,3,3016965,en nombre,458740,,,0
85,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Bœufs,Etat de l'empreur,35648,178,3016965,en nombre,458740,,,0
86,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Bœufs,Allemagne-Pologne,78858,268,3016965,en nombre,458740,,,0
87,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Bœufs,Suisse-Geneve,92064,334,3016965,en nombre,458740,,,0
88,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Boucs,Espagne,25,5,3016965,en nombre,634,,,0
89,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Boucs,Sardaigne,99,14,3016965,en nombre,634,,,0
90,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Boucs,Allemagne-Pologne,486,85,3016965,en nombre,634,,,0
91,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Boucs,Suisse-Geneve,24,3,3016965,en nombre,634,,,0
92,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Chevres,Espagne,16620,2807,3016965,en nombre,32726,,,0
93,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Chevres,Sardaigne,6731,1273,3016965,en nombre,32726,,,0
94,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Chevres,Allemagne-Pologne,1565,313,3016965,en nombre,32726,,,0
95,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Chevres,Suisse-Geneve,7810,1562,3016965,en nombre,32726,,,0
96,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Moutons,Espagne,706236,128525,3016965,en nombre,1028478,,,0
97,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Moutons,Sardaigne,89907,13028,3016965,en nombre,1028478,,,0
98,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Moutons,Etat de l'empreur,7605,631,3016965,en nombre,1028478,,,0
99,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Moutons,Allemagne-Pologne,26574,1771,3016965,en nombre,1028478,,,0
100,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Moutons,Suisse-Geneve,198156,12750,3016965,en nombre,1028478,,,0
101,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcs gras,Espagne,606260,16801,3016965,en nombre,1184920,,,0
102,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcs gras,Sardaigne,69080,2646,3016965,en nombre,1184920,,,0
103,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcs gras,Hollande,400,50,3016965,en nombre,1184920,,,0
104,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcs gras,Etat de l'empreur,97264,3172,3016965,en nombre,1184920,,,0
105,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcs gras,Allemagne-Pologne,5496,151,3016965,en nombre,1184920,,,0
106,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcs gras,Suisse-Geneve,406420,10129,3016965,en nombre,1184920,,,0
107,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcelets,Espagne,2385,265,3016965,en nombre,2769,,,0
108,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Porcelets,Sardaigne,384,96,3016965,en nombre,2769,,,0
109,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Vaches,Espagne,60690,904,3016965,en nombre,182975,,,0
110,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Vaches,Sardaigne,38680,752,3016965,en nombre,182975,,,0
111,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Vaches,Etat de l'empreur,9935,169,3016965,en nombre,182975,,,0
112,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Vaches,Allemagne-Pologne,15045,200,3016965,en nombre,182975,,,0
113,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Vaches,Suisse-Geneve,58625,790,3016965,en nombre,182975,,,0
114,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Genisses,Espagne,90,3,3016965,en nombre,17682,,,0
115,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Genisses,Sardaigne,9084,315,3016965,en nombre,17682,,,0
116,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Genisses,Villes Auséatiques,40,2,3016965,en nombre,17682,,,0
117,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Genisses,Etat de l'empreur,7540,191,3016965,en nombre,17682,,,0
118,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Genisses,Allemagne-Pologne,760,38,3016965,en nombre,17682,,,0
119,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,10,Bestiaux ; Genisses,Suisse-Geneve,168,7,3016965,en nombre,17682,,,0
120,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Taureaux,Espagne,400,5,3016965,en nombre,88600,,,0
121,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Taureaux,Sardaigne,21780,238,3016965,en nombre,88600,,,0
122,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Taureaux,Etat de l'empreur,900,6,3016965,en nombre,88600,,,0
123,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Taureaux,Allemagne-Pologne,900,15,3016965,en nombre,88600,,,0
124,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Taureaux,Suisse-Geneve,64620,435,3016965,en nombre,88600,,,0
125,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Veaux,Espagne,1044,37,3016965,en nombre,12278,,,0
126,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Veaux,Sardaigne,3207,267,3016965,en nombre,12278,,,0
127,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Veaux,Etat de l'empreur,2083,122,3016965,en nombre,12278,,,0
128,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Veaux,Allemagne-Pologne,2158,155,3016965,en nombre,12278,,,0
129,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Bestiaux ; Veaux,Suisse-Geneve,3786,275,3016965,en nombre,12278,,,0
130,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Asnes,Espagne,4516,302,1600620,en nombre,8872,,,0
131,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Asnes,Sardaigne,4208,68,1600620,en nombre,8872,,,0
132,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Asnes,Genes,100,2,1600620,en nombre,8872,,,0
133,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Asnes,Etat de l'empreur,48,2,1600620,en nombre,8872,,,0
134,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Chevaux,Espagne,109700,798,1600620,en nombre,367720,,,0
135,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Chevaux,Sardaigne,204320,808,1600620,en nombre,367720,,,0
136,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Chevaux,Angleterre,2700,9,1600620,en nombre,367720,,,0
137,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Chevaux,Etat de l'empreur,12000,40,1600620,en nombre,367720,,,0
138,Hichem Omri,AN F12 249,National/Objet Général/AN Paris/F_12_249bis_1782/1782.csv,Objet Général,1782,Exports,12,Betes de somme ; Chevaux,Suisse-Geneve,39000,195,1600620,en nombre,367720,,,0
