numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,remarks,DoubleAccounts
23,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Amidon,Savoye,1029,80474,,,,,0
24,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Amidon,Isles,18552,80474,,,,,0
25,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Anchois,Hollande,2311,7324,,,,,0
26,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Anchois,Isles,5013,7324,,,,,0
27,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Anis,Italie,3646,11064,,,,,0
28,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Anis,Genes,1535,11064,,,,,0
29,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Anis,Levant,2479,11064,,,,,0
30,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Anis,Savoye,3404,11064,,,,,0
31,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Ardoises,Flandre,8302,41227,,,,,0
32,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Ardoises,Isles,32925,41227,,,,,0
33,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Argent ; vif,Levant,20910,20910,,,,,0
34,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Argenterie,Allemagne,15033,317673,,,,,0
35,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Argenterie,Angleterre,1368,317673,,,,,0
36,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,4,Argenterie,Danemark,1368,317673,,,,,0
37,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Espagne,53580,317673,,,,,0
38,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Flandre,10841,317673,,,,,0
39,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Hollande,15945,317673,,,,,0
40,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Indes,1500,317673,,,,,0
41,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Italie,21774,317673,,,,,0
42,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Naples,45600,317673,,,,,0
43,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Nord,16188,317673,,,,,0
44,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Portugal,12825,317673,,,,,0
45,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Russie,13134,317673,,,,,0
46,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Savoye,1710,317673,,,,,0
47,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Suede,34200,317673,,,,,0
48,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Suisse,11296,317673,,,,,0
49,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Argenterie,Isles,61311,317673,,,,,0
50,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Armes ; blanche,Indes,3200,504915,,21821,,,0
51,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Armes ; blanche,Portugal,1250,504915,,21821,,,0
52,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Armes ; blanche,Guinée,17971,504915,,21821,,,0
53,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Armes ; à feu,Indes,25555,504915,,483094,,,0
54,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Armes ; à feu,Isles,24556,504915,,483094,,,0
55,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Armes ; à feu,Guinée,432983,504915,,483094,,,0
56,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Arquifou,Levant,20109,23209,,,,,0
57,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Arquifou,Savoye,3100,23209,,,,,0
58,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Avoine,Allemagne,3107,7143,,,,,0
59,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Avoine,Angleterre,4036,7143,,,,,0
60,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Azur,Angleterre,5625,13125,,,,,0
61,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,5,Azur,Indes,7500,13125,,,,,0
62,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Baleines ; coupée,Allemagne,1010,3110,,,,,0
63,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Baleines ; coupée,Italie,2100,3110,,,,,0
64,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Barils ; vuides,Guinée,4632,4632,,,,,0
65,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de coton,Allemagne,1100,3083833,,55451,,,0
66,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de coton,Espagne,40150,3083833,,55451,,,0
67,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de coton,Genes,4175,3083833,,55451,,,0
68,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de coton,Savoye,10026,3083833,,55451,,,0
69,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Allemagne,1175,3083833,,141047,,,0
70,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Espagne,25810,3083833,,141047,,,0
71,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Italie,7011,3083833,,141047,,,0
72,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Genes,1200,3083833,,141047,,,0
73,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Levant,1207,3083833,,141047,,,0
74,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Suisse,4780,3083833,,141047,,,0
75,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de fil,Isles,99864,3083833,,141047,,,0
76,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de filozelle,Allemagne,18724,3083833,,46877,,,0
77,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de filozelle,Espagne,8184,3083833,,46877,,,0
78,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de filozelle,Hollande,3892,3083833,,46877,,,0
79,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de filozelle,Portugal,6533,3083833,,46877,,,0
80,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de filozelle,Savoye,6824,3083833,,46877,,,0
81,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de filozelle,Suisse,2720,3083833,,46877,,,0
82,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Allemagne,59064,3083833,,258244,,,0
83,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Espagne,116876,3083833,,258244,,,0
84,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Flandre,12138,3083833,,258244,,,0
85,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Geneve,1736,3083833,,258244,,,0
86,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Genes,20154,3083833,,258244,,,0
87,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Portugal,33810,3083833,,258244,,,0
88,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Savoye,6690,3083833,,258244,,,0
89,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Suisse,3576,3083833,,258244,,,0
90,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de lain,Isles,4200,3083833,,258244,,,0
91,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Allemagne,408910,3083833,,2582214,,,0
92,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Angleterre,20375,3083833,,2582214,,,0
93,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Danemark,1806,3083833,,2582214,,,0
94,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Espagne,1480866,3083833,,2582214,,,0
95,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Flandre,52912,3083833,,2582214,,,0
96,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Hollande,94590,3083833,,2582214,,,0
97,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Italie,140575,3083833,,2582214,,,0
98,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,6,Bas ; de soye,Naples,56395,3083833,,2582214,,,0
99,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Genes,12240,3083833,,2582214,,,0
100,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Nord,9906,3083833,,2582214,,,0
101,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Portugal,202857,3083833,,2582214,,,0
102,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Russie,5995,3083833,,2582214,,,0
103,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Savoye,42220,3083833,,2582214,,,0
104,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Suede,4591,3083833,,2582214,,,0
105,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Suisse,17590,3083833,,2582214,,,0
106,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bas ; de soye,Isles,30386,3083833,,2582214,,,0
107,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Batteaux ; neufs,Flandre,4510,4510,,,,,0
108,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Baume,Isles,28540,28540,,,,,0
109,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bazannes ; tannées,Savoye,9597,8477,,,,,0
110,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bazannes ; tannées,Suisse,4880,8477,,,,,0
111,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Benjoin,Levant,2975,2975,,,,,0
112,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; salé,Espagne,2514,2343651,,1436155,,,0
113,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; salé,Indes,3277,2343651,,1436155,,,0
114,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; salé,Genes,97125,2343651,,1436155,,,0
115,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; salé,Isles,1259215,2343651,,1436155,,,0
116,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; salé,Guinée,74024,2343651,,1436155,,,0
117,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; en vie,Allemagne,755420,2343651,,907496,,,0
118,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; en vie,Angleterre,2800,2343651,,907496,,,0
119,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; en vie,Espagne,51160,2343651,,907496,,,0
120,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; en vie,Geneve,5900,2343651,,907496,,,0
121,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; en vie,Savoye,68848,2343651,,907496,,,0
122,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beuf ; en vie,Suisse,23368,2343651,,907496,,,0
123,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Allemagne,22914,891482,,,,,0
124,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Angleterre,10464,891482,,,,,0
125,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Espagne,11205,891482,,,,,0
126,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Flandre,7707,891482,,,,,0
127,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Geneve,2276,891482,,,,,0
128,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Hollande,291607,891482,,,,,0
129,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Levant,12056,891482,,,,,0
130,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Nord,31527,891482,,,,,0
131,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Portugal,24921,891482,,,,,0
132,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Isles,462416,891482,,,,,0
133,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Beurre,Guinée,14389,891482,,,,,0
134,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bierre,Indes,1055,46250,,,,,0
135,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,7,Bierre,Isles,45195,46250,,,,,0
136,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bijouterie,Allemagne,1016,49446,,,,,0
137,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bijouterie,Espagne,10180,49446,,,,,0
138,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bijouterie,Isles,32250,49446,,,,,0
139,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Biscuits,Isles,612646,612646,,,,,0
140,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Blanc ; de Troyes,Suisse,1656,1656,,,,,0
141,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Allemagne,25448,1703880,,1482805,,,0
142,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Angleterre,7800,1703880,,1482805,,,0
143,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Espagne,1062452,1703880,,1482805,,,0
144,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Italie,3960,1703880,,1482805,,,0
145,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Genes,84390,1703880,,1482805,,,0
146,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Levant,72960,1703880,,1482805,,,0
147,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Portugal,11805,1703880,,1482805,,,0
148,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; froment,Savoye,213990,1703880,,1482805,,,0
149,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; d'inde,Espagne,6288,1703880,,7995,,,0
150,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; d'inde,Savoye,1707,1703880,,7995,,,0
151,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; mahi,Espagne,78888,1703880,,78888,,,0
152,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; meteil,Espagne,4343,1703880,,43434,,,0
153,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; seigle,Allemagne,6216,1703880,,129849,,,0
154,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; seigle,Espagne,108266,1703880,,129849,,,0
155,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Bled ; seigle,Portugal,15367,1703880,,129849,,,0
156,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Blonde ; de soye,Angleterre,68600,117469,,,,,0
157,Jérémy Hervelin,IIHS-122C,National/Objet Général/IIHS - Amsterdam/1769.csv,Objet Général,1769,Exports,8,Blonde ; de soye,Espagne,6650,117469,,,,,0
