Numéro des lignes,Data entry by,Source,Year,Export-Imports,Sheet,Marchandises,,Pays,,Leur Valeur,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),Leur Valeur (sub-total 3),Total,Remarks
35,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amandes,,Levant,,36 209,,,,306 321,
36,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amandes,,Savoye,,2 768,,,,306 321,
37,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amidon,,Hollande,,13 216,,,,20 199,
38,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Amidon,,Nord,,6 983,,,,20 199,
39,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Anchois,,Espagne,,18 020,,,,20 324,
40,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Anchois,,Hollande,,2 304,,,,20 324,
41,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Anis,,Espagne,,35 625,,,,36 782,
42,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Anis,,Hollande,,1 157,,,,36 782,
43,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Anspects,,Danemark,,,,,,1 045,
44,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Antolphe ; de geroffle,,Hollande,,,,,,6 165,
45,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Arcenic,,Hollande,,3 175,,,,8 671,
46,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,4,Arcenic,,Nord,,5 496,,,,8 671,
47,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Ardoises,,Allemagne,,5 392,,,,7 717,
48,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Ardoises,,Flandre,,2 325,,,,7 717,
49,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argent ; faux,,Flandre,,6 660,,,,860 889,
50,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argent ; monnoyé,,Genes,,547 488,,,,860 889,
51,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argent ; vif,,Allemagne,,135 395,306 741,,,860 889,
52,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argent ; vif,,Hollande,,4 346,306 741,,,860 889,
53,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argent ; vif,,Genes,,167 000,306 741,,,860 889,
54,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argenterie,,Angleterre,,5 265,,,,748 325,
55,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argenterie,,Espagne,,1 728,,,,748 325,
56,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argenterie,,Savoye,,737 540,,,,748 325,
57,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Argenterie,,Isles,,3 792,,,,748 325,
58,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Armes ; blanches,,Allemagne,,98 614,109 990,,,541 454,
59,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Armes ; blanches,,Flandre,,2 762,109 990,,,541 454,
60,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Armes ; blanches,,Hollande,,8 614,109 990,,,541 454,
61,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Armes ; à feu,,Allemagne,,347 505,431 464,,,541 454,
62,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Armes ; à feu,,Flandre,,12 348,431 464,,,541 454,
63,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Armes ; à feu,,Hollande,,71 611,431 464,,,541 454,
64,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Arquifou,,Angleterre,,4 954,,,,81 643,
65,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Arquifou,,Espagne,,74 191,,,,81 643,
66,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Arquifou,,Savoye,,2 498,,,,81 643,
67,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Assafelida,,Hollande,,2 150,,,,3 983,
68,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Assafelida,,Levant,,1 833,,,,3 983,
69,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,5,Attelles ; de coliers,,Allemagne,,,,,,6 920,
70,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Avirons,,Danemark,,4 649,,,,29 837,
71,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Avirons,,Espagne,,8 388,,,,29 837,
72,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Avirons,,Naples,,16 800,,,,29 837,
73,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Avoine,,Allemagne,,2 898,,,,10 455,
74,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Avoine,,Hollande,,7 557,,,,10 455,
75,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Azur,,Danemark,,125 156,,,,352 361,
76,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Azur,,Flandre,,3 350,,,,352 361,
77,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Azur,,Hollande,,213 617,,,,352 361,
78,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Azur,,Nord,,10 238,,,,352 361,
79,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Baguettes ; de fusils,,Italie,,,,,,2 000,
80,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balais,,Espagne,,11 035,,,,16 718,
81,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balais,,Italie,,3 147,,,,16 718,
82,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balais,,Genes,,1 042,,,,16 718,
83,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balais,,Savoye,,1 494,,,,16 718,
84,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balaine ; coupée,,Hollande,,63 184,114 512,,,495 226,
85,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balaine ; coupée,,Genes,,44 500,114 512,,,495 226,
86,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balaine ; coupée,,Nord,,6 828,114 512,,,495 226,
87,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balaine ; en fanon,,Flandre,,3 792,380 714,,,495 226,
88,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balaine ; en fanon,,Hollande,,150 332,380 714,,,495 226,
89,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Balaine ; en fanon,,Portugal,,226 590,380 714,,,495 226,
90,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Barils,,Espagne,,,,,,3 162,
91,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Barres ; de bois,,Danemark,,,,,,1 970,
92,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de coton,,Naples,,7 125,37 695,,,130 525,
93,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de coton,,Genes,,2 000,37 695,,,130 525,
94,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de coton,,Savoye,,20 950,37 695,,,130 525,
95,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de coton,,Suisse,,7 620,37 695,,,130 525,
96,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de fil,,Italie,,27 420,74 142,,,130 525,
97,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de fil,,Genes,,6 200,74 142,,,130 525,
98,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de fil,,Savoye,,31 285,74 142,,,130 525,
99,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,6,Bas ; de fil,,Suisse,,9 237,74 142,,,130 525,
100,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Bas ; de laine,,Flandre,,1 248,,,,130 525,
101,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Bas ; de soye,,Italie,,13 440,17 440,,,130 525,
102,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Bas ; de soye,,Naples,,4 000,17 440,,,130 525,
103,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Baume,,Nord,,,,,,1 800,
104,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Bazannes ; tannées,,Espagne,,,,,,11 388,
105,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Benjoin,,Hollande,,,,,,1 770,
106,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,7,Bergamottes,,Genes,,,,,,2 204,
107,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; fumés,,Nord,,3 101,,,,1 390 959,
108,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; salé,,Angleterre,,1 176 611,1 194 738,,,1 390 959,
109,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; salé,,Genes,,18 127,1 194 738,,,1 390 959,
110,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; en vie,,Allemagne,,111 900,193 120,,,1 390 959,
111,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; en vie,,Flandre,,39 800,193 120,,,1 390 959,
112,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; en vie,,Savoye,,29 900,193 120,,,1 390 959,
113,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beufs ; en vie,,Suisse,,11 520,193 120,,,1 390 959,
114,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beurre,,Angleterre,,884 755,,,,1 140 859,
115,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beurre,,Flandre,,86 619,,,,1 140 859,
116,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beurre,,Hollande,,138 229,,,,1 140 859,
117,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beurre,,Nord,,23 337,,,,1 140 859,
118,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Beurre,,Savoye,,7 919,,,,1 140 859,
119,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bierre,,Hollande,,,,,,135 107,
120,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bijouterie,,Flandre,,3 036,,,,256 209,
121,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bijouterie,,Geneve,,5 360,,,,256 209,
122,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bijouterie,,Italie,,120 000,,,,256 209,
123,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bijouterie,,Savoye,,120 750,,,,256 209,
124,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bijouterie,,Suisse,,7 063,,,,256 209,
125,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Blanc ; de baleine,,Hollande,,,,,,3 774,
126,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Allemagne,,62 188,5 701 299,,,5 724 959,
127,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Angleterre,,366 816,5 701 299,,,5 724 959,
128,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Danemark,,76 000,5 701 299,,,5 724 959,
129,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Espagne,,153 902,5 701 299,,,5 724 959,
130,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Flandre,,87 825,5 701 299,,,5 724 959,
131,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Hollande,,1 306 912,5 701 299,,,5 724 959,
132,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Italie,,247 260,5 701 299,,,5 724 959,
133,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Naples,,48 360,5 701 299,,,5 724 959,
134,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Genes,,6 900,5 701 299,,,5 724 959,
135,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Venise,,6 000,5 701 299,,,5 724 959,
136,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Levant,,2 850 270,5 701 299,,,5 724 959,
137,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Nord,,341 277,5 701 299,,,5 724 959,
138,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Savoye,,64 759,5 701 299,,,5 724 959,
139,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,8,Bles ; froment,,Suède,,82 830,5 701 299,,,5 724 959,
140,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bles ; meteil,,Allemagne,,1 643,,,,5 724 959,
141,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bles ; sarazin,,Flandre,,2 006,,,,5 724 959,
142,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bles ; seigle,,Flandre,,4 501,20 011,,,5 724 959,
143,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bles ; seigle,,Hollande,,15 510,20 011,,,5 724 959,
144,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bleu ; de Prusse,,Flandre,,1 003,,,,2 187,
145,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bleu ; de Prusse,,Hollande,,1 184,,,,2 187,
146,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Boëtes ; de bois,,Allemagne,,,,,,1 103,
147,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; d'acajou,,Isles,,15 371,,,,2 345 029,
148,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; à bâtir,,Allemagne,,21 742,,,,2 345 029,
149,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; cordayer,,Hollande,,1 453,39 763,,,2 345 029,
150,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; cordayer,,Nord,,38 310,39 763,,,2 345 029,
151,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; bourdillons,,Nord,,42 480,,,,2 345 029,
152,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de brezil,,Angleterre,,4 480,205 914,,,2 345 029,
153,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de brezil,,Espagne,,44 516,205 914,,,2 345 029,
154,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de brezil,,Portugal,,156 918,205 914,,,2 345 029,
155,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; à brûler,,Allemagne,,14 266,53 385,,,2 345 029,
156,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; à brûler,,Italie,,1 845,53 385,,,2 345 029,
157,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; à brûler,,Genes,,21 502,53 385,,,2 345 029,
158,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; à brûler,,Savoye,,14 632,53 385,,,2 345 029,
159,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; à brûler,,Suisse,,1 140,53 385,,,2 345 029,
160,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de buis,,Hollande,,10 689,18 992,,,2 345 029,
161,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de buis,,Levant,,8 303,18 992,,,2 345 029,
162,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de caliatour,,Hollande,,3 443,,,,2 345 029,
163,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de campêche,,Angleterre,,244 875,757 765,,,2 345 029,
164,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de campêche,,Espagne,,94 273,757 765,,,2 345 029,
165,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de campêche,,Flandre,,11 003,757 765,,,2 345 029,
166,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de campêche,,Hollande,,15 242,757 765,,,2 345 029,
167,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de campêche,,Naples,,2 322,757 765,,,2 345 029,
168,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,9,Bois ; de campêche,,Isles,,390 050,,,,2 345 029,
169,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de Cayenne,,Isles,,2 758,,,,2 345 029,
170,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de chesne,,Hollande,,3 410,,,,2 345 029,
171,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de construction,,Flandre,,11 680,90 504,,,2 345 029,
172,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de construction,,Italie,,30 000,90 504,,,2 345 029,
173,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de construction,,Nord,,48 824,90 504,,,2 345 029,
174,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; pour cribler,,Genes,,1 650,,,,2 345 029,
175,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; d'ébenne,,Hollande,,5 012,,,,2 345 029,
176,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; espars,,Danemark,,5 339,6 790,,,2 345 029,
177,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; espars,,Suède,,1 451,6 790,,,2 345 029,
178,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de fayard,,Naples,,7 600,24 450,,,2 345 029,
179,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de fayard,,Venise,,3 600,24 450,,,2 345 029,
180,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de fayard,,Savoye,,13 250,24 450,,,2 345 029,
181,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de fernambourg,,Flandre,,1 181,69 393,,,2 345 029,
182,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de fernambourg,,Hollande,,4 441,69 393,,,2 345 029,
183,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de fernambourg,,Portugal,,63 771,69 393,,,2 345 029,
184,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; fustel,,Espagne,,4 907,,,,2 345 029,
185,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de gayac,,Isles,,30 501,,,,2 345 029,
186,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de jaracunda,,Portugal,,4 412,,,,2 345 029,
187,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; jaune,,Flandre,,1 590,14 346,,,2 345 029,
188,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; jaune,,Hollande,,4 759,14 346,,,2 345 029,
189,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; jaune,,Isles,,7 997,14 346,,,2 345 029,
190,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; d'inde,,Hollande,,7 070,,,,2 345 029,
191,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de marqueterie,,Hollande,,4 410,33 835,,,2 345 029,
192,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; de marqueterie,,Portugal,,29 425,33 835,,,2 345 029,
193,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Allemagne,,7 053,363 992,,,2 345 029,
194,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Danemark,,1 286,363 992,,,2 345 029,
195,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Espagne,,4 218,363 992,,,2 345 029,
196,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Flandre,,10 710,363 992,,,2 345 029,
197,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Hollande,,19 992,363 992,,,2 345 029,
198,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Italie,,11 632,363 992,,,2 345 029,
199,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Naples,,95 550,363 992,,,2 345 029,
200,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Genes,,34 705,363 992,,,2 345 029,
201,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Venise,,17 000,363 992,,,2 345 029,
202,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Nord,,124 032,363 992,,,2 345 029,
203,Annick Davis,122-A-Bruyard-IIHS Amsterdam,1767,Imports,10,Bois ; merrain,,Russie,,1 790,363 992,,,2 345 029,
