numrodeligne,dataentryby,source,SourcePath,SourceType,year,exportsimports,sheet,marchandises,pays,value,total,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,DoubleAccounts
26,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Naples,2836,346809,,,,0
27,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Genes,36796,346809,,,,0
28,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Venise,25654,346809,,,,0
29,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Levant,48141,346809,,,,0
30,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Nord,70542,346809,,,,0
31,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Savoye,22007,346809,,,,0
32,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Suède,9520,346809,,,,0
33,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Suisse,1032,346809,,,,0
34,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amandes,Isles,30271,346809,,,,0
35,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amidon,Angleterre,18578,166032,,,,0
36,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amidon,Espagne,3926,166032,,,,0
37,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amidon,Flandre,109478,166032,,,,0
38,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amidon,Geneve,14700,166032,,,,0
39,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amidon,Portugal,15430,166032,,,,0
40,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Amidon,Isles,3920,166032,,,,0
41,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Anchois,Hollande,3140,4347,,,,0
42,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Anchois,Isles,1207,4347,,,,0
43,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Anis,Italie,1099,3562,,,,0
44,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Anis,Savoye,2463,3562,,,,0
45,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,4,Arbres ; à planter,Flandre,1062,1062,,,,0
46,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Ardoises,Allemagne,4075,36762,,,,0
47,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Ardoises,Espagne,1812,36762,,,,0
48,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Ardoises,Flandre,10025,36762,,,,0
49,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Ardoises,Isles,20850,36762,,,,0
50,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argent ; vif,Savoye,1000,1000,,,,0
51,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Allemagne,42956,410608,,,,0
52,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Angleterre,76757,410608,,,,0
53,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Espagne,5828,410608,,,,0
54,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Flandre,4731,410608,,,,0
55,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Hollande,1375,410608,,,,0
56,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Italie,15974,410608,,,,0
57,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Naples,89559,410608,,,,0
58,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Levant,1593,410608,,,,0
59,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Nord,30267,410608,,,,0
60,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Portugal,11682,410608,,,,0
61,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Russie,57000,410608,,,,0
62,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Savoye,3944,410608,,,,0
63,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Suisse,1923,410608,,,,0
64,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Isles,65822,410608,,,,0
65,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Argenterie,Guinée,1197,410608,,,,0
66,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Armes ; blanches,Levant,9300,234860,19198,,,0
67,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Armes ; blanches,Guinée,9898,234860,19198,,,0
68,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Armes ; à feu,Isles,3117,234860,215662,,,0
69,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Armes ; à feu,Guinée,212545,234860,215662,,,0
70,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Arquifou,Levant,14106,14106,,,,0
71,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Artichaux,Isles,10004,10004,,,,0
72,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,5,Asnes,Savoye,1000,1000,,,,0
73,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avirons,Allemagne,8225,11477,,,,0
74,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avirons,Hollande,2128,11477,,,,0
75,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avirons,Italie,,11477,,,No value for Italie,0
76,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avirons,Portugal,1124,11477,,,,0
77,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avoine,Allemagne,2297,339776,,,,0
78,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avoine,Angleterre,69879,339776,,,,0
79,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avoine,Flandre,7185,339776,,,,0
80,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avoine,Savoye,247635,339776,,,,0
81,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Avoine,Italie,12780,339776,,,,0
82,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Azur,Espagne,1330,1330,,,,0
83,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Balais ; coupée,Italie,1260,8985,,,,0
84,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Balais ; coupée,Levant,6725,8985,,,,0
85,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Balais ; coupée,Savoye,1000,8985,,,,0
86,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Barils,Guinée,3248,3248,,,,0
87,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Allemagne,9964,2435276,49573,,,0
88,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Angleterre,1100,2435276,49573,,,0
89,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Espagne,22245,2435276,49573,,,0
90,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Italie,3000,2435276,49573,,,0
91,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Genes,4500,2435276,49573,,,0
92,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Savoye,2140,2435276,49573,,,0
93,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Suisse,3824,2435276,49573,,,0
94,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de coton,Isles,2800,2435276,49573,,,0
95,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de fil,Espagne,11474,2435276,43069,,,0
96,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de fil,Levant,2713,2435276,43069,,,0
97,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de fil,Isles,28882,2435276,43069,,,0
98,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de filozelle,Allemagne,16328,2435276,37524,,,0
99,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de filozelle,Espagne,5136,2435276,37524,,,0
100,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,6,Bas ; de filozelle,Portugal,6280,2435276,37524,,,0
101,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de filozelle,Savoye,4980,2435276,37524,,,0
102,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de filozelle,Suisse,4800,2435276,37524,,,0
103,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Allemagne,57522,2435276,297506,,,0
104,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Espagne,103670,2435276,297506,,,0
105,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Flandre,1713,2435276,297506,,,0
106,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Hollande,2340,2435276,297506,,,0
107,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Italie,1296,2435276,297506,,,0
108,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Genes,3210,2435276,297506,,,0
109,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Portugal,104616,2435276,297506,,,0
110,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Savoye,16370,2435276,297506,,,0
111,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Suisse,5685,2435276,297506,,,0
112,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de laine,Guinée,1084,2435276,297506,,,0
113,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Allemagne,709815,2435276,2007604,,,0
114,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Angleterre,11345,2435276,2007604,,,0
115,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Danemark,3160,2435276,2007604,,,0
116,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Espagne,775247,2435276,2007604,,,0
117,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Flandre,72197,2435276,2007604,,,0
118,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Hollande,51935,2435276,2007604,,,0
119,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Italie,118185,2435276,2007604,,,0
120,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Naples,41545,2435276,2007604,,,0
121,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Genes,32700,2435276,2007604,,,0
122,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Levant,4880,2435276,2007604,,,0
123,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Nord,1460,2435276,2007604,,,0
124,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Portugal,92715,2435276,2007604,,,0
125,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Russie,3350,2435276,2007604,,,0
126,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Savoye,20810,2435276,2007604,,,0
127,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Suisse,59160,2435276,2007604,,,0
128,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bas ; de soye,Isles,9110,2435276,2007604,,,0
129,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Batavia,Guinée,13104,13104,,,,0
130,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Baudriers,Isles,1444,1444,,,,0
131,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Baume,Venise,1206,7012,,,,0
132,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Baume,Nord,1973,7012,,,,0
133,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Baume,Isles,3833,7012,,,,0
134,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,7,Bazannes ; tannées,Genes,31200,31200,,,,0
135,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; salé,Allemagne,1472,2192795,957245,,,0
136,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; salé,Espagne,1451,2192795,957245,,,0
137,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; salé,Isles,873675,2192795,957245,,,0
138,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; salé,Guinée,80647,2192795,957245,,,0
139,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; en vie,Allemagne,1016410,2192795,1235550,,,0
140,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; en vie,Angleterre,55200,2192795,1235550,,,0
141,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; en vie,Espagne,89620,2192795,1235550,,,0
142,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; en vie,Flandre,10800,2192795,1235550,,,0
143,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; en vie,Savoye,50640,2192795,1235550,,,0
144,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beufs ; en vie,Suisse,12880,2192795,1235550,,,0
145,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Allemagne,28018,402154,,,,0
146,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Angleterre,6991,402154,,,,0
147,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Espagne,6113,402154,,,,0
148,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Levant,6386,402154,,,,0
149,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Portugal,6341,402154,,,,0
150,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Savoye,6068,402154,,,,0
151,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Suisse,1527,402154,,,,0
152,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Isles,328361,402154,,,,0
153,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Beurre,Guinée,13349,402154,,,,0
154,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bierre,Isles,28856,28856,,,,0
155,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bijouterie,Genes,12000,39250,,,,0
156,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bijouterie,Isles,27250,39250,,,,0
157,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Biscuits,Angleterre,18411,28101,,,,0
158,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Biscuits,Isles,9690,28101,,,,0
159,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Allemagne,486615,6999280,6363606,,,0
160,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Angleterre,1300551,6999280,6363606,,,0
161,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Espagne,937006,6999280,6363606,,,0
162,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Flandre,711508,6999280,6363606,,,0
163,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Hollande,24360,6999280,6363606,,,0
164,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Italie,649579,6999280,6363606,,,0
165,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Naples,26730,6999280,6363606,,,0
166,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Genes,1268072,6999280,6363606,,,0
167,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Portugal,253363,6999280,6363606,,,0
168,Annick Davis,IIHS-122A,National/Objet Général/IIHS - Amsterdam/1767.csv,Objet Général,1767,Exports,8,Bles ; froment,Savoye,701355,6999280,6363606,,,0
