numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,marchandises,direction,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks,doubleaccount
37,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles gratienne rayée,Rennes,Espagne,5000,Aunes,0,0,0,,
38,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Toiles de couleur rayée,Rennes,Espagne,2800,Aunes,0,0,0,,
39,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Camelot,Rennes,Portugal,15,Pièces,0,0,0,,
40,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Chemises,Rennes,Portugal,150,Nombres,0,0,0,,
41,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Etoffe de soie,Rennes,Portugal,108,Livres,0,0,0,,
42,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Galon or et argent,Rennes,Portugal,40,Livres,0,0,0,,
43,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,2,Janvier 1714,Papier,Rennes,Portugal,1981,Rames,0,0,0,,
44,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles bretagne,Rennes,Portugal,300,Pièces,0,0,0,,
45,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles bretagne,Rennes,Portugal,5000,Aunes,0,0,0,,
46,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles cholet,Rennes,Portugal,300,Aunes,0,0,0,,
47,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles de leon,Rennes,Portugal,2000,Aunes,0,0,0,,
48,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles a voile,Rennes,Portugal,2780,Aunes,0,0,0,,
49,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Chapeaux de castor,Rennes,Isles françoises de l'Amerique,350,Nombres,0,0,0,,
50,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Chemises,Rennes,Isles françoises de l'Amerique,5,Douzaines,0,0,0,,
51,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Dentelle commune,Rennes,Isles françoises de l'Amerique,1,Caisses,0,800,-800,,
52,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Drap fin manufacture de France,Rennes,Isles françoises de l'Amerique,1500,Aunes,0,0,0,,
53,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Ecarlatille,Rennes,Isles françoises de l'Amerique,18,Pièces,0,0,0,,
54,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Fil de Rennes,Rennes,Isles françoises de l'Amerique,1500,Livres,0,0,0,,
55,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Fil de Rouën,Rennes,Isles françoises de l'Amerique,3000,Livres,0,0,0,,
56,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Papier,Rennes,Isles françoises de l'Amerique,30,Rames,0,0,0,,
57,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Quincaillerie,Rennes,Isles françoises de l'Amerique,300,Livres,0,0,0,,
58,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles baliste,Rennes,Isles françoises de l'Amerique,60,Pièces,0,0,0,,
59,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles bretagne,Rennes,Isles françoises de l'Amerique,400,Pièces,0,0,0,,
60,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles bretagne,Rennes,Isles françoises de l'Amerique,5490,Aunes,0,0,0,,
61,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles de Rouën,Rennes,Isles françoises de l'Amerique,2345,Aunes,0,0,0,,
62,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles écruës,Rennes,Isles françoises de l'Amerique,2852,Aunes,0,0,0,,
63,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles de halle,Rennes,Isles françoises de l'Amerique,100266,Aunes,0,0,0,,
64,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles navales,Rennes,Isles françoises de l'Amerique,973,Aunes,0,0,0,,
65,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles brin de Dinant,Rennes,Isles françoises de l'Amerique,320,Aunes,0,0,0,,
66,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles cholet,Rennes,Isles françoises de l'Amerique,68,Pièces,0,0,0,,
67,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles rayée,Rennes,Isles françoises de l'Amerique,300,Aunes,0,0,0,,
68,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles crées large,Rennes,Isles françoises de l'Amerique,15,Pièces,0,0,0,,
69,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles crées large,Rennes,Isles françoises de l'Amerique,1200,Aunes,0,0,0,,
70,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles coutil,Rennes,Isles françoises de l'Amerique,145,Aunes,0,0,0,,
71,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Janvier 1714,Toiles a voile,Rennes,Isles françoises de l'Amerique,500,Aunes,0,0,0,,
72,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Amandes,Rennes,Angleterre,200,Livres,0,0,0,,
73,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Beure de Bretagne,Rennes,Angleterre,400,Livres,0,0,0,,
74,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Bas de laine,Rennes,Angleterre,3,Douzaines,0,0,0,,
75,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Eau de vie,Rennes,Angleterre,1,Tierçon,0,0,0,,
76,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Figues,Rennes,Angleterre,300,Livres,0,0,0,,
77,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Fil de couleur,Rennes,Angleterre,60,Livres,0,0,0,,
78,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,3,Fevrier 1714,Grelin ,Rennes,Angleterre,1,Nombres,0,0,0,,
79,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Miel,Rennes,Angleterre,2500,Livres,0,0,0,,
80,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Papier blanc,Rennes,Angleterre,586,Rames,0,0,0,,
81,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Plumes a lit,Rennes,Angleterre,500,Livres,0,0,0,,
82,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Ris,Rennes,Angleterre,20,Livres,0,0,0,,
83,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Raisin,Rennes,Angleterre,1300,Livres,0,0,0,,
84,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Savon,Rennes,Angleterre,7360,Livres,0,0,0,,
85,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Toile de halle,Rennes,Angleterre,2912,Aunes,0,0,0,,
86,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Toile a voile,Rennes,Angleterre,360,Aunes,0,0,0,,
87,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Vin d'Espagne,Rennes,Angleterre,6,Pots,0,0,0,,
88,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Vin de Bordeaux,Rennes,Angleterre,3,Tonneaux,0,0,0,,
89,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Amandes,Rennes,Hollande,3600,Livres,0,0,0,,
90,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Huitres a la daube,Rennes,Hollande,50,Barils,0,0,0,,
91,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Miel,Rennes,Hollande,65400,Livres,0,0,0,,
92,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Papier blanc,Rennes,Hollande,1580,Rames,0,0,0,,
93,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Satin brodé de la Chine,Rennes,Hollande,8,Pièces,0,0,0,,
94,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Vin,Rennes,Hollande,4,Tonneaux,0,0,0,,
95,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Bas pour homme,Rennes,Espagne,59,Paires,0,0,0,,
96,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Bas pour femme,Rennes,Espagne,12,Paires,0,0,0,,
97,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Bonnets,Rennes,Espagne,1,Douzaines,0,0,0,,
98,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Confiture,Rennes,Espagne,300,Livres,0,0,0,,
99,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Ceinture de soie,Rennes,Espagne,10,Nombres,0,0,0,,
100,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Ceinturons,Rennes,Espagne,5,Nombres,0,0,0,,
101,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Chemises,Rennes,Espagne,550,Nombres,0,0,0,,
102,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Damas,Rennes,Espagne,"21,5",Pièces,0,0,0,,
103,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Etamines de Reims,Rennes,Espagne,1200,Aunes,0,0,0,,
104,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Eventail,Rennes,Espagne,87,Nombres,0,0,0,,
105,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Gorgoran,Rennes,Espagne,4,Pièces,0,0,0,,
106,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Grisette,Rennes,Espagne,8,Pièces,0,0,0,,
107,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Linçeuls,Rennes,Espagne,300,Nombres,0,0,0,,
108,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Mouchoirs,Rennes,Espagne,53,Nombres,0,0,0,,
109,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Papier,Rennes,Espagne,1984,Rames,0,0,0,,
110,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Rubans,Rennes,Espagne,3,Pièces,0,0,0,,
111,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,4,Fevrier 1714,Satin a fleurs,Rennes,Espagne,1,Pièces,0,0,0,,
112,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Tabac en cottes,Rennes,Espagne,1200,Livres,0,0,0,,
113,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Tafetas de pequin,Rennes,Espagne,180,Pièces,0,0,0,,
114,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de Morlaix,Rennes,Espagne,4500,Aunes,0,0,0,,
115,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de laval,Rennes,Espagne,12000,Aunes,0,0,0,,
116,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de Rouën,Rennes,Espagne,4500,Aunes,0,0,0,,
117,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de bretagne large,Rennes,Espagne,600,Pièces,0,0,0,,
118,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de bretagne étroite,Rennes,Espagne,1200,Pièces,0,0,0,,
119,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile crée large,Rennes,Espagne,50000,Aunes,0,0,0,,
120,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile rosconne,Rennes,Espagne,50000,Aunes,0,0,0,,
121,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de collon,Rennes,Espagne,8,Pièces,0,0,0,,
122,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Velour,Rennes,Espagne,3,Pièces,0,0,0,,
123,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Papier gris,Rennes,Portugal,1800,Rames,0,0,0,,
124,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Beuf salé,Rennes,Isles françoises de l'Amerique,5500,Livres,0,0,0,,
125,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Beure,Rennes,Isles françoises de l'Amerique,5000,Livres,0,0,0,,
126,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Farine,Rennes,Isles françoises de l'Amerique,2000,Livres,0,0,0,,
127,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Feves,Rennes,Isles françoises de l'Amerique,200,Boisseaux,0,0,0,,
128,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Fer en barres,Rennes,Isles françoises de l'Amerique,2000,Livres,0,0,0,,
129,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Lard,Rennes,Isles françoises de l'Amerique,30000,Livres,0,0,0,,
130,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Pois,Rennes,Isles françoises de l'Amerique,500,Boisseaux,0,0,0,,
131,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile royale,Rennes,Isles françoises de l'Amerique,25,Pièces,0,0,0,,
132,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile de Cambray,Rennes,Isles françoises de l'Amerique,25,Pièces,0,0,0,,
133,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Toile pigolles,Rennes,Isles françoises de l'Amerique,60,Pièces,0,0,0,,
134,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Vin,Rennes,Isles françoises de l'Amerique,10,Tonneaux,0,0,0,,
135,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Bas de soie,Rennes,Flandre autrichienne,123,Paires,0,0,0,,
136,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Cravattes noir,Rennes,Flandre autrichienne,100,Nombres,0,0,0,,
137,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Damas,Rennes,Flandre autrichienne,292,Pièces,0,0,0,,
138,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Eventails,Rennes,Flandre autrichienne,511,Nombres,0,0,0,,
139,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Fil blanc,Rennes,Flandre autrichienne,140,Livres,0,0,0,,
140,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Grisette,Rennes,Flandre autrichienne,282,Pièces,0,0,0,,
141,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Gorgorans,Rennes,Flandre autrichienne,3,Pièces,0,0,0,,
142,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Mouchoir de soye,Rennes,Flandre autrichienne,30,Pièces,0,0,0,,
143,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Satin,Rennes,Flandre autrichienne,3,Pièces,0,0,0,,
144,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Tafetas,Rennes,Flandre autrichienne,20,Pièces,0,0,0,,
145,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,5,Fevrier 1714,Tapis de satin,Rennes,Flandre autrichienne,1,Nombres,0,0,0,,
146,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,6,Mars 1714,Beure de Bretagne,Rennes,Angleterre,100,Livres,0,0,0,,
147,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,6,Mars 1714,Brai,Rennes,Angleterre,300,Livres,0,0,0,,
148,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,6,Mars 1714,Canevas,Rennes,Angleterre,1320,Aunes,0,0,0,,
149,Anthony Rebours,AD44 C706,Local - out/Rennes – Sorties – 1714.csv,Local,Exports,6,Mars 1714,Chenille de bois,Rennes,Angleterre,300,Nombres,0,0,0,,
