numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,sheet,marchandises,pays,value,quantit,quantity_unit,probleme,remarks,droitsunitaires
50,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuivre leton,Etats du Roy de Sardaigne,,.85,Quintaux,0,Mesure d'origine livre,"0,875"
51,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuivre et airain ouvré,Etats du Roy de Sardaigne,,.6,Quintaux,0,Mesure d'origine livre,5
52,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuirs,Etats du Roy de Sardaigne,,4,Pièces,0,,"0,238"
53,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuirs en poil,Etats du Roy de Sardaigne,,1,Quintaux,0,Mesure d'origine livre,"0,875"
54,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuirs de bœuf en poil,Etats du Roy de Sardaigne,,113,Pièces,0,,"0,238"
55,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuirs de bœufs tannés,Etats du Roy de Sardaigne,,.16,Quintaux,0,Mesure d'origine livre,"0,8"
56,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Cuirs de bœufs tannés,Etats du Roy de Sardaigne,,1,Quintaux,0,Mesure d'origine livre,"6,5"
57,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Chairs salées,Etats du Roy de Sardaigne,,5,Quintaux,0,Mesure d'origine livre,5
58,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",4,Chairs et poisson,Etats du Roy de Sardaigne,,1.57,Quintaux,0,Mesure d'origine livre,"1,038"
59,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cristaux ouvrés,Etats du Roy de Sardaigne,,.09,Quintaux,0,Mesure d'origine livre,400
60,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cristal taillé,Etats du Roy de Sardaigne,,.5,Livres,0,,4
61,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chapeaux,Etats du Roy de Sardaigne,,.25,Quintaux,0,Mesure d'origine livre,"0,5"
62,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chapeaux poil et laine,Etats du Roy de Sardaigne,,.6,Quintaux,0,Mesure d'origine livre,"3,113"
63,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chapeaux poil et laine,Etats du Roy de Sardaigne,,.2,Quintaux,0,Mesure d'origine livre,"6,225"
64,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chanvre en rame,Etats du Roy de Sardaigne,,3.85,Quintaux,0,Mesure d'origine livre,"0,338"
65,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chanvre cru,Etats du Roy de Sardaigne,,33.7,Quintaux,0,Mesure d'origine livre,"0,338"
66,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chaussures pour tisserand,Etats du Roy de Sardaigne,,15,Livres,0,Droits 5% de la valeur,0
67,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Chevilleres a tresser,Etats du Roy de Sardaigne,,.65,Quintaux,0,Mesure d'origine livre,"0,5"
68,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Colle forte,Etats du Roy de Sardaigne,,.3,Quintaux,0,Mesure d'origine livre,"0,5"
69,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Colle forte,Etats du Roy de Sardaigne,,2.5,Quintaux,0,Mesure d'origine livre,"0,5"
70,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Colle,Etats du Roy de Sardaigne,,2.8,Quintaux,0,Mesure d'origine livre,"0,9"
71,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Colles de toutes sortes,Etats du Roy de Sardaigne,,23,Quintaux,0,Mesure d'origine livre,"0,225"
72,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Confitures,Etats du Roy de Sardaigne,,.06,Quintaux,0,Mesure d'origine livre,2
73,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Confitures de miel,Etats du Roy de Sardaigne,,.25,Quintaux,0,Mesure d'origine livre,2
74,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cassonades,Etats du Roy de Sardaigne,,1.4,Quintaux,0,Mesure d'origine livre,15
75,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cotton fillé,Etats du Roy de Sardaigne,,3,Livres,0,,"0,025"
76,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cotton fillé,Etats du Roy de Sardaigne,,72.05,Quintaux,0,Mesure d'origine livre,3
77,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cadis,Etats du Roy de Sardaigne,,3,Pièces,0,,"0,5"
78,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cordes de chanvre,Etats du Roy de Sardaigne,,3,Quintaux,0,Mesure d'origine livre,"0,375"
79,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cendre commune,Etats du Roy de Sardaigne,,4.75,Caisses,0,,"0,5"
80,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cendre de verre,Etats du Roy de Sardaigne,,15.8,Quintaux,0,,"0,2"
81,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",5,Cendre de bois,Etats du Roy de Sardaigne,,213,Sacs,0,,"0,025"
82,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Cire moitié suif et moitié cire,Etats du Roy de Sardaigne,,.6,Quintaux,0,Mesure d'origine livre,4
83,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Cribles de bois,Etats du Roy de Sardaigne,,4.5,Douzaines,0,,"0,1"
84,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Chevaux,Etats du Roy de Sardaigne,,1,Nombres,0,,9
85,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Chevaux,Etats du Roy de Sardaigne,,2,Nombres,0,,9
86,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles,Etats du Roy de Sardaigne,,60,Livres,0,,"0,15"
87,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles,Etats du Roy de Sardaigne,,8,Livres,0,,"0,15"
88,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles,Etats du Roy de Sardaigne,,341,Livres,0,,"0,15"
89,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles,Etats du Roy de Sardaigne,,.18,Quintaux,0,Mesure d'origine livre,"2,075"
90,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles du Puy,Etats du Roy de Sardaigne,,.59,Quintaux,0,Mesure d'origine livre,"2,8"
91,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles grossieres,Etats du Roy de Sardaigne,,3.15,Quintaux,0,Mesure d'origine livre,2
92,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles grossieres,Etats du Roy de Sardaigne,,.7,Quintaux,0,Mesure d'origine livre,4
93,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Dentelles grossieres,Etats du Roy de Sardaigne,,11.66,Quintaux,0,Mesure d'origine livre,4
94,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Drogueries,Etats du Roy de Sardaigne,,2,Quintaux,0,Mesure d'origine livre,"5,125"
95,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Drogueries de toute sorte,Etats du Roy de Sardaigne,,11.53,Quintaux,0,Mesure d'origine livre,"3,55"
96,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Draperies,Etats du Roy de Sardaigne,,1.4,Quintaux,0,Mesure d'origine livre,"1,75"
97,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",6,Draps et mouchoirs de soye,Etats du Roy de Sardaigne,,.5,Livres,0,,3
98,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Eaux de liqueurs,Etats du Roy de Sardaigne,,1.25,Quintaux,0,Mesure d'origine livre,"1,5"
99,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Eaux de vie,Etats du Roy de Sardaigne,,21.39,Quintaux,0,Mesure d'origine livre,"3,113"
100,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Eau cordial,Etats du Roy de Sardaigne,,15,Livres,0,Droits 5% de la valeur,0
101,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Etain vieux,Etats du Roy de Sardaigne,,55,Livres,0,,"0,9"
102,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Etoffes et ouvrages de soye,Etats du Roy de Sardaigne,,32.49,Quintaux,0,Mesure d'origine livre,"11,833"
103,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Etoffes de soye fabriquées,Etats du Roy de Sardaigne,,1.6,Quintaux,0,Mesure d'origine livre,"6,225"
104,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Etoffes de soye et filoselle,Etats du Roy de Sardaigne,,17.16,Quintaux,0,Mesure d'origine livre,"5,163"
105,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Eguilles,Etats du Roy de Sardaigne,,25,Nombres,0,,20
106,Anthony Rebours,2C635,Local - out/Grenoble - Entrées - 1725-1726.csv,Local - out,1726 - 1725 à 1726,Imports,"Grenoble, Marseille et Lyon",7,Eguilles,Etats du Roy de Sardaigne,,4,Nombres,0,,1
