numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,problème,remarks,unit_price
32,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Chocolat,Etats du roi de Sardaigne,1316,493,Livre,1316,,0
33,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Cordes de violons,Etats du roi de Sardaigne,2892,482,Livre,0,,6
34,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Coton filé,Etats du roi de Sardaigne,135,45,Livre,0,,3
35,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Coton filé,Etats du roi de Sardaigne,86034,28678,Livre,0,,3
36,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Cuirs divers,Etats du roi de Sardaigne,1016,,Valeur,,,0
37,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Cuivres divers,Etats du roi de Sardaigne,127,,Valeur,,,0
38,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Draperie draps divers;,Etats du roi de Sardaigne,1016,,Valeur,,,0
39,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Draperie draps divers; De Languedoc velour,Etats du roi de Sardaigne,1035,115,Livre,0,,9
40,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Draperiedraps divers; De Sedan velour,Etats du roi de Sardaigne,2484,207,Livre,0,,12
41,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Draperie draps divers; D'Elbeuf velour,Etats du roi de Sardaigne,1180,118,Livre,0,,10
42,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Drogueries médicinales;,Etats du roi de Sardaigne,777,,Valeur,,,0
43,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Drogueries médicinales;,Suisse,386,,Valeur,,,0
44,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Drogueries médicinales; Pour peinture et teinture diverses,Etats du roi de Sardaigne,449,,Valeur,,,0
45,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Drogueries médicinales; Pour peinture et teinture diverses,Suisse,376,,Valeur,,,0
46,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,2,Drogueries médicinales; Pour peinture et teinture noix de Galles,Etats du roi de Sardaigne,32714,"436,21",Quintal,"-1,75",Unité d'origine livre,75
47,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Epicerie noix muscade,Etats du roi de Sardaigne,381,"31,75",Livre,0,,12
48,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Epicerie noix muscade,Suisse,288,24,Livre,0,,12
49,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Estampes,Etats du roi de Sardaigne,406,61,Livre,40,,6
50,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De coton; velours; retour,Etats du roi de Sardaigne,600,50,Livre,0,,12
51,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De laine; diverse; retour,Etats du roi de Sardaigne,1182,,Valeur,,,0
52,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De laine; camelot; panne,Etats du roi de Sardaigne,450,45,Livre,0,,10
53,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De soye; panne,Etats du roi de Sardaigne,8195,149,Livre,0,,55
54,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De soye,Etats du roi de Sardaigne,1237,"24,75",Livre,"-0,5",,50
55,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De soye; velours,Etats du roi de Sardaigne,32298,"717,75",Livre,"-0,75",,45
56,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De soye; brodée en dorure,Etats du roi de Sardaigne,3800,38,Livre,0,,100
57,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; Laine et coton; retour,Etats du roi de Sardaigne,2900,290,Livre,0,,10
58,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; Laine et soye,Etats du roi de Sardaigne,470,47,Livre,0,,10
59,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; Soye et dorure,Etats du roi de Sardaigne,5580,62,Livre,0,,90
60,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Etoffes; De soye; brodée en soye; retour,Etats du roi de Sardaigne,1640,"20,5",Livre,0,,80
61,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Farine de froment,Etats du roi de Sardaigne,5177,"225,07",Quintal,"0,39",Unité d'origine livre,23
62,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Fils de chanvre divers,Etats du roi de Sardaigne,567,,Valeur,,,0
63,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Fromage,Etats du roi de Sardaigne,5552,"111,15",Quintal,"-5,5",Unité d'origine livre,50
64,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Fromage,Suisse,836,"16,73",Quintal,"-0,5",Unité d'origine livre,50
65,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Fruits divers;,Etats du roi de Sardaigne,654,,Valeur,,,0
66,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Fruits divers; Secs noisettes,Etats du roi de Sardaigne,10920,"312,02",Quintal,"-0,7",Unité d'origine livre,35
67,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Gants de peaux,Etats du roi de Sardaigne,312,26,Douzaine,0,,12
68,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Gaze de soye crêpe,Etats du roi de Sardaigne,132500,"3312,5",Livre,0,,40
69,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Grains; Avoine,Etats du roi de Sardaigne,1136,142,Quintal,0,Unité d'origine livre,8
70,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Grains; Froment,Etats du roi de Sardaigne,5836,"364,8",Quintal,"-0,8",Unité d'origine livre,16
71,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Grains; Ris,Etats du roi de Sardaigne,259568,"11798,57",Quintal,"-0,54",Unité d'origine livre,22
72,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Grains; Seigle,Etats du roi de Sardaigne,337,"33,7",Quintal,0,Unité d'origine livre,10
73,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Graine de treffle,Etats du roi de Sardaigne,964,"27,57",Quintal,"-0,95",Unité d'origine livre,35
74,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Habillements,Etats du roi de Sardaigne,660,,Valeur,,,0
75,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Horlogerie diverse,Suisse,1774,,Valeur,,,0
76,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Instruments de musique divers,Etats du roi de Sardaigne,150,,Valeur,,,0
77,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Instruments de musique divers,Suisse,280,,Valeur,,,0
78,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Legumes divers,Etats du roi de Sardaigne,182,,Valeur,,,0
79,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Librairie,Etats du roi de Sardaigne,1988,994,Livre,0,,2
80,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Librairie,Suisse,150,75,Livre,0,,2
81,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Lingerie,Etats du roi de Sardaigne,298,,Valeur,,,0
82,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Lingerie,Suisse,524,,Valeur,,,0
83,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,3,Linge vieux pour papier,Etats du roi de Sardaigne,1962,"392,54",Quintal,"-0,7",Unité d'origine Livre,5
84,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Liqueur,Etats du roi de Sardaigne,1330,"1329,5",Livre,"0,5",,1
85,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Marchandises à la valeur,Etats du roi de Sardaigne,2236,,Valeur,,,0
86,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Marchandises à la valeur,Venise,100,,Valeur,,,0
87,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Marchandises à la valeur,Suisse,809,,Valeur,,,0
88,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Mercerie diverse;,Etats du roi de Sardaigne,1060,,Valeur,,,0
89,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Mercerie diverse; Mêlée,Etats du roi de Sardaigne,850,294,Livre,850,,0
90,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Meubles,Etats du roi de Sardaigne,291,,Valeur,,,0
91,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Orphevrerie vaisselle d'argent,Etat Eclésiastique,1450,29,Marca,0,,50
92,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Ouvrages divers;,Etats du roi de Sardaigne,860,,Valeur,,,0
93,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Ouvrages divers; De bois,Etats du roi de Sardaigne,671,,Valeur,,,0
94,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Papier de musique,Etats du roi de Sardaigne,838,"335,5",Livre,"-0,75",,"2,5"
95,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Peaux diverses;,Etats du roi de Sardaigne,749,,Valeur,,,0
96,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Peaux diverses; de chevres en poil,Etats du roi de Sardaigne,19896,536,Douzaine,19896,,0
97,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Pelletterie diverse,Etats du roi de Sardaigne,212,,Valeur,,,0
98,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Pierres diverses,Etats du roi de Sardaigne,575,,Valeur,,,0
99,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Platre moulu,Etats du roi de Sardaigne,391,"19,56",Quintal,"-0,2",Unité d'origine Livre,20
100,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Plomb,Etats du roi de Sardaigne,278,"9,28",Quintal,"-0,4",Unité d'origine Livre,30
101,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Plumes; D'autruches blanches,Etats du roi de Sardaigne,7166,"477,75",Livre,"-0,25",,15
102,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Plumes; D'autruches apprêtées,Etats du roi de Sardaigne,160,2,Livre,0,,80
103,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Plumes; Noires,Etats du roi de Sardaigne,933,933,Livre,0,,1
104,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Poissons blancs,Etats du roi de Sardaigne,1914,"63,8",Quintal,0,Unité d'origine Livre,30
105,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Quincaillerie diverse,Suisse,1290,,Valeur,,,0
106,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Ruban de fleuret;,Suisse,3565,"178,25",Livre,0,,20
107,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Grenoble.csv,National par direction,1789,Imports,Grenoble,Pont de Beauvoisin,4,Ruban de fleuret; De soye,Suisse,12048,"267,5",Livre,"10,5",,45
