dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Chevres,Etats du roi de Sardaigne,"1 524,00","127,00",Nombre,,"0,00","12,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Chevres,Etats du roi de Sardaigne,"16 641,00","1 849,00",Nombre,,"0,00","9,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bestiaux; Chevres,Sardaigne,"9 108,00","1 012,00",Nombre,,"0,00","9,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Cochons,Etats du roi de Sardaigne,"891,00","27,00",Nombre,,"0,00","33,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bestiaux; Cochons petits,Sardaigne,"10 540,00","620,00",Nombre,,"0,00","17,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Divers,Etats du roi de Sardaigne,"462,00",,Valeur,,"462,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Divers,Etats du roi de Sardaigne,"1 118,00",,Valeur,,"1 118,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bestiaux; Divers,Sardaigne,"1 498,00",,Valeur,,"1 498,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Moutons,Etats du roi de Sardaigne,"49 920,00","3 328,00",Nombre,,"0,00","15,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Moutons,Etats du roi de Sardaigne,"37 740,00","3 145,00",Nombre,,"0,00","12,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bestiaux; Moutons,Sardaigne,"47 820,00","4 782,00",Nombre,,"0,00","10,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Taureaux,Etats du roi de Sardaigne,"1 740,00","60,00",Nombre,,"0,00","29,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Bestiaux; Vaches,Etats du roi de Sardaigne,"1 368,00","19,00",Nombre,,"0,00","72,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Vaches,Etats du roi de Sardaigne,"4 800,00","80,00",Nombre,,"0,00","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Bestiaux; Veaux,Etats du roi de Sardaigne,"2 070,00","115,00",Nombre,,"0,00","18,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Beurre,Etats du roi de Sardaigne,"298,00","9,95",Quintal,Unité d'origine Livre,"-0,50","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Beurre,Sardaigne,"566,00","944,00",Livre,,"-0,40","0,6000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Bierre,Marseille,"157,00","10,89",Quintal,Unité d'origine Livre,"0,18","14,4000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bierre,Marseille,"135,00","450,00",Bouteille,,"0,00","0,3000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bierre,Sardaigne,"129,00","430,00",Bouteille,,"0,00","0,3000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bijouterie,Marseille,"2 000,00",,Valeur,,"2 000,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Bois divers,Marseille,"382,00",,Valeur,,"382,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Bois à mats,Marseille,"400,00","8,00",Nombre,,"0,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bois; Cercles,Gênes,"105,00","5 270,00",Nombre,,"105,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bois; Cercles,Sardaigne,"1 340,00","50 500,00",Nombre,"Plus 19,5 Charge","1 340,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bois; De Campêche,Marseille,"1 185,00","39,51",Quintal,Unité d'origine Livre,"-0,30","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bois; De construction; Divers,Sardaigne,"1 968,00",,Valeur,,"1 968,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bois; Pour peinture et teinture,Marseille,"336,00",,Valeur,,"336,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bonnetterie de fil bas,Sardaigne,"660,00","264,00",Nombre,Unité d'origine Douzaine,"0,00","2,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Bray ? Divers,Marseille,"120,00","8,00",Quintal,Unité d'origine Livre,"0,00","15,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Bray goudron ?,Marseille,"747,00","99,00",Quintal,Unité d'origine Livre,"4,50","7,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cartes à jouer,Marseille,"4 440,00","1 850,00",,,"0,00","2,4000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cendre barille en pierre,Espagne,"18 676,00","1 334,00",Quintal,Unité d'origine Livre,"0,00","14,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cendre barille en pierre,Marseille,"42 742,00","3 053,06",Quintal,Unité d'origine Livre,"-0,84","14,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Cendre soude,Marseille,"24 918,00","1 311,47",Quintal,Unité d'origine Livre,"0,07","19,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chair de porc,,"180,00","120,00",Livre,,"0,00","1,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chair de porc,Marseille,"153,00","102,00",Livre,,"0,00","1,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chair de porc,Naples Sicile Parmes,"183,00","3,05",Quintal,Unité d'origine Livre,"0,00","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Barcelonette,13,Chanvre,Etats du roi de Sardaigne,"7 555,00","151,10",Quintal,Unité d'origine Livre,"0,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Chanvre brut,Marseille,"234,00",,Valeur,,"234,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Chanvre brut,Sardaigne,"13 060,00","326,50",Quintal,Unité d'origine Livre,"0,00","40,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chanvre en masse,Gênes,"14 736,00","368,40",Quintal,Unité d'origine Livre,"0,00","40,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chanvre en masse,Portugal,"6 960,00","174,00",Quintal,Unité d'origine Livre,"0,00","40,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chanvre en masse,Sardaigne,"46 160,00","1 154,00",Quintal,Unité d'origine Livre,"0,00","40,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chanvre peigné,Gênes,"608,00","10,13",Quintal,Unité d'origine Livre,"0,20","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chanvre peigné,Marseille,"17 639,00","293,98",Quintal,Unité d'origine Livre,"0,20","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chanvre peigné,Sardaigne,"776,00","12,93",Quintal,Unité d'origine Livre,"0,20","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Chanvre; Cru,Etats du roi de Sardaigne,"928,00","29,00",Quintal,Unité d'origine Livre,"0,00","32,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Chanvre; Cru,Marseille,"768,00","24,00",Quintal,Unité d'origine Livre,"0,00","32,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Crue,Etats Ecclésiastiques,"14 472,00","402,00",Quintal,Unité d'origine Livre,"0,00","36,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Crue,Marseille,"185 531,00","5 153,63",Quintal,Unité d'origine Livre,"0,32","36,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Crue,Milanes Toscane,"4 320,00","120,00",Quintal,Unité d'origine Livre,"0,00","36,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Crue,Sardaigne,"41 719,00","1 158,67",Quintal,Unité d'origine Livre,"6,88","36,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Crue,Venise,"54 000,00","1 500,00",Quintal,Unité d'origine Livre,"0,00","36,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Chanvre; Peigné,Marseille,"657,00","10,95",Quintal,Unité d'origine Livre,"0,00","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Peigné,Marseille,"15 229,00","190,36",Quintal,Unité d'origine Livre,"0,20","80,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Chanvre; Peigné,Sardaigne,"2 652,00","33,15",Quintal,Unité d'origine Livre,"0,00","80,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Chapeaux poil et laine,Marseille,"2 184,00","26,00",Douzaine,,"0,00","84,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Chapeaux poil et laine,Marseille,"2 118,00","27,00",Douzaine,Plus 2 nombre,"12,00","78,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Charbon terre,Marseille,"227,00","150,00",Quintal,Unité d'origine Livre,"2,00","1,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Charbon terre,Milanes Toscane,"3 004,00","2 003,00",Quintal,Unité d'origine Livre,"-0,50","1,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cheveux,Marseille,"108,00","18,00",Livre,,"0,00","6,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cire jaune,Marseille,"1 824,00","1 459,00",Livre,,"0,25","1,2500000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cire; D'Espagne,Marseille,"120,00","20,00",Livre,,"0,00","6,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cire; Jaune,Corse,"270,00","1,51",Quintal,Unité d'origine Livre,"-1,80","180,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cire; Jaune,Marseille,"19 418,00","107,88",Quintal,Unité d'origine Livre,"-0,40","180,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Colle forte,Marseille,"216,00","3,60",Quintal,Unité d'origine Livre,"0,00","60,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Confitures,Gênes,"171,00","228,00",Livre,,"0,00","0,7500000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Confitures,Marseille,"689,00","689,00",Livre,,"0,00","1,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Confitures,Marseille,"117,00","1,17",Quintal,Unité d'origine Livre,"0,00","100,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cordage; De chanvre,Sardaigne,"1 059,00","21,18",Quintal,Unité d'origine Livre,"0,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cordage; Herbe,Marseille,"600,00","12,00",Quintal,Unité d'origine Livre,"0,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Cordages,Marseille,"466,00","13,33",Quintal,Unité d'origine Livre,"-0,55","35,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Cordages,Sardaigne,"1 050,00","35,00",Quintal,Unité d'origine,"0,00","30,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cordages;,Marseille,"6 897,00","172,42",Quintal,Unité d'origine Livre,"0,20","40,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cordages; Vieux,Corse,"928,00","232,00",Quintal,Unité d'origine Livre,"0,00","4,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cordages; Vieux,Marseille,"366,00","91,44",Quintal,Unité d'origine Livre,"0,24","4,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cordes; De boyaux,Sardaigne,"1 600,00","50,00",Livre,,"0,00","32,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cordes; Pour violons,Etats Ecclésiastiques,"2 604,00","217,00",Livre,,"0,00","12,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cordes; Pour violons,Sardaigne,"3 624,00","302,00",Livre,,"0,00","12,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cornes en feuilles,Marseille,"1 260,00","140,00",Livre,,"0,00","9,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Coton filé,Marseille,"645,00","322,50",Livre,,"0,00","2,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Coton filé;,Marseille,"11 592,00","3 864,00",Livre,,"0,00","3,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Coton filé; En laine,Marseille,"1 215,00","1 012,00",Livre,,"0,60","1,2000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Coton; En laine,Marseille,"2 995,00","1 997,00",Livre,,"-0,50","1,5000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Coton; Filé,Marseille,"38 912,00","9 728,00",Livre,,"0,00","4,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cuirs de bufle en poil,Corse,"185,00","3,50",Quintal,Unité d'origine Livre,"10,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Cannes,8,Cuirs de bufle en poil,Marseille,"119 018,00","2 380,35",Quintal,Unité d'origine Livre,"0,50","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Tropez,2,Cuirs de bœufs,Marseille,"5 480,00","109,60",Quintal,Unité d'origine,"0,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Entreveaux,15,Cuirs de cheval en poil,Etats du roi de Sardaigne,"105,00","15,00",Nombre,,"0,00","7,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,St Rapheau,5,Cuirs en poil d'Amérique d'Afrique et de Barbari,Marseille,"11 913,00","2 317,00",Nombre,Conversion 2317 pièces en 14658,"11 913,00","0,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cuirs; ? En poil,Marseille,"4 600,00","92,00",Nombre,,"0,00","50,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cuirs; De bœuf en poil,Marseille,"8 580,00","429,00",Nombre,,"0,00","20,0000000"
Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Toulon.csv,National par direction,1789,Importations,Toulon,Toulon,17,Cuirs; De bœuf en poil,Marseille,"1 400,00","70,00",Nombre,,"0,00","20,0000000"
