numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problème,unit_price
19,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Etoupe noire,Marseille,175,"21,58",Quintal,Unité d'origine Livre,"2,36",8
20,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fayence,Marseille,120,3,Quintal,Unité d'origine Livre,0,40
21,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fayence,Gênes,5075,145,Quintal,Unité d'origine Livre,0,35
22,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fer blanc en feuilles,Marseille,651,651,Livre,,0,1
23,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fruits; Divers,Espagne,174,,Valeur,,174,0
24,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fruits; Divers,Gênes,294,,Valeur,,294,0
25,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fruits; Verts; Oranges,Espagne,10350,345000,Nombre,Prix unitaire pour mille en Nombre,-10339650,30
26,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fruits; Secs; Divers,Marseille,410,,Valeur,,410,0
27,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fruits; Secs; Figues,Marseille,3864,"154,56",Quintal,Unité d'origine Livre,0,25
28,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Fruits; Secs; Raisin,Marseille,999,"49,98",Quintal,Unité d'origine Livre,"-0,6",20
29,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Graines diverses; Bled,Marseille,18853,1109,Quintal,Unité d'origine Livre,0,17
30,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Graines diverses; Ris,Marseille,2378,"132,13",Quintal,Unité d'origine Livre,"-0,34",18
31,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Graines diverses; Ris,Gênes,642,"35,7",Quintal,Unité d'origine Livre,"-0,6",18
32,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Huile d'olive,Marseille,816,"10,21",Quintal,Unité d'origine Livre,"203,4",60
33,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Laine lavée;,Marseille,2309,"28,87",Quintal,Unité d'origine Livre,"-0,6",80
34,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Laine lavée; Surge,Marseille,4084,"58,34",Quintal,Unité d'origine Livre,"0,2",70
35,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Légumes; Ail,Marseille,2713,"67,84",Quintal,Unité d'origine Livre,"-0,6",40
36,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Légumes; Feves,Marseille,61248,5568,Quintal,Unité d'origine Livre,0,11
37,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Légumes; Haricots,Marseille,2550,170,Quintal,,0,15
38,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Liqueur,Marseille,305,305,Livre,,0,1
39,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Marchandises diverses,Marseille,839,,Valeur,,839,0
40,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Marchandises diverses,Gênes,836,,Valeur,,836,0
41,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Meubles,Espagne,2000,,Valeur,,2000,0
42,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Mortiers de pierre,Gênes,240,400,Nombre,Prix unitaire exprimé en pourcentage du nombre,-23760,60
43,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Ouvrage; D'auffe,Marseille,1823,,Valeur,,1823,0
44,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Ouvrage; D'auffe,Espagne,437,,Valeur,,437,0
45,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Ouvrage; De terre cuite,Marseille,245,,Valeur,,245,0
46,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Pate vermissel,Marseille,157,"6,3",Quintal,Unité d'origine Livre,"-0,5",25
47,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Plomb en barres,Marseille,209,"7,75",Quintal,Unité d'origine Livre,"-0,25",27
48,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Poterie de terre,Marseille,2700,135,Quintal,Unité d'origine Livre,0,20
49,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Poissons; Anchoix,Marseille,1625,30,Quintal,Plus 25 Barils a 5 Lt le Baril / Unité d'origine Livre et Baril,125,50
50,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Poissons; Anchoix,Gênes,300,6,Quintal,Unité d'origine Livre,0,50
51,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Poissons; Divers,Marseille,500,,Valeur,,500,0
52,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Poissons; Morue,Marseille,28004,"700,12",Quintal,Unité d'origine Livre,"-0,8",40
53,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Savon,Marseille,46255,"925,11",Quintal,Unité d'origine Livre,"-0,5",50
54,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Souffre en fanon,Marseille,250,"27,86",Quintal,Unité d'origine Livre,"-0,74",9
55,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Sucre; Terré,Marseille,2461,"30,78",Quintal,Unité d'origine Livre,"-1,4",80
56,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Sucre; Vergeoise,Marseille,2698,"44,97",Quintal,Unité d'origine Livre,"-0,2",60
57,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Narbonne,2,Suif,Marseille,206,"5,15",Quintal,Unité d'origine Livre,0,40
58,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Acier brut,Marseille,291,582,Livre,,0,"0,5"
59,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Amandes,Marseille,2851,"62,36",Quintal,Unité d'origine Livre,"44,8",45
60,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Amidon,Marseille,2117,"70,57",Quintal,Unité d'origine Livre,"-0,1",30
61,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Balais de palme,Marseille,220,440,Douzaine,,0,"0,5"
62,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Bois; Pour teinture; D'inde,Marseille,403,"26,91",Quintal,Unité d'origine Livre,"-0,65",15
63,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Bois; De Santal,Marseille,137,"2,75",Quintal,Unité d'origine Livre,"-0,5",50
64,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Bray ? Goudron;,Marseille,304,"33,86",Quintal,Unité d'origine Livre,"-0,74",9
65,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Bray ? Goudron; Résine,Marseille,213,"14,26",Quintal,Unité d'origine Livre,"-0,9",15
66,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cacao,Marseille,9133,"91,33",Quintal,Unité d'origine Livre,0,100
67,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Chairs salées,Marseille,918,"6,12",Quintal,Unité d'origine Livre,0,150
68,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Chanvre; Brut,Marseille,489,"16,31",Quintal,Unité d'origine Livre,"-0,3",30
69,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Chanvre; Peigné,Marseille,6969,"183,41",Quintal,Unité d'origine Livre,"-367,4",40
70,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Chapeaux de laine,Marseille,288,4,Douzaine,,0,72
71,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cire; En bougie,Marseille,314,"1,57",Quintal,Unité d'origine Livre,0,200
72,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cire; En graisse,Marseille,985,"24,64",Quintal,Unité d'origine Livre,"-0,6",40
73,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cire; Jaune,Marseille,3973,"33,11",Quintal,Unité d'origine Livre,"-0,2",120
74,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Colle forte,Marseille,214,"4,29",Quintal,Unité d'origine Livre,"-0,5",50
75,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cordes de jonc,Marseille,4635,"386,33",Quintal,Unité d'origine Livre,"-0,96",12
76,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Coton filé;,Marseille,6033,2011,Livre,,0,3
77,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Coton filé; En laine,Marseille,2598,1732,Livre,,0,"1,5"
78,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cuire en poil,Marseille,272,34,Nombre,,0,8
79,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Cuivre brut,Marseille,100,"1,25",Quintal,Unité d'origine Livre,0,80
80,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Drogues; Médicinales; Diverses,Marseille,1292,,Valeur,,1292,0
81,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Drogues; Médicinales; Manne,Marseille,1173,"9,78",Quintal,Unité d'origine Livre,"-0,6",120
82,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Drogues; Métalliques et chimiques; Diverses,Marseille,489,,Valeur,,489,0
83,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Drogues; Pour peinture et teinture; Diverses,Marseille,2521,,Valeur,,2521,0
84,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Epiceries; Diverses,Marseille,252,,Valeur,,252,0
85,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Epiceries; Girofle,Marseille,4428,369,Livre,,0,12
86,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Epiceries; Poivre,Marseille,10288,"102,88",Quintal,Unité d'origine Livre,0,100
87,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Etain en verges,Marseille,618,"4,09",Quintal,Unité d'origine Livre,"4,5",150
88,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Fer; Blanc,Marseille,852,"14,2",Quintal,Unité d'origine Livre,0,60
89,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Fer; En tôle,Marseille,103,"6,92",Quintal,Unité d'origine Livre,"-0,8",15
90,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,4,Fromage,Marseille,5380,"89,68",Quintal,Unité d'origine Livre,"-0,8",60
91,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Fruits; Divers,Marseille,868,,Valeur,,868,0
92,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Fruits; Secs; Figues,Marseille,984,"65,66",Quintal,Unité d'origine Livre,"-0,9",15
93,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Fruits; Verts; Oranges,Marseille,1060,26500,Nombre,Prix unitaire pour mille en nombre,-1058940,40
94,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Gomme arabique,Marseille,126,"0,78",Quintal,Unité d'origine Livre,"4,32",156
95,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Grains; Froment,Milanès Toscane et Lucynes,20326,"1354,67",Quintal,Unité d'origine Livre,"-1348,72",16
96,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Grains; Seigle,Gênes,3636,303,Quintal,Unité d'origine Livre,0,12
97,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Grains; Ris,Marseille,13246,"602,11",Quintal,Unité d'origine Livre,"-0,42",22
98,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Grains; Ris,Gênes,2090,95,Quintal,Unité d'origine Livre,0,22
99,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Huiles; Diverses,Marseille,329,,Valeur,,329,0
100,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Huiles; D'olive,Marseille,2418,"32,25",Quintal,Unité d'origine Livre,"-0,75",75
101,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Laine lavée,Marseille,5375,5375,Livre,,0,1
102,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Legumes,Marseille,928,14274,Livre,,928,0
103,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Lin peigné,Marseille,254,"2,54",Quintal,Unité d'origine Livre,0,100
104,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Liqueurs,Marseille,158,"3,97",Quintal,Unité d'origine Livre,"-0,8",40
105,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Marchandises à la valeur,Marseille,961,,Valeur,,961,0
106,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Marchandises à la valeur,Espagne,114,,Valeur,,114,0
107,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Mercerie,Marseille,1718,859,Livre,,0,2
108,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Ouvrages; De terre,Marseille,854,122,Grosse,,0,7
109,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Ouvrages; De thuilles,Marseille,400,10000,Nombre,Prix unitaire pour mille en nombre,-399600,40
110,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Parfumerie poudre,Marseille,420,"10,52",Quintal,Unité d'origine Livre,"104,4",30
111,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Papier à écrire,Marseille,2747,"68,68",Quintal,Unité d'origine Livre,"-0,2",40
112,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Peaux de moutons maroquinées,Marseille,198,11,Douzaine,,0,18
113,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Poissons; Harengs,Marseille,3852,"77,05",Quintal,Unité d'origine Livre,"-0,5",50
114,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Narbonne.csv,National par direction,1789,Imports,Narbonne,Collioure,5,Poissons; Morue,Marseille,75643,"3782,16",Quintal,Unité d'origine Livre,"-0,2",20
