numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,unit_price,Valeur en livres tournois,valeur en sous,valeur en denier,value,Valeur calculée (avec prix),probleme,Remarques
16,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Fer en paquets,Suède,"6 120,00",Livres,,,,,"1 824,00",,,"1 824,00",,,pas de prix
17,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Fer en tole,Suède,"335,00",Livres,"0,40",,,"0,4000000","134,00",,,"134,00","134,00","0,00",40 livres le quintal
18,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Fromage,Hollande,"300,00",Livres,"0,60",,,"0,6000000","180,00",,,"180,00","180,00","0,00",60 livres le quintal
19,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Grains comestibles,Marseille,"1 818,00",Livres,"0,30",,,"0,3000000","545,00",,,"545,00","545,40","-0,40",30 livres le quintal
20,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Graine de lin,Dunkerque,"24,00",Sac,"80,00",,,"80,0000000","1 920,00",,,"1 920,00","1 920,00","0,00",
21,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Habillements divers,Angleterre,,,,,,,"170,00",,,"170,00",,,
22,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Laine filée,Angleterre,"121,00",Livres,"3,00","15,00",,"3,7500000","453,00",,,"453,00","453,75","-0,75",
23,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Laine non filée,Bayonne,"150,00",Livres,,"50,00",,"2,5000000","375,00",,,"375,00","375,00","0,00",
24,Loïc Charles,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Laine non filée,Angleterre,"2 165,00",Livres,,"50,00",,"2,5000000","5 412,00",,,"5 412,00","5 412,50","-0,50",
25,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Laine en poil,Angleterre,"2 259,00",Livres,,"34,00",,"1,7000000","3 940,00",,,"3 940,00","3 840,30","99,70",
26,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Liège en Planche,Marseille,"5 500,00",Livres,"0,09",,,"0,0900000","495,00",,,"495,00","495,00","0,00",9 livres le quintal
27,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,,Marchandises à la valeur,Petites isles,,,,,,,"203,00",,,"203,00",,,
28,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Marchandises à la valeur,Marseille,,,,,,,"120,00",,,"120,00",,,
29,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Marbre,Marseille,,,,,,,"1 540,00",,,"1 540,00",,,
30,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Plomb en saumon,Angleterre,"1 300,00",Livres,"0,30",,,"0,3000000","390,00",,,"390,00","390,00","0,00",
31,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Huitres,Angleterre,"140 000,00",Livres,,"0,20",,"0,0100000","1 400,00",,,"1 400,00","1 400,00","0,00",19 sous le quintal
32,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Sel,Petites isles,"670 200,00",Livres,,"0,20",,"0,0100000","6 702,00",,,"6 702,00","6 702,00","0,00",20 sous le quintal
33,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Souffre en canon,Marseille,"1 042,00",Livres,"0,20",,,"0,2000000","208,00",,,"208,00","208,40","-0,40",20 livres le quintal
34,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Terrerie,Marseille,,,,,,,"348,00",,,"348,00",,,
35,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Vin,Espagne,"500,00",Pintes,,,,,"250,00",,,"250,00",,,
36,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Vinaigre,Petites isles,"2 604,00",Pintes,,"2,00",,"0,1000000","246,00",,,"246,00","260,40","-14,40",erreur de calcul
37,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Le Légué et dépendances,3,Ustensiles pour la pêche,Angleterre,,,,,,,"520,00",,,"520,00",,,
38,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Acier,Hollande,"12 820,00",Livres,"0,35",,,"0,3500000","4 487,00",,,"4 487,00","4 487,00","0,00",35 livres le quintal
39,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Acier,Suède,"197 420,00",Livres,"0,35",,,"0,3500000","69 097,00",,,"69 097,00","69 097,00","0,00",36 livres le quintal
40,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Amandes en coques,Marseille,"20 999,00",Livres,"0,50",,,"0,5000000","10 499,00",,,"10 499,00","10 499,50","-0,50",50 livres le quintal
41,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Amandes cassées,Marseille,"887,00",Livres,"0,60",,,"0,6000000","532,00",,,"532,00","532,20","-0,20",60 livres le quintal
42,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Armes à feu,Hollande,"300,00",Livres,"10,00",,,"10,0000000","3 000,00",,,"3 000,00","3 000,00","0,00",
43,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Balais de riz,Marseille,"536,00",Nombre,,"4,00",,"0,2000000","107,00",,,"107,00","107,20","-0,20",
44,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bêtes de sommes ; cheveaux,Angleterre,"2,00",Nombre,,,,,"192,00",,,"192,00",,,
45,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bierre,Hollande,"83 250,00",Pintes,,,,,"9 990,00",,,"9 990,00",,,
46,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois de teinture moulu,Hollande,"1 355,00",Livres,"0,20",,,"0,2000000","271,00",,,"271,00","271,00","0,00",20 Livres le quintal
47,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois divers de contruction,Danemark,,,,,,,"3 987,00",,,"3 987,00",,,
48,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois divers de contruction,Suède,,,,,,,"816,00",,,"816,00",,,
49,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois divers de contruction,Russie et Courlande,,,,,,,"864,00",,,"864,00",,,
50,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois en aviron,Angleterre,"150,00",Pièces,,"30,00",,"1,5000000","225,00",,,"225,00","225,00","0,00",
51,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois en aviron,Danemark,"228,00",Pièces,,"30,00",,"1,5000000","342,00",,,"342,00","342,00","0,00",
52,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois de chêne en planches,Les 4 villes anséatiques,"1 757,00",Livres,,,,,"6 811,00",,,"6 811,00",,,
53,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Espagne,"88,00",Livres,,,,,"132,00",,,"132,00",,,
54,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Hollande,"2 494,00",,,,,,"3 741,00",,,"3 741,00",,,
55,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Danemark,"17 824,00",,,,,,"36 736,00",,,"36 736,00",,,
56,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bois du sapin en planches,Suède,"28 148,00",,,,,,"42 222,00",,,"42 222,00",,,
57,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bonneterie de coton,Angleterre,,,,,,,"6 692,00",,,"6 692,00",,,
58,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bonneterie de laine,Angleterre,,,,,,,"116 736,00",,,"116 736,00",,,
59,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Bray sec,Angleterre,"27 300,00",Livres,"0,10",,,"0,1000000","2 730,00",,,"2 730,00","2 730,00","0,00",
60,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Goudron,Suède,"350 100,00",Livres,"0,07",,,"0,0666667","23 340,00",,,"23 340,00","23 340,00","0,00",
61,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cauris,L'Orient,"72 300,00",Livres,,"20,00",,"1,0000000","72 300,00",,,"72 300,00","72 300,00","0,00",
62,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cauris,Hollande,"25 020,00",Livres,,"20,00",,"1,0000000","25 020,00",,,"25 020,00","25 020,00","0,00",
63,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Caves garnies en flacons,Hollande,"3 700,00",Nombre,"4,00",,,"4,0000000","14 800,00",,,"14 800,00","14 800,00","0,00",
64,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Chairs salées,Hollande,"458,00",Livres,,"14,00",,"0,7000000","321,00",,,"321,00","320,60","0,40",
65,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Viande fumée,Suède,"500,00",Livres,"0,30",,,"0,3000000","150,00",,,"150,00","150,00","0,00",30 livres le quintal
66,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Chanvre,Hollande,"16 000,00",Livres,"0,40",,,"0,4000000","6 400,00",,,"6 400,00","6 400,00","0,00",40 livres le quintal
67,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Chanvre,Etats du roi,"144 754,00",Livres,"0,40",,,"0,4000000","57 902,00",,,"57 902,00","57 901,60","0,40",40 livres le quintal
68,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Chanvre,Russie et Courlande,"176 100,00",Livres,"0,40",,,"0,4000000","70 440,00",,,"70 440,00","70 440,00","0,00",40 livres le quintal
69,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Charbon de terre,Angleterre,"498 000,00",Livres,,,,,"9 960,00",,,"9 960,00",,,
70,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cordages,Espagne,"4 500,00",Livres,"0,35",,,"0,3500000","1 575,00",,,"1 575,00","1 575,00","0,00",35 livres le quintal
71,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Coton en laine,Marseille,"23 017,00",Livres,"1,30",,,"1,3000000","29 922,00",,,"29 922,00","29 922,10","-0,10",130 livres le quintal
72,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Coton filé,Marseille,"972,00",Livres,"5,00",,,"5,0000000","4 860,00",,,"4 860,00","4 860,00","0,00",
73,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Couteaux flamand,Hollande,"300,00",Douzaines,,"50,00",,"2,5000000","750,00",,,"750,00","750,00","0,00",
74,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Couvertures de laine,Angleterre,,,,,,,"262,00",,,"262,00",,,
75,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cuivre en pain,Angleterre,"520,00",Livres,"1,00",,,"1,0000000","520,00",,,"520,00","520,00","0,00",
76,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cuivre en bassin,Hollande,"525,00",Livres,,"30,00",,"1,5000000","787,00",,,"787,00","787,50","-0,50",
77,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cuivre en fond,Hollande,"450,00",Livres,,"28,00",,"1,4000000","630,00",,,"630,00","630,00","0,00",
78,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cuivre en chaudron,Hollande,"2 109,00",Livres,,"30,00",,"1,5000000","3 163,00",,,"3 163,00","3 163,50","-0,50",
79,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Cuivre en feuille,Angleterre,"31 139,00",Livres,"1,00",,,"1,0000000","31 139,00",,,"31 139,00","31 139,00","0,00",
80,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Draperie en laine,Angleterre,,,,,,,"13 215,00",,,"13 215,00",,,
81,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Drogues diverse pour la médecine,Marseille,,,,,,,"619,00",,,"619,00",,,
82,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Drogues de réglisse,Marseille,"1 420,00",Livres,"1,00",,,"1,0000000","1 420,00",,,"1 420,00","1 420,00","0,00",
83,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Drogues de réglisse,Marseille,"743,00",Livres,,"45,00",,"2,2500000","1 672,00",,,"1 672,00","1 671,75","0,25",
84,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,5,Drogues pour la peinture et la teinture gome arabique,Marseille,"197,00",Livres,,,,,"591,00",,,"591,00",,,
85,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Alun,Marseille,"581,00",Livres,"0,30",,,"0,3000000","174,00",,,"174,00","174,30","-0,30",30 livres le quintal
86,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Alun,Hollande,"2 855,00",Livres,"0,30",,,"0,3000000","856,00",,,"856,00","856,50","-0,50",30 livres le quintal
87,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Alun,Suède,"2 400,00",Livres,"0,30",,,"0,3000000","720,00",,,"720,00","720,00","0,00",30 livres le quintal
88,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Céruse,Hollande,"3 561,00",Livres,"0,45",,,"0,4500000","1 602,00",,,"1 602,00","1 602,45","-0,45",45 livres le quintal
89,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Noix de galle,Marseille,"355,00",Livres,,"30,00",,"1,5000000","532,00",,,"532,00","532,50","-0,50",
90,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Sumach,Marseille,"2 532,00",Livres,"0,20",,,"0,2000000","506,00",,,"506,00","506,40","-0,40",20 livres le quintal
91,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Térébenthine,L'Orient,"9 300,00",Livres,,,,,"1 240,00",,,"1 240,00",,,
92,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Vert de gris,Marseille,"114,00",Livres,,"30,00",,"1,5000000","171,00",,,"171,00","171,00","0,00",
93,Laura Moutou,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Saint-Malo.csv,National par direction,Importations,1789,Saint-Malo,Saint-Malo,6,Eau de Balaru,Marseille,"216,00",Flacons,,,,,"492,00",,,"492,00",,,
