numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price
11,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cendres;,Marseille,"891,00","6 480,00",Livre,,"891,00","0,0000000"
12,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cendres; De Sicile,Marseille,"1 104,00","73,65",Quintal,Unité d'origine Livre,"-0,75","15,0000000"
13,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cendres; Potasse,Marseille,"3 083,00","102,76",Quintal,Unité d'origine Livre,"0,20","30,0000000"
14,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cire jaune;,Marseille,"14 926,00","99,51",Quintal,Unité d'origine Livre,"-0,50","150,0000000"
15,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cire jaune; En bougie,Marseille,"210,00","0,70",Quintal,Unité d'origine Livre,"35,00","250,0000000"
16,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chairs salées saucissons,Marseille,"15 333,00","95,83",Quintal,Unité d'origine Livre,"0,20","160,0000000"
17,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chanvre; Ecru,Marseille,"29 649,00","658,86",Quintal,Unité d'origine Livre,"0,30","45,0000000"
18,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chanvre; Ecru,Espagne,"1 022,00","22,71",Quintal,Unité d'origine Livre,"0,05","45,0000000"
19,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chanvre; Ecru,Sardaigne,"8 019,00","178,20",Quintal,Unité d'origine Livre,"0,00","45,0000000"
20,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chanvre; Peigné,Marseille,"22 414,00","280,17",Quintal,Unité d'origine Livre,"0,40","80,0000000"
21,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chanvre; Peigné,Sardaigne,"18 176,00","227,20",Quintal,Unité d'origine Livre,"0,00","80,0000000"
22,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Chapeaux poil et laine,Marseille,"1 224,00","17,00",Douzaine,,"0,00","72,0000000"
23,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Charbon de bois,Espagne,"742,00","270,00",Quintal,Unité d'origine Livre,"-0,50","2,7500000"
24,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Colle forte,Marseille,"16 108,00","322,16",Quintal,Unité d'origine Livre,"0,00","50,0000000"
25,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Coton filé;,Marseille,"115 240,00","28 810,00",Livre,,"0,00","4,0000000"
26,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Coton filé; En laine,Marseille,"253 235,00","202 588,00",Livre,,"0,00","1,2500000"
27,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cornes de bœuf,Marseille,"192,00","19,20",Quintal,Unité d'origine Livre,"0,00","10,0000000"
28,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cuirs de bœuf en poil,Marseille,"19 093,00","254,58",Quintal,,"-0,50","75,0000000"
29,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cuirs de bœuf en poil,Sardaigne,"9 600,00","128,00",Quintal,,"0,00","75,0000000"
30,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cuivre; brut,Marseille,"7 356,00","49,04",Quintal,Unité d'origine Livre,"0,00","150,0000000"
31,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cuivre; En pain,Marseille,"5 938,00","39,59",Quintal,Unité d'origine Livre,"-0,50","150,0000000"
32,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Cordage d'Auffe,Marseille,"27 912,00","1 268,72",Quintal,Unité d'origine Livre,"0,16","22,0000000"
33,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; mêlées,Marseille,"83 889,00","27 963,00",Livre,,"0,00","3,0000000"
34,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Diverses gommes arabiques,Marseille,"2 954,00","2 363,00",Livre,,"0,25","1,2500000"
35,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Chimiques et metalliques,Marseille,"795,00","159,00",Livre,,"0,00","5,0000000"
36,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Chimiques; Eau forte,Marseille,"2 415,00","1 610,00",Livre,,"0,00","1,5000000"
37,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Chimique; Vitriol,Marseille,"1 085,00","15,13",Quintal,Unité d'origine Livre,"-49,75","75,0000000"
38,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Odorantes; Encens,Marseille,"3 770,00","53,87",Quintal,Unité d'origine Livre,"-0,90","70,0000000"
39,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Médicinales; Diverses,Marseille,"1 047,00",,Valeur,,"1 047,00","0,0000000"
40,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,3,Drogues; Médicinales; Folicule,Marseille,"2 766,00","2 766,00",Livre,,"0,00","1,0000000"
41,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Médicinales; Manne,Marseille,"108 506,00","54 255,00",Livre,,"-4,00","2,0000000"
42,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Médicinales; Quinoa,Marseille,"12 824,00","1 603,00",Livre,,"0,00","8,0000000"
43,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Médicinales; Sené,Marseille,"5 702,00","2 281,00",Livre,,"-0,50","2,5000000"
44,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Médicinales; Suc de réglisse,Marseille,"847,00","14,11",Quintal,Unité d'origine Livre,"0,40","60,0000000"
45,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Médicinales; Storax,Marseille,"752,00","301,00",Livre,,"-0,50","2,5000000"
46,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Diverses,Marseille,"847,00",,Valeur,,"847,00","0,0000000"
47,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Alun,Marseille,"5 692,00","162,64",Quintal,Unité d'origine Livre,"-0,40","35,0000000"
48,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Ceruse,Marseille,"1 633,00","65,31",Quintal,Unité d'origine Livre,"0,25","25,0000000"
49,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Cochenille,Marseille,"19 760,00","988,00",Livre,,"0,00","20,0000000"
50,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Galle,Marseille,"5 156,00","5 156,00",Livre,,"0,00","1,0000000"
51,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Garance,Marseille,"3 671,00","48,95",Quintal,Unité d'origine Livre,"-0,25","75,0000000"
52,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Indigo,Marseille,"2 151,00","239,00",Livre,,"0,00","9,0000000"
53,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Drogues; Pour peinture et teinture; Tartre,Marseille,"4 674,00","389,51",Quintal,Unité d'origine Livre,"-0,12","12,0000000"
54,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Eau; de feuille d'oranger,Marseille,"2 741,00","54,82",Quintal,Unité d'origine Livre,"0,00","50,0000000"
55,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Eau; de fleur d'orange,Marseille,"4 280,00","35,67",Quintal,Unité d'origine Livre,"-0,40","120,0000000"
56,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Epicerie; Canelle,Marseille,"1 800,00","150,00",Livre,,"0,00","12,0000000"
57,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Epicerie; Gingembre,Marseille,"127,00","5,07",Quintal,Unité d'origine Livre,"0,25","25,0000000"
58,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Epicerie; Girofle,Marseille,"70 856,00","5 738,00",Livre,,"2 000,00","12,0000000"
59,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Epicerie; Piment,Marseille,"4 397,00","5 863,00",Livre,,"-0,25","0,7500000"
60,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Epicerie; Poivre,Marseille,"124 690,00","692,72",Quintal,Unité d'origine Livre,"0,40","180,0000000"
61,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Eponges,Marseille,"1 291,00","21,52",Quintal,Unité d'origine Livre,"-0,20","60,0000000"
62,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Etain en verges,Marseille,"11 190,00","124,33",Quintal,Unité d'origine Livre,"0,30","90,0000000"
63,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fayance,Marseille,"362,00","7,25",Quintal,Unité d'origine Livre,"-0,50","50,0000000"
64,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fers divers;,Marseille,"763,00",,Valeur,,"763,00","0,0000000"
65,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fers divers; Brut,Marseille,"1 647,00","109,82",Quintal,,"-0,30","15,0000000"
66,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Divers,Marseille,"121,00",,Valeur,,"121,00","0,0000000"
67,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Divers,Espagne,"112,00",,Valeur,,"112,00","0,0000000"
68,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Divers,Gênes,"390,00",,Valeur,,"390,00","0,0000000"
69,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Confits; Capres,Marseille,"898,00","17,96",Quintal,Unité d'origine Livre,"0,00","50,0000000"
70,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Confits; Confiture,Marseille,"4 912,00","40,93",Quintal,Unité d'origine Livre,"0,40","120,0000000"
71,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Citron,Marseille,"4 010,00","80 217,00",Nombre,Prix unitaire pour mille en Nombre,"-4 006 840,00","50,0000000"
72,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Citron,Espagne,"950,00","19 000,00",Nombre,Prix unitaire pour mille en Nombre,"-949 050,00","50,0000000"
73,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Citron,Sardaigne,"1 025,00","20 500,00",Nombre,Prix unitaire pour mille en Nombre,"-1 023 975,00","50,0000000"
74,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Citron,Gênes,"13 295,00","265 900,00",Nombre,Prix unitaire pour mille en Nombre,"-13 281 705,00","50,0000000"
75,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Oranges; Aigres,Gênes,"3 610,00","144 400,00",Nombre,Prix unitaire pour mille en Nombre,"-3 606 390,00","25,0000000"
76,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Oranges; Douces,Espagne,"6 100,00","122 000,00",Nombre,Prix unitaire pour mille en Nombre,"-6 093 900,00","50,0000000"
77,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Oranges; Douces,Sardaigne,"3 325,00","66 400,00",Nombre,Prix unitaire pour mille en Nombre,"-3 316 675,00","50,0000000"
78,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Crus; Oranges; Douces,Gênes,"4 245,00","84 900,00",Nombre,Prix unitaire pour mille en Nombre,"-4 240 755,00","50,0000000"
79,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Secs; Dattes,Marseille,"2 349,00","39,15",Quintal,Unité d'origine Livre,"0,00","60,0000000"
80,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Secs; Pistaches,Gênes,"1 878,00","939,00",Livre,,"0,00","2,0000000"
81,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Secs; Divers,Marseille,"22 342,00","1 489,47",Quintal,Unité d'origine Livre,"-0,05","15,0000000"
82,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Secs; Noisettes,Marseille,"1 390,00","92,64",Quintal,Unité d'origine Livre,"0,40","15,0000000"
83,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Fruits; Verts,Sardaigne,"3 950,00","79 000,00",Nombre,Prix unitaire pour mille en Nombre,"-3 946 050,00","50,0000000"
84,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Grains divers; Bled,Marseille,"24 480,00","1 360,00",Quintal,Unité d'origine Livre,"0,00","18,0000000"
85,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Grains divers; Ris,Marseille,"22 215,00","888,61",Quintal,Unité d'origine Livre,"-0,25","25,0000000"
86,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Grains divers; Ris,Sardaigne,"8 082,00","323,30",Quintal,Unité d'origine Livre,"-0,50","25,0000000"
87,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Grains divers; Ris,Gênes,"400,00","16,00",Quintal,Unité d'origine Livre,"0,00","25,0000000"
88,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Graines; Longues,Marseille,"331,00","16,55",Quintal,Unité d'origine Livre,"0,00","20,0000000"
89,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Graines; Millet,Marseille,"14 412,00","1 201,00",Quintal,Unité d'origine Livre,"0,00","12,0000000"
90,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Huiles; D'amande,Gênes,"553,00","553,00",Livre,,"0,00","1,0000000"
91,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,4,Huiles; De baleine,Marseille,"1 838,00","40,84",Quintal,Unité d'origine Livre,"0,20","45,0000000"
92,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Huiles; De lin,Marseille,"2 412,00","53,60",Quintal,Unité d'origine Livre,"0,00","45,0000000"
93,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Huiles; D'olive,Marseille,"197 226,00","3 287,10",Quintal,Unité d'origine Livre,"0,00","60,0000000"
94,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Huiles; D'olive,Sardaigne,"531 448,00","8 857,46",Quintal,Unité d'origine Livre,"0,40","60,0000000"
95,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Huiles; D'olive,Gênes,"272 040,00","4 534,00",Quintal,Unité d'origine Livre,"0,00","60,0000000"
96,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Huiles; De morue,Marseille,"1 480,00","42,30",Quintal,Unité d'origine Livre,"-0,50","35,0000000"
97,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Laine; De chevrons,Marseille,"1 328,00","355,00",Livre,,"-3,25","3,7500000"
98,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Laine; Lavée,Marseille,"283 204,00","2 462,64",Quintal,Unité d'origine Livre,"0,40","115,0000000"
99,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Laine; Serge,Marseille,"232 184,00","3 224,78",Quintal,Unité d'origine Livre,"-0,16","72,0000000"
100,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Légumes; Divers,Marseille,"1 220,00","2 000,00",Livre,,"1 220,00","0,0000000"
101,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Légumes; Feves,Marseille,"87 212,00","14 535,30",Quintal,Unité d'origine Livre,"0,20","6,0000000"
102,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Légumes; Haricots,Marseille,"1 330,00","88,68",Quintal,Unité d'origine Livre,"-0,20","15,0000000"
103,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Montpellier.csv,National par direction,1789,Importations,Montpellier,Agde,5,Légumes; Lentilles,Marseille,"919,00","61,26",Quintal,Unité d'origine Livre,"0,10","15,0000000"
