numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
32,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues pour la peinture ; bleu d'Allemagne,La Suisse et alliés et Genève,160,Livres,,300,,Pas de prix unitaire
33,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues pour la peinture ; couleur rouge,La Suisse et alliés et Genève,100,Livres,,150,,Pas de prix unitaire
34,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues pour la peinture ; galles,La Suisse et alliés et Genève,23510,Livres,,4770,,Pas de prix unitaire
35,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues pour la peinture ; indigo,La Suisse et alliés et Genève,45,Livres,8,360,0,
36,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues pour la peinture ; pastel,La Suisse et alliés et Genève,71,Livres,,1650,,Pas de prix unitaire
37,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Drogues pour la peinture ; térébentine,La Suisse et alliés et Genève,14410,Livres,"0,6",8646,0,
38,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Eau ; de cerise,La Suisse et alliés et Genève,6620,Livres,,2420,,Pas de prix unitaire
39,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Eau ; de garance,La Suisse et alliés et Genève,65,Livres,,160,,Pas de prix unitaire
40,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Eau ; de cologne,La Suisse et alliés et Genève,60,Livres,,180,,Pas de prix unitaire
41,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,3,Ecrelet,La Suisse et alliés et Genève,120,Livres,3,360,0,
42,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Estampes,La Suisse et alliés et Genève,61,Livres,6,366,0,
43,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Etain brut,La Suisse et alliés et Genève,157,Livres,,144,,Pas de prix unitaire
44,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Etoffe de soie de renvoi,La Suisse et alliés et Genève,"58,5",Livres,55,3217,"-0,5",
45,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Etoffe de soie divers,La Suisse et alliés et Genève,7,Livres,,350,,Pas de prix unitaire
46,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fer en barres,La Suisse et alliés et Genève,730,Livres,"0,15",109,"-0,5",15 livres le quintal
47,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fer blanc,La Suisse et alliés et Genève,378,Livres,"0,6",223,"-3,8",
48,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fil blanc de lin,La Suisse et alliés et Genève,15,Livres,8,120,0,
49,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fil a voile,La Suisse et alliés et Genève,100,Livres,2,200,0,
50,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fil de fer,La Suisse et alliés et Genève,33480,Livres,"0,4",13392,0,40 livres le quintal
51,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fromage,La Suisse et alliés et Genève,2492497,Livres,"0,5",1246248,"-0,5",
52,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Fruits crus en pommes et poires,Etats du roi de Sardaigne,40500,Nombre,,266,,Pas de prix unitaire
53,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Gase de soie de renvoi,La Suisse et alliés et Genève,"69,5",Livres,80,5560,0,
54,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Graines commestibles ; bled froment,Etats du roi de Sardaigne,4200,Livres,,600,,Pas de prix unitaire
55,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Graines commestibles ; ris,Etats du roi de Sardaigne,3700,Livres,,925,,Pas de prix unitaire
56,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Graines commestibles ; ris,La Suisse et alliés et Genève,6900,Livres,,1725,,Pas de prix unitaire
57,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Graine jaune,La Suisse et alliés et Genève,955,Livres,,286,,Pas de prix unitaire
58,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Habillements divers,La Suisse et alliés et Genève,,,,510,,
59,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Horlogeries diverses,La Suisse et alliés et Genève,,,,10935,,
60,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Huile de gras,La Suisse et alliés et Genève,1425,Livres,"0,12",171,0,
61,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Instruments de musique en forte piano,La Suisse et alliés et Genève,,,,2370,,
62,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Instruments de phisique,La Suisse et alliés et Genève,,,,304,,
63,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Laine,La Suisse et alliés et Genève,2250,Livres,"0,75",1687,"-0,5",
64,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Librairie,La Suisse et alliés et Genève,116417,Livres,2,232834,0,
65,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Limaille de laiton,La Suisse et alliés et Genève,1130,Livres,"0,5",565,0,
66,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Liqueurs diverses,Etats du roi de Sardaigne,1600,Livres,,725,,Pas de prix unitaire
67,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Liqueurs diverses,La Suisse et alliés et Genève,135,Livres,,210,,Pas de prix unitaire
68,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Liqueurs rhum,La Suisse et alliés et Genève,145,Livres,,125,,Pas de prix unitaire
69,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Marchandises mêlées,Etats du roi de Sardaigne,,,,507,,
70,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Marchandises mêlées,La Suisse et alliés et Genève,,,,2096,,
71,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Marbre,La Suisse et alliés et Genève,42015,Livres,,4201,,Pas de prix unitaire
72,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Mercerie,Etats du roi de Sardaigne,"535,5",Livres,"3,5",1874,"-0,25",
73,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Mercerie,La Suisse et alliés et Genève,2633,Livres,"3,5",9217,"1,5",
74,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Meubles,La Suisse et alliés et Genève,,,,810,,
75,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,4,Mouchoirs de soie de renvoi,La Suisse et alliés et Genève,14,Douzaines,36,504,0,
76,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Orfeverie en vaisselle d'argent,La Suisse et alliés et Genève,79,Douzaines,52,4108,0,
77,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; en bois,La Suisse et alliés et Genève,,,,270,,
78,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; dee corderie en sangles,La Suisse et alliés et Genève,125,Livres,,260,,Pas de prix unitaire
79,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de cristal,La Suisse et alliés et Genève,125,Livres,,260,,Pas de prix unitaire
80,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de fer blanc en caffetiere,Pays de Gex,100,Livres,,290,,Pas de prix unitaire
81,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de mécanique,La Suisse et alliés et Genève,,,,5400,,Pas de prix unitaire
82,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de pelleterie,La Suisse et alliés et Genève,,,,456,,Pas de prix unitaire
83,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de plomb en caractères,La Suisse et alliés et Genève,1310,Livres,"1,5",1965,0,
84,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de terre cuite,La Suisse et alliés et Genève,1077,Douzaines,,1077,,Pas de prix unitaire
85,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Ouvrages ; de tonnelerie,La Suisse et alliés et Genève,,,,226,,
86,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pelleterie ; apprêtée,La Suisse et alliés et Genève,490,Livres,,1080,,Pas de prix unitaire
87,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pelleterie ; crue,La Suisse et alliés et Genève,90,Livres,,150,,Pas de prix unitaire
88,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pelleterie ; peaux à chevres,La Suisse et alliés et Genève,754,Douzaines,30,22630,10,
89,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pelleterie ; peaux de lièvres,La Suisse et alliés et Genève,1281,Livres,,640,,Pas de prix unitaire
90,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pelleterie ; peaux d'ours,La Suisse et alliés et Genève,46,Nombre,50,2300,0,
91,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Peaux ; de veaux corroyées,Pays de Gex,44,Douzaines,50,2200,0,
92,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Peaux ; de veaux en poil,La Suisse et alliés et Genève,"1030,25",Douzaines,36,37089,0,
93,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pierres ; à aiguiser,La Suisse et alliés et Genève,1755,Livres,"0,5",877,"-0,5",50 livres le quintal
94,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Pierres ; de verre,Pays de Gex,20,Livres,40,800,0,
95,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Plumes d'autruches mélangées,La Suisse et alliés et Genève,25,Livres,,1260,,Pas de prix unitaire
96,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Porcelaine,La Suisse et alliés et Genève,16,Livres,,222,,Pas de prix unitaire
97,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Presse d'imprimerie,La Suisse et alliés et Genève,4,Nombre,,300,,
98,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Quincaillerie ; diverse,La Suisse et alliés et Genève,,,,1800,,
99,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Quincaillerie ; clous de fer,La Suisse et alliés et Genève,35,Livres,,120,,Pas de prix unitaire
100,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Quincaillerie ; faulx,Etats du roi de Sardaigne,"261,5",Livres,"0,4",184,"79,4",Erreur de calcul
101,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Quincaillerie ; faulx,Etats du roi de Sardaigne,4455,Livres,"0,4",1782,0,
102,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Quincaillerie ; lampes à la quinpot,Pays de Gex,12045,Livres,,122920,,
103,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Soieries ; soie,La Suisse et alliés et Genève,9090,Livres,,245430,,Pas de prix unitaire
104,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Soieries ; bocau soie,La Suisse et alliés et Genève,180,Livres,,1080,,Pas de prix unitaire
105,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Soieries ; fleuret,La Suisse et alliés et Genève,49339,Livres,,345373,,Pas de prix unitaire
106,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Tabac à fumer,La Suisse et alliés et Genève,56,Livres,"3,3",184,"-0,8",
107,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Tableaux,La Suisse et alliés et Genève,,,,2175,,
108,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Tapis vieux de renvoi,La Suisse et alliés et Genève,"8,5",Livres,2,340,323,
109,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Thé vert,La Suisse et alliés et Genève,11,Livres,14,151,-3,
110,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Toiles ; de chanvre,La Suisse et alliés et Genève,42780,Livres,4,171120,0,
111,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Toiles ; de lin,La Suisse et alliés et Genève,130,Livres,6,780,0,
112,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Toiles ; de de lin et de chanvre,La Suisse et alliés et Genève,7326,Livres,5,36630,0,
113,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Toiles ; gomée dite treillis,La Suisse et alliés et Genève,231701,Livres,3,695103,0,
114,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Toiles ; basin,La Suisse et alliés et Genève,208,Livres,7,1456,0,
115,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Verre ; en bouteilles,La Suisse et alliés et Genève,"1534,5",Livres,"0,2",306,"-0,9",20 livres le quintal
116,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Verre ; cassé,La Suisse et alliés et Genève,11850,Livres,,711,,Pas de prix unitaire
117,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Vieux drapeaux,La Suisse et alliés et Genève,20525,Livres,"0,06",1231,"-0,5",
118,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Lyon.csv,National par direction,Imports,1789,Lyon,Longeray,5,Vin,Etats du roi de Sardaigne,236,Pintes,,440,,Pas de prix unitaire
