numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Mercerie,Genèse,"105,00",Livres,"2,0000000","210,00","0,00",,
41,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Miel,Espagne,"166,00",Livres,"0,7500000","125,00","0,50",,
42,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Peaux de lievre,Marseille,"787,00",Livres,"1,0000000","787,00","0,00",,
43,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Colonies françaises,Toile de coton,Espagne,"224,00",Aunes,"8,0000000","1 792,00","0,00",,
44,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Dauphiné,Toile de chanvre blanche,Espagne,"80,00",Aunes,"3,0000000","240,00","0,00",,
45,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,7,1789,Narbonne,Narbonne,Languedoc,Vin,Marseille,"599,50",Muids,"30,0000000","17 985,00","0,00",,
46,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Bestiaux moutons,Espagne,"60,00",Nombre,"12,0000000","720,00","0,00",,
47,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Fers barres,Marseille,"19 937,00",Livres,"0,1500000","2 990,00","-0,55",,
48,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Fers barres,Espagne,"750,00",Livres,"0,1500000","112,00","-0,50",,
49,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Lieges en planches,Angleterre,"70 000,00",Livres,"0,0600000","4 200,00","0,00",,
50,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Liqueurs,Genèse,"1 600,00",Livres,"0,4000000","640,00","0,00",,
51,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Marchandises diverses,Marseille,"1,00",Valeur,"102,0000000","102,00","0,00",,En valeur
52,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Marchandises diverses,Espagne,"1,00",Valeur,"168,0000000","168,00","0,00",,En valeur
53,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Marchandises diverses,Genèse,"1,00",Valeur,"121,0000000","121,00","0,00",,En valeur
54,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Lyon,Mercerie,Espagne,"150,00",Livres,"2,0000000","300,00","0,00",,
55,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Quincaillerie de fer cloux,Marseille,"1 272,00",Livres,"0,3500000","445,00","-0,20",,
56,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Vin,Marseille,"13,96",Muids,"28,8000000","396,00","-6,00",,13+(2/3) muids et 84 pintes à 28£ et 16 sous
57,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Vin,Genèse,"269,82",Muids,"28,8000000","7 758,00","-12,70",,269+(2/3) muids et 43 pintes 28£ et 16 sous
58,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,9,1789,Narbonne,Collioure,Roussillon,Vin,Etat ecclesiastique,"35,83",Muids,"28,8000000","1 005,00","-27,00",,35+(2/3) muids et 48 pintes à 28£ et 16 sous
59,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Bestiaux divers,Espagne,"1,00",Valeur,"800,0000000","800,00","0,00",,En valeur
60,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Bestiaux bœufs,Espagne,"39,00",Nombre,"120,0000000","4 680,00","0,00",,
61,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Bestiaux brebis,Espagne,"7 730,00",Nombre,"8,0000000","61 840,00","0,00",,
62,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Bestiaux cochons,Espagne,"53,00",Nombre,"50,0000000","2 650,00","0,00",,
63,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Couserans,Bestiaux moutons,Espagne,"10 554,00",Nombre,"12,0000000","126 628,00","-20,00",,Erreur de calcul
64,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Bestiaux vaches,Espagne,"18,00",Nombre,"75,0000000","1 250,00","-100,00",,Erreur de calcul
65,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Bestiaux veaux,Espagne,"33,00",Nombre,"36,0000000","1 188,00","0,00",,
66,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Bonnetterie de coton bas,Espagne,"6 449,50",Douzaines,"16,0000000","103 192,00","0,00",20424,
67,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Bonnetterie d'etain bas,Espagne,"200,00",Douzaines,"9,0000000","1 800,00","0,00",535,
68,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Bonnetterie de fil bas,Espagne,131,Douzaines,"16,0000000","2 096,00","0,00",131,
69,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Amiens,Bonnetterie de laine bas,Espagne,278,Douzaines,"21,0000000","5 838,00","0,00",935,
70,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Bonnetterie de soye bas,Espagne,318,Douzaines,"0,7200000","37 296,00","37 067,04",684,Erreur de calcul
71,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Bonnetterie de bourre de soye bas,Espagne,31,Douzaines,"33,0000000","1 023,00","0,00",140,
72,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Coton filé,Espagne,1434,Livres,"3,0000000","4 302,00","0,00",,
73,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Marseille,Coton filé en laine,Espagne,180,Livres,"1,0000000","180,00","0,00",,
74,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Cuirs tannés,Espagne,302,Livres,"1,7500000","527,00","-1,50",,
75,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Lyon,Dorure fausse,Espagne,40,,,"104,00",,,Pas d'unité de mesure ni de prix unitaire
76,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Drap de laine,Espagne,210,Aunes,"3,0000000","630,00","0,00",105,
77,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Drap commune,Espagne,800,Livres,"3,0000000","2 400,00","0,00",,
78,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Drap petite ratine,Espagne,1310,,,"8 400,00",,,Pas d'unité de mesure ni de prix unitaire
79,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Marseille,Epicerie cloux de girofle,Espagne,17,Livres,"18,0000000","306,00","0,00",,
80,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Marseille,Epicerie poivre,Espagne,547,Livres,"2,0000000","1 094,00","0,00",,
81,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Amiens,Etoffes de coton velours,Espagne,321,Aunes,"10,0000000","3 210,00","0,00",302,
82,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Etoffes fil et laine,Espagne,170,Livres,"2,0000000","340,00","0,00",,
83,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,,Etoffes de laine diverses,Espagne,1,Valeur,"525,0000000","525,00","0,00",,En valeur
84,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Amiens,Etoffes burat,Espagne,1500,Aunes,"2,5000000","3 750,00","0,00",300,
85,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Flandre,Etoffes calemande,Espagne,190,Aunes,"3,5000000","665,00","0,00",125,
86,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Flandre,Etoffes camelot,Espagne,3818,Aunes,"2,2500000","10 489,00","1 898,50",2359,Erreur de calcul
87,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Etoffes escot,Espagne,192,Livres,"3,7500000","713,00","-7,00",150,Erreur de calcul
88,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Amiens,Etoffes panne,Espagne,1338,Aunes,"5,0000000","6 690,00","0,00",818,
89,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Guyenne,Etoffes serge,Espagne,780,Aunes,"3,5000000","2 730,00","0,00",570,
90,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Amiens,Etoffes poil camelot,Espagne,96,Aunes,"7,0000000","672,00","0,00",45,
91,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Amiens,Etoffes panne,Espagne,790,Aunes,"6,0000000","4 740,00","0,00",515,
92,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Lyon,Etoffes de soye,Espagne,130,Livres,"55,0000000","7 150,00","0,00",,
93,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Etoffes de soye et dorure,Espagne,38,Livres,"100,0000000","3 800,00","0,00",,
94,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Lyon,Etoffes de soye et dorure,Espagne,154,Livres,"100,0000000","15 400,00","0,00",,
95,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Etoffes fers en barres,Espagne,174025,Livres,"0,1800000","31 324,00","-0,50",,
96,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Etoffes gants de peaux,Espagne,4,Douzaines,"30,0000000","120,00","0,00",12,
97,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Isles de France,Habillements,Espagne,1,Valeur,"1 092,0000000","1 092,00","0,00",,En valeur
98,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Flandre,Linge de table,Espagne,30,Aunes,"4,5000000","135,00","0,00",45,
99,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Marchandises à la valeur,Espagne,1,Valeur,"12 335,0000000","12 335,00","0,00",,En valeur
100,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Lyon,Mercerie,Espagne,1702,Livres,"3,0000000","5 106,00","0,00",,
101,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Roussillon,Mine de fer,Espagne,593400,Livres,"0,0050000","2 967,00","0,00",,
102,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Anjou,Mouchoirs de coton,Espagne,63,Douzaines,"30,0000000","1 890,00","0,00",307,
103,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Isles de France,Mouchoirs de coton et fil,Espagne,59,Douzaines,"36,0000000","2 124,00","0,00",118,
104,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Isles de France,Ouvrage d'horlogerie,Espagne,1,Valeur,"350,0000000","350,00","0,00",,En valeur
105,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Languedoc,Parchemin,Espagne,120,Douzaines,"6,0000000","198,00","-522,00",,Erreur de calcul?
106,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Dauphiné,Peaux de veaux bronzées,Espagne,9,Douzaines,"36,0000000","324,00","0,00",236,
107,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Lyon,Pierres fausses,Espagne,56,,,"650,00",,,Pas d'unité de mesure ni de prix unitaire
108,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Narbonne.csv,National par direction,Exports,11,1789,Narbonne,Montlouis,Etranger,Quincaillerie de fer,Espagne,1,Valeur,"221,0000000","221,00","0,00",,En valeur
