numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,unit_price,value,probleme,remarks
13,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Drogues medicinales boules d'acier,Lorraine,"189,00",Livres,"1,0000000","189,00","0,00",
14,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Eau de Bussan,Lorraine,"625,00",Bouteilles,"0,6000000","376,00","1,00",
15,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fayence,Lorraine,"4 300,00",Livres,"0,4000000","1 720,00","0,00",40 livres le quintal
16,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fer noir,Lorraine,"17 438,00",Livres,"0,3000000","5 231,00","-0,40",30 livres le quintal
17,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fer blanc,Lorraine,"40 250,00",Livres,"0,6000000","24 150,00","0,00",
18,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fer martinet,Lorraine,"1 200,00",Livres,"0,2000000","240,00","0,00",
19,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fer en barres,Lorraine,"2 120,00",Livres,"0,2000000","424,00","0,00",
20,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fer de fonte en plaques,Lorraine,"1 000,00",Livres,"0,1500000","150,00","0,00",
21,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fourage en foin,Lorraine,"2,00",Chariots,"60,0000000","120,00","0,00",
22,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fromage,Lorraine,"746,00",Livres,"0,5000000","373,00","0,00",
23,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Fruits secs pruneaux,Lorraine,"1 605,00",Livres,"0,2500000","401,00","-0,25",
24,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musiques ; basses,Lorraine,"38,00",Nombre,"20,0000000","760,00","0,00",
25,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musiques ; Guittard,Lorraine,"68,00",Nombre,"18,0000000","1 224,00","0,00",
26,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musique ; ?,Lorraine,"3 158,00",Nombre,"1,2000000","3 788,00","-1,60",
27,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musique ; Violons gros,Lorraine,"5 049,00",Nombre,"6,0000000","30 294,00","0,00",
28,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musique ; Violons petites,Lorraine,"606,00",Nombre,"3,0000000","1 818,00","0,00",
29,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musique ; serinette,Lorraine,"737,00",Nombre,"12,0000000","8 844,00","0,00",
30,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Instruments de musique ; vieles,Lorraine,"14,00",Nombre,"2,0000000","280,00","252,00",Erreur de calcul
31,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Linge vieux,Lorraine,"1,00",Valeur,"622,0000000","622,00","0,00",
32,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Liqueurs,Lorraine,"170,00",Bouteilles,"1,0000000","170,00","0,00",
33,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Marchandises à la valeur,Lorraine,"306,00",Livres,"2,0000000","612,00","0,00",
34,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Meubles en tete de rennes,Lorraine,"3,00",Nombre,,"100,00",,
35,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Meubles divers,Lorraine,"1,00",Valeur,"254,0000000","254,00","0,00",
36,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Meules,Lorraine,"43,00",Nombre,"4,5000000","193,00","-0,50",
37,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en boutons,Lorraine,"3 847,00",Livres,"0,1200000","462,00","0,36",
38,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en boïtes de sapin,Lorraine,"29 900,00",Nombre,"0,2500000","7 475,00","0,00",
39,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en pelles à main,Lorraine,"17 325,00",Nombre,"0,1500000","2 598,00","-0,75",15 livres le quintal
40,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en rouets à filer,Lorraine,"323,00",Nombre,"1,0000000","323,00","0,00",
41,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en pailles,Lorraine,"88,00",Douzaines,"3,6000000","307,00","-9,80",Erreur de calcul
42,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en atelier de coluses,Lorraine,"1,00",Valeur,"5 550,0000000","5 550,00","0,00",
43,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; en sabots,Lorraine,"2 173,00",Grosses,"24,0000000","52 152,00","0,00",
44,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages de bois ; boïtes à ?,Lorraine,"70,00",Nombre,"3,0000000","210,00","0,00",
45,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrages ; de luthier en archets violon,Lorraine,"1,00",Valeur,"472,0000000","472,00","0,00",
46,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrage ; de terre cuite en thuiles,Lorraine,"37 100,00",Nombre,"0,1200000","452,00","-4 000,00",Erreur de calcul; 12 livres le quintal
47,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Ouvrage ; de tonnelier en futaille,Lorraine,"75,00",Nombre,"2,0000000","150,00","0,00",
48,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Peaux de chevreuil,Lorraine,"3,00",Douzaines,"30,0000000","90,00","0,00",
49,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Pierres à bâtir,Lorraine,"19 000,00",Nombre,"0,0125000","237,00","-0,50",25 livres le cent
50,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Poterie ,Lorraine,"717,00",Douzaines,"2,0000000","1 434,00","0,00",
51,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Quincaillerie de fer en fil,Lorraine,"7 200,00",Livres,"0,4000000","2 880,00","0,00",
52,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Quincaillerie de fer et acier en faulx,Lorraine,"570,00",Livres,,"855,00",,Pas de prix unitaire
53,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Verre en bouteilles,Lorraine,"1 800,00",Bouteilles,"0,2500000","450,00","0,00",
54,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Verre en bouteilles,Lorraine,"1 400,00",Demi bouteilles,"0,1250000","175,00","0,00",
55,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Verre blanc en assortiment ,Lorraine,"29 302,00",Livres,"0,3000000","8 790,00","-0,60",30 livres le quintal
56,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Bourbonne,2,Verre à vitre,Lorraine,"1 150,00",Livres,"1,0000000","1 150,00","0,00",
57,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Bestiaux ; en bœuf,Lorraine,"43,00",Nombre,"150,0000000","6 450,00","0,00",
58,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Bestiaux ; en porcs et porcelets,Lorraine,"52,00",Nombre,"20,0000000","1 040,00","0,00",
59,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Bestiaux ; en vaches,Lorraine,"29,00",Nombre,"70,0000000","2 030,00","0,00",
60,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Bêtes de somme en cheval,Lorraine,"1,00",Nombre,"150,0000000","150,00","0,00",
61,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Bois ouvré,Lorraine,"1,00",Valeur,"1 149,0000000","1 149,00","0,00",
62,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Bois en planches de chene,Lorraine,"2 165,00",Nombre,"0,7500000","1 623,00","-0,75",
63,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Chanvre brut,Lorraine,"950,00",Livres,"0,4500000","665,00","237,50",Erreur de calcul
64,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Chanvre apprêté,Lorraine,"1 791,00",Livres,"0,7500000","1 343,00","-0,25",
65,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Charbon de bois,Lorraine,"510,00",charrette,,"951,00",,Pas de prix unitaire
66,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Cuivre divers,Lorraine,"508,00",Livres,,"524,00",,Pas de prix unitaire
67,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Etain,Lorraine,"660,00",Livres,"0,7500000","495,00","0,00",
68,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Fayence,Lorraine,"2 298,00",Livres,"0,3000000","689,00","-0,40",
69,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Fil divers,Lorraine,"186,00",Livres,,"332,00",,pas de prix unitaire
70,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Habillements ,Lorraine,"300,00",Livres,,"1 200,00",,pas de prix unitaire
71,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Instruments de musique ; violon,Lorraine,"29,00",Nombre,"4,0000000","116,00","0,00",
72,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Laine filée,Lorraine,"30,00",Livres,"4,0000000","120,00","0,00",
73,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Mercerie divers,Lorraine,"7 520,50",Livres,"2,0000000","15 041,00","0,00",
74,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Marchandises à la valeur,Lorraine,"1,00",Valeur,"915,0000000","915,00","0,00",
75,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Meubles,Lorraine,"1,00",Valeur,"310,0000000","310,00","0,00",
76,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Meulardeaux,Lorraine,"20,00",Nombre,"6,0000000","120,00","0,00",
77,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Ouvrages de bois divers,Lorraine,"1,00",Valeur,"48,0000000","48,00","0,00",
78,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Ouvrages de platres ,Lorraine,"1,00",Valeur,"141,0000000","141,00","0,00",
79,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Chaumont,4,Rocaille de verre,Lorraine,"149,00",Livres,"1,5000000","223,00","-0,50",
80,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Acier,Lorraine,"2 492,00",Livres,"0,4000000","996,00","-0,80",
81,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bestiaux ; en bœuf gras,Lorraine,"186,00",Nombre,"200,0000000","37 200,00","0,00",
82,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bestiaux ; en vaches,Lorraine,"9,00",Nombre,"66,0000000","594,00","0,00",
83,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bêtes de somme en chevaux,Hollande,"22,00",Nombre,"400,0000000","8 800,00","0,00",
84,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bêtes de somme en chevaux,Etats du roi de Prusse,"56,00",Nombre,"400,0000000","22 400,00","0,00",
85,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bois en planches de sapin,Lorraine,"811,00",Nombre,"0,9000000","730,00","0,10",
86,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bois divers,Lorraine,"1,00",Valeur,"2 155,0000000","2 155,00","0,00",
87,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bonneterie en bas de fil,Lorraine,"42,00",Paires,"2,5000000","105,00","0,00",
88,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bonneterie en bas de fil,Lorraine,"56,00",Livres,"3,0000000","168,00","0,00",
89,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bray en soix blanche et noire,Lorraine,"3 155,00",Livres,"0,2000000","630,00","-1,00",
90,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Bray en soix blanche et noire,Les 4 villes anséatiques,"3 460,00",Livres,"0,2000000","692,00","0,00",
91,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Chanvre apprêté,Lorraine,"162 160,00",Livres,"0,5000000","81 080,00","0,00",
92,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Chanvre apprêté,Lorraine,"21 600,00",Livres,"0,6000000","12 960,00","0,00",
93,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Charbon de bois,Lorraine,"243,00",Charetés,"20,0000000","4 860,00","0,00",
94,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Cire en branche,Lorraine,"1,00",Valeur,"323,0000000","323,00","0,00",
95,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Drogues medicinales boules d'acier,Lorraine,"1,00",Valeur,"221,0000000","221,00","0,00",
96,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Drogres pour peinture et teinture en alun,Etats de l'empereur et en Allemagne et Flandre,"3 500,00",Livres,"0,4000000","1 400,00","0,00",40 livres le quintal
97,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Drogres pour peinture et teinture en garance,Alsace,"1 725,00",Livres,"0,4000000","690,00","0,00",
98,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Drogres pour peinture et teinture en noir à noircir,Les 4 villes anséatiques,"5 000,00",Livres,"0,1000000","500,00","0,00",10 livres le quintal
99,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Drogues pour peinture et teinture en noir à noircir,Etats de l'empereur et en Allemagne et Flandre,"5 000,00",Livres,"0,1000000","500,00","0,00",10 livres le quintal
100,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Etain rouge,Lorraine,"5 980,00",Livres,"0,6000000","3 588,00","0,00",
101,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fayence,3 évéchés,"43 010,00",Livres,"0,4000000","17 204,00","0,00",
102,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fayence,Lorraine,"12 560,00",Livres,"0,4000000","5 024,00","0,00",
103,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fil de chanvre ecru,Lorraine,"5 765,00",Livres,"1,0000000","5 765,00","0,00",
104,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fil de chanvre riz,Lorraine,"3 895,00",Livres,"0,6000000","2 336,00","-1,00",
105,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fil blanc retord,Lorraine,"80,00",Livres,"8,0000000","640,00","0,00",
106,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fil d'étoupe,Lorraine,"2 545,00",Livres,"0,6000000","1 908,00","381,00",Erreur de calcul
107,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fromage en boïte,Lorraine,"1 088,00",Boites,"0,5000000","544,00","0,00",
108,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Fruits secs en pruneaux,Lorraine,"1 600,00",Livres,"0,4000000","640,00","0,00",
109,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Galons de Tours,Lorraine,"7 660,00",Livres,"0,2000000","1 532,00","0,00",
110,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Graisse,Lorraine,"250,00",Livres,"0,5000000","125,00","0,00",
111,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Habillements ,Lorraine,"1,00",Valeur,"594,0000000","594,00","0,00",
112,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Instruments de musique,Lorraine,"120,00",Livres,"2,5000000","300,00","0,00",
113,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Instruments de musique ; harpe,Lorraine,"1,00",Nombre,"130,0000000","130,00","0,00",
114,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Instruments de musique ; serinette,Lorraine,"48,00",Nombre,"12,0000000","576,00","0,00",
115,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Instruments de musique ; violon,Lorraine,"101,00",Nombre,"6,0000000","606,00","0,00",
116,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Langres.csv,National par direction,Importations,1789,Langres,Langres,6,Laine brule,Lorraine,"10 475,00",Livres,"1,4000000","14 665,00","0,00",
