numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks,
69,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Marchandises à la valeur,Lorient,,,,1291,,,Pas d'unité de mesure ni de prix unitaire,
70,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Miel,Lorient,51260,Livres,"0,24",12302,#REF!,,,
71,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Miel,Dunkerque,29282,Livres,"0,24",7028,#REF!,,,
72,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Miel,Hollande,98554,Livres,"0,24",23653,#REF!,,,
73,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Mouchoirs de gaze,Lorient,3,Douzaines,60,180,#REF!,,,
74,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Poterie,Lorient,,,,8880,,,Pas d'unité de mesure ni de prix unitaire,
75,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Papier à écrire,Lorient,600,Livres,"0,6",360,0,,,
76,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Poisson salé (sardines pressées),Petites isles,3600,Livres,,1050,,,Pas de prix unitaire,
77,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Poisson salé (sardines pressées),Marseille,41430,Livres,,12169,,,Pas de prix unitaire,
78,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sardines en saumure,Marseille,91750,Livres,,11010,,,Pas de prix unitaire,
79,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Lorient,127100,Livres,,1070,,,Quantités incompréhensibles,
80,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Angleterre,1838500,Livres,,15298,,,Quantités incompréhensibles,
81,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Danemarck,1668000,Livres,,13927,,,Quantités incompréhensibles,
82,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Sel,Amérique,1521000,Livres,,12696,,,Quantités incompréhensibles,
83,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Saumure,Marseille,20000,Livres,,960,,,Pas de prix unitaire,
84,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Suif en pain,Lorient,5750,Livres,"0,5",2875,#REF!,,,
85,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Toille,Lorient,45,Aunes,3,135,#REF!,,,
86,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bretagne,Vin,Lorient,1000,Pintes,"0,4",400,#REF!,,3 muids et 136 pintes à 100£ les 250 pintes, 
87,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,Bordeaux,Vin,Lorient,10250,Pintes,,3116,,,35 muids et 170 pintes,
88,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,7,1789,Lorient,Subordonné de Lorient,,Vin du pays,Lorient,600,Bouteilles,2,1200,0,,,
89,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Bierre,Lorient,"5,32291667",muids,,216,,,Pas de prix unitaire,
90,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,,Bois à bruler,Lorient,1,Valeur,5000,5000,#REF!,,En valeur,
91,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Bois à bruler,Petites isles,1,Valeur,5000,5000,#REF!,,En valeur,
92,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Bois de contruction,Lorient,,,,3709,,,"Quantités difficiles , pas de prix unitaire ni d'unité de mesure",
93,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Farine,Lorient,24466,Livres,,2446,,,Pas de prix unitaire,
94,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles avoine,Lorient,22766,Livres,,959,,,Pas de prix unitaire,
95,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles froment,Lorient,52800,Livres,,5280,,,Pas de prix unitaire,
96,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles orge,Lorient,3833,Livres,,308,,,Pas de prix unitaire,
97,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Graines comestibles seigle,Petites isles,1966,Livres,,140,,,Pas de prix unitaire,
98,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,,Marchandises à la valeur,Lorient,1,Valeur,1100,1100,#REF!,,En valeur,
99,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,,Marchandises à la valeur,Hollande,1,Valeur,64,64,#REF!,,En valeur,
100,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Miel,Lorient,56900,Livres,,13570,,,Pas de prix unitaire,
101,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Miel,Hollande,65388,Livres,,15700,,,Pas de prix unitaire,
102,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Ouvrage de tonnelier en futaille,Petites isles,777,Nombre,,262,,,Pas de prix unitaire,
103,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Poterie,Lorient,451,Douzaines,,929,,,Pas de prix unitaire,
104,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,,Terraille,Lorient,1,Valeur,315,315,0,,En valeur,
105,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Poisson salé en rogues,Lorient,67,Barils,,4060,,,Pas de prix unitaire,
106,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Poisson salé en rogues,Petites isles,54,Barils,,2412,,,Pas de prix unitaire,
107,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,9,1789,Lorient,Quimper,Bretagne,Poisson salé sardines,Bayonne,"1011,5",Barriques,,36872,,,Pas de prix unitaire,
108,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,,Ouvrages de pelleterie,Lorient,,Livres,,656,,,Pas de quantité ni de prix unitaire,
109,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Guyenne,Ouvrages d'ozier,Lorient,,,,525,,,Total uniquement,
110,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Parasols,Amérique,134,Nombre,,1600,,,Pas de prix unitaire,
111,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Lyon,Parasols,,,,,0,,,,
112,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Bretagne,Parfumerie (poudre),Lorient,2355,Livres,"0,5",1177,#REF!,,,
113,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Lorient.csv,National par direction,Exports,11,1789,Lorient,Ville de Lorient,Bretagne,Peaux de moutons mégissées,Lorient,1998,Nombre,"1,5",2997,#REF!,,,
