numrodeligne,dataentryby,source,sourcepath,sourcetype,Exportations (Sorties)/Importations (Entrées),sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Drap de laine,L'Espagne et les Etats de dépendance,"82,00",Aunes,"12,0000000","984,00","0,00",
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Droguerie diverses,Angleterre ,,valeur,,"267,00",,Pas de quantité ni de prix unitaire
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Drogueries médicinales,Angleterre ,,valeur,,"132,00",,Pas de quantité ni de prix unitaire
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Jus de réglisse,Angleterre ,"411,00",Livres,"3,0000000","1 233,00","0,00",
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Quinquina,Angleterre ,"30,00",Livres,"10,0000000","300,00","0,00",
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Hollande,Epicerie (canelle),Angleterre ,"150,00",Livres,"5,0000000","750,00","0,00",
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Girofle,Angleterre ,"364,00",Livres,"10,0000000","3 640,00","0,00",
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Gingembre,Angleterre ,"313,00",Livres,"0,6000000","188,00","0,20",
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Muscade,Angleterre ,"7,00",Livres,"30,0000000","210,00","0,00",
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Poivre,Angleterre ,"461,00",Livres,"1,8000000","830,00","0,20",
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Etranger,Etoffes de coton,Angleterre ,,valeur,,"400,00",,Pas de quantité ni de prix unitaire
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Lyon,Etoffes de soye,Angleterre ,"8,00",Livres,"50,0000000","400,00","0,00",
41,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,3,1789,Saint Malo,Saint Malo,Flandres,Etoffes de laine etamine,Angleterre ,"504,00",Aunes,,"720,00",,Prix unitaire illisible
42,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Fer en paquets,Angleterre ,"1 000,00",Livres,"0,2000000","200,00","0,00",20 livres le quintal
43,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Normandie,Fer en marmites,Angleterre ,"75,00",Nombre,,"112,00",,Pas de prix unitaire
44,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Fil à coudre,Angleterre ,"283,00",Livres,"2,0000000","566,00","0,00",
45,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Fil à mèche,Angleterre ,"1 120,00",Livres,"1,1000000","1 232,00","0,00",
46,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Fruits cruds,Angleterre ,,valeur,,"269,00",,Pas de prix unitaire
47,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Citrons,Angleterre ,"69,00",Caisses,,"1 242,00",,Pas de prix unitaire
48,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Oranges,Angleterre ,"71,00",Caisses,,"2 130,00",,
49,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Fruits confits,Angleterre ,,valeur,,"166,00",,
50,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Fruits secs (figues),Angleterre ,"415,00",Livres,"0,3000000","124,00","-0,50",30 livres le quintal
51,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Figues,Angleterre ,"8 874,00",Livres,"0,3000000","2 662,00","-0,20",30 livres le quintal
52,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Noix,Angleterre ,,valeur,,"4 550,00",,
53,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Noisettes,Angleterre ,,valeur,,"207,00",,
54,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Prunes seches,Angleterre ,"5 488,00",Livres,"0,4500000","2 470,00","0,40",45 livres le quintal
55,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Raisin sec,Angleterre ,"18 420,00",Livres,"0,3000000","5 526,00","0,00",30 livres le quintal
56,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Raisin de Corinthe,Angleterre ,"11 640,00",Livres,"0,3000000","3 492,00","0,00",30 livres le quintal
57,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Futailles vides,Petites isles,"300,00",Pièces,"3,0000000","900,00","0,00",
58,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Isle de France,Gants de peau,Angleterre ,"1 344,00",Paires,,"2 016,00",,Pas de prix unitaire
59,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Isle de France,Gaze de soye,Angleterre ,"871,00",Aunes,"5,0000000","2 613,00","-1 742,00",
60,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Graine de lin,La Hollande,"2 606,00",Livres,"0,1000000","261,00","0,40",10 livres le quintal
61,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Etranger,Graisse salée,Angleterre ,"917,00",Livres,"0,7500000","687,00","-0,75",
62,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Huile d'olive,Angleterre ,,valeur,,"6 233,00",,"Pas de prix unitaire + quantité: 978 pots et 3299,5 livres"
63,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Huile a bruler,Angleterre ,,valeur,,"592,00",,
64,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Legumes divers,Petites isles,,valeur,,"112,00",,
65,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Legumes divers,Angleterre ,,valeur,,"378,00",,
66,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Librairie,Angleterre ,"3 745,00",Valeur,"1,0000000","3 745,00","0,00",
67,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Lingerie,Angleterre ,,Valeur,,"7 563,00",,
68,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Marchandises à la valeur,Angleterre ,,Valeur,,"2 276,00",,
69,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Marchandises à la valeur,La Hollande,,Valeur,,"105,00",,
70,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Mercerie,Angleterre ,409,Livres,"2,0000000","802,00","-16,00",Erreur de calcul
71,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Provence,Meubles divers,Angleterre ,,Valeur,,"2 100,00",,
72,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Miel,Angleterre ,12222,Livres,"0,2200000","2 689,00","0,16",22 livres le quintal
73,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Miel,La Hollande,184800,Livres,"0,2200000","40 656,00","0,00",22 livres le quintal
74,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Normandie,Mouchoir de coton,Angleterre ,280,Aunes,"3,0000000","840,00","0,00",
75,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Normandie,Ouvrages divers de bois,Angleterre ,,Valeur,,"3 276,00",,
76,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Normandie,Ouvrages d'ozier,Angleterre ,,Valeur,,"272,00",,
77,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Papier blanc,Angleterre ,61,Rames,"9,0000000","552,00","3,00",Erreur de calcul
78,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Papier gris,Angleterre ,68,Rames,"3,5000000","238,00","0,00",
79,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Papier peint,Angleterre ,,Valeur,,"304,00",,
80,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,4,1789,Saint Malo,Saint Malo,Bretagne,Parapluyes,Angleterre ,134,Nombre,"18,0000000","2 412,00","0,00",
81,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Peaux de chanvre,Angleterre ,30,Nombre,"6,0000000","180,00","0,00",
82,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Peaux de Bazanne,Angleterre ,125,Nombre,"1,5000000","187,00","-0,50",
83,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Peaux de moutons passées,Angleterre ,112,Nombre,"1,5000000","168,00","0,00",
84,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Peaux de veaux corroyées,Angleterre ,358,Livres,"2,0000000","716,00","0,00",159 nombre pour 358 livres
85,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Peaux de veaux passées,Angleterre ,285,Livres,"2,5000000","712,00","-0,50",7 nombre pour 285 livres
86,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Angleterre,Poivres à meules,La Hollande,18,Nombre,"6,0000000","108,00","0,00",
87,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Angleterre,Plumes à lit,Angleterre ,787,Livres,"3,0000000","2 754,00","393,00",Erreur de calcul
88,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Angleterre,Plumes teintes,Angleterre ,2,Livres,,"150,00",,Pas de prix unitaire
89,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Angleterre,Poisson salé divers,Angleterre ,,Valeur,,"153,00",,
90,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint-Cast,Huitres,Angleterre ,1280000,Livres,"0,0030000","3 840,00","0,00",3 livres le mille
91,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint Pierre et Miquelon,Morues vertes,Angleterre ,280,Nombre,"0,8000000","224,00","0,00",80 livres le quintal
92,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint Pierre et Miquelon,Sardines,Angleterre ,53,Barils,"40,0000000","2 120,00","0,00",
93,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint Pierre et Miquelon,Saumon,Marseille,48000,Livres,"0,3000000","14 400,00","0,00",30 livres le quintal
94,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint Pierre et Miquelon,Poterie de terre,Angleterre ,,Valeur,,"150,00",,
95,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint Pierre et Miquelon,Provisions de bouche,Angleterre ,,Valeur,,"1 296,00",,
96,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Saint Pierre et Miquelon,Quincaillerie de fer,Angleterre ,8828,Livres,,"4 414,00",,Pas de prix unitaire
97,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Isle de France,Ruban de soye,Angleterre ,"9,5",Livres,,"596,00",,
98,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Provence,Savon,Petites isles,20000,Livres,"0,5300000","10 600,00","0,00",53 livres le quintal
99,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Marseille,Souffre,Angleterre ,3978,Livres,"0,1600000","636,00","-0,48",16 livres le quintal
100,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Marseille,Sucre candi,Angleterre ,278,Livres,"1,5000000","417,00","0,00",
101,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Suif,Angleterre ,1276,Livres,"0,6000000","766,00","0,40",60 livres le quintal
102,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Tamis,Angleterre ,228,Nombre,"1,3000000","296,00","-0,40",
103,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Bretagne,Toilles diverses,Angleterre ,,Valeur,,"256,00",,
104,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Normandie,Toille de coton,Angleterre ,"295,5",Livres,"8,0000000","2 364,00","0,00",
105,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Normandie,Toille guinée blanche,Angleterre ,15,Pièces,"40,0000000","600,00","0,00",
106,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Normandie,Toille guinée bleue,Angleterre ,32,Pièces,"22,0000000","704,00","0,00",
107,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National par direction,Exports,5,1789,Saint Malo,Saint Malo,Normandie,Toille indienne,Angleterre ,161,Aunes,"4,0000000","644,00","0,00",
