numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Estampes,L'Allemagne et la Pologne,40,Livres,,200,,
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Etoffes de soye,L'Espagne et les Etats en dépendances,"9,5",Livres,,475,,
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Etoffes de soye,Le Portugal,36,Livres,,1800,,
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Etoffes de soye,"Naples, Sicile et Parme",36,Livres,,1800,,
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Etoffes de soye,Etats du roi de Sardaigne,10,Livres,,500,,
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Fruits confits en confiture,L'Angleterre,1,Valeur,400,400,0,
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Galons d'argent,L'Allemagne et la Pologne,216,Marcs,,9720,,
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Galons d'or,Le Portugal,2,Livres,,240,,
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Galons d'or,L'Allemagne et la Pologne,11,Livres,,1320,,
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Gans de peaux,L'Allemagne et la Pologne,30,Livres,,300,,
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Gans brodés en or et soye,L'Espagne et les Etats en dépendances,1,Valeur,1900,1900,0,
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,3,1789,Passeports,Gaze de soye,"Naples, Sicile et Parme",25,Livres,,2000,,
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Glaces,L'Angleterre,4545,Livres,,27270,,
41,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Glaces,L'Allemagne et la Pologne,4400,Livres,,26400,,
42,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,L'Espagne et les Etats en dépendances,1,Valeur,4940,4940,0,
43,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,Le Portugal,1,Valeur,4000,4000,0,
44,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,Etats du roi de Sardaigne,1,Valeur,350,350,0,
45,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,"Naples, Sicile et Parme",1,Valeur,5785,5785,0,
46,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,Venise,1,Valeur,1500,1500,0,
47,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,L'Angleterre,1,Valeur,290,290,0,
48,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Habillements,"La Suisse, les alliés et Genève",1,Valeur,2500,2500,0,
49,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Harnais,L'Angleterre,1,Valeur,290,290,0,
50,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Horlogerie,"Naples, Sicile et Parme",1,Valeur,300,300,0,
51,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Horlogerie,L'Angleterre,1,Valeur,700,700,0,
52,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Horlogerie,L'Allemagne et la Pologne,1,Valeur,275,275,0,
53,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Instruments d'astronomie,Le Levant et l'Empire Ottoman,1,Valeur,460,460,0,
54,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Instruments de mathématiques,L'Espagne et les Etats en dépendances,1,Valeur,600,600,0,
55,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Instruments de musique,"Naples, Sicile et Parme",265,Livres,,667,,
56,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Instruments de musique,L'Angleterre,200,Livres,,500,,
57,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Laine filée,"Naples, Sicile et Parme",55,Livres,,220,,
58,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Librairie,Le Portugal,245,Livres,,490,,
59,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Librairie,L'Angleterre,4200,Livres,,8400,,
60,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Lingerie,Le Portugal,1,Valeur,690,690,0,
61,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,4,1789,Passeports,Lingerie,L'Angleterre,1,Valeur,4000,4000,0,
62,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Marchandises meslées,Le Portugal,1,Valeur,130,130,0,
63,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Marchandises meslées,"Naples, Sicile et Parme",1,Valeur,4225,4225,0,
64,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Marchandises meslées,L'Angleterre,1,Valeur,62,62,0,
65,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Marchandises meslées,L'Allemagne et la Pologne,1,Valeur,405,405,0,
66,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Marchandises meslées,"La Suisse, les alliés et Genève",1,Valeur,60,60,0,
67,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Meubles,"Naples, Sicile et Parme",1,Valeur,3600,3600,0,
68,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Meubles,Venise,1,Valeur,1500,1500,0,
69,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Meubles,L'Angleterre,1,Valeur,4700,4700,0,
70,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Meubles,L'Allemagne et la Pologne,1,Valeur,600,600,0,
71,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Meubles,"La Suisse, les alliés et Genève",1,Valeur,1300,1300,0,
72,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Meubles,La Russie et Courlande,1,Valeur,9000,9000,0,
73,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Mercerie ,Etats du roi de Sardaigne,275,Livres,,550,,
74,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Mercerie ,"Naples, Sicile et Parme",420,Livres,,840,,
75,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Mercerie ,L'Angleterre,200,Livres,,400,,
76,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Mercerie ,L'Allemagne et la Pologne,355,Livres,,710,,
77,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Mercerie ,"La Suisse, les alliés et Genève",100,Livres,,200,,
78,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Musique,L'Angleterre,200,Livres,,500,,
79,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Armement de table,Le Portugal,1,Valeur,300,300,0,
80,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Armement de table,Etats du roi de Sardaigne,1,Valeur,200,200,0,
81,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Armement de table,L'Angleterre,1,Valeur,600,600,0,
82,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de bois doré,L'Angleterre,1,Valeur,875,875,0,
83,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de bois doré,L'Allemagne et la Pologne,1,Valeur,140,140,0,
84,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de cuir en soulier,"Naples, Sicile et Parme",36,Paires,,180,,
85,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de cuivre doré et argenté,Etats du roi de Sardaigne,1,Valeur,1200,1200,0,
86,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de cuivre doré et argenté,L'Angleterre,1,Valeur,700,700,0,
87,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage en dorure et argenture,"Naples, Sicile et Parme",1,Valeur,700,700,0,
88,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de modes,L'Espagne et les Etats en dépendances,1,Valeur,500,500,0,
89,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de modes,"Naples, Sicile et Parme",1,Valeur,1300,1300,0,
90,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de modes,L'Angleterre,1,Valeur,600,600,0,
91,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,5,1789,Passeports,Ouvrage de modes,L'Allemagne et la Pologne,1,Valeur,595,595,0,
92,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Ouvrage de passementerie en argent de soye,L'Espagne et les Etats en dépendances,8,Livres,,240,,
93,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Ouvrage de phisique,Le Portugal,1,Valeur,400,400,0,
94,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Parfurmerie en pomade,L'Allemagne et la Pologne,65,Livres,,195,,
95,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Parfumerie en poudre à poudrer,L'Allemagne et la Pologne,575,Livres,,230,,
96,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Plume d'autruche appretée,"Naples, Sicile et Parme",2,Livres,,160,,
97,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Porcelaine,L'Espagne et les Etats en dépendances,667,Livres,,4000,,
98,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Porcelaine,Le Portugal,60,Livres,,360,,
99,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Porcelaine,"Naples, Sicile et Parme",1075,Livres,,6450,,
100,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Porcelaine,L'Angleterre,450,Livres,,2700,,
101,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Porcelaine,L'Allemagne et la Pologne,160,Livres,,960,,
102,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Porcelaine,"La Suisse, les alliés et Genève",1000,Livres,,6000,,
103,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Rubans de soye,Le Portugal,"8,5",Livres,,510,,
104,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Soye à broder,"Naples, Sicile et Parme",12,Livres,,360,,
105,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Tableaux,L'Angleterre,600,Livres,,3000,,
106,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Tableaux,L'Allemagne et la Pologne,60,Livres,,300,,
107,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,6,1789,Passeports,Tapis,L'Allemagne et la Pologne,80,Livres,,240,,
108,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,7,1789,Passeports,Vin de Bordeaux,L'Allemagne et la Pologne,350,Bouteilles,,700,,
109,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,7,1789,Passeports,Vin de Champagne,L'Allemagne et la Pologne,200,Bouteilles,,500,,
110,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,7,1789,Passeports,Vin ordinaire,"Naples, Sicile et Parme",260,Bouteilles,,195,,
111,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,7,1789,Passeports,Vin ordinaire,L'Angleterre,1420,Bouteilles,,1065,,
112,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,7,1789,Passeports,Vin ordinaire,L'Allemagne et la Pologne,1050,Bouteilles,,787,,
113,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 – Exports – Passeports.csv,National par direction,Exports,7,1789,Passeports,Vin de liqueur,L'Angleterre,1530,Bouteilles,,3060,,
