numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,origine,total,quantity_unit,probleme,remarks,prix_unitaire,doubleaccounts
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Acier,Espagne,870,29,Etranger,870,quintal,0,,30,
2,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Acier,4 villes anséatiques,2554,"72,98",,75124,quintal,"-1,05",erreur de calcul,35,
2,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Acier,Angleterre,159,"4,54",,75124,quintal,"-1,05",erreur de calcul,35,
2,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Acier,Hollande,64905,"1854,44",,75124,quintal,"-1,05",erreur de calcul,35,
2,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Acier,Suède,7506,"214,47",,75124,quintal,"-1,05",erreur de calcul,35,
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,2,Acier,angleterre,1200,,,,,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,2,Acier,hollande,14105,40300,,,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque,2,Acier,les4villesansatiques,420,1200,,,livres,,,,0
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Acier,Espagne et les Etats dépendants,881,"29,38",,8882,quintal,"0,2",erreur de calcul,30,
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Acier,Etat de Barbarie,4246,"141,53",,8882,quintal,"0,2",erreur de calcul,30,
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Acier,Etats du Roi de Sardaigne,2635,"87,83",,8882,quintal,"0,2",erreur de calcul,30,
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Acier,Levant,814,"27,12",,8882,quintal,"0,2",erreur de calcul,30,
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Acier,"Naples, Sicile et Parme",306,"10,2",,8882,quintal,"0,2",erreur de calcul,30,
1,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,27,Acier,Angleterre,30,100,,,livre,,"Bois, métaux, combustibles",,
1,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Acier,Genes,189,7,,39194,quintal,0,,27,
1,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Acier,Hollande,19577,"725,09",,39194,quintal,0,,27,
1,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Acier,"Milan, Toscane et Lucques",9506,,,39194,quintal,0,,27,
1,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Acier,Suède,9922,"367,5",,39194,quintal,0,,27,
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Nantes,Beauvais sur mer,3,Acier,Petites Isles,160,4,,,en nombre,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,17,Acier,angleterre,9237,23093,,156336,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,2,Acier,hollande,19849,49622,,27373,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,17,Acier,hollande,139801,349503,,156336,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,3,Acier,sude,7524,18810,,27373,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,18,Acier,sude,7298,18245,,156336,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Givet,7,Acier,allemagne,2162,4600,,2162,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Valenciennes,13,Acier,etatsdelempereur,270,540,,270,en nombre,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque-Basseville,27,Acier ; en barres,sude,21284,59127,,21284,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Maubeuge,4,Acier ; en barres,allemagne,4056,6760,,7086,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Valenciennes,Maubeuge,4,Acier ; en barres,etatsdelempereur,3030,5050,,7086,livres,,,,0
3,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Acier ; ouvré,Angleterre,3432,,,3432,,3432,"pas de prix, ni de quantité",0,
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Agrès ; de navire,Amérique,180,,,730,,730,"pas de prix, ni de quantité",0,
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Agrès ; de navire,Prusse,550,,,730,,730,"pas de prix, ni de quantité",0,
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Graveline,57,Agrès ; de navire ; en voiles,hollande,200,,,200,,,,,0
17,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,27,Alquifoux,Angleterre,50210,250969,,,livre,,Drogueries et epiceries,,
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Bordeaux,Bordeaux,19,Alumettes ; souffrées,Hollande,4922,"140,63",,4922,quintal,"-0,05",erreur de calcul,35,
23,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,27,Alun,Angleterre,3400,20000,,,livre,,Drogueries et epiceries,,
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amadou,Espagne et les Etats dépendants,994,994,,1184,livre,0,,1,
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amadou,Etats du Roi de Sardaigne,190,190,,1184,livre,0,,1,
2,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amadou,Genes,2365,2365,,20375,livre,0,erreur de calcul,1,
2,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amadou,"Milan, Toscane et Lucques",234,234,,20375,livre,0,erreur de calcul,1,
2,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amadou,"Naples, Sicile et Parme",17776,17776,,20375,livre,0,erreur de calcul,1,
2,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,2,Amadou,marseilles,2640,5296,,,livres,,,,0
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; cassées,4 villes Anséatiques,830,830,Provence,4777,livre,0,,1,
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; cassées,Angleterre,1270,1270,Provence,4777,livre,0,,1,
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; cassées,Danemark et Norvège,1267,1267,Provence,4777,livre,0,,1,
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; cassées,Etats de l'Empereur en Allemagne et Flandre,700,700,Provence,4777,livre,0,,1,
3,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; cassées,Russie,710,710,Provence,4777,livre,0,,1,
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Subordonnés de Dunkerque,36,Amandes ; cassées,bayonne,768,5260,,,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Lille,41,Amandes ; cassées,etatsdelempereur,1388,2776,,1388,livres,,,,0
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Lille,41,Amandes ; cassées,marseilles,330,660,,1388,livres,,,,0
2,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque-Basseville,27,Amandes ; cassées,marseilles,1053,3515,,,livres,,,,0
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Penne,8,Amandes ; cassées,Marseille,29600,592,Provence,,quintal,0,,50,
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Septemes,17,Amandes ; cassées,Marseille,413111,"9180,25",Provence,,quintal,"-0,25",,45,
4,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Dunkerque,26326,"431,57",,,quintal,0,,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Bayonne,3198,"36,04",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Danemark et Norvège,17893,"293,33",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Espagne et les Etats dépendants,5065,"83,03",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Etat Eclésiastique,16474,"270,07",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Etat de Barbarie,128,"2,1",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Etats de l'Empereur en Allemagne et Flandres,4050,"66,4",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Etats du Roi de Prusse,6763,"110,88",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Etats du Roi de Sardaigne,6696,"109,77",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Gènes,112838,"1849,81",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Hollande,22787,"373,56",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Les 4 villes anséatiques,29696,"486,83",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Levant,69313,"1136,29",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,"Milan, Toscane et Lucques",147597,"2419,62",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,"Naples, Sicile et Parme",49619,"813,42",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Russie,6086,"99,77",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Suède,10663,"174,8",,507985,quintal,"-2,87",erreur de calcul,61,
5,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; cassées,Venise,2317,"37,99",,507985,quintal,"-2,87",erreur de calcul,61,
3,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amandes ; cassées,Espagne,15209,"271,59",,50036,quintal,0,,56,
3,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amandes ; cassées,Etat de Barbarie,17133,"305,95",,50036,quintal,0,,56,
3,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amandes ; cassées,Genes,4557,"18,38",,50036,quintal,0,,56,
3,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amandes ; cassées,"Milan, Toscane et Lucques",2566,,,50036,quintal,0,,56,
3,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amandes ; cassées,"Naples, Sicile et Parme",9986,"178,33",,50036,quintal,0,,56,
3,Jérémy Hervelin,AN F12 1667 et CCI Marseille I 31,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Marseille,Marseille,18,Amandes ; cassées,États du Roi de Sardaigne,585,"10,44",,50036,quintal,0,,56,
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,2,Amandes ; cassées,espagne,8335,9261,,8335,livres,,,,0
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,17,Amandes ; cassées,espagne,65145,108575,,178734,livres,,,,0
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,17,Amandes ; cassées,hollande,112494,187490,,178734,livres,,,,0
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,17,Amandes ; cassées,marseilles,41081,68469,,178734,livres,,,,0
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,2,Amandes ; cassées,marseilles,1469,9420,,8335,livres,,,,0
4,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Rouen,17,Amandes ; cassées,milanstoscaneetlucques,1095,1825,,178734,livres,,,,0
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Lille,Lille,5,Amandes ; diverses,dunkerque,300,,,650,,,,,0
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Lille,Lille,5,Amandes ; diverses,etatsdelempereur,650,,,650,,,,,0
3,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Lille,Dunkerque-Basseville,27,Amandes ; en cocques,marseilles,168,640,,,livres,,,,0
3,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,2,Amandes ; en cocques,espagne,6832,,,6832,,,,,0
3,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Le Havre,2,Amandes ; en cocques,marseilles,17954,7872,,6832,livres,,,,0
1,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Arles,2,Amandes ; en coque,Marseille,2312,"46,25",Provence,,quintal,"-0,5",,50,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Septemes,17,Amandes ; en coque,Marseille,48339,"1611,33",Provence,,quintal,"-0,9",,30,
18,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Penne,8,Amandes ; en coque,Marseille,4401,11003,Provence,,livre,"-0,2",,"0,4",
1,Jérémy Hervelin,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Imports,Rouen,Honfleur,36,Amandes ; en coque,espagne,180,300,,180,livres,,,,0
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,4 villes Anséatiques,680,"11,33",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Angleterre,3435,"57,25",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Danemark et Norvège,2153,"35,89",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Espagne,126,"2,1",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Etats de l'Empereur en Allemagne et Flandre,109,"1,82",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Etats du Roi de Prusse,1114,"18,57",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Etats-Unis d'Amérique,1158,"19,3",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Hollande,600,"8,33",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Lorient et Petites Isles,2000,"36,33",Provence,9801,quintal,"99,6",erreur de calcul,60,
2,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Bordeaux,Bordeaux,2,Amandes ; en coques,Russie,426,"7,1",Provence,9801,quintal,"99,6",erreur de calcul,60,
6,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; en coques,Angleterre,2451,"50,03",,51865,quintal,"-1,5",erreur de calcul,49,
6,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; en coques,Dunkerque,3015,"61,54",,51865,quintal,"-1,5",erreur de calcul,49,
6,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; en coques,Etats de l'Empereur en Allemagne et Flandres,213,"4,35",,51865,quintal,"-1,5",erreur de calcul,49,
6,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; en coques,Etats-Unis d'Amérique,7006,"142,99",,51865,quintal,"-1,5",erreur de calcul,49,
6,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; en coques,Hollande,9492,"193,72",,51865,quintal,"-1,5",erreur de calcul,49,
6,Jérémy Hervelin,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789.csv,National par direction,1789,Exports,Marseille,Marseille - Domaine d'occident,23,Amandes ; en coques,Levant,14372,"293,3",,51865,quintal,"-1,5",erreur de calcul,49,
