numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,year,direction,bureaux,sheet,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,problème,remarks
46,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Etoffes de laine ? ,Evechés,352,Livres,"3,5",1231,-1,
47,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fayance,Lorraine,2900,Livres,"0,3",870,0,
48,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fer en gueuse,Lorraine,91050,Livres,"0,3",27315,0,30 livres le quintal
49,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fer en verges,Lorraine,95039,Livres,"0,15",14256,"0,15",15 livres le quintal
50,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fer en verges,Allemagne et la Pologne,158500,Livres,"0,15",23775,0,
51,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fer vieux,Allemagne et la Pologne,84000,Livres,"0,1",8400,0,
52,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fil de lin,Etats de l'empereur,14130,Livres,"2,5",36325,1000,Erreur de calcul
53,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Fil de lin,Etats de l'empereur,1700,Livres,5,8500,0,
54,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Galon d'or,Evechés,38,Onces,"10,5",399,0,2 livres et 6 onces
55,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Huile de graine,Evechés,3700,Livres,"0,4",1480,0,
56,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Instruments de musique,Alsace,1,Valeur,172,172,0,
57,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Instruments de musique,Evechés,1,Valeur,720,720,0,
58,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Instruments de musique,Lorraine,1,Valeur,1278,1278,0,
59,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Laine filée,Lorraine et Evechés,1950,Livres,"1,5",2925,0,
60,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Laine filée,Evechés,500,Livres,"1,5",750,0,
61,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Laine non filée,Etats de l'empereur,15110,Livres,"1,2",18132,0,
62,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Laine non filée,Allemagne et la Pologne,21900,Livres,"1,2",26280,0,
63,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Liqueur,Lorraine,1579,Bouteilles,2,3158,0,
64,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Marchandises à la valeur,Evechés,1,Valeur,303,303,0,
65,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Mercerie en cuivre dés,Allemagne et la Pologne,1100,livres,"1,2",1320,0,
66,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Mercerie fine aiguille,Allemagne et la Pologne,2315,Livres,6,13890,0,
67,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Mercerie epingles,Allemagne et la Pologne,700,Livres,"0,9",630,0,
68,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ouvrages de cuir foureaux (de bayonettes),Alsace,15038,Nombre,"0,375",5639,"-0,25",
69,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ouvrages de cuir foureaux (de bayonettes),Evechés,4000,Nombre,"0,375",1500,0,
70,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ouvrages de foureurs,Evechés,1,Valeur,2951,2951,0,
71,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ouvrages de fondeurs,Allemagne et la Pologne,1200,livres,,300,,Pas de prix unitaire
72,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Papier blanc,Lorraine,15300,Livres,"0,5",7650,0,
73,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Pelleterie commune,Evechés,1,Valeur,555,555,0,
74,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Pierre noire,Alsace,3250,livres,"0,05",162,"-0,5",5 livres le quintal
75,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Poterie de grès ,Allemagne et la Pologne,1400,livres,"0,1",140,0,10 livres le quintal
76,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Quincaillerie outils de menuisier,Allemagne et la Pologne,391825,livres,"0,05",17912,"-1679,25",Erreur de calcul
77,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ruban de fil,Allemagne et la Pologne,394625,livres,"2,5",986562,"-0,5",
78,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ruban de fil teint,Allemagne et la Pologne,98175,livres,"2,5",245437,"-0,5",
79,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Ruban de laine,Allemagne et la Pologne,76335,livres,"2,5",190837,"-0,5",
80,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Salin pour verrerie,Alsace,18960,livres,"0,1",1896,0,10 livres le quintal
81,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Toile de chanvre,Evechés,7596,Aunes,"1,2",9115,"-0,2",
82,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Toile de chanvre,Alsace,9450,Aunes,,11340,,Pas de prix unitaire
83,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Toile de Coutil rayé,Evechés,1,Valeur,187,187,0,
84,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Toile de Coutil rayé,Allemagne et la Pologne,1122,Aunes,"3,5",3927,0,
85,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Toile de trielli,Alsace,405,Aunes,1,405,0,
86,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Verrerie diverse,Lorraine,1,Valeur,722,722,0,
87,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Verrerie de cristal,Alsace,1700,Livres,3,5100,0,
88,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Voiture,Angleterre,1,Nombre,800,800,0,
89,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Torcy,5,Vin ordinaire,Evechés,318,Bouteilles,"0,6",191,"0,2",
90,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Beurre salé,Allemagne et la Pologne,582,Livres,,247,,
91,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux bœufs,Etats de l'empereur,285,Nombre,150,42750,0,
92,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux bœufs,Allemagne et la Pologne,54,Nombre,150,8100,0,
93,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux chevaux,Etats de l'empereur,2,Nombre,300,600,0,
94,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux chevaux,Allemagne et la Pologne,27,Nombre,500,13500,0,
95,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux moutons,Etats de l'empereur,604,Nombre,20,12080,0,
96,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux moutons,Allemagne et la Pologne,1787,Nombre,20,35740,0,
97,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux porcs,Etats de l'empereur,596,Nombre,12,7152,0,
98,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux porcs,Allemagne et la Pologne,22,Nombre,12,264,0,
99,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux vaches,Etats de l'empereur,179,Nombre,60,10260,-480,Erreur de calcul
100,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux vaches,Allemagne et la Pologne,7,Nombre,60,420,0,
101,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux veaux,Etats de l'empereur,95,Nombre,15,1425,0,
102,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bestiaux veaux,Allemagne et la Pologne,34,Nombre,15,510,0,
103,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bois divers,Etats de l'empereur,1,Valeur,1658,1658,0,
104,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Bois planches,Etats de l'empereur,2838,Pièces,"0,75",2113,"-15,5",Erreur de calcul
105,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Cendre potasse,Etats de l'empereur,10550,Livres,"0,25",2637,"-0,5",25 livres le quintal
106,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Cendre potasse,Allemagne et la Pologne,7809,Livres,"0,25",1952,"-0,25",25 livres le quintal
107,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Charbon de bois,Etats de l'empereur,4000,Livres,,100,,Pas de prix unitaire
108,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Chaux,Etats de l'empereur,27000,Livres,,270,,Pas de prix unitaire
109,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Draperie 20 lignes,Etats de l'empereur,8,Aunes,20,160,0,
110,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Eau de vie,Etats de l'empereur,214,Pintes,1,214,0,
111,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Epicerie poivre,Etats de l'empereur,100,Livres,3,300,0,
112,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Epicerie poivre,Allemagne et la Pologne,50,Livres,"2,5",113,-12,Erreur de calcul
113,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Etoffes de laine diverses,Etats de l'empereur,1,Valeur,432,432,0,
114,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Etoffes de laine diverses,Allemagne et la Pologne,1,Valeur,1086,1086,0,
115,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Etoffes de laine bege 309 lignes,Allemagne et la Pologne,324,Aunes,5,1620,0,
116,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Farine de froment,Etats de l'empereur,1107,Livres,"0,25",277,"0,25",
117,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Graine froment,Etats de l'empereur,191408,Livres,"0,15",28711,"-0,2",
118,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Graine froment seigle,Etats de l'empereur,90071,livres,"0,1",9007,"-0,1",
119,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Houblon,Etats de l'empereur,1180,livres,"0,9",1062,0,
120,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Marchandises diverses,Etats de l'empereur,1,Valeur,610,610,0,
121,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Marchandises diverses,Allemagne et la Pologne,1,Valeur,519,519,0,
122,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Marbre ouvré,Etats de l'empereur,433,???,,4282,,
123,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Mercerie,Etats de l'empereur,1,Valeur,173,173,0,
124,Laura,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports – Charleville.csv,National par direction,Imports,1789,Charleville,Rocroy,7,Mercerie,Allemagne et la Pologne,1,Valeur,470,470,0,
