numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,quantit,quantity_unit,remarks,problemes,unit_price,doubleaccounts
26,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Planches sapin,Etats Unis,"1 588,00","800,00",Nombre,Conversion 800 nombre 7651,,,
27,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Bois de marine,Les 4 villes anséatiques,"243 251,00","81 117,00",Nombre,,,,
28,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; En poutres,Danemark,"984,00","164,00",Nombre,,,,
29,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Mérein,Allemagne,"1 488,00","12 400,00",Nombre,,,,
30,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Mérein,Etats du roi de Prusse,"576,00","4 800,00",Nombre,,,,
31,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Bois de construction; Mérein,Etats Unis,"9 943,00","85 610,00",Nombre,,,,
32,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Boîtes; De fer blanc,Angleterre,"2 500,00","50,00",Nombre,,,,
33,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Boîtes; D'étain,Angleterre,"2 000,00","54,00",Nombre,,,,
34,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Brai; Gras,Allemagne,"480,00","7 200,00",Livre,,,,
35,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Brai; Gras,Suede,"7 000,00","105 000,00",Livre,,,,
36,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Brai; Gras,Etats Unis,"2 000,00","30 000,00",Livre,,,,
37,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Brai; Goudron,Suede,"12 368,00","135 200,00",Livre,,,,
38,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Brai; Goudron,Etats Unis,"3 231,00","36 800,00",Livre,,,,
39,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Boutons,Angleterre,"660,00","76,00",Grosse,,,,
40,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Cendre potasse,Etats Unis,"8 725,00","11,00",Barils,Plus 33800 Livres,,,
41,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chairs salées; Bœuf,Angleterre,"7 140,00","44,00",Barils,Plus ou conversion en 50 Tonneaux,,,
42,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chairs salées; Bœuf,Etats Unis,"9 252,00","154,00",Barils,,,,
43,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chairs salées; Lard,Angleterre,"9 938,00",?,Barils,Plus 20 Tonneaux,,,
44,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chairs salées; Lard,Etats Unis,"2 880,00","40,00",Barils,,,,
45,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chairs salées; Graisse de porc,Angleterre,"200,00","400,00",Livre,,,,
46,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chanvre,Les 4 villes anséatiques,"44 436,00","194 655,00",Livre,,,,
47,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Chanvre,Russie,"177 062,00","536 550,00",Livre,,,,
48,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Charbon de terre,Angleterre,"6 640,00","380,00",Quintal,Conversion 380 Quinteaux en 150,,,
49,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Charbon de terre,Hollande,"1 480,00","180,00",Quintal,,,,
50,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Cire,Etats Unis,"2 213,00","1 650,00",Livre,,,,
51,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Cuirs tannés,Angleterre,"400,00",,Valeur,,,,
52,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Cuivre; En plateaux,Les 4 villes anséatiques,"490,00","280,00",Livre,,,,
53,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Cuivre; En feuilles,Angleterre,"331 704,00","236 083,00",Livre,,,,
54,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Draperie,Angleterre,"13 710,00",,Valeur,,,,
55,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,2,Drogueries,Angleterre,"800,00",,Valeur,,,,
56,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Drogues; pour teinture et peinture; Bleu d'azur,Hollande,"300,00","200,00",Livre,,,,
57,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Drogues; pour teinture et peinture; Couperose,Hollande,"120,00","600,00",Livre,,,,
58,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Drogues; pour teinture et peinture; Indigo,Etats Unis,"7 800,00","1 500,00",Livre,,,,
59,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Drogues; Peinture,Angleterre,"450,00",,Valeur,,,,
60,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Epiceries poivre piment,Etats Unis,"9 000,00","9 000,00",Livre,,,,
61,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Eau de vie de Genièvre,Hollande,"1 170,00","1 440,00",Pintes,Conversion 1440 Pintes en 5 Muids,,,
62,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etain en lingots,Angleterre,"900,00","29,00",Lingot,,,,
63,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etoffes coton;,Angleterre,"8 771,00",,?,,,,
64,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etoffes coton; Drap,Angleterre,"8 400,00",,Valeur,,,,
65,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etoffes coton; Velours,Angleterre,"11 500,00","173,00",?,,,,
66,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etoffes laine;,Angleterre,"6 800,00",,Valeur,,,,
67,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etoffes laine; Casimir,Angleterre,"4 700,00",,Valeur,,,,
68,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Etoffes laine; Flanelle,Angleterre,"350,00","250,00",Aune,,,,
69,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Farine fleur de froment,Etats Unis,"41 844,00","172 715,00",Livre,,,,
70,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fayance,Angleterre,"30 000,00",,Valeur,,,,
71,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; En barres,Hollande,"24 500,00","136 475,00",Livre,,,,
72,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; En barres,Danemark,"47 015,00","255 640,00",Livre,,,,
73,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; En barres,Suede,"90 428,00","458 855,00",Livre,,,,
74,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; En barres,Russie,"9 000,00","50 000,00",Livre,,,,
75,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; Quarillon,Suede,"916,00","5 090,00",Livre,,,,
76,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; Fouillard,Hollande,"490,00","2 450,00",Livre,,,,
77,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; Blanc,Angleterre,"2 400,00",,Valeur,,,,
78,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; Blanc,Les 4 villes anséatiques,"4 590,00","51,00",Barils,,,,
79,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; En tôle,Suede,"1 246,00","5 664,00",Livre,,,,
80,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fer; En clous,Angleterre,"6 000,00","60,00",Barils,,,,
81,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Fromage,Hollande,"22 588,00","47 400,00",Livre,,,,
82,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Graines; De lin,Etats Unis,"17 920,00","51 200,00",Livre,,,,
83,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Graines; De genièvre; Graines comestibles,Hollande,"600,00","70,00",?,,,,
84,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Graines; Bleu froment,Angleterre,"24 960,00","166 400,00",Livre,,,,
85,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Graines; Ris,Angleterre,"6 497,00","28 250,00",Livre,,,,
86,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Graines; Ris,Etats Unis,"162 124,00","732 609,00",Livre,,,,
87,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Houblon,Les 4 villes anséatiques,"777,00","622,00",Livre,,,,
88,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Huile; De poisson,Etats Unis,"66 630,00",,?,,,,
89,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Huile; De lin,Hollande,"7 120,00","840,00",?,,,,
90,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Huile; De baleine,Etats Unis,"60 440,00","12 040,00",?,,,,
91,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Instruments de mathématiques,Angleterre,"3 000,00",,Valeur,,,,
92,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Légumes Pommes de terre,Angleterre,"255,00","102,00",Boisseau,,,,
93,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Lin,Russie,"4 192,00","10 480,00",Livre,,,,
94,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Marchandises diverses à la valeur,Angleterre,"60,00",,Valeur,,,,
95,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Mercerie;,Angleterre,"26 600,00",,Valeur,,,,
96,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Mercerie;,Hollande,"6 700,00",,Valeur,,,,
97,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Mercerie; Et quincaillerie,Angleterre,"1 350,00",,Valeur,,,,
98,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,3,Mercerie; En anneaux de cuivre,Angleterre,"150,00","100,00",Grosse,,,,
99,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Ouvrages de bois en manches de gaffes et livardes,Russie,"1 150,00","460,00",Nombre,,,,
100,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Papier; Ordinaire,Hollande,"7 000,00","7,00",?,,,,
101,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Papier; A lettre,Hollande,"480,00","30,00",Rame,,,,
102,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Perlasse ?,Etats Unis,"3 555,00","14 220,00",Livre,,,,
103,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Pelleterie apprêtée,Etats Unis,"600,00","1,00",?,,,,
104,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Pierres précieuses en granit et rubis,Les 4 villes anséatiques,"1 400,00","1,00",Caisse,,,,
105,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Plomb; En feuilles,Angleterre,"860,00","76,00",Feuilles,,,,
106,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Plomb; En saumons,Angleterre,"58 698,00","246 701,00",Livre,,,,
107,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Plomb; A giboyer,Angleterre,"800,00","2 000,00",Livre,,,,
108,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Poil pour doublage,Russie,"1 654,00","93,00",?,,,,
109,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Poissons de mer; Harengs,Angleterre,"432,00","11,00",Barils,,,,
110,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Poissons de mer; Saumon salé,Angleterre,"396,00",,Tonneau,,,,
111,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Poules en étain,Angleterre,"954,00","1 908,00",Livre,,,,
112,Anthony Rebours,AN F12 1667,National par direction/AN/F_12_1666 et 1667/1789 - Imports - Lorient.csv,National par direction,1789,Importations,Lorient,Port franc de Lorient,4,Quincaillerie,Angleterre,"7 800,00",,Valeur,,,,
