numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,Largeur en lignes (pour tissu),remarks
11,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Bourgogne,Cire en bougie,"Suisse, les alliés et Genève","275,00",Livres,"3,0000000","825,00","0,00",,
12,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Marseille,Coton en laine du Levant,"Suisse, les alliés et Genève","4 564,00",Livres,"2,2500000","10 269,00","0,00",,
13,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Eau de vie simple,"Suisse, les alliés et Genève","15,63",Muids,,"2 812,00",,,15 muids et 180 pintes estimés à 2812
14,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,,Etoffes diverses à la valeur,"Suisse, les alliés et Genève","1,00",Valeur,"165,0000000","165,00","0,00",,En valeur
15,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Amiens,Etoffes de laine en camelot,"Suisse, les alliés et Genève","150,00",Aunes,"3,0000000","450,00","0,00",60,
16,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Flandre,Etoffes de laine en callemande,"Suisse, les alliés et Genève","37,00",Aunes,,"118,00",,,37 aunes estimées à 118£
17,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Amiens,Etoffes de laine espagnolette,"Suisse, les alliés et Genève","25,00",Livres,"7,0000000","175,00","0,00",,
18,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Etoffes de laine espagnolette,"Suisse, les alliés et Genève","110,00",Livres,"7,0000000","770,00","0,00",,
19,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Flandre,Etoffes de laine minorque,"Suisse, les alliés et Genève","78,00",Aunes,,"175,00",,,78 aunes estimées à 175£
20,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Etoffes de laine royale,"Suisse, les alliés et Genève","60,00",Livres,"5,0000000","300,00","0,00",,
21,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Flandre,Etoffes de laine satin turc,"Suisse, les alliés et Genève","70,00",Aunes,,"215,00",,,70 aunes estimées à 215£
22,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Fer en barres,"Suisse, les alliés et Genève","354 865,00",Livres,"0,2000000","70 973,00","0,00",,
23,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Fer ouvré en batterie,"Suisse, les alliés et Genève","1,00",Valeur,"300,0000000","300,00","0,00",,En valeur
24,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Fer ouvré en batterie,"Suisse, les alliés et Genève","9 500,00",Livres,"0,6000000","5 700,00","0,00",,
25,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Fer en bocage,"Suisse, les alliés et Genève","81 581,00",Livres,"0,0900000","7 342,00","-0,29",,
26,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Fer coulé en gueuses,"Suisse, les alliés et Genève","187 120,00",Livres,"0,1000000","18 712,00","0,00",,
27,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Fer en fonte,"Suisse, les alliés et Genève","45 140,00",Livres,"0,1000000","4 514,00","0,00",,
28,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Flandre,Fil blanc retord,"Suisse, les alliés et Genève","275,00",Livres,"3,0000000","825,00","0,00",,
29,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Fromage,"Suisse, les alliés et Genève","715,00",Livres,"0,3500000","250,00","-0,25",,
30,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Lyon,Gibier,"Suisse, les alliés et Genève","185,00",Pièces,,"274,00",,,185 pièces estimées à 274£
31,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Graine de chanvre,"Suisse, les alliés et Genève","18 940,00",Livres,"0,1500000","2 841,00","0,00",,
32,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Horlogerie diverse,"Suisse, les alliés et Genève","1,00",Valeur,"600,0000000","600,00","0,00",,En valeur
33,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Huile de navette,"Suisse, les alliés et Genève","6 566,00",Livres,"0,4000000","2 626,00","-0,40",,
34,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Librairie,"Suisse, les alliés et Genève","1,00",Valeur,"290,0000000","290,00","0,00",,En valeur
35,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Marchandises diverses à la valeur,"Suisse, les alliés et Genève","1,00",Valeur,"208,0000000","208,00","0,00",,En valeur
36,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Paris,Meubles,"Suisse, les alliés et Genève","1,00",Valeur,"1 800,0000000","1 800,00","0,00",,En valeur
37,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Normandie,Mouchoirs de coton,"Suisse, les alliés et Genève","40,00",Douzaines,"24,0000000","960,00","0,00",80,
38,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Papier à cartes,"Suisse, les alliés et Genève","865,00",Livres,"2,0000000","1 730,00","0,00",,
39,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Pierres à fusil,"Suisse, les alliés et Genève","2 175,00",Livres,"0,1500000","326,00","-0,25",,
40,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Quincaillerie de fer cloud,"Suisse, les alliés et Genève","10 400,00",Livres,"0,5000000","5 200,00","0,00",,
41,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Normandie,Ruban de fil,"Suisse, les alliés et Genève","35,00",Livres,"3,0000000","105,00","0,00",,
42,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Marseille,Sucre en pain et rafiné,"Suisse, les alliés et Genève","238,00",Livres,,"120,00",,,238£ estimées à 120£
43,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Suif en chandelle,"Suisse, les alliés et Genève","9 100,00",Livres,"0,7500000","6 825,00","0,00",,
44,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Etranger,Tabac en feuilles,"Suisse, les alliés et Genève","72,00",Livres,"1,5000000","108,00","0,00",,
45,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Inde commerce français,Thé,"Suisse, les alliés et Genève","73,00",Livres,"6,0000000","438,00","0,00",,
46,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Normandie,Toile peinte dite indienne,"Suisse, les alliés et Genève","40,00",Aunes,"3,0000000","120,00","0,00",10,
47,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Normandie,Toile siamoise fil et coton,"Suisse, les alliés et Genève","700,00",Aunes,"2,5000000","1 750,00","0,00",245,
48,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Verre en bouteilles,"Suisse, les alliés et Genève","21 000,00",Nombre,"0,2500000","5 250,00","0,00",,
49,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Bourgogne,Vin,"Suisse, les alliés et Genève","166,67",Muids,,"20 000,00",,,166 muids et 192 pintes estimés à 20000£
50,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Vin,"Suisse, les alliés et Genève","128 160,00",Pièces,"0,2500000","32 040,00","0,00",,
51,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,3,1789,Besancon,Jougne,Franche comté,Volaille,"Suisse, les alliés et Genève","4 500,00",Nombre,"2,0000000","9 000,00","0,00",,
52,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Amandes,Lorraine,"14 286,00",Livres,"0,6000000","8 572,00","0,40",,
53,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Forez,Armes à feu,Lorraine,"1 224,00",Livres,"1,0000000","1 224,00","0,00",,
54,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Bestiaux divers,Lorraine,"1,00",Valeur,"180,0000000","180,00","0,00",,En valeur
55,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Bestiaux bœufs,Lorraine,"3 207,00",Nombre,"200,0000000","641 400,00","0,00",,
56,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Bestiaux génisses,Lorraine,"12,00",Nombre,"60,0000000","720,00","0,00",,
57,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Bestiaux moutons,Lorraine,"54,00",Nombre,"12,0000000","648,00","0,00",,
58,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Bestiaux porcs,Lorraine,"1 094,00",Nombre,"40,0000000","43 760,00","0,00",,
59,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Bestiaux vaches,Lorraine,"435,00",Nombre,"120,0000000","52 200,00","0,00",,
60,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Bonneterie de soye,Lorraine,"1 166,00",Livres,"55,0000000","64 130,00","0,00",,
61,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Caffé,Lorraine,"1 215,00",Livres,"1,0000000","1 215,00","0,00",,
62,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Chapeaux poil et laine,Lorraine,"634,00",Douzaines,"96,0000000","60 864,00","0,00",,
63,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Coton filé,Lorraine,"190,00",Livres,"5,0000000","1 038,00","88,00",,Erreur de calcul
64,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Coutellerie,Lorraine,"7 843,00",Livres,"1,5000000","11 764,00","-0,50",,
65,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Couvertures de laine,Lorraine,"250,00",Livres,"2,0000000","500,00","0,00",,
66,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Dentelle de fil,Lorraine,"10,75",Livres,"200,0000000","2 150,00","0,00",,
67,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Dentelle de soye,Lorraine,"11,00",Livres,"300,0000000","3 300,00","0,00",,
68,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Languedoc,Drap de Languedoc,Lorraine,"566,00",Livres,"10,0000000","5 660,00","0,00",,
69,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Languedoc,Drap de Lodève,Lorraine,600,Livres,"10,0000000","6 000,00","0,00",,
70,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Drogues médicales diverses,Lorraine,9257,Livres,"2,0000000","18 514,00","0,00",,
71,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Drogues metaliques et chimiques vitriol,Lorraine,700,Livres,"0,6000000","420,00","0,00",,
72,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Eau de vie simple,Lorraine,1082,Muids,"160,0000000","173 120,00","0,00",,
73,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Epicerie diverse,Lorraine,5542,Livres,"2,0000000","11 084,00","0,00",,
74,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Etoffe de coton,Lorraine,141,Livres,"10,0000000","1 410,00","0,00",,
75,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Etoffe de coton et soye,Lorraine,433,Livres,"15,0000000","6 495,00","0,00",,
76,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Etoffe fleuret,Lorraine,1756,Livres,"15,0000000","26 340,00","0,00",,
77,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Etoffe de laine dite burat,Lorraine,806,Livres,"8,0000000","6 448,00","0,00",,
78,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Etoffe de soye,Lorraine,3727,Livres,"55,0000000","204 985,00","0,00",,
79,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Fer de onte en gueuse,Lorraine,3690798,Livres,"0,1000000","369 079,00","-0,80",,
80,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Fruits cruds en citrons,Lorraine,5530,Livres,"0,2500000","1 382,00","-0,50",,
81,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Gants de peaux,Lorraine,181,Douzaines,"12,0000000","2 172,00","0,00",,
82,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Gaze de soye,Lorraine,99,Livres,"80,0000000","7 920,00","0,00",,
83,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Huile d'olive,Lorraine,651195,Livres,"1,0000000","651 195,00","0,00",,
84,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Laine non filée,Lorraine,11260,Livres,"2,0000000","22 520,00","0,00",,
85,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Laine non filée,Lorraine,320,Livres,"2,0000000","640,00","0,00",,
86,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Liege en bouchon,Lorraine,2545,Livres,"0,6000000","1 527,00","0,00",,
87,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Mouchoirs de soye,Lorraine,3,Livres,"50,0000000","150,00","0,00",,
88,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Ouvrages en dorure fine,Lorraine,844,Livres,"120,0000000","101 280,00","0,00",,
89,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Ouvrages de passementerie,Lorraine,18,Livres,"20,0000000","360,00","0,00",,
90,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Parassols de soye,Lorraine,292,Livres,,"1 176,00",,,"à 12lt la pièce, 292 livres poids"
91,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Parfumerie diverse,Lorraine,605,Livres,"2,0000000","1 210,00","0,00",,
92,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Peaux en bazanne,Lorraine,395,Livres,"1,5000000","592,00","-0,50",,
93,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Provision de bœuf,Lorraine,5292,Livres,"1,0000000","5 292,00","0,00",,
94,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Ruban de soye,Lorraine,2390,Livres,"55,0000000","131 450,00","0,00",,
95,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Marseille,Savon,Lorraine,15178,Livres,"0,6500000","9 866,00","0,30",,
96,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Soye à coudre,Lorraine,36,Livres,"30,0000000","1 080,00","0,00",,
97,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Lyon,Toile ,Lorraine,155,Livres,"5,0000000","775,00","0,00",,
98,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Bourgogne,Vin de Bourgogne,Lorraine,"3440,8888888889",Muids,,"442 400,00",,,3440 muids et 256 pintes ; pas de pris unitaire
99,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,Franche comté,Vin de Franche comté,Lorraine,"620,8333333333",Muids,,"40 975,00",,,620 muids et 240 pintes estimés à 40975
100,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Bestiaux bœufs,Suisse,802,Nombre,"200,0000000","160 400,00","0,00",,
101,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Bestiaux bœufs,Allemagne et Pologne,1603,Nombre,"200,0000000","320 600,00","0,00",,
102,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Bestiaux porcs gras,Suisse,273,Nombre,"40,0000000","10 920,00","0,00",,
103,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Bestiaux porcs gras,Allemagne et Pologne,547,Nombre,"40,0000000","21 880,00","0,00",,
104,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Eau de vie simple,suisse,109,Nombre,"120,0000000","13 080,00","0,00",,
105,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Eau de vie simple,Allemagne et Pologne,218,Nombre,"120,0000000","26 160,00","0,00",,
106,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Etoffe de soye,Suisse,364,Muids,"160,0000000","58 240,00","0,00",,
107,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Etoffe de soye,Allemagne et Pologne,364,Muids,"160,0000000","58 240,00","0,00",,
108,Laura,AN F12 1666,National par direction/AN/F_12_1666 et 1667/1789 - Exports – Besançon.csv,National par direction,Exports,5,1789,Besancon,Jussey,,Vin de Bourgogne,Suisse,1530,Muids,,"196 622,00",,,Pas de prix unitaire
