orthographic,nbr_occurences_ortho,simplification,note,nbr_occurences_simpl
Colonies françaises-hollandaises,20,Colonies françaises et colonies hollandaises,,20
Commerce de la Compagnie des Indes,91,Commerce de la Compagnie des Indes,,91
Comptoirs étrangers,1,Inde étrangère,,5
Comptoirs étrangers de l'Inde,4,Inde étrangère,,5
Comptoirs français,1,Indes françaises,,8
Comptoirs français et étrangers,1,Indes,,3399
Constantinople,22,Constantinople,,22
Corse,123,Corse,,123
Côtes d'Afrique,1,Afrique,,24
"Côtes occidentales d'Afrique, Sénégal, Guinée",34,Afrique occidentale,,34
Cube-Porto Rico,20,Cuba et Porto Rico,,20
Danemark,8919,Danemark,,12412
Danemark-Norvège,353,Danemark et Norvège,,353
destination inconnue,96,Inconnu,,209
Deux-Siciles,37,Naples et Sicile,,5051
Du Levant,1,Levant,,20626
Dunkerque,722,Dunkerque,,722
Dunkerque et Bayonne,1,Bayonne et Dunkerque,,3
Dunkerque et Lorient,2,Dunkerque et Lorient,,2
Dunkerque et Marseille,2,Dunkerque et Marseille,,2
Dunkerque et Petites Îles,4,Dunkerque et Petites Îles,,4
"Dunkerque, Bayonne et Marseille",11,"Bayonne, Dunkerque et Marseille",,11
"Dunkerque, Lorient et Petites Îles",1,"Dunkerque, Lorient et Petites Îles",,3
"Dunkerque, Petites Îles, Lorient, Marseille, Bayonne, Alsace",1,"Alsace, Bayonne, Dunkerque, Lorient et Petites Îles",,1
Egypte,53,Égypte,,53
Empereur,629,États de l'Empereur,,4409
Empire d'Autriche,2006,Autriche,,2035
Empire de Russie,2035,Russie,,6682
Empire de Sardaigne,3,Royaume de Sardaigne,,5280
Empire du Portugal,15,Portugal,,15022
Empire Ottoman,1480,Empire Ottoman,,1480
Empire Ottoman et Barbarie,2217,Empire Ottoman et Barbarie,,2217
Empire Ottoman et Toscane,1,Levant et Toscane,,1
"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",1,"entre l'étranger et les ports français de Bayonne, Saint-Jean-de-Luz, Lorient, Dunkerque et Marseille",,1
Entrepôt,54,Entrepôt,,54
Entrepôt et port franc de Livourne,234,Livourne,,236
Épaves et échouements,56,Épaves et échouements,,56
Espagne,54522,Espagne,,59183
Espagne et Indes Occidentales,8,Espagne et ses colonies,,3496
Espagne et les état en dépendants,482,Espagne et ses colonies,,3496
Espagne par mer,2,Espagne par mer,,2
Espagne par terre,2,Espagne par terre,,2
Espagne-Portugal,1,Espagne et Portugal,,1
"Espagne, Canaries et Indes Occidentales",1923,Espagne et ses colonies,,3496
Établissements français de l'Inde,1,Indes françaises,,8
État de Naples,1,Naples,,5518
États ?,8,États ?,,8
États de Barbarie,143,Barbarie,,470
États de l'Allemagne,6307,Allemagne,,20030
États de l'Empereur,3368,États de l'Empereur,,4409
États de l'Empereur : Allemagne et Flandre,410,États de l'Empereur,,4409
États de l'Empereur : Allemagne et Flandre – par mer,2,États de l'Empereur par mer,,2
États de l'Empereur : Allemagne et Flandre – par terre,2,États de l'Empereur par terre,,2
États de l'Empereur et Flandre,2,États de l'Empereur,,4409
États de l'évêque de Rome et la république de Venise,18,États ecclésiastiques et Venise,,18
États de l'Inde,2,Indes,,3399
États de Rome,1184,États ecclésiastiques,,1629
États du roi,1,États du roi,,1
États du roi de Prusse,147,Prusse,,4608
États du roi de Sardaigne,1149,Royaume de Sardaigne,,5280
États du Roi de Sardaigne - par mer,2,Royaume de Sardaigne – par mer,,2
États du Roi de Sardaigne - par terre,2,Royaume de Sardaigne – par terre,,2
États du roi de Suède,58,Suède,,11150
États ecclésiastiques,444,États ecclésiastiques,,1629
États romains,64,États romains,,64
États Sardes,88,Royaume de Sardaigne,,5280
États-Unis,581,États-Unis d'Amérique,,6175
États-Unis ; colonies anglaises,14,États-Unis d'Amérique,,6175
États-Unis d'Amérique,5154,États-Unis d'Amérique,,6175
États-Unis de l'Amérique,125,États-Unis d'Amérique,,6175
Étranger,72,Monde hors colonies,,93
Europe,12,Europe,,13
"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",146,"Europe (y compris le Levant, la Barbarie, et les États-Unis d'Amérique)",,146
Europe et Piémont,1,Europe,,13
Évêchés,547,Trois Évêchés,,614
Flandre,14236,Flandre,,19003
Flandre Autrichienne,4100,Flandre,,19003
Flandre impériale,667,Flandre,,19003
France,15,France,,15
Franche Comté,8,Franche Comté,,8
Gênes,14562,Gênes,,15308
"Gênes, Milan, Toscane et Lucques",4,"Gênes, Milan, Toscane et Lucques",,4
Genève,3212,Genève,,3212
Genève et Suisse,2384,Genève et Suisse,,2538
Genève et Suisse et ses alliés,757,"Genève, Suisse et ses alliés",,861
Gex,13,Pays de Gex,,19
Gibraltar,1,Gibraltar,,1
Gothembourg,1,Gothembourg,,1
Grand-Duché de Toscane,288,Toscane,,636
Grèce,13,Toscane,,636
Guadeloupe,2190,Guadeloupe,,2190
Guatemala,2,Guatemala,,2
Guernesey,2,Guernesey,,2
Guernesey et Dumbarton,1,Guernesey et Dumbarton,,1
Guinée,10142,Guinée,,10142
Guyane anglaise,4,Guyane anglaise,,4
Guyane et Sénégal,1,Guyane et Sénégal,,1
Guyane française,1,Guyane française,,1
Haïti,10,Haïti,,10
Hambourg,1,Hambourg,,1
"Hambourg, Hollande et Livourne",1,"Hambourg, Hollande et Livourne",,1
Hollande,71388,Hollande,,74401
Île de Ré,1,Île de Ré,,1
Île Maurice,22,Île Maurice,,22
Îles,7032,Îles,,7032
Îles de France et de Bourbon,204,Îles de France et de Bourbon,,206
"Îles de France, de la Réunion et Mozambique",2,Îles de France et de Bourbon,,206
Îles de l'Amérique,134,Îles de l'Amérique,,134
Îles et colonies françaises,16,Colonies françaises,,1821
Îles et Guinée,1,Îles et Guinée,,1
Îles françaises,2010,Îles françaises,,2010
Îles françaises de l'Amérique,37475,Îles françaises de l'Amérique,,41409
Îles françaises de l'Amérique et de Terre-Neuve,273,Îles françaises de l'Amérique,,41409
Îles françaises de l'Amérique et du Canada,1410,Îles françaises de l'Amérique,,41409
Îles françaises de l'Amérique et Terre-Neuve,894,Îles françaises de l'Amérique,,41409
"Îles françaises de l'Amérique, du Canada et Terre-Neuve",1357,Îles françaises de l'Amérique,,41409
Inde Bourbon,1,Île Bourbon,,53
Inde et Amérique,1,Amérique et Inde,,1
Inde et Bourbon,3,Île Bourbon et Inde,,3
Inde et colonies françaises,1,Colonies françaises et Inde,,1
"Inde, colonies françaises et Amérique",1,"Amérique, colonies françaises et Inde",,1
Indes,1849,Indes,,3399
Indes anglaises,16,Indes anglaises,,16
Indes et Moka,41,Indes et Moka,,41
Indes françaises,6,Indes françaises,,8
Indes hollandaises,6,Indes hollandaises,,6
Indes Occidentales,35,Amériques,,35
Indes Orientales,1547,Indes,,3399
Irlande,1,Irlande,,1
Italie,35423,Italie,,38676
Italie (Naples & Sicile),1,Naples et Sicile,,5051
"Italie comprenant l'Etat Ecclesiastique et toute l'Italie excepté Naples et Sicile, Gênes et Venise",519,Italie,,38676
Le ?,2,?,,12
Les 4 villes hanséatiques,566,Villes hanséatiques,,4699
Levant,20625,Levant,,20626
Levant et Barbarie,34,Barbarie et Levant,,34
Levant et Empire Ottoman,98,Empire Ottoman et Levant,,98
"Levant, empire Ottoman et états de Barbarie",123,"Barbarie, Empire Ottoman et Levant",,123
Lisbonne,1,Lisbonne,,1
Livourne,2,Livourne,,236
Lorient,227,Lorient,,227
Lorient et Marseille,1,Lorient et Marseille,,1
Lorient et Petites Îles,1,Lorient et Petites Îles,,2
Lorraine,555,Lorraine,,555
Lorraine et Évêchés,1,Lorraine et Trois Évêchés,,1
Louisiane,7,Louisiane,,7
Lübeck en Norvège,1,Lübeck en Norvège,,1
Marseille,2162,Marseille,,2576
Marseille et Petites Îles,1,Marseille et Petites Îles,,1
Martinique,2777,Martinique,,2777
Mecklembourg-Schwerin,4,Mecklembourg-Schwerin,,4
Mexique,9,Mexique,,9
Middlebourg,1,Milddelbourg,,1
Milanais,4,Milanais,,4
Milanais-Toscane,1018,"Milanais, Toscane et Lucques",,1018
"Milanais, Toscane et Lucques",602,Milanais et Toscane,,602
Monde,2974,Monde,,2974
Monde (hors Europe et Inde),3,Monde hors Europe,,24
Monde (hors Europe et Sénégal français),2,Monde hors Europe et hors Sénégal français,,2
"Monde (hors Europe, Inde et Colonies françaises)",1,Monde hors Europe et hors colonies françaises et hors Inde,,1
"Monde (hors Europe, Inde, Colonies françaises et Amérique)",1,"Monde (hors Amérique, colonies françaises, Europe et Inde)",,1
Monde (hors Inde et Amérique),5,Monde hors Amérique et hors Inde,,5
"Monde (hors Piémont, Inde et Amérique)",1,Monde hors Amérique et hors Inde et hors Piémont,,1
Monde hors Amérique,1,Monde hors Amérique,,1
Monde hors colonies,21,Monde hors colonies,,93
Monde hors Europe,20,Monde hors Europe,,24
Monde hors Europe et colonies,1,Monde hors Europe et hors colonies,,1
Monde hors Guyanne française,1,Monde hors Guyanne française,,1
Monde hors Pays de Gex,1,Monde hors Pays de Gex,,1
Monds hors Ports de la Baltique,1,Monds hors Ports de la Baltique,,1
Morée,11,Morée,,11
Morue à Terre-Neuve,2,Pêches à la Morue à Terre-Neuve,,2
Morue en Islande,1,Pêches à la Morue en Islande,,1
Nancy,1,Nancy,,1
Nantes,1,Nantes,,1
Naples,3252,Naples,,5518
Naples et Sicile,40,Naples et Sicile,,5051
Naples-Sicile,4973,Naples et Sicile,,5051
"Naples, Sicile et Palerme",52,"Naples, Sicile et Palerme",,52
"Naples, Sicile et Parme",315,"Naples, Sicile et Parme",,340
non renseigné,1,?,,12
Nord,22250,Nord,,22250
Nord ; dont hanséatiques et Russie,104,Nord (Hanse et Russie),,3866
Nord (Hanse et Russie),32,Nord (Hanse et Russie),,3866
Nord qui comprend les villes hanséatiques,2866,Nord (Hanse et Russie),,3866
Nord qui comprend les villes hanséatiques et la Moscovie,864,Nord (Hanse et Russie),,3866
Norvège,15,Norvège,,15
Nouvelle-Grenade,3,Nouvelle-Grenade,,3
origine inconnue,113,Inconnu,,209
Pays d'Aunis,1,Pays d'Aunis,,1
Pays de Gex,6,Pays de Gex,,19
Pays de Labour,31,Pays de Labour,,31
pays non indiqué,8,?,,12
Pays ou Région,1,?,,12
Pays-Bas,49,Pays-Bas,,1031
Pêche étrangère,4,Pêches étrangères,,15
Pêche française,5,Pêches françaises,,27
Pêches étrangères,11,Pêches étrangères,,15
Pêches françaises,22,Pêches françaises,,27
Pêches sur nos côtes Hareng (aperçu),2,Pêches côtières (Hareng),,2
Pêches sur nos côtes Maquereaux (aperçu),2,Pêches côtières (Maquereaux),,2
Pêches sur nos côtes Sardines (aperçu),1,Pêches côtières (Sardines),,1
Pérou,6,Pérou,,6
Petites Îles,464,Petites Îles,,464
Petites Îles et Bayonne,3,Bayonne et Petites Îles,,4
Petites îles et Lorient,1,Lorient et Petites Îles,,2
"Petites Îles, Bayonne et Lorient",1,"Bayonne, Lorient et Petites Îles",,1
"Petites Îles, Bayonne, Dunkerque et Lorient",2,"Bayonne, Dunkerque, Lorient et Petites Îles",,3
"Petites Îles, Dunkerque et Lorient",2,"Dunkerque, Lorient et Petites Îles",,3
Philippines,1,Philippines,,1
Piémont,1590,Piémont,,1590
Piémont et Genève,604,Genève et Piémont,,604
Piémont et Savoie,340,Piémont et Savoie,,340
Piémont par mer,1,Piémont par mer,,1
Piémont par terre,1,Piémont par terre,,1
Poitou,1,Poitou,,1
Pologne,305,Pologne,,305
Pologne et Genève,1,Pologne-Genève,,1
Port de Marseille,414,Marseille,,2576
Ports de la Baltique,1,Ports de la Baltique,,1
Portugal,11720,Portugal,,15022
"Portugal, île de Madère, Terceres et Açores",581,Portugal,,15022
Possessions anglaises,132,Colonies anglaises,,132
Possessions danoises,90,Colonies danoises,,90
Possessions des États-Unis d'Amérique,143,Colonies des États-Unis d'Amérique,,143
Possessions espagnoles,153,Colonies espagnoles,,153
Possessions hollandaises,142,Colonies hollandaises,,142
Possessions portugaises,27,Colonies portugaises,,27
Possessions suédoises,57,Colonies suédoises,,57
Prises et saisies,1045,Prises et saisies,,1305
Prises et saisies et séquestres,260,Prises et saisies,,1305
Prusse,480,Prusse,,4608
Prusse – par mer,2,Prusse – par mer,,2
Quatre villes hanséatiques,40,Villes hanséatiques,,4699
République de Gênes,673,Gênes,,15308
République de Hollande,36,Hollande,,74401
République de Suisse,4088,Suisse,,13948
République de Venise,124,Venise,,1946
Riga,1,Riga,,1
Rio de la Plata,14,Rio de la Plata,,14
Rome et Venise,2,Rome et Venise,,2
Rotterdam,1,Rotterdam,,1
Rouen,1,Rouen,,1
Royaume d'Espagne,4661,Espagne,,59183
Royaume d'Espagne et ses colonies,1083,Espagne et ses colonies,,3496
Royaume d'Étrurie,1153,Royaume d'Étrurie,,1153
Royaume d'Italie,2734,Italie,,38676
Royaume de Danemark,3293,Danemark,,12412
Royaume de Danemark et ses colonies,200,Danemark,,12412
Royaume de Gênes,73,Gênes,,15308
Royaume de Hollande,2977,Hollande,,74401
Royaume de Naples,2265,Naples,,5518
Royaume de Naples et de de Sicile et duché de Parme,25,"Naples, Sicile et Parme",,340
Royaume de Pays-Bas,982,Pays-Bas,,1031
Royaume de Pays-Bas et ses colonies,1408,Pays-Bas et ses colonies,,1408
Royaume de Prusse,3981,Prusse,,4608
Royaume de Sardaigne,4040,Royaume de Sardaigne,,5280
Royaume de Suède,1593,Suède,,11150
Royaume de Suède et ses colonies,173,Suède et ses colonies,,173
Royaume de Suisse,26,Suisse,,13948
Royaume du Portugal,1870,Portugal,,15022
Royaume du Portugal et ses colonies,836,Portugal,,15022
Russie,4647,Russie,,6682
Russie et Courlande,15,Courlande et Russie,,105
Russie-Courlande,90,Courlande et Russie,,105
Saint-Domingue,5564,Saint-Domingue,,5564
Saint-Jean de Luz,9,Saint-Jean de Luz,,9
Saint-Thomas,11,Saint-Thomas,,11
Salonique,5,Salonique,,5
"Salonique, Archipel et Satali",17,"Salonique, Archipel et Satali",,17
Sardaigne,2038,Sardaigne,,2038
Savoie,12005,Savoie,,12005
Savoie et Piémont,11456,Savoie et Piémont,,11456
Sénégal,318,Sénégal,,318
Sénégal et Cayenne,1,Sénégal français,,4
Sénégal et Guinée,3004,Guinée et Sénégal,,3004
Sénégal français,3,Sénégal français,,4
Sidon,5,Sidon,,5
Sidon et Acre,15,Sidon et Acre,,15
Smyrne,35,Smyrne,,35
"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",2,"Stockholm, Middelbourg, Götenborg, Andenville, Narbeck et Gherben en Suède",,2
Strasbourg,1,Strasbourg,,1
Sud ecclésiastique,1,États ecclésiastiques,,1629
Suède,9499,Suède,,11150
Suisse,9834,Suisse,,13948
Suisse et alliés et Genève,104,"Genève, Suisse et ses alliés",,861
Suisse et Genève,154,Genève et Suisse,,2538
Tobago,740,Tobago,,740
Tobago et Sainte-Lucie,2,Tobago et Sainte-Lucie,,2
Toscane,335,Toscane,,636
Traite des noirs et de la gomme,2,Afrique,,24
Tripoli de Syrie,15,Tripoli de Syrie,,15
Trois Évêchés,2,Trois Évêchés,,614
Turquie,33,Turquie,,33
"Turquie, Inde et Amérique",2,"Amérique, Inde et Turquie",,2
Vénézuela,14,Vénézuela,,14
Venise,1822,Venise,,1946
Villes ?,1,Villes hanséatiques,,4699
Villes hanséatiques,4092,Villes hanséatiques,,4699
Villes hanséatiques-Hollande,223,Hollande et Villes hanséatiques,,223
Voitures diverses,2,Voitures diverses,,2
Ypres,1,Ypres,,1
