goods_simpl_classification,nbr_occurences_simpl,hamburg_classification,obsolete,nbr_occurences_hamburg
armoisin,46,,non,442903
armure de fer,1,,non,442903
armure vieille,1,,non,442903
arnas,1,,non,442903
arpois,1,,non,442903
arquebuse,1,,non,442903
arrangas,1,,non,442903
arrosoirs,6,,non,442903
arrosoirs de bois,2,,non,442903
arrosoirs de cuivre,1,,non,442903
arrosoirs de fer,1,,non,442903
arrosoirs de fer-blanc,6,,non,442903
arrosoirs de sapin,1,,non,442903
arrosoirs de terre,1,,non,442903
arrowroot,1,,non,442903
arséniate de potasse,2,Potasse,non,708
arsenic,411,,non,442903
arsenic métallique,6,,non,442903
artichauts,79,,non,442903
artichauts champignons et truffes,2,,non,442903
artichauts confits,68,,non,442903
artichauts frais,17,,non,442903
artichauts marinés,2,,non,442903
artichauts secs,6,,non,442903
artifice,5,,non,442903
artifice fusées etc.,1,,non,442903
artillerie,6,,non,442903
asa fœtida,123,,non,442903
asperges,9,,non,442903
asperges confites,1,,non,442903
asperges et scorsonères,1,,non,442903
asphaltum,19,,non,442903
assiette,1,,non,442903
assiette de Biarritz,1,,non,442903
assiette de bois,1,,non,442903
assiette de faïence,8,,non,442903
assiette de faïence assorties,0,,oui,442903
assiette de porcelaine,3,,non,442903
assiette de porcelaine des Indes,1,,non,442903
assiette de terre,6,,non,442903
assiette et plats de terre,1,,non,442903
asustum,1,,non,442903
atastes,1,,non,442903
atlas,2,,non,442903
atlas à la feuille d'or,1,,non,442903
atlas et instruments de marine,1,,non,442903
atlas jaspé,1,,non,442903
attaches de cuivre,1,,non,442903
attelles de colliers,14,,non,442903
aube,1,,non,442903
auchinoise,2,,non,442903
auclimes,2,,non,442903
auf,117,,non,442903
auf ouvré,0,,oui,442903
auf travaillé,0,,oui,442903
auf travaillé en cordes,0,,oui,442903
augemy,2,,non,442903
auges,3,,non,442903
auges de carreaux,2,,non,442903
augustins,2,,non,442903
aurcsats,1,,non,442903
aurcsats étoile,1,,non,442903
aussière,4,,non,442903
autel de marbre,2,,non,442903
avelanèdes,58,,non,442903
avelines,8,,non,442903
avelines et noisettes sèches,22,,non,442903
avelines faînes noisettes noix,1,,non,442903
avelines noisettes noix,5,,non,442903
avirons,639,,non,442903
avirons bruts,17,,non,442903
avirons de 12 pieds,1,,non,442903
avirons de 18 pieds,1,,non,442903
avirons de 30 pieds,1,,non,442903
avirons de 5 pieds,1,,non,442903
avirons de 8 à 12 pieds,1,,non,442903
avirons de bois,51,,non,442903
avirons de bois façonné,1,,non,442903
avirons de chêne,1,,non,442903
avirons de sapin,1,,non,442903
avirons et perches de bois,3,,non,442903
avirons et rames bruts,2,,non,442903
avirons et rames de bois,1,,non,442903
avirons et rames de bois façonné,2,,non,442903
avirons et rames façonnés,5,,non,442903
avirons polis,1,,non,442903
avoine,496,,non,442903
avoine en gerbes,1,,non,442903
avoine et haricots,1,,non,442903
avoine et orge etc.,1,,non,442903
avoine mondée,1,,non,442903
avoine moulée,1,,non,442903
azur,729,,non,442903
azur commun,197,,non,442903
azur et bleu de Prusse,9,,non,442903
azur et cobalt,20,,non,442903
azur fin,13,,non,442903
azur gros,22,,non,442903
babassis,1,,non,442903
babouches,90,,non,442903
babouches de maroquin,2,,non,442903
bacs d'1 aime,1,,non,442903
bacs de pierre,1,,non,442903
bacs de pierre bleue,1,,non,442903
bacs de pierre d'1 aime,1,,non,442903
bacs de pierre de 4 aimes,1,,non,442903
bacs de pierre de demi d'aime,1,,non,442903
bacs de pierre de moindre classe,1,,non,442903
bacs de pierre de trois-quart d'aime,1,,non,442903
bacs de pierre en dessous d'1 aime,1,,non,442903
bacs de pierre en dessus d'1 aime,1,,non,442903
badiane,60,,non,442903
badiane ou anis étoilé de la Chine,0,,oui,442903
baffetas,10,,non,442903
baffetas blanc,19,,non,442903
baffetas bleu,26,,non,442903
baffetas des Indes,2,,non,442903
bagarot,1,,non,442903
bagues,5,,non,442903
bagues à pierres fausses,1,,non,442903
bagues d'argent,2,,non,442903
bagues d'or,1,,non,442903
bagues de cuivre,2,,non,442903
bagues de laiton,1,,non,442903
bagues de verre,3,,non,442903
baguettes,6,,non,442903
baguettes à chandelle,1,,non,442903
baguettes à étoffe,2,,non,442903
baguettes d'étain,2,,non,442903
baguettes de bois,1,,non,442903
baguettes de bois doré,1,,non,442903
baguettes de cuivre,3,,non,442903
baguettes de fer à fusil,1,,non,442903
baguettes de fusil,47,,non,442903
bahuts,24,,non,442903
baie de laurier,28,,non,442903
baies de buis,1,,non,442903
baies de genévrier à distiller,2,,non,442903
baies de genièvre,6,,non,442903
baignes,3,,non,442903
baignoires,2,,non,442903
baignoires d'acajou,1,,non,442903
baignoires de cuivre,4,,non,442903
baignoires de sapin,1,,non,442903
baignoires de tôle,2,,non,442903
baigots,1,,non,442903
baillarge,5,,non,442903
bailles,1,,non,442903
baïonnettes,14,,non,442903
bais de bois de chêne,1,,non,442903
bajutapau,230,,non,442903
bajutapau commun,1,,non,442903
bajutapau des Indes,1,,non,442903
"bajutapau, canelis, etc.",3,,non,442903
bakeliau et stockfis,0,,oui,442903
balais,123,,non,442903
balais communs,5,,non,442903
balais coupés,3,,non,442903
balais de bois,39,,non,442903
balais de brandes,1,,non,442903
balais de bruyère,13,,non,442903
balais de chanvre,1,,non,442903
balais de crin,12,,non,442903
balais de foyer,1,,non,442903
balais de jonc,50,,non,442903
balais de jonc petits,1,,non,442903
balais de laine à laver les planchers,1,,non,442903
balais de millet,2,,non,442903
balais de paille,2,,non,442903
balais de paille de riz,6,,non,442903
balais de palme,295,,non,442903
balais de palme petits,1,,non,442903
balais de plumes,3,,non,442903
balais de poil,2,,non,442903
balais de riz,5,,non,442903
balais de soie,7,,non,442903
balais de soie de porcs,18,,non,442903
balais de toile,1,,non,442903
balais du roi,1,,non,442903
balais fins,1,,non,442903
balais grands de palme,2,,non,442903
balais ou ramons,1,,non,442903
balais petits,1,,non,442903
balance,8,,non,442903
balance à la romaine,1,,non,442903
balance complète,1,,non,442903
balance de bois,1,,non,442903
balance de cuivre,8,,non,442903
balance de cuivre jaune,1,,non,442903
balance de fer,4,,non,442903
balance et poids de cuivre,1,,non,442903
balance et romaine,2,,non,442903
balance et ses poids,1,,non,442903
balance ou fléaux en fer,1,,non,442903
balance petite,1,,non,442903
balance romaine,3,,non,442903
balauste,0,,oui,442903
balcon de fer,1,,non,442903
baleine,125,,non,442903
baleine apprêtée,1,,non,442903
baleine coupée,641,,non,442903
baleine coupée en fanon,11,,non,442903
baleine coupée et en fanon,12,,non,442903
baleine de sarde,18,,non,442903
